comparison,density_diff,density_rel_effect,mean_weight_diff,mean_weight_rel_effect,median_weight_diff,median_weight_rel_effect,std_weight_diff,std_weight_rel_effect,mean_abs_weight_diff,mean_abs_weight_rel_effect,frac_positive_diff,frac_positive_rel_effect,frac_negative_diff,frac_negative_rel_effect,pre_n_years,post_n_years,country,sector,top_k
post_minus_pre,0.007863247863247852,0.04588528678304233,-0.014285339581947998,-0.01652337843870164,-0.0021696337979384417,-0.0024062138004884307,0.02733728095024593,0.23636994929849026,-0.014285339581947998,-0.01652337843870164,0.0,0.0,0.0,,9,5,NL,MN,5
2020_minus_pre,0.00042735042735042583,0.002493765586034904,-0.06534110210369881,-0.07557788538856937,-0.03978736656596915,-0.04412583847426,0.04484253670582952,0.38772795827294076,-0.06534110210369881,-0.07557788538856937,0.0,0.0,0.0,,9,1,NL,MN,5
post_minus_pre,0.015384615384615385,0.0930232558139535,-0.008309199004013834,-0.009387366500393872,-0.01329607235373309,-0.014255537418793311,0.0010420549802171303,0.008592356408742239,-0.008309199004013834,-0.009387366500393872,0.0,0.0,0.0,,1,5,NL,OQ,5
2020_minus_pre,0.007692307692307693,0.04651162790697675,-0.036521722152159763,-0.04126063064589788,-0.05249714197120103,-0.05628541661327848,-0.020708550446317114,-0.17075418238114357,-0.036521722152159763,-0.04126063064589788,0.0,0.0,0.0,,1,1,NL,OQ,5
post_minus_pre,0.00393162393162394,0.023350253807106647,-0.023904670579842358,-0.028142480043255567,-0.030313905265118346,-0.03431615664751071,0.007407943949839152,0.058324369212741055,-0.023904670579842358,-0.028142480043255567,0.0,0.0,0.0,,9,5,NL,RU,5
2020_minus_pre,-0.013247863247863256,-0.07868020304568532,-0.08147494361579921,-0.09591878570652626,-0.08235410248881192,-0.09322706054713233,0.016166603227678822,0.12728321676725216,-0.08147494361579921,-0.09591878570652626,0.0,0.0,0.0,,9,1,NL,RU,5
post_minus_pre,-0.016250000000000042,-0.05829596412556069,-0.022221398507872414,-0.025521538774285788,-0.0332899705203078,-0.03638513323455796,-0.0014789696673187802,-0.01171983810649135,-0.022221398507872414,-0.025521538774285788,0.0,0.0,0.0,,8,4,PT,BE,5
2020_minus_pre,0.014583333333333337,0.05231689088191332,-0.01120575929858958,-0.012869946971742121,0.015981492074669035,0.017467384600690493,0.04444036398765397,0.352159941368555,-0.01120575929858958,-0.012869946971742121,0.0,0.0,0.0,,8,1,PT,BE,5
post_minus_pre,-0.0050000000000000044,-0.01785714285714287,-0.017429613290616208,-0.020649602550862872,-0.044702371927882734,-0.05046207619154513,-0.021777774986418585,-0.15597281325341833,-0.017429613290616208,-0.020649602550862872,0.0,0.0,0.0,,8,4,PT,FZ,5
2020_minus_pre,0.0,0.0,-0.06112881287983185,-0.07242189882974552,-0.04742375394489606,-0.05353409632753194,0.02386109621279861,0.1708935970704841,-0.06112881287983185,-0.07242189882974552,0.0,0.0,0.0,,8,1,PT,FZ,5
post_minus_pre,-0.009166666666666656,-0.03244837758112091,-0.0191677512182421,-0.021188391179045092,-0.03100306276864817,-0.033252630343760095,-0.013435486355305448,-0.15065888190452886,-0.0191677512182421,-0.021188391179045092,0.0,0.0,0.0,,8,4,PT,GI,5
2020_minus_pre,-0.012499999999999956,-0.044247787610619316,-0.03294964023802194,-0.03642314941502258,-0.05878316397514993,-0.06304844255835845,-0.010622160502035058,-0.11911164079409081,-0.03294964023802194,-0.03642314941502258,0.0,0.0,0.0,,8,1,PT,GI,5
post_minus_pre,0.006249999999999978,0.023474178403755788,0.06718917707683758,0.09028674919855248,0.11445007432486709,0.14668225086579828,0.02777173209180045,0.15878948776544693,0.06718917707683758,0.09028674919855248,0.0,0.0,0.0,,8,4,PT,JZ,5
2020_minus_pre,-0.019583333333333314,-0.07355242566510165,-0.07876321863966085,-0.10583959019556609,-0.10923476615693206,-0.13999817358979708,0.00988805377954638,0.05653658869606249,-0.07876321863966085,-0.10583959019556609,0.0,0.0,0.0,,8,1,PT,JZ,5
post_minus_pre,0.01958333333333334,0.07544141252006424,0.014608757333011035,0.02077348463937209,0.03639351524324952,0.050006210015764795,0.029400036153541337,0.1670531743618446,0.014608757333011035,0.02077348463937209,0.0,0.0,0.0,,8,4,PT,LZ,5
2020_minus_pre,0.0037499999999999756,0.014446227929373903,0.030290097548884676,0.04307216978236616,0.016813297213146172,0.023102172622745238,-0.014065132190906354,-0.07991911873982006,0.030290097548884676,0.04307216978236616,0.0,0.0,0.0,,8,1,PT,LZ,5
post_minus_pre,0.01416666666666666,0.05105105105105104,0.13140973401039413,0.1684166412325164,0.10585828010227061,0.12559837904344764,-0.11258668304480887,-0.5718988176695574,0.13140973401039413,0.1684166412325164,0.0,0.0,0.0,,8,4,PT,MN,5
2020_minus_pre,-0.010833333333333306,-0.03903903903903894,0.07609945326577683,0.0975301747254069,0.03864489876917376,0.0458512705762564,-0.08038889317954152,-0.40834592262431807,0.07609945326577683,0.0975301747254069,0.0,0.0,0.0,,8,1,PT,MN,5
