country,sector,eval_year,observation_year_last,period,top_k,n_regions,n_possible_pairs,n_edges_valid,density,mean_weight,median_weight,std_weight,p10_weight,p25_weight,p75_weight,p90_weight,frac_positive,frac_negative,frac_near_zero,mean_abs_weight,turnover,jaccard_consecutive,pair_resample_mean_weight_p025,pair_resample_mean_weight_p975,pair_resample_density_p025,pair_resample_density_p975,pair_resample_n,pair_resample_frac,pair_resample_seed,mean_weight_abs_change,mean_weight_rel_change,median_weight_abs_change,median_weight_rel_change,density_abs_change,density_rel_change,mean_abs_weight_abs_change,mean_abs_weight_rel_change
FR,LZ,2018,2017,pre-2020,5,280,39060,872,0.02232462877624168,0.9415910259422999,0.9529334537589191,0.046663508312741686,0.8836857317442239,0.927863604214828,0.970869228382548,0.984752610747579,1.0,0.0,0.0,0.9415910259422999,0.7575539568345324,0.24244604316546764,0.9375351114619093,0.944995947553235,0.02076772913466462,0.023938332053251406,200,0.8,42,-0.03434634479710319,-0.035193185369140276,-0.03232966549688665,-0.03281323015653531,0.0004352278545826961,0.019883040935672645,-0.03434634479710319,-0.035193185369140276
FR,LZ,2019,2018,pre-2020,5,280,39060,887,0.022708653353814643,0.9361781116824357,0.9465708136446325,0.047457110560376034,0.8805009532211987,0.9164614033949077,0.9690300241229907,0.9829722126402953,1.0,0.0,0.0,0.9361781116824357,0.7542492917847026,0.24575070821529746,0.9322668686369469,0.9397391462102263,0.021343766001024066,0.024290354582693293,200,0.8,42,-0.005412914259864232,-0.005748689304305171,-0.006362640114286666,-0.006676898674496885,0.00038402457757296185,0.017201834862385194,-0.005412914259864232,-0.005748689304305171
FR,LZ,2020,2019,pre-2020,5,280,39060,899,0.023015873015873017,0.9354756751820487,0.9430736452653569,0.042733847299768334,0.8750724835428396,0.9119525310695415,0.9668415628673442,0.9831981252801827,1.0,0.0,0.0,0.9354756751820487,0.7758738862234407,0.22412611377655928,0.9326334046260571,0.9385326456037051,0.021438172043010753,0.024579173067076292,200,0.8,42,-0.0007024365003870381,-0.0007503235673013834,-0.003497168379275606,-0.0036945660365443455,0.00030721966205837434,0.01352874859075547,-0.0007024365003870381,-0.0007503235673013834
FR,LZ,2021,2020,2020,5,280,39060,886,0.02268305171530978,0.9336338297363941,0.9444011087497257,0.0460415313389728,0.870913076716731,0.9073714219055433,0.9688226547450617,0.9836647383080266,1.0,0.0,0.0,0.9336338297363941,0.7873641304347826,0.21263586956521738,0.9298606247178332,0.9364621206054637,0.02102454557091654,0.024163146441372248,200,0.8,42,-0.0018418454456545774,-0.00196888651893182,0.0013274634843688515,0.0014075926000406227,-0.000332821300563238,-0.014460511679644133,-0.0018418454456545774,-0.00196888651893182
FR,LZ,2022,2021,post-2020,5,280,39060,882,0.02258064516129032,0.9335034849637812,0.9425443192748417,0.044350389183624786,0.8768053128779921,0.9103225557901052,0.9658222011113409,0.9821514062972557,1.0,0.0,0.0,0.9335034849637812,0.793174061433447,0.2068259385665529,0.9303716751030615,0.9369474305816974,0.021276561699948796,0.024069540450588837,200,0.8,42,-0.00013034477261286703,-0.00013961016456491202,-0.0018567894748839908,-0.001966102599500501,-0.00010240655401945811,-0.004514672686230287,-0.00013034477261286703,-0.00013961016456491202
FR,LZ,2023,2022,post-2020,5,280,39060,874,0.02237583205325141,0.9382157742256156,0.9503797307683148,0.052347864713281206,0.8822627290921267,0.9239923404638033,0.9706122255962608,0.9852491921714533,1.0,0.0,0.0,0.9382157742256156,0.7633802816901408,0.23661971830985915,0.9342157793778777,0.9422560583729966,0.020798931131592424,0.02425835253456221,200,0.8,42,0.004712289261834424,0.0050479610818134815,0.00783541149347311,0.008313043040248104,-0.00020481310803891276,-0.009070294784580423,0.004712289261834424,0.0050479610818134815
FR,LZ,2024,2023,post-2020,5,280,39060,894,0.022887864823348696,0.9418921872276008,0.9599911730543526,0.05871172547719791,0.8734178951538594,0.9292953735804965,0.9776363294202995,0.987619100089225,1.0,0.0,0.0,0.9418921872276008,0.8314606741573034,0.16853932584269662,0.9379165512091483,0.9458709789608822,0.021340565796210957,0.02474318356374808,200,0.8,42,0.0036764130019851793,0.003918515444935485,0.009611442286037719,0.010113265229538879,0.0005120327700972871,0.022883295194508046,0.0036764130019851793,0.003918515444935485
FR,LZ,2025,2024,post-2020,5,280,39060,903,0.023118279569892472,0.9435213276642842,0.9611204212410543,0.054441780415348896,0.8790115333650161,0.9270053285577372,0.9777867228226114,0.9889237952098993,1.0,0.0,0.0,0.9435213276642842,0.8185404339250493,0.1814595660749507,0.9399242996490629,0.9471649466946028,0.02143977214541731,0.025025601638504865,200,0.8,42,0.001629140436683385,0.0017296464062183756,0.0011292481867017923,0.0011763110103491096,0.00023041474654377642,0.010067114093959627,0.001629140436683385,0.0017296464062183756
FR,LZ,2026,2025,post-2020,5,280,39060,891,0.0228110599078341,0.9448748203106436,0.9642508530257498,0.05703332842572431,0.8766713620089905,0.9298871674651673,0.9813489374751897,0.9901936005068328,1.0,0.0,0.0,0.9448748203106436,0.8142762723066754,0.18572372769332451,0.9401702203805974,0.9489175552487387,0.02121655785970302,0.024711181515617,200,0.8,42,0.0013534926463594221,0.0014345119783460904,0.003130431784695409,0.003257065103926534,-0.00030721966205837087,-0.013289036544850462,0.0013534926463594221,0.0014345119783460904
FR,MN,2017,2016,pre-2020,5,280,39060,850,0.021761392729134663,0.9769782111993024,0.9859769627774546,0.024569333578021386,0.9444494423177775,0.9683441643835513,0.9939663154578973,0.9976735061988878,1.0,0.0,0.0,0.9769782111993024,,,0.9751531484444893,0.9784583682316733,0.020193292370711727,0.023139080901177674,200,0.8,42,,,,,,,,
