country,sector,eval_year,density_k3,mean_weight_k3,n_edges_k3,density_k5,mean_weight_k5,n_edges_k5,density_k10,mean_weight_k10,n_edges_k10
NL,BE,2012,0.10512820512820513,0.9229477334997652,82,0.17307692307692307,0.8876480090601472,135,0.33589743589743587,0.8173265166432832,262
NL,BE,2013,0.10512820512820513,0.8753766046384553,82,0.17564102564102563,0.8384395058026319,137,0.33589743589743587,0.7600868068389468,262
NL,BE,2014,0.1064102564102564,0.8550184035058427,83,0.1717948717948718,0.8134203800020096,134,0.3371794871794872,0.7281322076219975,263
NL,BE,2015,0.09743589743589744,0.8429033311863282,76,0.16025641025641027,0.7867666466133503,125,0.3269230769230769,0.6864497997661042,255
NL,BE,2016,0.10128205128205128,0.8363377471398711,79,0.16153846153846155,0.7913769439048409,126,0.3141025641025641,0.6855580247739588,245
NL,BE,2017,0.10256410256410256,0.807157060117697,80,0.15256410256410258,0.763910628012061,119,0.2948717948717949,0.6420990700859761,230
NL,BE,2018,0.10256410256410256,0.7987710517210812,80,0.16025641025641027,0.7412019841692485,125,0.29102564102564105,0.6259727247380341,227
NL,BE,2019,0.09743589743589744,0.8257566060070218,76,0.15384615384615385,0.773892009023934,120,0.29102564102564105,0.6494984711080305,227
NL,BE,2020,0.09487179487179487,0.8302864868179813,74,0.15,0.7762522410803371,117,0.2987179487179487,0.6475333360044327,233
NL,BE,2021,0.09358974358974359,0.8324623331212213,73,0.16282051282051282,0.7666695796482695,127,0.3128205128205128,0.6479924262981982,244
NL,BE,2022,0.10384615384615385,0.8363185543055041,81,0.17435897435897435,0.7866407234150566,136,0.3153846153846154,0.7252291600329561,246
NL,BE,2023,0.10512820512820513,0.8526611230886405,82,0.17051282051282052,0.8171669881363999,133,0.3269230769230769,0.7405332719710968,255
NL,BE,2024,0.11153846153846154,0.854328769882811,87,0.1782051282051282,0.8152476955670124,139,0.32564102564102565,0.7570935109104956,254
NL,BE,2025,0.11153846153846154,0.8896758413678557,87,0.1794871794871795,0.8634769725239061,140,0.358974358974359,0.7970355166744074,280
NL,BE,2026,0.1064102564102564,0.8941273838063151,83,0.1782051282051282,0.868611440325335,139,0.35128205128205126,0.8019833200699158,274
NL,FZ,2012,0.10897435897435898,0.9497531868459791,85,0.17307692307692307,0.9315147084072379,135,0.33974358974358976,0.8996359752143812,265
NL,FZ,2013,0.1064102564102564,0.9122734550035887,83,0.1782051282051282,0.8906461425623944,139,0.3474358974358974,0.8468802016654401,271
NL,FZ,2014,0.11282051282051282,0.9123531950700109,88,0.18461538461538463,0.8887662804892089,144,0.35128205128205126,0.8496617909335464,274
NL,FZ,2015,0.10512820512820513,0.8822352135573635,82,0.17564102564102563,0.8625792577737357,137,0.33974358974358976,0.8265757149345666,265
NL,FZ,2016,0.1076923076923077,0.8755999115737015,84,0.17435897435897435,0.841620811143504,136,0.3333333333333333,0.7664949105158808,260
NL,FZ,2017,0.1,0.8717850064798812,78,0.16025641025641027,0.836716626684429,125,0.31794871794871793,0.7425919230837541,248
NL,FZ,2018,0.10128205128205128,0.8635727153798702,79,0.1576923076923077,0.8113237461663859,123,0.32564102564102565,0.6857456416302491,254
NL,FZ,2019,0.10512820512820513,0.9113817560826145,82,0.17051282051282052,0.8788921638085383,133,0.3525641025641026,0.8173162553426337,275
NL,FZ,2020,0.1076923076923077,0.9155309737236271,84,0.17564102564102563,0.8872926902196715,137,0.33205128205128204,0.8270982151833243,259
NL,FZ,2021,0.11538461538461539,0.8949719808907319,90,0.17692307692307693,0.8679591313231922,138,0.3474358974358974,0.8130561526986119,271
NL,FZ,2022,0.1064102564102564,0.8785853018851023,83,0.17051282051282052,0.8525767020370171,133,0.33076923076923076,0.7829032168898987,258
NL,FZ,2023,0.11282051282051282,0.8617210830849057,88,0.1858974358974359,0.8291345749894213,145,0.3525641025641026,0.7817515282159433,275
NL,FZ,2024,0.10897435897435898,0.8529597778064054,85,0.18076923076923077,0.8012654237380799,141,0.3423076923076923,0.7195732323945904,267
NL,FZ,2025,0.10384615384615385,0.9300505435423388,81,0.17435897435897435,0.9106403084829097,136,0.34615384615384615,0.8635745440777877,270
NL,FZ,2026,0.10512820512820513,0.9627464247313392,82,0.17051282051282052,0.9518989924101527,133,0.3435897435897436,0.9218907091063938,268
NL,GI,2012,0.1064102564102564,0.9433428134067181,83,0.1782051282051282,0.929522387464875,139,0.35384615384615387,0.896788791057205,276
NL,GI,2013,0.1076923076923077,0.9183290975406141,84,0.18076923076923077,0.896583236608755,141,0.34615384615384615,0.8523854115342395,270
NL,GI,2014,0.1141025641025641,0.8565196336708749,89,0.18461538461538463,0.824064730846787,144,0.3576923076923077,0.7695860762355057,279
NL,GI,2015,0.11282051282051282,0.8804977011286607,88,0.18205128205128204,0.8522965065622585,142,0.35,0.7948649619211661,273
NL,GI,2016,0.11538461538461539,0.8479210097765649,90,0.18846153846153846,0.8154692620347512,147,0.35128205128205126,0.7631266572584214,274
NL,GI,2017,0.10384615384615385,0.8461510727683503,81,0.1717948717948718,0.7968030441007966,134,0.3435897435897436,0.6990287896403742,268
NL,GI,2018,0.1,0.8405972904577927,78,0.16923076923076924,0.7811850972539685,132,0.3384615384615385,0.6779093005309262,264
NL,GI,2019,0.10512820512820513,0.8384940552815533,82,0.16666666666666666,0.7853967389742456,130,0.32564102564102565,0.6823252309822022,254
