country,sector,eval_year,density_with_2020,density_without_2020,mean_weight_with_2020,mean_weight_without_2020,mean_abs_weight_with_2020,mean_abs_weight_without_2020,density_delta,mean_weight_delta,mean_abs_weight_delta
FR,OQ,2021,0.02232462877624168,0.021505376344086023,0.9375538592726967,0.9763306522843493,0.9375538592726967,0.9763306522843493,-0.000819252432155658,0.0387767930116526,0.0387767930116526
FR,OQ,2022,0.022657450076804916,0.022299027137736814,0.944159822049848,0.9763028011161033,0.944159822049848,0.9763028011161033,-0.00035842293906810166,0.032142979066255295,0.032142979066255295
FR,OQ,2023,0.02304147465437788,0.02227342549923195,0.944389443029744,0.9767531604645596,0.944389443029744,0.9767531604645596,-0.0007680491551459306,0.032363717434815586,0.032363717434815586
FR,OQ,2024,0.023502304147465437,0.02232462877624168,0.946458064694402,0.9779436194226407,0.946458064694402,0.9779436194226407,-0.0011776753712237562,0.031485554728238774,0.031485554728238774
FR,OQ,2025,0.023425499231950846,0.022171018945212492,0.9438404314042484,0.9749079364636583,0.9438404314042484,0.9749079364636583,-0.001254480286738354,0.031067505059409806,0.031067505059409806
FR,OQ,2026,0.023195084485407066,0.023195084485407066,0.9444248134573241,0.9444248134573241,0.9444248134573241,0.9444248134573241,0.0,0.0,0.0
FR,RU,2017,0.022017409114183307,0.022017409114183307,0.9757643949977425,0.9757643949977425,0.9757643949977425,0.9757643949977425,0.0,0.0,0.0
FR,RU,2018,0.02237583205325141,0.02237583205325141,0.9419077954639808,0.9419077954639808,0.9419077954639808,0.9419077954639808,0.0,0.0,0.0
FR,RU,2019,0.022836661546338965,0.022836661546338965,0.9447697079454277,0.9447697079454277,0.9447697079454277,0.9447697079454277,0.0,0.0,0.0
FR,RU,2020,0.02304147465437788,0.02304147465437788,0.9598819920581146,0.9598819920581146,0.9598819920581146,0.9598819920581146,0.0,0.0,0.0
FR,RU,2021,0.023169482846902203,0.021940604198668716,0.9577819134369773,0.9790474904072662,0.9577819134369773,0.9790474904072662,-0.001228878648233487,0.02126557697028897,0.02126557697028897
FR,RU,2022,0.02339989759344598,0.022427035330261136,0.9565498111403008,0.9772429159276973,0.9565498111403008,0.9772429159276973,-0.0009728622631848434,0.0206931047873965,0.0206931047873965
FR,RU,2023,0.023732718894009217,0.02204301075268817,0.9532732975703867,0.9757971383452178,0.9532732975703867,0.9757971383452178,-0.0016897081413210467,0.02252384077483105,0.02252384077483105
FR,RU,2024,0.023809523809523808,0.022222222222222223,0.957302590364278,0.9793147789336938,0.957302590364278,0.9793147789336938,-0.0015873015873015851,0.02201218856941578,0.02201218856941578
FR,RU,2025,0.02375832053251408,0.02260624679979519,0.9613089034019243,0.9815920644229597,0.9613089034019243,0.9815920644229597,-0.0011520737327188925,0.020283161021035334,0.020283161021035334
FR,RU,2026,0.023911930363543266,0.023911930363543266,0.9633983461153458,0.9633983461153458,0.9633983461153458,0.9633983461153458,0.0,0.0,0.0
NL,BE,2012,0.17307692307692307,0.17307692307692307,0.8876480090601472,0.8876480090601472,0.8876480090601472,0.8876480090601472,0.0,0.0,0.0
NL,BE,2013,0.17564102564102563,0.17564102564102563,0.8384395058026319,0.8384395058026319,0.8384395058026319,0.8384395058026319,0.0,0.0,0.0
NL,BE,2014,0.1717948717948718,0.1717948717948718,0.8134203800020096,0.8134203800020096,0.8134203800020096,0.8134203800020096,0.0,0.0,0.0
NL,BE,2015,0.16025641025641027,0.16025641025641027,0.7867666466133503,0.7867666466133503,0.7867666466133503,0.7867666466133503,0.0,0.0,0.0
NL,BE,2016,0.16153846153846155,0.16153846153846155,0.7913769439048409,0.7913769439048409,0.7913769439048409,0.7913769439048409,0.0,0.0,0.0
NL,BE,2017,0.15256410256410258,0.15256410256410258,0.763910628012061,0.763910628012061,0.763910628012061,0.763910628012061,0.0,0.0,0.0
NL,BE,2018,0.16025641025641027,0.16025641025641027,0.7412019841692485,0.7412019841692485,0.7412019841692485,0.7412019841692485,0.0,0.0,0.0
NL,BE,2019,0.15384615384615385,0.15384615384615385,0.773892009023934,0.773892009023934,0.773892009023934,0.773892009023934,0.0,0.0,0.0
NL,BE,2020,0.15,0.15,0.7762522410803371,0.7762522410803371,0.7762522410803371,0.7762522410803371,0.0,0.0,0.0
NL,BE,2021,0.16282051282051282,0.16025641025641027,0.7666695796482695,0.8465621449172863,0.7666695796482695,0.8465621449172863,-0.002564102564102555,0.07989256526901678,0.07989256526901678
