period,n_years,density_mean,density_min,density_max,mean_weight_mean,mean_weight_min,mean_weight_max,median_weight_mean,median_weight_min,median_weight_max,std_weight_mean,std_weight_min,std_weight_max,mean_abs_weight_mean,mean_abs_weight_min,mean_abs_weight_max,frac_positive_mean,frac_positive_min,frac_positive_max,frac_negative_mean,frac_negative_min,frac_negative_max,frac_near_zero_mean,frac_near_zero_min,frac_near_zero_max,n_edges_valid_mean,n_edges_valid_min,n_edges_valid_max,country,sector,top_k
2020,1,0.023169482846902203,0.023169482846902203,0.023169482846902203,0.9577819134369773,0.9577819134369773,0.9577819134369773,0.9732305810228855,0.9732305810228855,0.9732305810228855,0.04685385753203804,0.04685385753203804,0.04685385753203804,0.9577819134369773,0.9577819134369773,0.9577819134369773,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,905.0,905.0,FR,RU,5
post-2020,5,0.02372247823860727,0.02339989759344598,0.023911930363543266,0.958366589718447,0.9532732975703867,0.9633983461153458,0.9815079865367353,0.9767919988988447,0.9844191648003133,0.06402437716535354,0.05365843270040178,0.07937974929280314,0.958366589718447,0.9532732975703867,0.9633983461153458,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,926.6,914.0,934.0,FR,RU,5
pre-2020,9,0.1621082621082621,0.15,0.17564102564102563,0.7969898164076178,0.7412019841692485,0.8876480090601472,0.8235065940671087,0.7740965161672969,0.9292507637944802,0.13431118795353134,0.11094139958837856,0.18759052075977542,0.7969898164076178,0.7412019841692485,0.8876480090601472,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,126.44444444444444,117.0,137.0,NL,BE,5
2020,1,0.16282051282051282,0.16282051282051282,0.16282051282051282,0.7666695796482695,0.7666695796482695,0.7666695796482695,0.8136017468289827,0.8136017468289827,0.8136017468289827,0.15339490333394404,0.15339490333394404,0.15339490333394404,0.7666695796482695,0.7666695796482695,0.7666695796482695,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,127.0,127.0,NL,BE,5
post-2020,5,0.17615384615384616,0.17051282051282052,0.1794871794871795,0.830228763993542,0.7866407234150566,0.868611440325335,0.8927078658091595,0.8551451861853789,0.9141090780119594,0.17316568409665847,0.13035800450981108,0.2101690913508488,0.830228763993542,0.7866407234150566,0.868611440325335,1.0,1.0,1.0,0.0,0.0,0.0,0.004411764705882353,0.0,0.022058823529411766,137.4,133.0,140.0,NL,BE,5
pre-2020,9,0.17222222222222222,0.1576923076923077,0.18461538461538463,0.8699280474727895,0.8113237461663859,0.9315147084072379,0.9127810971393819,0.841090341826494,0.9784113329159313,0.12537394034689545,0.1029356812806138,0.1656535828239671,0.8699280474727895,0.8113237461663859,0.9315147084072379,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,134.33333333333334,123.0,144.0,NL,FZ,5
2020,1,0.17692307692307693,0.17692307692307693,0.17692307692307693,0.8679591313231922,0.8679591313231922,0.8679591313231922,0.926522543880371,0.926522543880371,0.926522543880371,0.14337779902040526,0.14337779902040526,0.14337779902040526,0.8679591313231922,0.8679591313231922,0.8679591313231922,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,138.0,138.0,NL,FZ,5
post-2020,5,0.1764102564102564,0.17051282051282052,0.1858974358974359,0.8691032003315161,0.8012654237380799,0.9518989924101527,0.9192619655289128,0.8925573317328361,0.9676863376428261,0.12988049688926623,0.04105463153134686,0.20112636244822485,0.8691032003315161,0.8012654237380799,0.9518989924101527,1.0,1.0,1.0,0.0,0.0,0.0,0.0015037593984962405,0.0,0.007518796992481203,137.6,133.0,145.0,NL,FZ,5
pre-2020,9,0.17792022792022794,0.16666666666666666,0.18846153846153846,0.8452740579272291,0.7811850972539685,0.929522387464875,0.896615563754,0.8324806501576851,0.9761509283692952,0.14838227109322502,0.07053811840470406,0.2077637890615674,0.8452740579272291,0.7811850972539685,0.929522387464875,1.0,1.0,1.0,0.0,0.0,0.0,0.0015274628369866465,0.0,0.006944444444444444,138.77777777777777,130.0,147.0,NL,GI,5
2020,1,0.17051282051282052,0.17051282051282052,0.17051282051282052,0.9363333726364483,0.9363333726364483,0.9363333726364483,0.9487892818775735,0.9487892818775735,0.9487892818775735,0.04773602505537054,0.04773602505537054,0.04773602505537054,0.9363333726364483,0.9363333726364483,0.9363333726364483,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,133.0,133.0,NL,GI,5
