codgeo,ze2020,year,bpe_evolution_presence_type_count,source_geography_year,measure_definition
01069,8405,2019,19,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01069,8405,2024,19,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01071,8416,2019,38,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01071,8416,2024,36,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01072,8405,2019,53,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01072,8405,2024,55,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01073,8404,2019,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01073,8404,2024,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01074,8405,2019,47,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01074,8405,2024,45,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01075,8434,2019,19,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01075,8434,2024,23,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01076,8404,2019,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01076,8404,2024,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01077,8405,2019,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01077,8405,2024,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01078,8416,2019,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01078,8416,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01079,8404,2019,26,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01079,8404,2024,25,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01080,8404,2019,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01080,8404,2024,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01081,8416,2019,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01081,8416,2024,19,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01082,8416,2019,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01082,8416,2024,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01083,8434,2019,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01083,8434,2024,21,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01084,8405,2019,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01084,8405,2024,16,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01085,8405,2019,8,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01085,8405,2024,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01087,8425,2019,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01087,8425,2024,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01088,8405,2019,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01088,8405,2024,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01089,8405,2019,33,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01089,8405,2024,33,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01090,8405,2019,10,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01090,8405,2024,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01092,8405,2019,21,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01092,8405,2024,25,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01093,8405,2019,73,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01093,8405,2024,76,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01094,0059,2019,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01094,0059,2024,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01095,8405,2019,20,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01095,8405,2024,24,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01096,8405,2019,17,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01096,8405,2024,21,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01098,8404,2019,20,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01098,8404,2024,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01099,8405,2019,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01099,8405,2024,23,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01100,8404,2019,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01100,8404,2024,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01101,8425,2019,1,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01101,8425,2024,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01102,0059,2019,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01102,0059,2024,13,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01103,8416,2019,14,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01103,8416,2024,20,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01104,8416,2019,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01104,8416,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01105,8434,2019,29,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01105,8434,2024,29,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01106,8405,2019,6,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01106,8405,2024,5,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01107,8405,2019,2,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01107,8405,2024,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01108,8405,2019,33,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01108,8405,2024,34,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01109,8416,2019,33,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01109,8416,2024,34,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01110,8404,2019,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01110,8404,2024,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01111,8405,2019,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01111,8405,2024,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01112,8425,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01112,8425,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01113,8405,2019,17,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01113,8405,2024,18,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01114,8416,2019,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01114,8416,2024,9,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01115,8405,2019,22,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01115,8405,2024,23,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01116,8404,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01116,8404,2024,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01117,8404,2019,8,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01117,8404,2024,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01118,8416,2019,19,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01118,8416,2024,21,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01121,8404,2019,3,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01121,8404,2024,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01123,0059,2019,20,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01123,0059,2024,23,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01124,8405,2019,14,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01124,8405,2024,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01125,8405,2019,11,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01125,8405,2024,12,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01127,8405,2019,14,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01127,8405,2024,15,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01128,8405,2019,4,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01128,8405,2024,2,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01129,8405,2019,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01129,8405,2024,7,2025,count of facility types present in commune; OBS_VALUE=1 rows only
01130,8405,2019,23,2025,count of facility types present in commune; OBS_VALUE=1 rows only
