year,ZE2020,regime_signal_jan_dec,regime_signal_jan_jun,regime_signal_jan_mar,regime_signal_jan_sep,regime_signal_lag_1
2018,2402,0.10839349918795034,0.13139333361136032,0.10866138213876525,0.12245245809932395,
2018,2403,0.11551850884051751,0.1384683447681287,0.1153911409188089,0.12997209755869954,
2018,2404,0.11576339709532613,0.13863708200543795,0.1140681778747374,0.1301757631632849,
2018,2405,0.11144697809188325,0.1349071836436387,0.11209545230207346,0.12577616857175122,
2018,2406,0.10597188996942115,0.1282470635187763,0.10671114757305618,0.11919503724731503,
2018,2407,0.10822154476781003,0.12995922719489966,0.10593581942990954,0.12148543212928031,
2018,2408,0.10803100024251774,0.1305466265135387,0.10737363367471214,0.12168271304483906,
2018,2409,0.11310320768829933,0.13476486872760882,0.10924915631213356,0.12715379374830282,
2018,2410,0.11819556851230294,0.1408692507392428,0.11811218199666604,0.13259082516089626,
2018,2411,0.11412900488391997,0.13732319651820743,0.11308328504067455,0.12852680323902188,
2018,2412,0.10858658473939839,0.13058367175524596,0.10681164308348388,0.12208905339329118,
2018,2413,0.11104851661678929,0.13340089272223318,0.11122106108262353,0.12490964436194167,
2018,2414,0.10469178502446065,0.12794501596867705,0.10503188366458956,0.11844894049530105,
2018,2415,0.11689018490477601,0.1384088082295667,0.11263193972395093,0.1306686051277344,
2018,2701,0.10526262546232747,0.12877096527282883,0.1070301627076774,0.1192429082801387,
2018,2702,0.10789980497936968,0.13103056334911467,0.10841897039891181,0.12187422896030618,
2018,2703,0.10426722888923215,0.1259587387894961,0.10193263725409911,0.1170724766539011,
2018,2704,0.1056198922419607,0.12671872768290324,0.10294628773561373,0.11892570056003592,
2018,2705,0.10656579577225583,0.12996874896761523,0.10776428169430526,0.12054143618677088,
2018,2706,0.11089090954794521,0.13478136679818012,0.11270834067631949,0.1252681065663523,
2018,2707,0.11269094424847419,0.135034518632552,0.11108252752171287,0.12686204090324005,
2018,2708,0.1054087337389433,0.12837924870454004,0.10535518621208015,0.11934467128505383,
2018,2709,0.10522963421204917,0.12888831243673604,0.10574622074168163,0.11886066098621786,
2018,2710,0.10754267738690933,0.13083199604000223,0.10715283732662224,0.12208442172587657,
