codgeo,ze2020,active_15_64_2021_total,employed_15_64_2021_total,unemployed_15_64_2021_total,unemployment_rate_est_2021,jobs_lt_2021_total
01343,0059,915.283891,859.793595,55.490295,0.060626,942.710977
01344,8405,2680.61854,2461.5512,219.06734,0.081723,1404.110159
01345,8405,1062.688288,983.807992,78.880296,0.074227,200.754516
01346,8405,420.970136,398.947736,22.022399,0.052313,85.356596
01347,8434,1060.985125,991.963682,69.021443,0.065054,192.14825
01348,8434,1439.341867,1321.024823,118.317044,0.082202,990.82705
01349,8421,235.053259,221.000349,14.05291,0.059786,38.134027
01350,8405,1216.96069,1122.806693,94.153997,0.077368,609.725562
01351,8434,785.911513,746.007496,39.904017,0.050774,151.270759
01352,0059,289.444821,268.082425,21.362396,0.073805,58.370195
01353,8434,920.18329,863.518991,56.664299,0.061579,195.952306
01354,8416,7929.260351,7121.312111,807.94824,0.101895,3569.614825
01355,0059,243.075309,228.190578,14.88473,0.061235,64.230165
01356,8405,99.976077,90.454545,9.521531,0.095238,13.578482
01357,8416,261.398539,232.210802,29.187736,0.11166,50.196842
01358,8404,167.665434,159.745931,7.919503,0.047234,40.098939
01359,8405,133.409026,124.57345,8.835576,0.066229,29.708742
01360,8416,1072.5623,1011.881402,60.680897,0.056576,291.761016
01361,8421,929.659884,884.430875,45.229009,0.048651,134.315699
01362,8434,407.398885,384.956277,22.442608,0.055088,99.427849
01363,8405,919.284041,832.71816,86.565881,0.094167,430.656105
01364,8405,357.228462,320.554743,36.673719,0.102662,129.754632
01365,0059,551.525269,511.946925,39.578343,0.071762,175.56466
01366,8405,599.750534,558.892011,40.858523,0.068126,549.642624
01367,8405,335.47833,301.137071,34.341259,0.102365,164.964059
01368,8405,415.258621,395.586728,19.671892,0.047373,80.475711
01369,8405,416.596031,391.187975,25.408055,0.06099,622.494566
01370,0059,907.002754,786.987462,120.015292,0.132321,418.046942
01371,8421,694.367265,647.260027,47.107238,0.067842,67.89881
01372,8404,211.26723,191.968327,19.298903,0.091348,77.608573
01373,8425,531.280652,488.523408,42.757244,0.08048,366.362455
01374,8405,947.671629,884.880626,62.791003,0.066258,335.315583
01375,8405,376.860048,357.036561,19.823487,0.052602,76.128957
01376,8421,1997.665893,1821.13328,176.532613,0.088369,1957.013521
01378,8421,1409.019165,1337.415514,71.603651,0.050818,293.360334
01379,8405,387.83883,361.09906,26.73977,0.068946,91.485327
01380,8405,258.067087,236.871437,21.19565,0.082132,128.739156
01381,8405,477.621532,458.196088,19.425444,0.040671,107.029165
01382,8434,167.934361,157.698948,10.235413,0.060949,40.20481
01383,8405,754.850938,686.275712,68.575226,0.090846,372.24217
01384,8405,967.997743,820.375156,147.622588,0.152503,608.161333
01385,8405,458.506824,440.4763,18.030524,0.039324,286.093124
01386,8405,550.474312,509.119563,41.354748,0.075126,298.299657
01387,8405,133.046875,127.96875,5.078125,0.038168,12.1875
01388,8405,459.424916,419.944692,39.480225,0.085934,543.305316
01389,8434,933.396628,870.211534,63.185094,0.067694,508.660824
01390,8405,665.326238,617.386914,47.939325,0.072054,8933.56786
01391,8405,126.521402,121.106361,5.415041,0.042799,61.460495
01392,8425,361.60165,339.006199,22.595451,0.062487,31.923965
01393,8405,300.38618,282.92101,17.46517,0.058142,65.210647
01396,8405,502.956891,430.720775,72.236116,0.143623,272.988859
01397,8416,505.325117,448.491232,56.833885,0.11247,66.675668
01398,8434,760.179088,726.480302,33.698786,0.04433,313.501487
01399,8416,1319.959685,1203.359356,116.600329,0.088336,528.107406
01400,8405,60.320896,56.231343,4.089552,0.067797,18.083657
01401,8416,1097.036914,1003.566905,93.470009,0.085202,100.842401
01402,0059,306.858992,280.194358,26.664633,0.086895,52.316397
01403,8405,628.768975,561.378039,67.390935,0.107179,192.760378
01404,8405,61.540741,52.607407,8.933333,0.145161,4.845738
01405,8405,668.879686,603.975839,64.903847,0.097034,593.402951
01406,8405,80.45977,70.402299,10.057471,0.125,15.076442
01407,8416,512.185491,461.310739,50.874752,0.099329,170.805624
01408,8405,327.983868,284.358171,43.625697,0.133012,203.922835
01410,8425,164.099489,149.062515,15.036973,0.091633,23.35138
01411,8405,145.362053,139.187139,6.174914,0.04248,21.694859
01412,8405,316.731783,298.372249,18.359534,0.057966,93.167419
01415,8404,192.054319,177.309438,14.744881,0.076775,108.991782
01416,8405,426.244333,344.199963,82.04437,0.192482,225.037322
01418,8421,605.881337,582.051672,23.829665,0.039331,245.203433
01419,8416,3346.515304,3051.432194,295.08311,0.088176,1683.046285
01420,8434,727.952603,636.362422,91.590181,0.125819,718.525659
01421,8405,355.229389,328.662067,26.567322,0.074789,228.531293
01422,8405,673.676486,631.183272,42.493215,0.063077,564.254136
01423,8434,636.297875,611.547625,24.75025,0.038897,87.584463
01424,8421,966.164555,922.708905,43.45565,0.044977,253.799328
01425,8405,145.012955,137.123071,7.889885,0.054408,45.832633
01426,8405,1258.480915,1166.592076,91.888839,0.073016,796.968148
01427,8434,3442.659528,3084.759953,357.899575,0.10396,3955.214776
01428,8434,64.460317,63.420635,1.039683,0.016129,8.31746
01429,8405,360.192846,333.9451,26.247746,0.072871,37.925286
01430,8405,338.171652,314.581814,23.589838,0.069757,67.939935
01431,8405,608.854626,562.886698,45.967928,0.075499,255.223022
01432,8405,164.291438,144.688997,19.602441,0.119315,22.116279
01433,8405,164.193399,147.306058,16.887341,0.10285,89.76361
01434,8405,263.372796,251.797802,11.574993,0.043949,64.772002
01435,8416,1113.528198,1000.217698,113.310499,0.101758,164.750169
01436,8416,265.220054,254.404481,10.815573,0.04078,28.932989
01437,8405,98.206278,87.403587,10.802691,0.11,14.885226
01439,0059,54.104167,49.0,5.104167,0.09434,19.942062
01441,8425,354.588873,331.217658,23.371215,0.065911,227.659195
01443,8405,2399.171806,2195.260885,203.910921,0.084992,1858.567279
01444,8405,589.68602,530.664673,59.021347,0.100089,111.13395
