codgeo,ze2020,filosofi_measure,obs_value
29196,5302,S_HH_TAX,51
29003,5313,S_HH_TAX,47
29024,5303,S_DIR_TAX_DI,-12.6
29075,5302,S_DIR_TAX_DI,-17
29209,5302,S_DIR_TAX_DI,-14.3
29031,5314,S_DIR_TAX_DI,-16.2
12089,7611,S_HH_TAX,37
13077,9313,S_HH_TAX,42
13096,0052,S_DIR_TAX_DI,-16.4
13040,9301,S_HH_TAX,66
13091,9301,S_DIR_TAX_DI,-19.2
13103,9313,S_HH_TAX,52
11429,7608,S_DIR_TAX_DI,-16.1
11116,7617,S_DIR_TAX_DI,-13.1
13005,9312,S_HH_TAX,51
12033,7621,S_DIR_TAX_DI,-15.1
13088,9312,S_HH_TAX,62
11203,7617,S_HH_TAX,38
11258,7617,S_HH_TAX,51
13073,9312,S_DIR_TAX_DI,-17.5
13109,9301,S_DIR_TAX_DI,-27.6
12176,7621,S_HH_TAX,50
11188,7617,S_DIR_TAX_DI,-14.6
12102,7621,S_DIR_TAX_DI,-14.9
13066,0053,S_HH_TAX,53
12133,7621,S_HH_TAX,56
13025,9301,S_DIR_TAX_DI,-22.2
13032,9301,S_DIR_TAX_DI,-23.3
11106,7617,S_HH_TAX,43
13094,0052,S_DIR_TAX_DI,-19
12090,7621,S_DIR_TAX_DI,-15.1
13030,9312,S_DIR_TAX_DI,-16.9
13019,9301,S_DIR_TAX_DI,-23.8
11269,7617,S_HH_TAX,40
12052,7611,S_HH_TAX,42
13044,9313,S_HH_TAX,64
13032,9301,S_HH_TAX,71
11266,7617,S_HH_TAX,39
13081,9312,S_HH_TAX,59
13027,0053,S_HH_TAX,47
11170,7617,S_HH_TAX,45
13106,9312,S_DIR_TAX_DI,-14.9
13021,9312,S_DIR_TAX_DI,-24.8
13087,9301,S_DIR_TAX_DI,-18.2
12033,7621,S_HH_TAX,51
13115,9313,S_HH_TAX,60
13072,9301,S_DIR_TAX_DI,-21.2
13015,9301,S_HH_TAX,70
13045,0053,S_DIR_TAX_DI,-17.6
12145,7614,S_HH_TAX,44
11369,7617,S_DIR_TAX_DI,-13.3
13107,9301,S_DIR_TAX_DI,-20.3
13049,9313,S_DIR_TAX_DI,-17.9
13091,9301,S_HH_TAX,67
13051,9313,S_DIR_TAX_DI,-17.3
13105,9313,S_HH_TAX,48
12146,7621,S_HH_TAX,60
12089,7611,S_DIR_TAX_DI,-10.9
11360,7617,S_HH_TAX,46
13102,9312,S_HH_TAX,53
13035,9313,S_DIR_TAX_DI,-18.1
13108,0052,S_DIR_TAX_DI,-12.9
13036,0053,S_DIR_TAX_DI,-17.4
12013,7611,S_HH_TAX,39
13048,9301,S_DIR_TAX_DI,-16.3
13047,9313,S_DIR_TAX_DI,-15.1
13037,9301,S_DIR_TAX_DI,-17.2
13052,0052,S_DIR_TAX_DI,-17.6
13020,9312,S_HH_TAX,64
13104,9313,S_DIR_TAX_DI,-19.7
13080,9301,S_HH_TAX,60
11203,7617,S_DIR_TAX_DI,-12.2
13024,9313,S_DIR_TAX_DI,-14.5
13075,9312,S_DIR_TAX_DI,-17.3
11206,7608,S_DIR_TAX_DI,-12.7
13052,0052,S_HH_TAX,55
13114,9301,S_HH_TAX,76
13098,9313,S_DIR_TAX_DI,-17.8
13046,9301,S_HH_TAX,61
13107,9301,S_HH_TAX,69
11076,7608,S_HH_TAX,39
11099,7608,S_DIR_TAX_DI,-13.3
13016,9312,S_HH_TAX,64
12202,7621,S_DIR_TAX_DI,-16.4
11106,7617,S_DIR_TAX_DI,-12.5
13118,9301,S_DIR_TAX_DI,-19
11379,7617,S_DIR_TAX_DI,-12.8
11429,7608,S_HH_TAX,55
11441,7617,S_HH_TAX,56
13055,9312,S_DIR_TAX_DI,-17.4
11304,7608,S_DIR_TAX_DI,-11.6
13109,9301,S_HH_TAX,73
11397,7608,S_HH_TAX,39
13092,9313,S_DIR_TAX_DI,-16.4
11202,7620,S_DIR_TAX_DI,-14.4
13066,0053,S_DIR_TAX_DI,-16.1
13072,9301,S_HH_TAX,69
13119,9312,S_DIR_TAX_DI,-18.1
13051,9313,S_HH_TAX,64
12174,7621,S_HH_TAX,60
13110,9301,S_HH_TAX,57
11379,7617,S_HH_TAX,43
12254,7621,S_DIR_TAX_DI,-16.3
11397,7608,S_DIR_TAX_DI,-11.7
13075,9312,S_HH_TAX,63
13033,9312,S_HH_TAX,70
13004,0052,S_DIR_TAX_DI,-14.6
12096,7621,S_DIR_TAX_DI,-14.2
13059,9301,S_HH_TAX,59
13089,9306,S_HH_TAX,48
11266,7617,S_DIR_TAX_DI,-11.9
13027,0053,S_DIR_TAX_DI,-15.3
13024,9313,S_HH_TAX,53
13062,9301,S_DIR_TAX_DI,-18.7
13096,0052,S_HH_TAX,45
13026,9313,S_HH_TAX,55
14047,2804,S_HH_TAX,45
13019,9301,S_HH_TAX,73
13033,9312,S_DIR_TAX_DI,-21.1
13022,9312,S_DIR_TAX_DI,-25.7
13046,9301,S_DIR_TAX_DI,-17.8
13064,9306,S_DIR_TAX_DI,-16.6
13073,9312,S_HH_TAX,65
12174,7621,S_DIR_TAX_DI,-15.6
13030,9312,S_HH_TAX,58
12300,7611,S_DIR_TAX_DI,-13.8
13025,9301,S_HH_TAX,76
13045,0053,S_HH_TAX,52
13088,9312,S_DIR_TAX_DI,-17.5
11262,7617,S_HH_TAX,41
13113,9301,S_HH_TAX,70
13018,0053,S_DIR_TAX_DI,-14.7
12100,7611,S_DIR_TAX_DI,-12.6
13068,0052,S_HH_TAX,66
13054,9312,S_DIR_TAX_DI,-14.6
13082,9301,S_DIR_TAX_DI,-22.3
13031,9312,S_DIR_TAX_DI,-16.6
13014,9313,S_HH_TAX,43
13063,9313,S_DIR_TAX_DI,-12.6
13021,9312,S_HH_TAX,73
13102,9312,S_DIR_TAX_DI,-14.5
12100,7611,S_HH_TAX,46
13112,9301,S_DIR_TAX_DI,-18.9
13085,9312,S_HH_TAX,63
13084,9301,S_HH_TAX,49
13035,9313,S_HH_TAX,59
12120,7621,S_HH_TAX,44
13039,9313,S_HH_TAX,57
13044,9313,S_DIR_TAX_DI,-18.6
11188,7617,S_HH_TAX,47
11360,7617,S_DIR_TAX_DI,-13.3
11206,7608,S_HH_TAX,39
12145,7614,S_DIR_TAX_DI,-14
12264,7621,S_HH_TAX,61
13001,9301,S_DIR_TAX_DI,-21
13101,9301,S_DIR_TAX_DI,-18
13037,9301,S_HH_TAX,64
13078,9313,S_DIR_TAX_DI,-13.9
13048,9301,S_HH_TAX,58
13078,9313,S_HH_TAX,45
12176,7621,S_DIR_TAX_DI,-15.6
13114,9301,S_DIR_TAX_DI,-24
13042,9312,S_DIR_TAX_DI,-21.3
13056,9313,S_DIR_TAX_DI,-15.5
13050,9301,S_HH_TAX,61
13074,9301,S_HH_TAX,56
12208,7614,S_DIR_TAX_DI,-13.3
12254,7621,S_HH_TAX,63
13058,0052,S_DIR_TAX_DI,-21.1
12146,7621,S_DIR_TAX_DI,-15.3
13077,9313,S_DIR_TAX_DI,-12.8
13089,9306,S_DIR_TAX_DI,-15.7
13028,9312,S_HH_TAX,54
11279,7608,S_HH_TAX,48
13060,9301,S_HH_TAX,65
13005,9312,S_DIR_TAX_DI,-16.6
13113,9301,S_DIR_TAX_DI,-20.5
13087,9301,S_HH_TAX,61
13083,0053,S_DIR_TAX_DI,-16.6
13069,9313,S_HH_TAX,65
13083,0053,S_HH_TAX,55
13076,9306,S_DIR_TAX_DI,-15.5
13063,9313,S_HH_TAX,45
13020,9312,S_DIR_TAX_DI,-16.2
13097,0052,S_DIR_TAX_DI,-14.7
12300,7611,S_HH_TAX,43
