ZE2020,year,stock
2812,2021,1555.0
2812,2022,3043.0
2812,2023,3002.0
2813,2017,8582.0
2813,2018,8468.0
2813,2019,8699.0
2813,2020,8753.0
2813,2021,8977.0
2813,2022,19808.0
2813,2023,20137.0
2814,2017,2662.0
2814,2018,2716.0
2814,2019,2748.0
2814,2020,2744.0
2814,2021,2811.0
2814,2022,6025.0
2814,2023,6195.0
2815,2017,19296.0
2815,2018,19359.0
2815,2019,20089.0
2815,2020,20222.0
2815,2021,20708.0
2815,2022,49470.0
2815,2023,50812.0
2816,2017,3387.0
2816,2018,3492.0
2816,2019,3568.0
2816,2020,3608.0
2816,2021,3721.0
2816,2022,7073.0
2816,2023,7110.0
2817,2017,3456.0
2817,2018,3504.0
2817,2019,3573.0
2817,2020,3603.0
2817,2021,3722.0
2817,2022,8917.0
2817,2023,9244.0
2818,2017,1237.0
2818,2018,1266.0
2818,2019,1292.0
2818,2020,1278.0
2818,2021,1300.0
2818,2022,2698.0
2818,2023,2642.0
2819,2017,2935.0
2819,2018,2921.0
2819,2019,3032.0
2819,2020,3010.0
2819,2021,3093.0
2819,2022,6343.0
2819,2023,6515.0
3201,2017,3023.0
3201,2018,3029.0
3201,2019,3057.0
3201,2020,3002.0
3201,2021,3081.0
3201,2022,6545.0
3201,2023,6450.0
3202,2017,10375.0
3202,2018,10342.0
3202,2019,10583.0
3202,2020,10616.0
3202,2021,10854.0
3202,2022,23884.0
3202,2023,24471.0
3203,2017,5567.0
3203,2018,5528.0
3203,2019,5691.0
3203,2020,5695.0
3203,2021,5899.0
3203,2022,12030.0
3203,2023,12179.0
3204,2017,4498.0
3204,2018,4451.0
3204,2019,4572.0
3204,2020,4548.0
3204,2021,4681.0
3204,2022,9319.0
3204,2023,9610.0
3205,2017,5528.0
3205,2018,5558.0
3205,2019,5729.0
3205,2020,5748.0
3205,2021,5920.0
3205,2022,13960.0
3205,2023,14302.0
3206,2017,4667.0
3206,2018,4638.0
3206,2019,4809.0
3206,2020,4821.0
3206,2021,4957.0
3206,2022,10501.0
3206,2023,10628.0
3207,2017,3416.0
3207,2018,3363.0
3207,2019,3445.0
3207,2020,3466.0
3207,2021,3536.0
3207,2022,7985.0
3207,2023,8035.0
3208,2017,4107.0
3208,2018,4093.0
3208,2019,4206.0
3208,2020,4219.0
3208,2021,4313.0
3208,2022,8975.0
3208,2023,9086.0
3209,2017,2100.0
3209,2018,2078.0
3209,2019,2173.0
3209,2020,2117.0
3209,2021,2156.0
3209,2022,4342.0
3209,2023,4346.0
3210,2017,5491.0
3210,2018,5501.0
3210,2019,5640.0
3210,2020,5694.0
3210,2021,5866.0
3210,2022,13233.0
3210,2023,13504.0
3211,2017,7057.0
3211,2018,7039.0
3211,2019,7289.0
3211,2020,7350.0
3211,2021,7598.0
3211,2022,19462.0
3211,2023,19902.0
3212,2017,4800.0
3212,2018,4758.0
3212,2019,4868.0
3212,2020,4879.0
3212,2021,5006.0
3212,2022,12011.0
3212,2023,12306.0
3213,2017,6609.0
3213,2018,6598.0
3213,2019,6756.0
3213,2020,6728.0
3213,2021,6808.0
3213,2022,14904.0
3213,2023,14926.0
3214,2017,2891.0
3214,2018,2881.0
3214,2019,2938.0
3214,2020,2921.0
3214,2021,2917.0
3214,2022,5633.0
3214,2023,5705.0
3215,2017,7272.0
3215,2018,7214.0
3215,2019,7424.0
3215,2020,7459.0
3215,2021,7693.0
3215,2022,18345.0
3215,2023,18724.0
