codgeo,ze2020,jobs_lt_2022_total
50290,2802,23.11513
33032,7505,4928.26334
28140,2403,3298.07599
28375,0057,96.96502
30020,7618,466.12042
50110,2816,310.56907
24229,7507,1053.88731
17161,7512,968.3139
2A247,9406,7030.39711
26240,8431,69.41413
74224,8416,4760.48885
60064,3210,162.3804
83108,9303,419.18304
11185,7617,288.90536
07313,8433,371.10771
78638,1114,577.49287
38379,8435,103.30325
10170,4425,272.25276
39171,2713,740.5453
69033,8421,740.24027
85097,5213,750.97052
95572,1101,19656.83038
59447,3222,7843.80825
91494,1113,2703.71738
95306,1101,8259.05798
56061,0062,3021.89899
49193,5206,1015.06531
35188,5315,3130.93896
21016,2711,152.07686
14540,2814,58.61888
29039,5313,9277.01326
78068,1114,95.96789
17197,7509,4351.73932
78269,1111,849.31954
22213,5304,901.82329
22170,5316,146.72984
25448,2706,450.63356
19068,7507,56.09261
28393,0057,580.19911
50092,2806,100.16196
65226,7624,2827.23033
31088,7625,280.1069
33445,7516,88.71346
73213,8407,4315.31561
53141,5211,119.81112
37241,2413,376.75719
68115,4411,342.27773
42299,8412,2055.84716
65295,7624,705.1332
33423,7515,609.94569
04046,9307,214.01174
03195,8423,747.64555
02555,3209,304.18254
83012,9303,912.23112
10033,4425,2865.1864
14341,2804,5728.73514
10220,4415,539.2209
05073,9310,121.19385
02201,3221,134.07424
33111,7514,356.27276
42163,8426,445.77314
33331,7514,80.36016
33436,7505,136.61701
34332,7601,1461.27471
33219,7516,427.96653
42046,8412,560.02798
35255,5317,160.56374
33120,7514,394.09415
34179,7616,235.72342
33022,7505,547.70443
49060,5220,1327.24771
38158,8409,7069.81733
94041,1109,33160.25034
22261,5307,70.48001
01424,8421,260.15638
44210,5219,3771.6304
69125,8421,370.68371
61169,2809,9788.24383
73030,8407,1769.13
21038,2711,3431.37268
29190,5302,736.47692
17483,7512,275.79874
27589,2817,93.70025
22222,5316,1113.18178
21710,2709,586.97293
26078,8422,182.6385
28070,2403,890.40022
03003,8424,549.2786
21131,2704,61.0671
01125,8405,90.36247
07261,8431,269.89632
01024,8405,949.89168
01289,8405,2690.44424
31232,7625,2683.9131
10151,4425,405.08352
80023,3202,31.82167
07337,8433,273.44739
09039,7612,113.51607
01422,8405,569.29819
13100,0052,5388.20151
38113,8409,273.71999
35312,5315,133.49529
35088,5315,711.31895
35308,5317,672.27483
38554,8421,527.39782
85034,5210,1005.07025
04058,9310,55.51967
73256,8411,31.75158
38407,8409,145.11453
31352,7625,192.62065
45164,2407,90.24693
69264,8434,20156.88825
59378,3216,23608.83725
59249,3217,4574.19553
77216,1105,236.14748
22372,5316,1208.01243
50539,2805,565.0268
78120,1111,507.71624
27478,2808,126.80558
56040,5309,436.25333
28059,0057,513.81965
31107,7625,2638.54959
14452,2804,136.66036
14060,2804,368.31283
14659,2804,168.63675
25271,2715,471.23192
21103,2711,669.36419
23030,7511,1412.66812
95101,1101,322.40809
01447,8405,400.92759
12021,7611,332.80217
17010,7512,1738.99337
93005,1112,27873.17653
13049,9313,969.91316
05098,9310,595.25201
05092,9310,119.29049
02438,3221,38.06486
01171,8425,86.75303
26037,8431,1324.02143
26071,8431,288.26709
37075,2413,122.66939
43078,8419,452.3423
35090,5315,967.5472
42200,8428,276.98496
43032,8419,1062.03503
47310,7518,4192.11547
07053,8402,84.6833
18272,0056,220.17561
42156,8426,652.84646
41047,2401,4893.75644
40244,7510,163.80391
18050,2402,1622.29679
24031,7523,80.81647
25592,2715,97.93418
60395,0054,5510.66506
25063,2714,333.00241
22094,5317,215.07993
29161,5313,857.45311
29049,5313,463.80608
23045,7511,393.55281
29158,5313,1203.6236
14333,2811,4984.54144
50502,2816,18228.19041
01376,8421,1892.05314
35106,5315,234.37921
78322,1115,3800.24848
44041,5216,3083.16153
91549,1113,10401.1155
59421,3218,3042.66932
94060,1109,2547.39086
02441,3221,25.31575
07019,8402,10428.40137
11203,7617,5526.86665
01014,8425,2189.17685
03102,8424,1686.30905
08040,4403,782.47024
06027,9315,16137.60766
17218,7512,1859.41146
12115,7614,69.82956
13010,0053,776.35539
12140,7611,262.21236
47045,7501,119.12695
41155,2401,165.83226
18057,2405,579.80438
48082,7613,20.16943
54357,4412,7521.58105
45324,2410,454.19079
43002,8419,361.46167
43211,8420,782.31655
34013,7616,507.91725
38383,8435,395.10517
24226,7516,341.42902
21373,2711,71.77751
2B311,9402,172.60106
22076,5307,326.89965
16121,7502,84.66172
27470,2815,512.41081
17008,7512,401.29745
16012,7509,208.71064
67326,4423,371.73461
29097,5310,833.35751
21452,2711,336.77678
14166,2804,259.64115
59611,3216,1125.56783
49194,5202,1064.99557
77053,1106,8716.15122
77294,1112,9787.08538
74239,8401,586.15447
59606,3222,33107.62255
49161,5221,147.24585
50082,2805,1265.88105
91691,1104,4555.9792
10234,4415,50.06309
34294,7616,134.09243
03124,8424,57.16253
05157,9302,99.06216
60360,3211,1758.82196
03237,8432,223.50439
17200,7512,4045.03741
04081,9311,84.242
09225,7612,11111.10326
11421,7617,60.57163
01105,8434,819.25246
31210,7625,225.85934
40246,7519,510.10022
48111,7613,35.32043
86210,7530,212.04402
