codgeo,ze2020,empsta_enq,obs_value
02100,3220,1T2,69.5
01009,8404,1T2,131.02055
02001,3220,1T2,217.00884
02417,3220,1T2,55.28571
01364,8405,1T2,352.61876
04049,9307,1T2,2032.65701
02041,3220,1T2,347.97129
02686,3220,1T2,152.94508
03282,8424,1T2,162.38806
02520,3221,1T2,347.17214
03135,8432,1T2,197.54683
03097,8423,1T2,133.69807
02709,3220,1T2,151.24418
01051,8425,1T2,36.47368
02590,3209,1T2,96.75
02408,3214,1T2,9801.86146
02367,3220,1T2,120
02347,3209,1T2,182.60234
03191,8423,1T2,123.00662
02493,3214,1T2,120.55814
03205,8432,1T2,225.43637
03239,8424,1T2,111
01369,8405,1T2,433.66065
03254,8432,1T2,1977.00875
02547,3214,1T2,38.76923
02198,3221,1T2,81.02128
01444,8405,1T2,605.98089
01384,8405,1T2,961.02268
02564,3221,1T2,405.41604
02270,3220,1T2,87.72414
02382,3220,1T2,614.74177
01050,0059,1T2,204.20084
02707,3214,1T2,65.94737
03011,8424,1T2,239.51663
01321,8405,1T2,463.26916
02019,3220,1T2,140.8
02738,3220,1T2,5707.7045
02364,3214,1T2,157.44
02255,3221,1T2,81.77143
01279,8405,1T2,30.85714
02206,3220,1T2,16
01290,8405,1T2,693.4767
03312,8424,1T2,135.70967
02608,3217,1T2,176.69429
01361,8421,1T2,981.80258
02379,3220,1T2,79.1317
04033,9307,1T2,378.53043
02604,3220,1T2,39
03104,8423,1T2,556.99769
02517,3214,1T2,127.1452
02429,3214,1T2,50
02524,3209,1T2,352.0438
04128,9311,1T2,123.41463
01072,8405,1T2,1504.23735
03044,8432,1T2,675.34682
02512,3209,1T2,135.59473
01146,8405,1T2,215.87144
01001,8405,1T2,451.58857
01157,8434,1T2,1222.25197
03231,8423,1T2,67.12821
02821,3214,1T2,325.90769
02013,3214,1T2,205.76627
04007,9307,1T2,29.16667
02201,3221,1T2,208.86076
02606,3209,1T2,35
04035,9311,1T2,141.24284
01082,8416,1T2,273.12904
02264,3214,1T2,313.33647
01281,8416,1T2,2711.24564
03247,8424,1T2,514.87282
02360,3214,1T2,1308.07659
02091,3221,1T2,40.44444
01433,8405,1T2,165.13293
03283,8424,1T2,443.44061
03299,8432,1T2,106.58949
01151,8405,1T2,535.76007
02197,3217,1T2,255.11853
01196,8405,1T2,671.55906
04129,9311,1T2,33.25
03126,8432,1T2,606.05277
02006,3220,1T2,100.17299
01002,8405,1T2,119.12727
02174,3214,1T2,406.96614
02776,3220,1T2,243.85456
02435,3217,1T2,31.92308
01240,8425,1T2,347.24409
