ZE2020,year,sitadel_surface_autorisee,sitadel_surface_commencee
0204,2023,35720.0,2550.0
0204,2024,6732.0,0.0
0205,2013,698.0,5364.0
0205,2014,4134.0,4148.0
0205,2015,7395.0,1153.0
0205,2016,5183.0,2005.0
0205,2017,4028.0,3921.0
0205,2018,1311.0,1667.0
0205,2019,4537.0,2988.0
0205,2020,3438.0,12775.0
0205,2021,4236.0,9165.0
0205,2022,4853.0,5948.0
0205,2023,8046.0,7468.0
0205,2024,2535.0,0.0
0206,2013,5064.0,8116.0
0206,2014,32395.0,14289.0
0206,2015,15912.0,4293.0
0206,2016,2151.0,12107.0
0206,2017,22000.0,5155.0
0206,2018,1377.0,15145.0
0206,2019,1311.0,3751.0
0206,2020,10929.0,11892.0
0206,2021,5559.0,4569.0
0206,2022,22017.0,14931.0
0206,2023,12465.0,9342.0
0206,2024,6370.0,0.0
0301,2013,57146.0,30583.0
0301,2014,44365.0,37494.0
0301,2015,46191.0,24546.0
0301,2016,24439.0,19087.0
0301,2017,18240.0,34324.0
0301,2018,16110.0,11032.0
0301,2019,43719.0,20045.0
0301,2020,22713.0,35712.0
0301,2021,29921.0,48614.0
0301,2022,34677.0,22922.0
0301,2023,23131.0,16562.0
0301,2024,61572.0,0.0
0302,2013,6257.0,888.0
0302,2014,3868.0,27143.0
0302,2015,10288.0,3778.0
0302,2016,11174.0,1703.0
0302,2017,21636.0,1572.0
0302,2018,5760.0,147.0
0302,2019,39154.0,8549.0
0302,2020,6888.0,12237.0
0302,2021,15592.0,5630.0
0302,2022,60580.0,3473.0
0302,2023,51396.0,819.0
0302,2024,14797.0,0.0
0303,2013,1546.0,2131.0
0303,2014,1965.0,768.0
0303,2015,3006.0,65.0
0303,2016,1671.0,602.0
0303,2017,703.0,11857.0
0303,2018,3604.0,145.0
0303,2019,7078.0,0.0
0303,2020,9100.0,356.0
0303,2021,8170.0,2571.0
0303,2022,3217.0,140.0
0303,2023,8234.0,2944.0
0303,2024,7405.0,0.0
0401,2013,9856.0,17260.0
0401,2014,6374.0,19534.0
0401,2015,9171.0,30095.0
0401,2016,30350.0,12784.0
0401,2017,20064.0,9007.0
0401,2018,18636.0,11464.0
0401,2019,24324.0,17532.0
0401,2020,19700.0,19012.0
0401,2021,16606.0,28119.0
0401,2022,23187.0,55474.0
0401,2023,19781.0,20145.0
0401,2024,30411.0,0.0
0402,2013,6548.0,15820.0
0402,2014,24199.0,65167.0
0402,2015,27065.0,90354.0
0402,2016,21251.0,35236.0
0402,2017,26418.0,52837.0
0402,2018,19324.0,64376.0
0402,2019,18007.0,37656.0
0402,2020,21056.0,58108.0
0402,2021,32828.0,46466.0
0402,2022,12055.0,68114.0
0402,2023,34156.0,45608.0
0402,2024,32546.0,0.0
0403,2013,4472.0,47167.0
0403,2014,4240.0,63908.0
0403,2015,3854.0,66270.0
0403,2016,21698.0,22353.0
0403,2017,25724.0,33902.0
0403,2018,27869.0,80128.0
0403,2019,18109.0,16961.0
0403,2020,9468.0,36985.0
0403,2021,9087.0,80114.0
0403,2022,36264.0,39169.0
0403,2023,12393.0,25568.0
0403,2024,62899.0,0.0
0404,2013,50328.0,64767.0
0404,2014,21385.0,71530.0
0404,2015,63960.0,107407.0
0404,2016,81285.0,71846.0
0404,2017,41754.0,113740.0
0404,2018,60974.0,62887.0
0404,2019,56064.0,104301.0
0404,2020,54078.0,92063.0
0404,2021,42646.0,141661.0
0404,2022,61208.0,92006.0
0404,2023,68845.0,79467.0
0404,2024,76570.0,0.0
0601,2013,15791.0,0.0
0601,2014,31286.0,604.0
0601,2015,43703.0,9576.0
0601,2016,15596.0,24815.0
0601,2017,44056.0,9291.0
0601,2018,15065.0,8743.0
0601,2019,43807.0,18227.0
0601,2020,40424.0,7128.0
0601,2021,42281.0,17479.0
0601,2022,49380.0,43235.0
0601,2023,67862.0,17351.0
0601,2024,47503.0,0.0
