ZE2020,weight_a17_AZ,weight_a17_C1,weight_a17_C2,weight_a17_C3,weight_a17_C4,weight_a17_C5,weight_a17_DE,weight_a17_FZ,weight_a17_GZ,weight_a17_HZ,weight_a17_IZ,weight_a17_JZ,weight_a17_KZ,weight_a17_LZ,weight_a17_MN,weight_a17_OQ,weight_a17_RU,total_establishments
0061,0.13706293706293707,0.02937062937062937,0.0,0.004662004662004662,0.0013986013986013986,0.04522144522144522,0.014918414918414918,0.11841491841491841,0.1571095571095571,0.023310023310023312,0.07272727272727272,0.011188811188811189,0.032167832167832165,0.017715617715617717,0.1006993006993007,0.15244755244755245,0.08158508158508158,2145.0
0062,0.12935522627152582,0.023628354024829795,0.0,0.002803364036844213,0.0024028834601521826,0.04164997997597117,0.005606728073688426,0.13736483780536643,0.16099319183019623,0.023227873448137766,0.07729275130156188,0.007609130957148579,0.03404084901882259,0.011613936724068883,0.11013215859030837,0.12815378454144974,0.10412494993992791,2497.0
0063,0.11618925008046346,0.0331509494689411,0.0,0.0009655616350177019,0.000643707756678468,0.035725780495654974,0.017380109430318636,0.1126488574187319,0.17862890247827487,0.029610556807209528,0.08850981654328935,0.007080785323463148,0.037335049887351146,0.012552301255230125,0.07273897650466687,0.19729642742195044,0.05954296749275829,3107.0
0064,0.14851161269218188,0.03532875368007851,0.0,0.0013084723585214263,0.00032711808963035657,0.026169447170428524,0.007196597971867844,0.10402355250245339,0.17893359502780504,0.015047432122996402,0.1324828263002944,0.009486424599280341,0.031076218514883874,0.018972849198560682,0.08635917566241413,0.12692181877657835,0.07785410533202486,3057.0
0101,0.024070021881838075,0.05032822757111598,0.0,0.0,0.0,0.019693654266958426,0.006564551422319475,0.11816192560175055,0.15098468271334792,0.05470459518599562,0.24070021881838075,0.010940919037199124,0.0087527352297593,0.0087527352297593,0.0700218818380744,0.16411378555798686,0.07221006564551423,457.0
0102,0.060589519650655024,0.05349344978165939,0.0,0.0,0.0005458515283842794,0.04039301310043668,0.009279475982532752,0.11353711790393013,0.1943231441048035,0.06932314410480349,0.10262008733624454,0.008187772925764192,0.025655021834061136,0.013100436681222707,0.11353711790393013,0.1222707423580786,0.07314410480349345,1832.0
0103,0.05026455026455026,0.05555555555555555,0.0,0.0,0.0,0.021164021164021163,0.021164021164021163,0.10582010582010581,0.21428571428571427,0.031746031746031744,0.12169312169312169,0.005291005291005291,0.026455026455026454,0.013227513227513227,0.12433862433862433,0.13756613756613756,0.07142857142857142,378.0
0104,0.010877228321079666,0.03676100312216739,0.0,0.00382717292778729,0.0009064356934233055,0.04350891328431866,0.011582233860408903,0.10444153489777419,0.2230838956591802,0.04532178467116527,0.06345049853963139,0.024171618491288144,0.04552321482525934,0.01943800987007755,0.17282707221271024,0.11713163460570047,0.077147749018028,9929.0
0105,0.07955689828801611,0.0473313192346425,0.0,0.0010070493454179255,0.0005035246727089627,0.02920443101711984,0.008559919436052367,0.07150050352467271,0.1958710976837865,0.048841893252769386,0.08459214501510574,0.010070493454179255,0.032225579053373615,0.01460221550855992,0.10876132930513595,0.18277945619335348,0.08459214501510574,1986.0
0201,0.05371024734982332,0.039575971731448764,0.0,0.0035335689045936395,0.0007067137809187279,0.04734982332155477,0.009893992932862191,0.103886925795053,0.20141342756183744,0.0685512367491166,0.0607773851590106,0.009187279151943463,0.03745583038869258,0.018374558303886925,0.10600706713780919,0.15618374558303888,0.0833922261484099,1415.0
