codgeo,ze2020,side_stocks_et_2023_total
01192,8425,207
01210,8416,51
01257,8416,31
01162,8404,7
01246,8405,164
01156,8421,62
01110,8404,6
01260,8421,29
01252,8434,73
01142,8421,479
01136,0059,61
01190,8404,6
01187,8404,123
01298,8416,10
01230,8405,21
01258,8434,100
01116,8404,23
01128,8405,11
01243,8434,120
01248,8421,215
01124,8405,43
01118,8416,78
01149,8405,58
01206,8425,16
01266,8405,273
01134,0059,154
01115,8405,92
01267,8425,75
01236,8405,57
01203,0059,86
01184,8405,55
01280,8404,14
01245,8405,75
01281,8416,208
01272,8405,119
01294,8404,49
01240,8425,39
01289,8405,563
01274,8425,35
01180,8416,62
01197,8405,32
01282,8425,11
01250,8434,116
01225,8434,29
01238,8434,257
01276,8421,145
01155,8404,7
01297,8421,59
01147,8405,33
01209,8416,30
01262,8421,575
01233,8404,11
01199,8405,154
01215,8416,7
01123,0059,80
01151,8405,78
01130,8405,132
01181,8425,127
01242,8405,11
01109,8416,144
01211,8405,101
01121,8404,9
01229,8405,73
01114,8416,42
01263,8434,323
01227,8404,46
01145,8405,98
01247,8416,64
01177,8405,7
01286,8404,71
01288,8416,146
01216,8404,52
01214,8425,15
01228,8425,79
01174,8416,29
01179,0059,137
01196,8405,95
01269,8425,235
01212,8405,35
01244,8405,764
01200,8405,19
01301,8405,234
01191,8425,12
01237,8425,162
01150,8405,12
01188,8434,49
01239,8404,46
01265,8425,312
01153,8416,110
01138,8404,226
01261,8421,62
01148,8425,114
01133,8404,21
01171,8425,57
01140,8405,47
01160,8416,861
01158,8416,47
01157,8434,321
01259,8405,42
01194,8434,512
01234,8404,10
01166,8434,220
01183,8434,192
01202,8405,544
01295,8434,37
01285,8434,109
01255,8405,35
01224,8421,289
04045,9311,145
01189,8416,49
01302,8404,12
04108,9307,118
04129,9311,8
04163,9306,39
04219,9307,27
01279,8405,7
04227,9311,32
04167,9307,21
04141,9311,44
04086,9307,38
19039,7531,16
18266,2402,18
18269,2407,65
18282,2402,18
18209,2402,18
18227,2407,11
19054,7531,18
18220,0060,12
18224,0060,22
18281,2415,124
19008,0063,12
18184,0060,17
19041,7531,22
18203,2402,4
18274,0056,33
19036,7531,114
18270,2402,28
19052,0063,6
19034,7531,16
18225,2402,13
19016,7531,19
18233,0056,148
19026,7531,27
18245,2402,27
18237,2402,14
19042,7531,30
19013,7531,70
19051,7531,11
18229,2402,38
18202,2402,3
18212,2402,30
18210,2415,26
18260,2402,5
18205,2402,933
26167,8431,90
18204,2402,19
26168,8431,69
26144,8431,197
19030,7507,43
26166,8431,557
26180,0064,21
26149,8427,76
26159,8431,21
26267,0064,4
26284,0055,34
26285,0064,31
26218,8427,395
26203,0064,25
26205,8431,12
26283,0064,4
04236,9307,5
04240,9307,32
26170,8431,278
26177,8427,47
26261,0055,49
26299,8431,12
11326,7620,7
11261,7617,50
01352,0059,32
26236,0064,26
26255,8431,1
26207,8427,43
26172,8433,55
26200,0064,9
26296,8431,3
26195,8431,20
26306,0064,53
26223,8427,36
26222,8422,1
26291,8431,19
26251,8422,54
11321,7608,5
26217,8427,27
26215,0064,54
26227,0064,1
26224,8431,28
26169,8422,242
26252,8431,894
26246,8431,13
05074,9310,14
26286,0064,1
26289,8431,208
26220,0064,832
26282,8431,21
26249,8422,117
11308,7608,22
11356,7608,59
26216,8433,77
26148,8433,201
26182,0064,151
11367,7608,83
11288,7608,115
26161,0064,1
11323,7608,28
11357,7608,24
05040,9310,451
11250,7608,5
26174,8427,85
26202,8422,36
05082,9302,35
26277,8431,14
11375,7612,1
26157,8422,65
11246,7608,5
11260,7608,9
11242,7608,16
11314,7608,4
11312,7608,4
11232,7608,5
11316,7612,16
11359,7625,41
01387,8405,16
11247,7608,4
11290,7612,10
11374,7608,1
11285,7617,121
11362,7608,21
11269,7617,195
11234,7608,11
11372,7608,15
11335,7608,3
11332,7617,127
11240,7608,34
11214,7608,26
11299,7608,43
11277,7612,2
11259,7608,58
11320,7608,26
11233,7617,63
11346,7608,23
11283,7608,6
11236,7612,14
11228,7608,13
11225,7608,59
11364,7608,11
11215,7608,59
11369,7617,239
11309,7608,15
05080,9310,12
11336,7612,50
11366,7617,41
11235,7608,1
11244,7608,5
11287,7608,8
11231,7612,7
11368,7608,3
11365,7612,1
11340,7608,30
11238,7608,8
01320,0059,375
11331,7608,5
19045,7531,11
02006,3220,13
02017,3220,15
02016,3220,7
01426,8405,202
01360,8416,95
