codgeo,ze2020,filosofi_measure,weight_households_2020,obs_value
03138,8432,S_HH_TAX,1437.0,53.9
03138,8432,S_DIR_TAX_DI,1437.0,-11.5
03185,8423,S_HH_TAX,17833.0,54.8
03185,8423,S_DIR_TAX_DI,17833.0,-13.1
03190,8424,S_HH_TAX,9902.0,59.6
03190,8424,S_DIR_TAX_DI,9902.0,-13.2
03195,8423,S_HH_TAX,1187.0,56.8
03195,8423,S_DIR_TAX_DI,1187.0,-17.3
03211,8423,S_HH_TAX,1074.0,58.0
03211,8423,S_DIR_TAX_DI,1074.0,-15.1
03236,8432,S_HH_TAX,1677.0,60.0
03236,8432,S_DIR_TAX_DI,1677.0,-11.5
03254,8432,S_HH_TAX,2443.0,57.3
03254,8432,S_DIR_TAX_DI,2443.0,-12.7
03262,8423,S_HH_TAX,921.0,67.3
03262,8423,S_DIR_TAX_DI,921.0,-15.3
03264,8432,S_HH_TAX,1268.0,59.2
03264,8432,S_DIR_TAX_DI,1268.0,-12.4
03298,8432,S_HH_TAX,1753.0,53.2
03298,8432,S_DIR_TAX_DI,1753.0,-11.8
03304,8432,S_HH_TAX,994.0,68.4
03304,8432,S_DIR_TAX_DI,994.0,-15.7
03310,8432,S_HH_TAX,14705.0,48.3
03310,8432,S_DIR_TAX_DI,14705.0,-14.8
03321,8424,S_HH_TAX,5918.0,60.4
03321,8424,S_DIR_TAX_DI,5918.0,-14.5
04019,9307,S_HH_TAX,1384.0,61.4
04019,9307,S_DIR_TAX_DI,1384.0,-14.1
04049,9307,S_HH_TAX,2518.0,56.6
04049,9307,S_DIR_TAX_DI,2518.0,-11.7
04070,9307,S_HH_TAX,8112.0,57.1
04070,9307,S_DIR_TAX_DI,8112.0,-14.0
04088,9311,S_HH_TAX,2168.0,48.2
04088,9311,S_DIR_TAX_DI,2168.0,-13.1
04094,9311,S_HH_TAX,1416.0,57.4
04094,9311,S_DIR_TAX_DI,1416.0,-14.9
04112,9311,S_HH_TAX,10036.0,57.5
04112,9311,S_DIR_TAX_DI,10036.0,-14.3
04116,9307,S_HH_TAX,1684.0,65.3
04116,9307,S_DIR_TAX_DI,1684.0,-12.5
04143,9311,S_HH_TAX,2690.0,62.2
04143,9311,S_DIR_TAX_DI,2690.0,-14.4
04149,9307,S_HH_TAX,1267.0,69.8
04149,9307,S_DIR_TAX_DI,1267.0,-13.3
04152,9311,S_HH_TAX,1598.0,62.4
04152,9311,S_DIR_TAX_DI,1598.0,-19.0
04197,9311,S_HH_TAX,1386.0,65.9
04197,9311,S_DIR_TAX_DI,1386.0,-13.8
04209,9307,S_HH_TAX,3533.0,58.0
04209,9307,S_DIR_TAX_DI,3533.0,-13.4
04230,9311,S_HH_TAX,1417.0,60.8
04230,9311,S_DIR_TAX_DI,1417.0,-14.6
04242,9311,S_HH_TAX,1631.0,71.0
04242,9311,S_DIR_TAX_DI,1631.0,-14.0
04245,9311,S_HH_TAX,1319.0,63.5
04245,9311,S_DIR_TAX_DI,1319.0,-14.2
05006,9302,S_HH_TAX,985.0,67.0
05006,9302,S_DIR_TAX_DI,985.0,-13.6
05017,9310,S_HH_TAX,1011.0,68.8
05017,9310,S_DIR_TAX_DI,1011.0,-14.6
05023,9302,S_HH_TAX,5609.0,67.1
05023,9302,S_DIR_TAX_DI,5609.0,-14.6
05040,9310,S_HH_TAX,1385.0,62.7
05040,9310,S_DIR_TAX_DI,1385.0,-13.6
05046,9310,S_HH_TAX,3288.0,52.4
