codgeo,ze2020,libze2020,population_2022_total
03113,8432,Vichy,506
61473,2801,Argentan,285
30051,7603,Alès-Le Vigan,1297
31360,7622,Saint-Gaudens,506
85229,5207,Fontenay-le-Comte,628
47180,7501,Agen,641
79047,7530,Thouars,448
51222,4402,Châlons-en-Champagne,86
57586,4424,Thionville,205
62254,3219,Saint-Omer,598
60481,3221,Soissons,587
53247,5211,Laval,2313
61361,2809,Flers,175
59457,3216,Lille,8487
42066,8412,La Plaine du Forez,555
80200,3201,Abbeville,219
71253,2707,Chalon-sur-Saône,945
60473,3221,Soissons,328
32411,7604,Auch,100
42276,8426,Roanne,412
14311,2804,Caen,1078
61309,0061,Nogent-le-Rotrou,1974
71486,2710,Creusot-Montceau,8508
57289,4420,Sarreguemines,2787
25495,2706,Besançon,2185
38243,8409,Grenoble,256
85280,5203,Challans,3390
52172,4427,Vitry-le-François Saint-Dizier,273
45206,2409,Montargis,314
85016,5210,La Roche-sur-Yon,2366
01296,8405,Bourg-en-Bresse,400
09009,7612,Foix-Pamiers,265
44139,5219,Saint-Nazaire,1541
18139,0060,Nevers,647
09294,7612,Foix-Pamiers,94
16169,7509,Cognac,581
33058,7505,Bordeaux,5017
01115,8405,Bourg-en-Bresse,1357
09160,7612,Foix-Pamiers,6018
50082,2805,Cherbourg-en-Cotentin,5888
12056,7621,Rodez,3168
35012,5315,Rennes,7704
64300,7522,Pau,1034
72271,5208,La Ferté-Bernard,881
32310,7604,Auch,105
41268,2412,Romorantin-Lanthenay,148
80166,3202,Amiens,704
12027,7621,Rodez,223
66209,7620,Perpignan,26
86031,7524,Poitiers,1686
86195,7508,Châtellerault,548
64005,7522,Pau,522
90048,2705,Belfort,135
54486,4412,Nancy,325
88168,4407,Épinal,131
88432,4407,Épinal,153
76194,2813,Le Havre,404
47325,7518,Marmande,474
76573,2815,Rouen,501
63280,8408,Clermont-Ferrand,340
01370,0059,Mâcon,1735
89465,2717,Sens,296
34329,7606,Béziers,2671
60495,3211,Creil,417
47250,7518,Marmande,157
87167,7517,Limoges,580
85040,5207,Fontenay-le-Comte,1100
66227,7620,Perpignan,4416
89152,2702,Auxerre,711
68246,4405,Colmar,1039
70383,2706,Besançon,441
77444,1110,Provins,338
82155,7615,Montauban,1951
18153,2402,Bourges,274
35244,5305,Fougères,275
76377,2815,Rouen,3713
80082,3202,Amiens,725
88471,4404,Chaumont,97
2A285,9407,Propriano,65
19244,0063,Ussel,78
72183,5212,Le Mans,1063
54530,4412,Nancy,91
39337,2713,Lons-le-Saunier,88
26199,0064,Valréas,27
72201,5208,La Ferté-Bernard,234
31221,7622,Saint-Gaudens,41
50490,2805,Cherbourg-en-Cotentin,366
13112,9301,Aix-en-Provence,8827
50591,2802,Avranches,1692
02647,3220,Saint-Quentin,77
76398,2819,Yvetot-Vallée du Commerce,775
57340,4420,Sarreguemines,1344
65256,7624,Tarbes-Lourdes,144
51037,4413,Reims,342
68244,4405,Colmar,406
80268,3201,Abbeville,515
60586,0054,Beauvais,1080
60274,3221,Soissons,364
55285,4426,Verdun,145
43034,8420,Les Sources de la Loire,382
59140,3208,Cambrai,464
40327,7519,Mont-de-Marsan,224
02212,3220,Saint-Quentin,682
07085,8420,Les Sources de la Loire,573
49241,5202,Angers,2649
70321,2705,Belfort,1361
02416,3217,Maubeuge,412
39009,2713,Lons-le-Saunier,573
44193,5205,Châteaubriant,1527
03186,8423,Montluçon,1522
38319,8435,Voiron,809
38152,8406,Bourgoin-Jallieu,1510
14711,2804,Caen,922
04094,9311,Manosque,3088
79195,7506,Bressuire,5529
14275,2804,Caen,519
88158,4414,Remiremont,3117
67237,4423,Strasbourg,2548
63471,8423,Montluçon,871
80331,3201,Abbeville,314
35233,5315,Rennes,1590
80070,3202,Amiens,1341
38084,8435,Voiron,1462
11214,7608,Carcassonne-Limoux,437
49278,5202,Angers,3617
38035,8406,Bourgoin-Jallieu,1103
11042,7608,Carcassonne-Limoux,254
49231,5206,Cholet,1454
33180,7514,Langon,202
19116,7531,Tulle,266
10366,4425,Troyes,62
33467,7504,Bergerac,256
15081,8403,Aurillac,107
27309,0057,Dreux,486
18204,2402,Bourges,278
76463,0054,Beauvais,647
32031,7604,Auch,171
14103,2804,Caen,411
28207,2403,Chartres,240
53010,5215,Mayenne,419
74078,8401,Annecy,449
68147,4405,Colmar,549
48068,7613,Mende,159
67028,4422,Sélestat,5922
86161,7530,Thouars,982
2B073,9404,Corte,114
51296,4427,Vitry-le-François Saint-Dizier,75
51038,4406,Épernay,175
01376,8421,Lyon,4243
42174,8412,La Plaine du Forez,1268
04164,9311,Manosque,82
2B036,9402,Bastia,94
2A189,9407,Propriano,1265
80435,3220,Saint-Quentin,49
34281,7616,Montpellier,2438
88039,4407,Épinal,330
69241,8421,Lyon,2657
69176,8421,Lyon,4652
12167,7611,Figeac-Villefranche,736
54440,4410,Metz,112
01135,8416,Le Genevois Français,2354
80756,3202,Amiens,57
18254,2402,Bourges,582
89197,2703,Avallon,712
63176,8408,Clermont-Ferrand,113
44031,5205,Châteaubriant,811
90068,2705,Belfort,1420
24456,7504,Bergerac,203
74063,8415,Le Chablais,1168
71520,2707,Chalon-sur-Saône,1208
21542,2711,Dijon,460
16353,7502,Angoulême,832
54048,4410,Metz,329
23207,7511,Guéret,165
60034,3211,Creil,1154
80651,3202,Amiens,243
59438,3208,Cambrai,815
72178,5208,La Ferté-Bernard,197
51532,4413,Reims,565
71019,2707,Chalon-sur-Saône,139
57294,4420,Sarreguemines,189
62028,3205,Béthune,660
16240,7523,Périgueux,99
48153,7613,Mende,89
39481,2713,Lons-le-Saunier,388
61419,0051,Alençon,211
63468,8417,Le Livradois,312
91495,1103,Étampes,327
42090,8412,La Plaine du Forez,479
89402,2702,Auxerre,212
58087,0060,Nevers,657
52414,4427,Vitry-le-François Saint-Dizier,740
80170,3202,Amiens,110
67099,4420,Sarreguemines,276
52518,4404,Chaumont,103
83101,9317,Sainte-Maxime,1889
39480,2713,Lons-le-Saunier,277
31521,7622,Saint-Gaudens,337
47148,7518,Marmande,206
83059,9303,Brignoles,3353
17449,7525,Rochefort,8248
09078,7608,Carcassonne-Limoux,71
21215,2711,Dijon,174
11297,7608,Carcassonne-Limoux,160
39288,2713,Lons-le-Saunier,383
02524,3209,Château-Thierry,689
33431,7505,Bordeaux,298
33433,7505,Bordeaux,10057
34056,7601,Agde-Pézenas,1199
21352,2711,Dijon,1154
72310,5212,Le Mans,2002
59318,3213,Dunkerque,982
59027,3222,Valenciennes,1715
11303,7612,Foix-Pamiers,461
16163,7502,Angoulême,1150
76533,2813,Le Havre,1720
08275,4421,Sedan,210
62569,3219,Saint-Omer,664
38065,8435,Voiron,2152
63454,8417,Le Livradois,551
77137,1110,Provins,244
62512,3205,Béthune,564
27465,2808,Évreux,402
11048,7617,Narbonne,739
14325,2804,Caen,3263
21476,2704,Beaune,169
28261,2403,Chartres,590
10130,4425,Troyes,99
24202,7507,Brive-la-Gaillarde,148
01441,8425,Oyonnax,727
14141,2814,Lisieux,164
12068,7621,Rodez,880
06070,9304,Cannes,606
62751,3207,Calais,814
54159,4412,Nancy,9528
11204,7608,Carcassonne-Limoux,34
01355,0059,Mâcon,488
78384,1114,Seine-Yvelinoise,1305
59490,3217,Maubeuge,194
64305,7522,Pau,531
80794,3220,Saint-Quentin,47
72314,5212,Le Mans,363
80260,3201,Abbeville,902
63125,8417,Le Livradois,4109
88290,4404,Chaumont,116
01391,8405,Bourg-en-Bresse,295
59476,3208,Cambrai,3167
37178,2406,Chinon,599
57765,4416,Saint-Avold,1029
