ZE2020,year,sitadel_monthly_total_autorisee,sitadel_monthly_total_commencee,sitadel_monthly_q1_autorisee,sitadel_monthly_q1_commencee,sitadel_monthly_h1_autorisee,sitadel_monthly_h1_commencee
4419,2014,60435,53769,6402,8501,22579,28903
4420,2014,42260,70345,3049,12504,12678,51936
4421,2014,64178,38189,11788,10392,30183,15071
4422,2014,90701,76174,11253,13042,19452,21519
4423,2014,313073,286248,85849,27190,130831,142760
4424,2014,76330,38662,17275,8790,37631,25397
4425,2014,161083,72781,29751,28308,53608,45915
4426,2014,29693,17415,6148,7955,12627,13624
4427,2014,49930,40287,7248,6081,11928,7731
5201,2014,43782,40133,9340,6040,13876,13489
5202,2014,169529,121207,31153,20639,67261,59955
5203,2014,152548,115963,31113,14263,45303,27355
5204,2014,38917,25893,4186,8257,20401,15821
5205,2014,69102,50202,13506,11791,33108,20033
5206,2014,109295,114817,15373,49738,59702,71109
5207,2014,101345,58237,21930,14981,37929,27623
5208,2014,47144,25439,6020,6723,20866,14517
5209,2014,21437,15569,4360,6247,11997,7841
5210,2014,126869,104183,36040,25652,60037,38462
5211,2014,106945,87184,22357,21766,47878,39793
5212,2014,146206,113028,27737,23492,62672,48954
5213,2014,98870,72754,16419,13780,50382,32417
5214,2014,48865,19245,3405,2651,6624,8140
5215,2014,111655,75284,29443,25124,62385,39767
5216,2014,727657,692418,171273,180961,386184,298565
5217,2014,63783,61488,15089,5820,30291,22800
5218,2014,59109,66585,13173,6267,31414,29847
5219,2014,112691,86087,29487,23173,51150,35550
5220,2014,64737,63699,5665,21107,34760,48538
5221,2014,46571,40512,15456,10330,23486,14337
5301,2014,29043,30863,7319,3438,16161,17590
5302,2014,274924,190257,69943,64405,135102,118537
5303,2014,100578,69402,26777,20073,41035,31345
5304,2014,102584,80904,25702,23163,34405,32948
5305,2014,58968,49869,8293,17895,21396,31003
5306,2014,70642,40012,8676,9531,42522,15335
5307,2014,83490,49282,14735,14183,37577,33148
5308,2014,74857,85695,10366,11687,23723,44503
5309,2014,122413,87064,25846,28777,53758,43281
5310,2014,173499,145936,57930,25578,89376,65595
5311,2014,67782,60731,11693,15839,34512,27185
5312,2014,281316,96981,23951,17374,58746,31632
5313,2014,143942,113035,30709,31545,55204,54054
5314,2014,55434,29836,10326,9450,27580,16754
5315,2014,485181,344652,96571,112710,221235,206404
5316,2014,136569,123572,26663,28913,82965,46696
5317,2014,115527,85270,40714,14297,72795,40757
5318,2014,159623,98104,32991,28757,63923,49285
5319,2014,126432,91242,46111,19064,68137,45912
7501,2014,109482,61326,22689,23303,45715,36105
7502,2014,133687,124562,36239,59871,90233,73085
7503,2014,158936,196075,53329,133402,87907,151003
7504,2014,66770,65072,11107,13370,25802,24191
7505,2014,594672,560347,98176,140304,274952,258044
7506,2014,99190,103087,23389,33278,59377,58642
7507,2014,86215,50187,21916,13763,64586,23255
7508,2014,31807,106805,7744,81426,10657,82542
7509,2014,134470,73680,27320,13431,74577,41222
7510,2014,122524,77282,35427,15309,88995,27181
7511,2014,90016,66769,19028,21067,31713,43040
7512,2014,145871,91260,33873,28960,55111,39745
7513,2014,110745,59440,17124,25828,29488,37841
7514,2014,135404,46178,8995,12125,99167,18072
7515,2014,53129,40321,4967,5346,23244,12457
7516,2014,191814,104069,22830,30376,46864,51865
7517,2014,123366,64737,28407,20835,59589,35006
7518,2014,241781,199523,66858,33797,88303,65823
7519,2014,172079,71168,15656,25620,30720,42289
7520,2014,116026,74524,24625,22311,61749,36245
7521,2014,58080,46091,8533,15814,24131,24470
7522,2014,143668,121389,35395,42402,72687,76644
7523,2014,68680,81956,16074,19677,30916,24970
7524,2014,123428,137936,46211,22504,62398,59500
7525,2014,24462,11035,4692,1824,5314,5621
7526,2014,38738,29945,13919,7031,22614,11743
7527,2014,73883,39533,22302,18500,40035,25456
7528,2014,60755,48732,26373,17020,40372,26095
7529,2014,45859,61814,12796,2020,22307,15445
7530,2014,26104,32992,8272,4427,13383,25363
7531,2014,82515,42568,28954,8970,39608,31905
7532,2014,84358,83656,10759,5964,26501,42230
7601,2014,23516,13943,5868,5079,13983,8300
7602,2014,129165,76950,35798,21356,68432,39003
