ZE2020,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2403,198685.0,199245.0,200121.0,201339.0,203507.0,205069.0,205974.0,206343.0,207298.0,208681.0,208732.0,208721.0,208839.0,209171.0,209447.0,209329.0,209665.0,210333.0
2404,58608.0,59022.0,59481.0,59945.0,60108.0,59894.0,59837.0,60010.0,60033.0,59568.0,59600.0,59387.0,58807.0,58387.0,57944.0,57717.0,57789.0,57546.0
2405,211523.0,211269.0,210537.0,210860.0,209734.0,208805.0,207510.0,207002.0,205325.0,203490.0,202945.0,201909.0,200562.0,199498.0,198997.0,197591.0,197109.0,196375.0
2406,44161.0,44392.0,44471.0,44546.0,44480.0,44527.0,44445.0,44411.0,44348.0,44365.0,44329.0,44186.0,44010.0,43944.0,43790.0,43634.0,43856.0,43924.0
2407,84195.0,84411.0,84711.0,84828.0,84235.0,84130.0,83763.0,83736.0,83617.0,83302.0,82562.0,81932.0,81169.0,80659.0,80092.0,79848.0,79675.0,79331.0
2408,56982.0,57234.0,57423.0,57722.0,57984.0,58015.0,57813.0,57664.0,57485.0,57222.0,56917.0,56428.0,55830.0,55338.0,54995.0,54839.0,54993.0,55004.0
2409,122412.0,123506.0,123950.0,124685.0,125063.0,126163.0,126592.0,127161.0,127211.0,127604.0,127211.0,127329.0,127418.0,127421.0,127086.0,127348.0,127729.0,127915.0
2410,409465.0,410310.0,412494.0,413968.0,416181.0,417986.0,420074.0,422432.0,426143.0,429051.0,430777.0,434681.0,436007.0,437956.0,440701.0,443021.0,445462.0,450106.0
2411,63019.0,63353.0,63775.0,64385.0,65012.0,65620.0,66060.0,66377.0,66731.0,67182.0,67402.0,67536.0,67456.0,67483.0,67334.0,67130.0,66968.0,66629.0
2412,94718.0,95048.0,95071.0,95191.0,95465.0,95615.0,95467.0,95547.0,95867.0,95865.0,95481.0,94701.0,94374.0,94126.0,93981.0,93369.0,93357.0,92921.0
2413,487772.0,490064.0,492043.0,494635.0,496505.0,499531.0,502915.0,506355.0,510203.0,511440.0,512980.0,513720.0,515566.0,518290.0,520793.0,521113.0,524921.0,527878.0
2414,66720.0,66736.0,66918.0,67528.0,67728.0,67648.0,67669.0,67625.0,67207.0,66819.0,66574.0,66148.0,65352.0,64829.0,64463.0,64255.0,64040.0,64106.0
2415,50317.0,50093.0,50059.0,49688.0,49738.0,49686.0,50080.0,50129.0,50069.0,49889.0,49197.0,48573.0,48294.0,47971.0,47454.0,47591.0,47360.0,46989.0
2701,44231.0,44454.0,44281.0,43864.0,43553.0,43624.0,43206.0,42871.0,42827.0,42347.0,42144.0,41719.0,41466.0,41217.0,41394.0,41152.0,40983.0,40966.0
2702,189943.0,190528.0,190493.0,190697.0,190030.0,189157.0,188197.0,187612.0,187175.0,186237.0,186052.0,184732.0,184092.0,182926.0,181500.0,180825.0,180562.0,179486.0
2703,56312.0,56227.0,56126.0,55926.0,55746.0,55472.0,55180.0,54695.0,54209.0,53521.0,52952.0,52183.0,51561.0,51042.0,50701.0,50510.0,50355.0,50138.0
2704,78301.0,79009.0,79818.0,80796.0,80961.0,80662.0,80696.0,80783.0,80494.0,80450.0,80441.0,79675.0,79133.0,78776.0,78152.0,77892.0,78043.0,77898.0
2705,191874.0,193466.0,193483.0,194264.0,194829.0,195438.0,196100.0,196243.0,196295.0,196420.0,195925.0,194344.0,193404.0,192765.0,191379.0,190731.0,191085.0,191203.0
2706,302366.0,305233.0,306613.0,308063.0,309032.0,309290.0,310699.0,312597.0,313434.0,314576.0,315441.0,315764.0,317056.0,318778.0,319518.0,320937.0,321974.0,320719.0
2707,154914.0,155974.0,156614.0,157111.0,157513.0,158134.0,158564.0,159724.0,159933.0,160532.0,160671.0,160522.0,160297.0,160729.0,160561.0,160283.0,159954.0,160778.0
2708,90607.0,90625.0,90719.0,90481.0,90303.0,89885.0,89598.0,89320.0,88871.0,88623.0,88144.0,87728.0,87277.0,86832.0,86354.0,85929.0,85605.0,85420.0
2709,63146.0,63125.0,63131.0,63108.0,63104.0,62964.0,62765.0,62455.0,62095.0,61799.0,61435.0,60934.0,60458.0,60081.0,59817.0,59621.0,59531.0,59285.0
2710,105402.0,105457.0,105077.0,104768.0,104588.0,104078.0,103595.0,103164.0,102510.0,102064.0,101500.0,100563.0,99459.0,98669.0,97920.0,96937.0,96728.0,96598.0
2711,378634.0,379988.0,381724.0,383438.0,383601.0,385692.0,387387.0,390006.0,392283.0,394363.0,394819.0,396708.0,397156.0,398808.0,400642.0,401474.0,403427.0,406266.0
2712,79917.0,80862.0,81832.0,82091.0,82416.0,82207.0,82239.0,82136.0,82359.0,82529.0,82861.0,83051.0,83137.0,83084.0,82946.0,83022.0,82972.0,82959.0
2713,155455.0,156554.0,157708.0,158638.0,159290.0,159637.0,159436.0,159343.0,159544.0,159601.0,159313.0,159055.0,158876.0,158599.0,158466.0,158248.0,158299.0,157914.0
2714,169876.0,169879.0,170151.0,170541.0,170473.0,170671.0,170155.0,169267.0,168404.0,168446.0,167941.0,167576.0,167637.0,167408.0,166971.0,166832.0,166376.0,165121.0
2715,107605.0,109138.0,110465.0,111670.0,113648.0,114701.0,115745.0,116934.0,118391.0,119631.0,121045.0,121845.0,123053.0,124203.0,125317.0,126062.0,127034.0,127916.0
2716,55358.0,55185.0,55370.0,55132.0,54824.0,54578.0,54415.0,54258.0,54013.0,53703.0,53474.0,53094.0,52649.0,52361.0,52091.0,51897.0,51794.0,51795.0
2717,106978.0,107684.0,108593.0,109346.0,109181.0,110056.0,110651.0,111153.0,112390.0,113025.0,113286.0,113070.0,113462.0,113334.0,113394.0,113420.0,114192.0,113741.0
