codgeo,ze2020,bpe_facilities_2023_total
01127,8405,23.0
01128,8405,5.0
01129,8405,8.0
01130,8405,74.0
01133,8404,15.0
01134,0059,53.0
01135,8416,70.0
01136,0059,30.0
01138,8404,144.0
01139,8405,19.0
01140,8405,25.0
01141,8404,10.0
01142,8421,209.0
01143,8416,361.0
01145,8405,51.0
01146,8405,9.0
01147,8405,16.0
01148,8425,54.0
01149,8405,23.0
01150,8405,7.0
01151,8405,32.0
01152,8425,22.0
01153,8416,30.0
01155,8404,10.0
01156,8421,30.0
01157,8434,119.0
01158,8416,14.0
01159,0059,123.0
01160,8416,410.0
01162,8404,6.0
01163,8405,61.0
01165,8434,42.0
01166,8434,83.0
01167,8434,20.0
01169,8434,16.0
01170,8425,25.0
01171,8425,20.0
01173,8416,313.0
01174,8416,17.0
01175,0059,18.0
01177,8405,3.0
01179,0059,75.0
01180,8416,28.0
01181,8425,29.0
01183,8434,55.0
01184,8405,32.0
01185,8404,260.0
01187,8404,43.0
01188,8434,19.0
01189,8416,28.0
01190,8404,5.0
01191,8425,7.0
01192,8425,73.0
01193,8404,9.0
01194,8434,242.0
01195,8405,62.0
01196,8405,50.0
01197,8405,12.0
01198,8405,9.0
01199,8405,77.0
01200,8405,9.0
01202,8405,315.0
01203,0059,37.0
01204,8425,29.0
01206,8425,4.0
01207,8405,13.0
01208,8404,5.0
01209,8416,21.0
01210,8416,34.0
01211,8405,48.0
01212,8405,20.0
01213,8405,46.0
01214,8425,6.0
01215,8416,5.0
01216,8404,29.0
01219,8405,10.0
01224,8421,132.0
01225,8434,10.0
01227,8404,20.0
01228,8425,34.0
01229,8405,57.0
01230,8405,8.0
01231,0059,63.0
01232,8405,99.0
01233,8404,7.0
01234,8404,7.0
01235,8405,49.0
01236,8405,26.0
01237,8425,49.0
01238,8434,107.0
01239,8404,25.0
01240,8425,20.0
01241,8405,39.0
01242,8405,4.0
01243,8434,37.0
01244,8405,400.0
01245,8405,31.0
01246,8405,87.0
01247,8416,36.0
01248,8421,91.0
01249,8421,414.0
01250,8434,48.0
01252,8434,24.0
01254,8405,107.0
01255,8405,14.0
