codgeo,ze2020,active_15_64_2022_total,employed_15_64_2022_total,unemployed_15_64_2022_est,unemployment_rate_est_2022
01273,8405,897.0,831.85475,65.14525,0.072626
01274,8425,293.8047,264.96383,28.84087,0.098163
01275,8421,1252.58569,1169.28776,83.29793,0.066501
01276,8421,811.84799,782.61579,29.2322,0.036007
01277,8404,64.45833,54.54167,9.91666,0.153846
01279,8405,30.85714,30.85714,0.0,0.0
01280,8404,65.44828,65.44828,0.0,0.0
01281,8416,2711.24564,2429.41396,281.83168,0.103949
01282,8425,125.99983,115.9268,10.07303,0.079945
01283,8425,9357.16862,8144.98765,1212.18097,0.129546
01284,0059,414.62496,383.51002,31.11494,0.075044
01285,8434,725.8725,690.31621,35.55629,0.048984
01286,8404,439.99294,424.36704,15.6259,0.035514
01288,8416,1690.12308,1571.51795,118.60513,0.070175
01289,8405,2838.20871,2627.58751,210.6212,0.074209
01290,8405,693.4767,663.75627,29.72043,0.042857
01291,0059,425.90255,406.35184,19.55071,0.045904
01293,8425,70.3125,65.625,4.6875,0.066667
01294,8404,495.88701,461.20339,34.68362,0.069943
01295,8434,356.40945,330.58268,25.82677,0.072464
01296,8405,225.0,210.0,15.0,0.066667
01297,8421,482.74309,439.38025,43.36284,0.089826
01298,8416,88.53333,83.0,5.53333,0.0625
01299,8405,256.06651,246.14054,9.92597,0.038763
01301,8405,1272.93635,1194.02981,78.90654,0.061988
01302,8404,75.41935,75.41935,0.0,0.0
01303,8405,917.83877,814.78107,103.0577,0.112283
01304,8405,1481.18508,1328.13232,153.05276,0.103331
01305,0059,973.80016,910.34093,63.45923,0.065167
01306,0059,769.61013,659.47484,110.13529,0.143105
01307,8425,365.54744,331.45102,34.09642,0.093275
01308,8416,420.77226,371.6266,49.14566,0.116799
01309,8405,49.375,44.4375,4.9375,0.1
01310,8404,52.0,36.4,15.6,0.3
01311,8404,26.11111,26.11111,0.0,0.0
01313,8416,4816.30293,4374.31064,441.99229,0.09177
01314,8405,925.7559,877.00016,48.75574,0.052666
01317,8405,193.81444,173.45569,20.35875,0.105042
01318,8434,397.70819,381.37795,16.33024,0.041061
01319,8405,226.77733,226.77733,0.0,0.0
01320,0059,1838.74705,1660.46153,178.28552,0.09696
01321,8405,463.26916,444.4719,18.79726,0.040575
01322,8434,2433.20637,2302.1058,131.10057,0.05388
01323,0059,448.10638,413.25532,34.85106,0.077774
01325,8405,567.96943,538.33624,29.63319,0.052174
01328,8405,262.70413,252.63507,10.06906,0.038329
01329,8404,82.0,71.75,10.25,0.125
01331,8405,104.63415,99.87805,4.7561,0.045455
01332,0059,425.92547,397.93698,27.98849,0.065712
01333,8421,1694.59652,1563.89783,130.69869,0.077127
01334,0059,371.71521,351.99736,19.71785,0.053046
01335,8405,199.98712,188.3041,11.68302,0.058419
01336,8405,606.11106,565.62453,40.48653,0.066797
01337,0059,608.40439,588.26263,20.14176,0.033106
01338,8404,566.73446,546.10776,20.6267,0.036396
01339,8434,655.62406,612.82691,42.79715,0.065277
01342,8421,244.85022,225.8139,19.03632,0.077747
01343,0059,852.16701,787.79996,64.36705,0.075533
01344,8405,2619.44989,2419.47503,199.97486,0.076342
01345,8405,1052.04411,971.17398,80.87013,0.07687
01346,8405,430.68529,421.1192,9.56609,0.022211
01347,8434,1078.93089,995.12381,83.80708,0.077676
01348,8434,1442.45547,1329.3742,113.08127,0.078395
01349,8421,212.18738,192.36537,19.82201,0.093417
01350,8405,1220.36121,1140.59477,79.76644,0.065363
01351,8434,779.4575,743.70877,35.74873,0.045864
01352,0059,298.24445,262.91874,35.32571,0.118445
01353,8434,954.54505,870.46639,84.07866,0.088082
01354,8416,7874.59602,7078.55453,796.04149,0.10109
01355,0059,258.8844,243.96849,14.91591,0.057616
01356,8405,104.7234,100.17021,4.55319,0.043478
01357,8416,271.88215,232.32962,39.55253,0.145477
01358,8404,139.34118,139.34118,0.0,0.0
01359,8405,155.06122,149.71429,5.34693,0.034483
01360,8416,1205.8704,1133.5029,72.3675,0.060013
01361,8421,981.80258,940.19145,41.61113,0.042382
01362,8434,420.05814,395.34884,24.7093,0.058824
01363,8405,954.95625,867.20404,87.75221,0.091891
01364,8405,352.61876,308.31506,44.3037,0.125642
01365,0059,564.37333,538.95111,25.42222,0.045045
01366,8405,540.73727,500.69985,40.03742,0.074042
01367,8405,343.5,323.29412,20.20588,0.058824
01368,8405,461.14444,411.53072,49.61372,0.107588
01369,8405,433.66065,398.93019,34.73046,0.080087
01370,0059,938.89676,798.75359,140.14317,0.149264
01371,8421,740.15073,697.45205,42.69868,0.057689
01372,8404,242.875,196.65,46.225,0.190324
01373,8425,565.0777,521.47605,43.60165,0.07716
01374,8405,1001.41131,963.10479,38.30652,0.038253
01375,8405,381.50849,376.37512,5.13337,0.013455
01376,8421,2048.0511,1856.65915,191.39195,0.093451
01378,8421,1559.81621,1502.39869,57.41752,0.03681
01379,8405,383.39518,363.57013,19.82505,0.051709
01380,8405,242.58242,214.46971,28.11271,0.115889
01381,8405,425.27786,389.1055,36.17236,0.085056
01382,8434,176.05479,166.27397,9.78082,0.055556
01383,8405,812.75129,755.36396,57.38733,0.070609
01384,8405,961.02268,796.51423,164.50845,0.171181
01385,8405,421.76596,407.05319,14.71277,0.034884
01386,8405,561.09231,529.82137,31.27094,0.055732
01387,8405,143.2766,132.25532,11.02128,0.076923
01388,8405,471.53611,431.76036,39.77575,0.084354
01389,8434,985.55836,926.48345,59.07491,0.059941
01390,8405,632.10718,602.44602,29.66116,0.046924
01391,8405,105.48063,96.31449,9.16614,0.086899
01392,8425,411.34899,392.30415,19.04484,0.046298
01393,8405,333.26126,317.63964,15.62162,0.046875
01396,8405,508.535,433.01,75.525,0.148515
01397,8416,537.5334,485.23979,52.29361,0.097284
01398,8434,778.39175,723.50515,54.8866,0.070513
01399,8416,1462.40006,1303.64747,158.75259,0.108556
01400,8405,46.89655,46.89655,0.0,0.0
01401,8416,1179.3913,1106.41603,72.97527,0.061875
01402,0059,303.83492,279.82047,24.01445,0.079038
01403,8405,603.03954,546.66211,56.37743,0.093489
01404,8405,60.0,45.0,15.0,0.25
01405,8405,675.49425,616.1472,59.34705,0.087857
01406,8405,85.0,75.0,10.0,0.117647
01407,8416,495.84554,475.37158,20.47396,0.041291
01408,8405,347.60079,328.31464,19.28615,0.055484
01410,8425,185.08343,160.75876,24.32467,0.131425
01411,8405,142.02,142.02,0.0,0.0
01412,8405,296.36675,276.27064,20.09611,0.067808
01415,8404,205.39768,189.57464,15.82304,0.077036
01416,8405,505.66729,431.63308,74.03421,0.146409
01418,8421,627.06255,598.73756,28.32499,0.045171
01419,8416,3417.52818,3131.02415,286.50403,0.083834
01420,8434,761.93986,671.46232,90.47754,0.118746
01421,8405,369.43754,348.55984,20.8777,0.056512
01422,8405,689.83838,632.85411,56.98427,0.082605
01423,8434,693.21975,663.71724,29.50251,0.042559
01424,8421,991.34393,956.0635,35.28043,0.035588
01425,8405,129.14609,124.19109,4.955,0.038367
01426,8405,1295.66711,1225.39531,70.2718,0.054236
01427,8434,3477.48979,3185.75429,291.7355,0.083893
01428,8434,60.04167,60.04167,0.0,0.0
01429,8405,353.12271,343.63688,9.48583,0.026863
01430,8405,329.51027,324.30663,5.20364,0.015792
01431,8405,682.94916,667.97584,14.97332,0.021925
01432,8405,176.86058,172.19847,4.66211,0.02636
01433,8405,165.13293,159.65454,5.47839,0.033176
01434,8405,327.49854,317.08057,10.41797,0.031811
01435,8416,1204.91893,1099.59246,105.32647,0.087414
01436,8416,233.64356,228.56436,5.0792,0.021739
01437,8405,100.0,95.0,5.0,0.05
01439,0059,34.23529,34.23529,0.0,0.0
01441,8425,360.60219,355.65719,4.945,0.013713
01443,8405,2381.08125,2272.0348,109.04645,0.045797
01444,8405,605.98089,542.19872,63.78217,0.105254
01445,8405,265.72132,245.04861,20.67271,0.077798
01446,8434,856.57692,818.51258,38.06434,0.044438
01447,8405,551.56018,495.4475,56.11268,0.101734
01448,8416,241.77597,215.24197,26.534,0.109746
01449,8405,356.40132,331.30263,25.09869,0.070423
01450,8405,1844.68717,1774.88874,69.79843,0.037838
01451,8405,3066.38443,2844.62265,221.76178,0.07232
01452,8404,508.61305,418.56772,90.04533,0.177041
01453,8404,346.87692,331.78462,15.0923,0.043509
01454,8404,573.22378,537.72139,35.50239,0.061935
01456,8404,21.84615,21.84615,0.0,0.0
01457,0059,1441.45696,1336.68232,104.77464,0.072687
02001,3220,217.00884,167.19394,49.8149,0.229552
02002,3220,253.93333,219.75,34.18333,0.134615
02003,3221,449.1133,409.19212,39.92118,0.088889
02004,3214,99.52941,77.41176,22.11765,0.222222
02005,3214,202.60031,171.84855,30.75176,0.151785
02006,3220,100.17299,85.59504,14.57795,0.145528
