ZE2020,rei_cfe_commune_base,rei_cfe_commune_product,rei_cfe_commune_articles,rei_cfe_epci_base,rei_cfe_epci_product,rei_cfe_epci_articles,rei_cfe_microentrepreneurs,rei_cfe_microentrepreneurs_created_n_1,year
4405,3648874.0,734210.0,860.0,103404589.0,24431764.0,14951.0,6993.0,0.0,2018
4406,3424225.0,449434.0,1173.0,47842961.0,9646849.0,5401.0,1988.0,0.0,2018
4407,20463013.0,4128800.0,1981.0,80964226.0,14530326.0,10042.0,4771.0,0.0,2018
4408,0.0,0.0,0.0,27915920.0,6119265.0,4545.0,2406.0,0.0,2018
4409,39037717.0,6186975.0,3986.0,119033765.0,18455772.0,15828.0,7011.0,0.0,2018
4410,85812.0,14321.0,113.0,160660897.0,38046608.0,24535.0,10960.0,0.0,2018
4411,0.0,0.0,0.0,215814677.0,55358770.0,26110.0,13060.0,0.0,2018
4412,17099930.0,3251150.0,3862.0,192511384.0,48912767.0,32123.0,17582.0,0.0,2018
4413,0.0,0.0,0.0,136522625.0,33768700.0,19137.0,7753.0,0.0,2018
4414,14488531.0,3146984.0,3369.0,29068002.0,3578542.0,5890.0,2772.0,0.0,2018
4415,19273989.0,2695730.0,3543.0,21134946.0,1415965.0,3743.0,1695.0,0.0,2018
4416,106165.0,17797.0,71.0,69292311.0,13852617.0,6344.0,2978.0,0.0,2018
4417,57806.0,9541.0,51.0,22815680.0,5652800.0,5011.0,2926.0,0.0,2018
4418,0.0,0.0,0.0,61277230.0,15480745.0,4884.0,2357.0,0.0,2018
4419,5206349.0,856046.0,1170.0,39783985.0,7331854.0,6173.0,2738.0,0.0,2018
4420,7747256.0,1379578.0,1249.0,52217442.0,9929615.0,6107.0,2547.0,0.0,2018
4421,411316.0,51340.0,230.0,27388447.0,5800666.0,4128.0,2153.0,0.0,2018
4422,35069845.0,5630084.0,3841.0,56329190.0,8172362.0,6768.0,3313.0,0.0,2018
4423,28578353.0,4712664.0,2443.0,378519930.0,91328834.0,54361.0,24802.0,0.0,2018
4424,1531156.0,267604.0,525.0,145258072.0,33785199.0,13271.0,6702.0,0.0,2018
4425,15310414.0,2633275.0,3166.0,84185616.0,16778399.0,13842.0,5913.0,0.0,2018
4426,5944120.0,578414.0,1433.0,21144855.0,4072135.0,3596.0,1673.0,0.0,2018
4427,583257.0,50298.0,270.0,36108228.0,7632340.0,5581.0,2498.0,0.0,2018
5201,0.0,0.0,0.0,36306004.0,8904215.0,4476.0,1726.0,0.0,2018
5202,0.0,0.0,0.0,121535894.0,30040884.0,22636.0,11692.0,0.0,2018
5203,4169568.0,887429.0,1394.0,46925811.0,11296727.0,10384.0,4430.0,0.0,2018
5204,0.0,0.0,0.0,9938559.0,2450217.0,1771.0,675.0,0.0,2018
5205,0.0,0.0,0.0,17995676.0,4323615.0,2713.0,1169.0,0.0,2018
5206,0.0,0.0,0.0,87562695.0,20074307.0,10365.0,3986.0,0.0,2018
5207,0.0,0.0,0.0,34676873.0,8384149.0,6669.0,3402.0,0.0,2018
5208,0.0,0.0,0.0,24216780.0,5314444.0,2988.0,1121.0,0.0,2018
5209,0.0,0.0,0.0,17154477.0,3869678.0,2685.0,1047.0,0.0,2018
5210,0.0,0.0,0.0,60979783.0,16086327.0,9348.0,3682.0,0.0,2018
5211,1773984.0,431996.0,443.0,65005642.0,16487135.0,8297.0,3337.0,0.0,2018
5212,27501203.0,4025027.0,2937.0,68555462.0,12877910.0,9216.0,8266.0,0.0,2018
5213,0.0,0.0,0.0,70736170.0,17140209.0,6023.0,2238.0,0.0,2018
5214,0.0,0.0,0.0,22382636.0,5401286.0,5292.0,2342.0,0.0,2018
5215,0.0,0.0,0.0,30231418.0,7544429.0,3548.0,1553.0,0.0,2018
5216,0.0,0.0,0.0,377182112.0,112225955.0,61293.0,31224.0,0.0,2018
5217,0.0,0.0,0.0,20062809.0,5158493.0,4971.0,2334.0,0.0,2018
5218,0.0,0.0,0.0,27306553.0,6700119.0,2209.0,745.0,0.0,2018
5219,0.0,0.0,0.0,117749196.0,30441494.0,15805.0,7304.0,0.0,2018
5220,0.0,0.0,0.0,28755422.0,6512269.0,5197.0,2397.0,0.0,2018
5221,0.0,0.0,0.0,18089400.0,4163689.0,2671.0,1264.0,0.0,2018
5301,0.0,0.0,0.0,26169711.0,5698881.0,7844.0,3383.0,0.0,2018
5302,194910.0,57359.0,77.0,106151417.0,28964068.0,20286.0,8347.0,0.0,2018
5303,0.0,0.0,0.0,25317946.0,5998892.0,4380.0,2103.0,0.0,2018
5304,0.0,0.0,0.0,21515111.0,5570936.0,5735.0,2394.0,0.0,2018
5305,0.0,0.0,0.0,24012047.0,6166762.0,4042.0,1587.0,0.0,2018
5306,0.0,0.0,0.0,16246201.0,4211770.0,3155.0,1316.0,0.0,2018
5307,0.0,0.0,0.0,17632097.0,4718383.0,3758.0,1658.0,0.0,2018
5308,141189.0,35689.0,119.0,27565727.0,7434544.0,8306.0,3860.0,0.0,2018
5309,4946769.0,942827.0,878.0,77341581.0,18008955.0,14187.0,6285.0,0.0,2018
5310,0.0,0.0,0.0,30906632.0,7418521.0,7140.0,2689.0,0.0,2018
5311,0.0,0.0,0.0,28370026.0,7055265.0,4149.0,1806.0,0.0,2018
5312,0.0,0.0,0.0,54296722.0,12655311.0,5931.0,2002.0,0.0,2018
5313,0.0,0.0,0.0,89797924.0,22541202.0,20058.0,8539.0,0.0,2018
5314,0.0,0.0,0.0,21475088.0,5216645.0,3211.0,1548.0,0.0,2018
5315,0.0,0.0,0.0,220642128.0,61409835.0,43185.0,19141.0,0.0,2018
5316,0.0,0.0,0.0,56800183.0,15825530.0,10423.0,3883.0,0.0,2018
5317,0.0,0.0,0.0,47943747.0,12096467.0,11528.0,5018.0,0.0,2018
5318,0.0,0.0,0.0,70437983.0,16587431.0,16614.0,7031.0,0.0,2018
5319,0.0,0.0,0.0,43543981.0,10642445.0,4566.0,1501.0,0.0,2018
7501,7851284.0,1560671.0,2057.0,48017271.0,12469161.0,8529.0,3672.0,0.0,2018
7502,2381723.0,482093.0,1331.0,65165528.0,15867121.0,14105.0,8009.0,0.0,2018
7503,0.0,0.0,0.0,153135758.0,44253888.0,35460.0,16556.0,0.0,2018
7504,2285617.0,290935.0,1087.0,28590394.0,7113400.0,7597.0,4557.0,0.0,2018
7505,4457.0,626.0,11.0,487550387.0,157778408.0,94627.0,50674.0,0.0,2018
7506,0.0,0.0,0.0,30766852.0,7665381.0,5516.0,2534.0,0.0,2018
7507,0.0,0.0,0.0,44395127.0,13858716.0,9129.0,4404.0,0.0,2018
7508,0.0,0.0,0.0,31246308.0,7558723.0,4380.0,2581.0,0.0,2018
7509,5899016.0,1182512.0,1804.0,58068484.0,12935512.0,8102.0,4432.0,0.0,2018
7510,1501744.0,277941.0,48.0,68781636.0,17847935.0,12423.0,6844.0,0.0,2018
7511,0.0,0.0,0.0,23602165.0,7262139.0,5275.0,3039.0,0.0,2018
7512,0.0,0.0,0.0,87642602.0,22486667.0,22743.0,11837.0,0.0,2018
7513,4301046.0,545438.0,435.0,53826211.0,14659364.0,13954.0,6685.0,0.0,2018
7514,0.0,0.0,0.0,30447595.0,7908255.0,8251.0,5273.0,0.0,2018
7515,0.0,0.0,0.0,15993910.0,4184704.0,5681.0,3777.0,0.0,2018
7516,2304718.0,380097.0,589.0,36856020.0,10259452.0,11003.0,6319.0,0.0,2018
7517,0.0,0.0,0.0,84165363.0,22689248.0,16854.0,7458.0,0.0,2018
7518,3759601.0,679884.0,1652.0,28749070.0,7563086.0,6198.0,3272.0,0.0,2018
7519,5691852.0,1026097.0,715.0,44266721.0,10898353.0,7500.0,3355.0,0.0,2018
7520,0.0,0.0,0.0,70758194.0,18652789.0,11106.0,4875.0,0.0,2018
7521,0.0,0.0,0.0,29226782.0,8812708.0,4626.0,1922.0,0.0,2018
7522,0.0,0.0,0.0,125808378.0,37268505.0,21402.0,10245.0,0.0,2018
7523,313449.0,57268.0,221.0,53572356.0,14383417.0,14050.0,7328.0,0.0,2018
7524,0.0,0.0,0.0,123636278.0,30329644.0,17791.0,9373.0,0.0,2018
7525,0.0,0.0,0.0,21154059.0,5578316.0,5375.0,3144.0,0.0,2018
7526,0.0,0.0,0.0,31609009.0,7804616.0,13862.0,7060.0,0.0,2018
