codgeo,ze2020,side_stocks_ul_2023_total
47184,7532,19
47055,7532,51
47064,7532,14
47200,7532,14
47208,7518,6
47065,7518,155
47190,7532,42
47129,7518,12
47126,7518,2
47134,7501,25
47080,7532,14
47174,7501,74
26212,8431,99
47059,7518,20
14744,2804,21
47212,7518,23
47127,7518,54
47111,7532,38
47160,7532,12
47097,7501,70
47214,7518,46
47114,7518,22
47151,7504,45
47155,7501,45
47096,7532,18
47168,7518,256
79209,7530,22
61139,2814,18
79133,7520,42
79128,7520,55
47215,7532,293
79175,7520,27
79042,7520,7
79029,7506,35
79071,7506,30
79018,7520,8
26238,0064,23
26240,8431,24
26193,0064,88
26165,8431,702
26148,8433,187
26225,8427,50
26200,0064,9
26160,8433,100
15011,8403,11
33342,7516,92
61107,0051,27
15034,8429,16
26229,0064,9
26304,0064,29
26210,8427,79
26257,8422,25
26250,8431,329
26246,8431,11
26305,8422,97
26181,0064,26
26245,0064,0
26218,8427,357
26235,0055,1074
26232,8431,46
26228,8431,4
26271,8431,286
26157,8422,61
26239,0064,20
26244,0064,7
26204,8431,15
26216,8433,74
26188,0064,118
26196,8431,133
26300,8431,6
26282,8431,21
26233,0064,18
26266,8431,1
26180,0064,20
26182,0064,142
15002,8429,12
14731,2804,25
26299,8431,10
26206,8431,281
26306,0064,47
26220,0064,755
26252,8431,736
26279,0064,2
26202,8422,35
26175,8431,26
26273,8427,71
26221,8431,7
15129,0063,6
14752,2804,248
15003,0063,31
15006,0063,30
14759,2804,15
26190,0064,5
26177,8427,44
15040,0063,10
26217,8427,22
26309,8427,30
15104,8403,16
15133,8403,7
14760,2804,30
15098,8429,4
15106,8429,6
14742,2804,3
14743,2804,22
15132,8410,5
15137,0063,13
15065,8429,5
15084,8403,17
15017,8403,5
15025,8429,18
15134,8403,61
15042,8429,32
14734,2804,15
15060,8429,0
14747,2804,49
15076,8403,6
14721,2804,44
15120,0063,309
15063,0063,12
15082,8403,31
15103,8403,10
15119,8429,154
15125,8429,1
15056,8403,23
14723,2814,30
15007,8429,5
14753,2804,41
15055,8429,35
15128,0063,3
15083,8403,100
15078,8429,4
14735,2804,40
15049,0063,30
14756,2809,10
15096,8403,16
14745,2804,16
15101,8429,120
15139,8403,2
15037,0063,45
15095,8403,11
15100,8429,4
15131,0063,9
15088,8403,26
15026,8429,10
15092,0063,93
15019,0063,11
15008,0063,20
15123,0063,7
15105,8429,1
15073,8429,12
15045,8429,105
15050,0063,19
14762,2818,1065
15087,8403,23
15140,8403,124
15030,8403,28
15029,8403,32
15075,8403,8
15015,0063,16
15024,0063,3
15135,8403,4
15127,8429,13
14755,2811,75
15028,8403,23
15097,8429,3
15110,0063,9
15001,8429,55
15080,8429,8
15077,8429,3
15107,8429,4
15069,8429,9
15013,8429,4
15010,0063,6
14739,2804,116
15043,8429,5
15052,0063,10
15012,8403,352
15005,8429,16
15021,8403,41
14732,2804,17
15138,8429,178
15089,8403,27
15112,8403,2
15081,8403,6
15014,8403,2205
15020,0063,4
15070,8403,12
15054,0063,77
15085,8403,30
15086,8403,4
15004,8429,41
15061,8429,18
15036,0063,29
15041,8429,11
15046,0063,9
14737,2804,22
15053,8429,21
15051,8429,10
15124,0063,30
15074,8403,34
15108,8429,66
15033,8429,14
15066,0063,9
15016,8403,28
15116,0063,9
14740,2814,72
14754,2804,310
15093,8403,9
15126,8429,3
15009,0063,5
15022,8429,5
14761,2804,29
14733,2804,23
14751,2804,12
14728,2804,44
14738,2804,356
15090,8403,54
15091,8429,4
15072,8403,6
15032,8429,5
15122,8403,163
15079,0063,20
14758,2804,61
15117,8403,49
15058,8403,9
15094,8403,67
15038,0063,67
15111,0063,18
15113,8403,16
14726,2818,225
15121,8429,1
15064,0063,2
15130,8429,2
15048,8429,0
15018,0063,6
15114,8429,24
15059,8429,4
15118,8403,41
14764,2804,73
15067,0063,5
15102,8429,8
14724,2804,107
15027,8403,54
15057,8403,7
26259,8433,17
26171,8422,22
26146,0064,305
26192,0064,28
26301,8427,443
26274,8431,0
26292,0064,20
26275,0055,141
26224,8431,26
26234,8431,95
26195,8431,21
26261,0055,47
26308,8431,19
26278,0064,25
26155,8433,78
26143,8433,85
26289,8431,195
26268,8422,16
26201,0064,9
26161,0064,1
26199,0064,2
26287,8422,38
26214,8422,7
26141,8431,41
26269,0064,6
26170,8431,260
26198,8422,3924
26150,0064,1
26253,8431,14
26164,8431,10
26258,8422,99
26222,8422,1
26276,8422,49
26277,8431,13
26163,8427,8
26173,8427,68
26156,8431,72
26263,0064,16
26281,8427,2905
26290,8427,45
26286,0064,1
26167,8431,85
26285,0064,30
26293,8433,17
26215,0064,52
26152,8431,3
26211,0055,113
26254,8431,2
26186,8431,11
26194,8427,41
26270,8427,11
26236,0064,26
26149,8427,73
26310,8427,16
26264,0064,47
26153,0064,2
26203,0064,24
26172,8433,53
26185,8422,97
26166,8431,482
26294,8427,61
26145,0055,59
26178,8431,58
26231,8427,263
26183,8431,107
26176,8422,121
26256,0064,13
26295,8433,119
26209,0064,7
26168,8431,64
26291,8431,19
26169,8422,207
26159,8431,21
26284,0055,29
26255,8431,1
26241,8422,21
26226,0064,23
26227,0064,1
26251,8422,54
26249,8422,111
26213,8433,33
26272,8422,32
26142,8431,14
26207,8427,43
26262,8431,52
26302,8427,43
26298,8427,25
26179,8431,219
26248,8431,16
26223,8427,36
26189,0064,20
15164,8429,49
26296,8431,3
26147,0064,1
26162,8433,63
26267,0064,4
26242,0064,4
26174,8427,77
26205,8431,13
26288,0064,36
26307,8427,301
26283,0064,4
26303,0064,15
26197,8431,447
26144,8431,187
26208,8431,174
26311,8427,120
26247,8433,24
26243,8422,130
61160,0051,19
61153,2801,144
61257,2809,5
61279,0051,19
61259,2812,7
15226,8403,14
26154,0064,16
61122,2812,7
61284,0051,14
61243,2809,65
61264,2812,5
61294,2801,83
61212,2801,7
61118,0051,11
61229,0051,4
61237,2801,14
61268,2812,4
61150,2812,56
61278,2809,78
61219,2809,11
61234,0051,43
15187,8429,615
61197,2801,8
61124,2809,20
61272,2812,2
61274,0061,15
61102,2809,8
61256,2801,6
15143,8403,8
61300,0061,42
61302,2801,6
61241,0061,20
61148,2809,13
61215,0051,15
61277,0051,12
61133,0051,45
61238,2801,3
61182,0051,13
61169,2809,846
61170,2801,12
61142,0061,7
61222,2809,31
15244,8429,31
61193,2812,16
15202,8403,63
61164,0051,19
16045,7502,12
15196,8403,87
15266,8403,27
15253,8429,0
15262,8429,25
15157,8403,19
61137,2809,5
61221,2809,9
15216,8429,42
16018,7509,51
16034,7516,8
16013,7502,20
16011,7502,85
16015,7502,3837
15219,0063,66
15220,0063,6
15173,0063,4
15224,8403,7
15199,8429,0
15192,8403,25
15159,8403,25
16041,7502,5
16036,7502,24
16025,7509,98
15218,0063,6
15151,8429,4
15149,8429,9
16037,7523,11
15183,8403,5
15204,8403,79
15225,8429,13
15182,8403,7
15180,8403,4
15172,8403,1
15259,8429,12
16047,7502,25
15233,8403,16
15245,8429,11
15246,0063,12
15165,8403,9
15207,8429,16
15250,0063,24
15155,8429,4
16014,7502,9
15184,8403,47
16027,7509,10
15146,8403,15
16008,7502,13
16001,7527,44
15147,8403,35
15156,8403,30
16026,7502,79
15176,8403,16
15264,8403,10
15148,8429,32
15166,8403,18
15169,0063,55
15256,8429,5
15217,8403,0
16020,7523,73
15254,0063,4
15198,8429,9
15234,8403,13
15185,0063,16
16040,7509,25
15241,8429,1
16046,7502,76
16042,7502,9
15236,8403,43
15228,8403,25
15221,8403,95
15248,8429,32
16044,7502,9
16028,7509,431
15167,8403,5
15152,8429,68
16005,7502,105
16007,7527,35
15211,8403,12
15162,0063,191
15232,8429,8
16031,7502,32
15194,8403,6
16012,7509,38
16009,7527,17
15163,8403,46
15154,8403,65
15205,0063,9
15160,8403,39
15141,8429,117
15144,8403,19
15203,8429,4
16002,7502,33
15235,8429,29
15161,8429,5
15252,8403,29
16030,7509,70
15189,8403,21
16016,7527,49
16003,7502,53
15208,8403,8
15142,8429,118
15214,8403,3
15215,8403,77
15178,8403,15
15231,8429,22
16023,7502,69
15158,8429,1
15255,8403,62
15170,0063,11
16038,7502,29
16048,7509,6
15251,8429,4
15188,8429,64
15249,0063,0
15179,8403,9
15267,8403,206
15269,8403,8
15212,8403,19
15265,0063,112
15242,8403,10
16024,7502,35
15238,8403,8
15268,8403,89
15223,0063,7
15260,8403,10
15200,8403,9
15153,0063,115
15206,0063,2
15209,8429,5
15213,8429,16
15258,8403,149
15243,0063,28
16019,7502,75
16039,7502,25
16035,7502,14
15174,0063,21
16049,7523,35
16032,7509,30
15222,8403,15
15247,8429,1
15181,8403,39
15240,0063,14
15237,8429,9
15191,8403,30
15230,0063,8
15168,8429,59
15257,8403,3
15261,0063,43
15186,0063,21
16029,7502,22
15263,8429,10
15190,0063,5
15229,8429,2
33343,7514,74
61267,2801,12
15201,8403,12
33458,7505,58
61293,0051,288
15175,8403,83
33375,7516,31
61092,2812,51
33330,7505,343
33334,7514,229
33335,7505,56
61104,2809,2
61251,0051,6
47223,7532,27
61255,0051,28
61098,0051,26
61203,0051,43
61288,2801,23
61301,0051,8
61187,2812,11
61232,2809,63
61130,0051,23
33367,7514,31
61120,2801,4
61165,0051,27
61227,2809,2
61269,2809,33
33424,7515,396
33364,7516,26
26322,0064,32
61166,0051,20
61286,0051,6
33488,7516,35
33428,7514,7
33352,7514,390
33403,7514,4
33356,7516,42
33333,7505,436
33406,7516,27
33454,7505,156
33357,7514,152
33354,7504,15
33363,7505,415
33365,7516,19
33427,7514,27
33485,7516,163
33393,7516,402
33446,7514,11
33359,7514,24
33392,7514,67
33349,7505,228
33402,7504,244
33380,7505,127
33444,7514,43
33396,7516,20
33385,7516,39
26343,8422,10
33476,7515,40
33341,7505,216
33339,7505,109
33412,7515,69
33434,7505,180
33435,7514,161
33437,7516,203
33346,7514,37
33418,7514,21
33462,7504,21
33475,7505,20
33432,7514,12
33331,7514,47
33448,7505,353
33382,7505,147
33390,7516,34
33388,7505,38
33419,7514,3
33481,7514,23
33443,7514,11
33370,7505,36
33372,7504,8
33486,7505,21
33369,7504,35
33400,7514,13
33490,7515,180
33473,7505,243
33327,7514,271
33376,7505,709
26352,8422,26
33468,7516,33
33464,7514,26
33453,7518,14
26379,8427,73
33401,7516,8
33404,7514,15
33398,7514,10
33325,7505,62
33326,7505,13
33451,7516,50
26377,0064,109
33441,7505,71
33399,7514,17
33439,7505,137
33358,7516,30
33479,7514,18
33420,7516,14
33491,7514,25
33387,7516,118
33386,7516,15
33347,7516,23
33433,7505,984
33478,7516,191
33389,7505,183
33391,7514,15
33360,7504,20
33336,7514,82
33422,7505,1082
33477,7505,55
33411,7514,18
33362,7516,89
33348,7515,118
26336,8431,103
27052,2803,34
33337,7514,202
33414,7516,35
27073,0057,69
27047,2808,23
33361,7516,39
26329,0064,13
16083,7502,32
33426,7516,30
33395,7515,114
33480,7516,121
27053,2815,10
27045,2817,33
27072,2817,42
16170,7502,36
16132,7527,49
26372,0064,4
16099,7509,14
16081,7502,18
26380,8431,50
26382,8431,33
26325,8433,481
27016,2817,445
27076,2808,32
27019,2812,14
27038,2808,16
26312,8422,110
16108,7502,12
27065,2811,364
26314,8433,22
27055,2808,19
26349,8433,25
26345,0055,207
27008,2815,95
27054,2808,28
27015,2815,58
27048,2817,19
27035,2811,4
27090,2815,197
26327,8431,23
16113,7502,436
27066,2817,17
27026,2817,30
27077,2815,38
27064,2811,28
26361,8431,9
27056,2803,832
16091,7502,12
27027,2808,23
27062,2815,90
27003,2808,159
16177,7502,3
26324,0055,703
26367,0064,71
16054,7502,11
16229,7502,23
16206,7502,152
16095,7502,17
16190,7502,13
16111,7502,13
16185,7502,13
16184,7502,2
16088,7509,67
16212,7527,31
16220,7509,26
16059,7502,15
16137,7502,24
16218,7509,31
16160,7509,35
16187,7502,101
16141,7502,28
16082,7502,34
16193,7509,40
16224,7509,46
16183,7527,24
16071,7527,18
16084,7502,31
16068,7502,30
16205,7527,32
16168,7502,33
16138,7502,222
16130,7523,17
16119,7502,94
16194,7509,15
16093,7502,90
16204,7502,94
16148,7502,70
16158,7502,17
16157,7502,7
16227,7523,13
16064,7527,73
16062,7502,8
16124,7502,34
16134,7527,43
16052,7502,23
16188,7502,31
16208,7509,25
16096,7502,23
16098,7502,8
16186,7509,52
16135,7502,14
16203,7502,13
16107,7502,32
16150,7509,141
16151,7509,58
16161,7509,11
16133,7502,13
16175,7502,107
16210,7502,39
16074,7502,28
16058,7509,89
16078,7502,523
16121,7502,17
16191,7502,10
16070,7527,129
16171,7509,46
16057,7509,19
16072,7502,34
16101,7502,54
16169,7509,42
16176,7509,25
16128,7527,14
16079,7509,21
16077,7502,34
16211,7502,57
16136,7502,48
16164,7527,20
16181,7527,37
16143,7502,27
16173,7502,7
16085,7502,233
16217,7509,95
16153,7509,83
16189,7502,20
16122,7502,18
16197,7502,8
16073,7502,194
16063,7502,14
16120,7502,98
16167,7509,408
16152,7509,37
16127,7502,13
16065,7527,33
16145,7509,40
16174,7509,32
16102,7509,1549
16114,7502,15
16123,7502,35
16142,7502,18
16139,7509,11
16075,7502,12
16056,7509,72
16086,7527,45
16207,7509,30
16165,7509,37
16104,7502,36
16200,7502,43
16213,7502,16
16162,7502,16
16215,7516,11
16106,7527,254
16109,7509,38
16067,7502,23
16097,7509,192
16154,7502,507
16216,7509,58
16182,7527,34
16069,7502,27
16192,7527,191
16055,7502,37
16223,7502,160
16061,7502,185
16198,7502,43
16112,7523,3
16103,7502,13
16116,7509,28
16125,7502,24
16196,7502,36
16163,7502,83
16209,7502,28
16155,7502,8
16100,7527,40
16199,7502,176
16050,7509,25
16087,7502,14
16110,7502,49
16117,7502,9
16225,7502,49
16180,7523,34
16144,7502,24
16090,7502,229
16195,7502,8
16146,7502,138
16118,7502,10
16166,7502,393
16053,7509,6
16221,7502,17
16089,7509,398
16066,7502,57
16076,7502,66
16178,7509,17
16105,7509,42
16222,7502,32
16060,7509,30
16131,7527,30
27101,2811,22
26313,8431,646
27011,2815,65
27061,2803,16
27070,2817,84
27031,2808,59
27096,2812,18
26360,0055,99
26358,8431,140
27098,2817,6
26337,8422,159
27043,2808,37
26328,8431,5
27002,0057,40
26363,0064,8
26350,8422,5
27040,2808,20
26344,8431,45
26346,8431,23
27034,2817,24
26326,0055,144
26353,8422,68
27025,2808,71
26330,8433,176
27081,2808,10
27074,2803,32
26317,0064,63
26332,8433,120
26359,8431,5
27097,2817,31
27099,2808,35
27063,2808,11
26381,8427,93
26362,8431,6356
27059,2817,14
26347,8431,536
27057,2808,18
27037,2803,65
27068,2808,6
27005,2817,87
27006,2811,9
27004,2808,25
27039,2815,20
26319,8427,43
27022,2817,238
27089,2815,55
26339,8422,157
27013,2815,25
26355,8427,23
26334,8422,21
27051,2803,153
26369,0064,7
26351,8422,2
27078,2808,23
27079,2803,21
27009,2812,31
26315,8427,50
27046,2803,12
27028,2803,17
26374,0064,1
26316,8427,15
27094,2817,5
27106,2803,23
27050,2803,27
27010,2817,9
27100,2811,87
27091,2815,42
27075,2808,16
27042,2803,6
27036,2808,33
27104,2815,46
26333,8433,285
26342,0055,32
27018,2811,48
27082,2808,91
27103,2811,384
27021,2811,24
26340,0064,37
26373,8422,21
27071,2811,19
26375,0064,2
26365,8431,73
27023,2808,31
27105,2815,272
26318,0064,3
26321,8431,32
27033,2808,7
16268,7502,23
26331,8427,46
27049,2803,301
27083,2815,10
26368,8431,35
26348,0064,129
16315,7502,8
26364,8427,40
26320,8427,66
27001,2803,23
26357,0064,169
27069,2812,28
27095,2803,46
27020,2808,78
16323,7502,32
16282,7502,27
26370,0064,13
27044,2808,41
27017,2808,83
26376,0064,16
26356,8422,13
26323,8427,208
27014,2808,46
26335,0064,22
26338,8422,197
27102,2811,48
27085,2815,78
27032,2808,71
27067,2817,112
27012,2815,21
26378,0064,0
33417,7505,249
33484,7514,134
27219,2803,32
26341,8433,53
33374,7505,101
27154,2808,27
33397,7505,461
33384,7516,37
33445,7516,57
33467,7504,30
33329,7514,17
33487,7505,90
33456,7505,33
33405,7505,30
33366,7505,1173
16329,7527,32
33423,7515,30
33474,7505,286
33483,7505,474
33452,7514,53
33492,7505,107
33489,7505,36
33438,7514,109
16361,7502,22
33470,7516,77
33421,7516,34
33431,7505,24
33442,7516,33
33440,7514,19
33408,7505,51
16236,7502,126
33429,7514,19
16378,7502,38
33377,7504,8
33425,7505,144
33324,7504,300
33383,7515,25
33413,7516,217
33373,7516,33
33461,7516,34
33457,7514,48
33460,7516,50
33465,7514,75
33328,7516,93
16392,7502,14
16295,7502,90
16258,7502,26
16290,7502,29
16362,7502,33
16404,7502,5
16403,7527,13
16318,7502,21
16337,7527,58
16239,7502,12
16421,7502,19
16254,7523,21
16292,7502,330
16412,7502,18
16338,7509,28
16377,7502,9
16280,7502,109
16425,7502,21
16341,7502,188
16255,7502,18
16340,7509,101
16418,7502,92
16405,7509,12
16303,7502,27
16287,7502,232
16420,7502,12
16368,7502,69
16281,7502,316
16394,7502,9
16397,7509,29
16380,7509,17
16400,7502,64
16398,7527,17
16359,7509,120
16424,7502,27
16342,7509,26
16264,7527,20
16300,7502,105
16422,7502,38
16349,7509,34
16375,7502,13
16343,7509,24
16256,7509,18
16360,7509,18
16347,7523,42
16373,7502,8
16246,7502,16
16308,7502,75
16335,7502,8
16330,7509,42
16284,7523,8
16350,7523,69
16289,7527,36
16393,7502,193
16379,7502,76
16365,7516,9
16388,7502,25
16285,7502,29
16348,7502,82
16320,7502,69
16261,7502,26
16356,7502,5
16383,7502,59
16234,7502,32
16409,7502,75
16291,7502,371
16364,7502,2
33447,7516,155
21127,2711,37
33344,7516,57
33394,7516,375
33415,7505,176
33463,7514,87
33450,7514,18
33449,7505,2502
33471,7515,67
33472,7516,14
33459,7516,23
33351,7505,127
33407,7516,55
33379,7514,11
33378,7504,104
33355,7514,115
33381,7505,318
33350,7516,139
33353,7514,18
33436,7505,90
33416,7505,62
33345,7514,30
33332,7516,55
33466,7516,182
33482,7514,17
61214,2812,521
61158,2809,2
61094,2809,24
61103,2812,15
61141,0051,22
47248,7501,54
61097,0051,53
61101,2801,10
61138,2812,18
61194,2801,28
61261,0051,14
61095,2809,10
61275,2812,104
61149,2809,12
61096,2809,126
61262,2809,5
61210,2801,15
61196,0061,117
61260,2809,20
61202,0051,19
61199,2801,26
61266,0051,3
61089,2814,9
61281,2809,13
61117,0051,141
61258,0051,57
61297,2812,58
61156,0051,33
61225,2812,3
61304,0051,11
61213,0051,17
61111,0051,22
61171,2801,4
21137,2709,4
61248,2809,46
61114,2801,8
61211,2809,98
61108,2812,10
21190,2704,39
61167,2812,164
61208,2812,36
61178,2812,5
61289,2801,3
61207,0061,34
61298,2801,9
61287,2809,28
61189,2801,23
61195,2809,9
61145,2809,266
61176,2801,10
61146,2809,10
61162,2812,6
61273,2801,3
61209,2809,20
61263,0051,11
21110,2711,72
48034,7613,192
61218,2809,67
21191,2711,43
21186,2704,48
47232,7518,47
47236,7518,12
61198,2814,9
48026,7613,14
48018,7613,33
21255,2711,33
21233,2711,7
47318,7501,60
47229,7518,29
21161,2709,6
21258,2709,11
21251,2709,20
21114,2709,10
48067,7613,10
47271,7518,24
47307,7532,19
47293,7501,22
21218,2711,12
47219,7532,11
21200,2711,122
21224,2709,1
21228,2711,19
21263,2711,124
21163,2711,9
21141,2711,0
21215,2711,5
21142,2711,13
21125,2709,10
21154,2709,378
21212,2709,27
21194,2704,82
21111,2711,26
21179,2711,38
21203,2709,6
21227,2711,65
21166,2711,1033
21231,2711,12773
21243,2704,7
21160,2709,5
21187,2711,10
21182,2704,13
21236,2704,17
21197,2709,1
21140,2704,4
21136,2711,2
21209,2711,173
21134,2709,16
21241,2704,27
21118,2711,3
21116,2711,15
21104,2709,4
21108,2709,7
21124,2709,8
21135,2711,14
21240,2711,21
21232,2709,13
21249,2711,27
21101,2709,11
21208,2711,10
21183,2711,46
21172,2704,8
21239,2711,34
21262,2711,0
21150,2704,74
21196,2704,68
21164,2709,7
21189,2704,45
21180,2711,9
21260,2709,10
21235,2709,4
21238,2711,11
21210,2709,87
21121,2711,13
21119,2711,0
21199,2709,11
21144,2711,0
21245,2711,23
21157,2711,1
21257,2709,2
21168,2711,9
21229,2709,13
21156,2704,2
21129,2711,3
21247,2709,66
21123,2711,0
21128,2709,12
21112,2711,24
21132,2711,28
21198,2709,11
21162,2704,30
21165,2709,2
21204,2709,7
21146,2711,8
21253,2711,10
21131,2704,29
21259,2709,39
21223,2711,126
21242,2711,23
21133,2711,38
21170,2704,34
21219,2711,11
21138,2711,26
21117,2709,1
21216,2704,7
21126,2711,26
21175,2711,8
21153,2709,7
21155,2704,2
21120,2711,28
21173,2704,50
21220,2711,9
21237,2711,11
21177,2709,20
21148,2711,11
21147,2709,3
21145,2709,0
21109,2709,10
21122,2709,22
21192,2711,44
21214,2704,10
21149,2709,7
21158,2711,12
21102,2709,14
21107,2711,71
21151,2709,8
21256,2711,10
21159,2709,5
21207,2711,5
21254,2704,18
21211,2711,6
21106,2711,88
21230,2711,32
21152,2711,10
21181,2704,5
21130,2711,15
21103,2711,191
21167,2711,13
21246,2711,10
21184,2704,4
21226,2709,33
21261,2711,86
21178,2711,17
21100,2709,6
21205,2709,15
21202,2709,12
21171,2711,651
21143,2702,6
21139,2709,11
21195,2704,15
21193,2704,34
21225,2711,8
21217,2711,15
21234,2711,2
21248,2709,4
21244,2709,2
21185,2704,62
21113,2711,9
21201,2709,15
21115,2709,31
21250,2711,9
21252,2709,3
21222,2704,8
21221,2704,3
21169,2704,21
48030,7613,25
21176,2711,4
21105,2711,50
61224,0051,20
27170,2811,141
48028,7613,18
48025,7613,12
48005,7613,18
47273,7501,10
47328,7532,32
47279,7501,23
48058,7613,3
48007,7613,2
47314,7532,27
48041,7613,9
47326,7518,145
48068,7613,2
47278,7518,44
48010,7613,25
47272,7532,21
48001,7613,5
47259,7532,10
47250,7518,8
48055,7613,6
47237,7532,29
47269,7501,48
27245,2817,25
47252,7532,432
27266,2803,14
27190,2808,22
27218,2811,130
48070,7613,76
47306,7532,110
47327,7501,18
27127,2808,25
27249,2817,44
47274,7501,23
48013,7613,52
27176,2817,8
27183,2808,146
27202,2817,19
27147,2808,32
27258,2811,36
27269,2811,12
27194,2817,11
27238,2808,53
27179,2803,48
27133,2815,71
27192,2803,40
27156,2812,26
27116,2803,255
27286,2803,28
27209,2811,20
27240,2803,29
27275,2817,407
27228,2811,12
27188,2815,102
27208,2803,9
27215,2808,12
27200,2808,5
27117,2803,77
27237,2803,13
27204,2817,14
27290,2803,62
27279,2817,175
27234,2808,23
27180,2817,92
27227,2811,34
27153,2817,10
27149,2803,7
27239,2803,25
27201,2808,14
27148,2803,11
27152,2817,50
27302,2815,73
27284,2817,769
27163,2811,9
27213,2817,378
27259,2808,11
27126,2811,37
27256,2808,29
27231,2808,25
27216,2808,17
27134,2811,13
27135,2803,21
27294,2817,50
27120,2808,24
27230,0057,223
27189,2808,20
27155,2812,12
27129,2803,32
27124,2808,14
27224,2808,21
27205,2815,14
27113,2803,5
27199,2817,33
27300,2803,30
27184,2815,1
27278,0057,102
27193,0057,77
27191,2808,191
27222,2811,12
27252,2803,18
27162,2808,11
27233,2811,40
27276,2817,26
27168,2817,17
27164,2808,37
27271,2808,20
27173,2803,4
27251,2803,25
27260,2811,42
27242,2808,47
27185,2815,25
27304,2817,7
27137,2812,12
21337,2711,79
27114,2808,76
27157,2808,73
27206,0057,26
27140,2817,23
27248,2803,7
27138,2803,14
27161,2808,62
27139,2812,9
27203,2817,56
27212,2808,4
27267,2803,20
27112,2808,229
27171,2808,33
27181,0057,32
27123,2808,39
27298,2808,8
27254,2808,59
27196,2815,64
27232,2817,16
27295,2803,32
27142,2817,21
27261,2815,28
27282,2808,26
27118,2808,42
27246,2815,92
27217,2808,24
27109,2808,17
27169,2811,59
27285,2817,56
27277,2808,39
27158,2808,29
27210,2803,35
27291,2812,10
27108,2808,91
27107,2811,83
27220,2808,21
27177,2808,29
21348,2711,3
21346,2711,15
21270,2711,16
21331,2711,8
21411,2704,45
21300,2711,28
21280,2709,15
21293,2711,11
21294,2704,27
21357,2709,4
21321,2709,7
21319,2711,46
21413,2709,29
21388,2711,21
21418,2711,3
21328,2709,6
21287,2709,12
21326,2709,9
21362,2709,12
21408,2711,158
21305,2709,9
21368,2704,14
21379,2709,6
21423,2704,62
21392,2709,3
21279,2709,3
21299,2709,6
21278,2711,880
21381,2709,5
21265,2711,83
21396,2709,1
21303,2711,0
21404,2709,21
21307,2709,4
21389,2709,17
21356,2711,93
21402,2711,1
21400,2711,8
21386,2709,28
21347,2704,52
21405,2704,79
21375,2701,7
21383,2711,77
21290,2711,65
21288,2709,12
21391,2711,65
21371,2711,45
21276,2709,1
21312,2711,0
21338,2711,18
21365,2709,3
21314,2709,2
21322,2704,6
21407,2704,13
21394,2709,10
21291,2709,12
21304,2711,23
21330,2711,16
21393,2709,8
21424,2711,2
21395,2709,15
21355,2711,738
21384,2704,11
21315,2711,101
21419,2709,12
21340,2704,10
21399,2709,11
21376,2711,8
21313,2711,3
21286,2711,11
21302,2709,3
21398,2711,26
21345,2711,11
21296,2709,7
21277,2711,78
21417,2709,10
21344,2711,11
21401,2704,26
21275,2711,6
21351,2711,52
21369,2711,21
21289,2704,10
21267,2704,39
21301,2704,14
21309,2702,2
21377,2711,1
21410,2709,2
21366,2711,13
21360,2704,8
21282,2709,7
21311,2704,1
21324,2709,2
21409,2704,26
21422,2709,13
21374,2704,13
21415,2711,9
21329,2709,3
21339,2711,35
21341,2709,8
21295,2711,298
21306,2711,19
21297,2711,89
21333,2711,17
21363,2704,19
21373,2711,64
21350,2711,2
21354,2709,1
21266,2711,17
21349,2709,41
21269,2711,29
21403,2701,5
21274,2704,5
21292,2711,322
21380,2709,2
21332,2704,59
21336,2702,41
21310,2711,5
21414,2704,24
21317,2711,324
21281,2711,12
21320,2711,64
21298,2709,8
21364,2709,6
21285,2711,31
21359,2711,0
21268,2711,9
21271,2709,30
21378,2702,9
21273,2711,143
21358,2709,10
21342,2712,22
21352,2711,79
21416,2711,156
21353,2711,72
21421,2711,26
21284,2711,20
21283,2711,4
21316,2711,20
21327,2704,18
21390,2711,497
21370,2711,68
21372,2709,3
21335,2709,10
21387,2704,17
21308,2709,11
21325,2704,18
21367,2711,17
21264,2704,1
21397,2704,7
21412,2704,276
21420,2704,9
21361,2711,27
21323,2711,10
21334,2704,23
21272,2709,22
21382,2709,14
21385,2711,18
21343,2709,7
21406,2711,23
27165,2808,309
27187,2815,21
27287,2808,30
27289,2803,12
27146,2811,18
27111,2808,16
27182,2808,15
27207,2803,34
27306,2808,338
27235,2808,9
27125,2803,26
27174,2811,79
27288,2811,27
27301,2808,71
27119,2808,93
27226,2817,265
27132,2808,43
27130,2803,20
27141,2808,3
27151,2815,120
27299,2808,251
27110,2811,28
27273,2808,31
27198,2808,430
27247,2815,19
27144,2808,19
27167,2811,40
27241,2808,8
27263,2811,74
27115,2808,18
27243,2811,38
27136,2808,22
27229,2808,2976
27280,2808,23
27214,2817,44
48037,7613,8
47228,7532,44
47292,7532,39
47253,7518,44
33520,7518,25
48031,7613,4
48043,7613,35
47263,7518,80
33534,7505,105
47281,7501,13
48071,7613,1
47239,7532,67
48048,7613,7
33549,7514,24
47240,7532,33
47256,7532,10
48059,7613,7
48012,7613,16
47284,7532,24
47310,7518,582
47267,7518,21
47313,7518,7
48008,7613,9
47316,7518,37
48044,7613,1
47299,7532,16
47308,7501,7
47276,7532,27
48061,7613,225
47319,7518,9
48027,7613,82
48054,7613,0
47283,7532,53
47298,7518,14
47227,7518,12
47235,7518,36
47291,7532,35
27281,2808,13
47323,7532,1788
47317,7518,41
47280,7532,191
