codgeo,ze2020,side_stocks_ul_2023_total
02577,3221,1
02641,3214,2
02560,3220,14
02671,3221,18
02575,3220,59
02661,3214,15
02544,3217,22
02635,3220,7
02682,3221,5
02657,3217,6
02536,3221,4
02568,3221,11
02583,3214,3
02582,3214,3
02655,3209,2
02619,3214,5
02605,3220,7
02584,3217,6
02675,3214,7
02684,3217,127
02610,3221,18
02606,3209,6
02621,3214,20
02616,3221,7
02534,3214,5
02569,3220,17
02551,3221,5
02680,3214,113
02642,3214,11
02644,3221,14
02609,3214,2
02607,3221,8
02566,3220,32
02593,3221,49
02676,3214,109
02690,3214,7
02631,3220,9
02638,3214,10
02562,3221,10
02579,3209,4
02558,3217,142
02588,3214,3
02604,3220,5
02624,3220,11
02673,3221,21
02617,3214,15
02557,3221,4
02555,3209,97
02553,3214,17
02541,3214,24
02689,3214,2
02650,3217,14
02634,3214,5
02622,3209,2
02546,3220,10
02556,3214,1
02572,3214,15
02681,3217,13
02677,3209,5
02688,3217,1
02612,3221,6
02595,3209,7
02629,3220,16
02696,3214,2
02693,3221,13
02587,3214,11
02581,3221,9
02608,3217,18
02662,3209,16
02659,3220,43
02658,3220,9
02591,3214,3
02574,3217,63
02660,3214,4
02586,3214,6
02691,3220,3204
02625,3220,5
02540,3209,36
02647,3220,0
02559,3214,22
02600,3214,16
02602,3214,77
02618,3220,18
02538,3209,2
02573,3214,1
02683,3220,2
02633,3221,3
02664,3209,7
02685,3214,5
02578,3214,5
02649,3209,14
02667,3221,13
02585,3221,7
02653,3209,29
02648,3220,100
02565,3214,12
02532,3220,60
32457,7604,11
32459,7604,95
32353,7604,10
09243,7612,8
09323,7612,8
32391,7604,20
32460,7624,15
02548,3217,15
09264,7612,140
09208,7622,7
09271,7612,15
09199,7612,43
09232,7612,10
32306,7604,39
32336,7604,13
09322,7622,52
09275,7612,23
32454,7604,4
32411,7604,13
09292,7622,6
09328,7612,9
09268,7622,122
09211,7612,17
09197,7612,6
09192,7612,11
09204,7622,21
09308,7622,17
09326,7612,10
09340,7612,15
09214,7622,71
09252,7608,2
09284,7612,8
09249,7612,9
09296,7612,17
09297,7622,1
09342,7625,15
09258,7612,24
09227,7612,12
09240,7612,6
09203,7612,14
09217,7612,11
09247,7622,16
09315,7612,3
09181,7612,128
09202,7612,19
09320,7612,1
09231,7622,19
09262,7612,25
09198,7622,19
09309,7612,12
09329,7612,44
09230,7608,5
09327,7612,18
09224,7612,45
09257,7622,81
09259,7612,12
09229,7612,36
09213,7612,7
09242,7612,6
09330,7612,1
09200,7612,17
09206,7612,61
09299,7622,30
09285,7622,98
09187,7622,22
09244,7612,57
09289,7622,136
09338,7612,15
09222,7612,0
09312,7612,226
02500,3220,31
02502,3214,74
02504,3220,47
09280,7612,65
09239,7608,12
09307,7622,13
09225,7612,1321
09321,7612,13
09314,7612,23
09216,7612,5
09300,7612,14
09174,7612,23
09263,7622,3
09210,7612,28
09290,7622,20
09175,7612,5
09193,7612,2
09324,7612,281
09220,7612,13
09237,7608,0
09251,7612,18
09209,7622,84
09304,7612,2
09218,7612,4
09173,7612,23
09273,7612,44
09281,7612,7
09180,7612,9
09201,7622,5
09223,7622,57
09283,7612,25
09183,7622,9
09196,7612,6
09253,7612,25
09205,7612,13
02698,3221,5
09178,7612,4
02714,3221,15
09291,7622,10
09179,7612,7
09305,7612,32
09254,7612,12
09318,7612,6
02756,3220,31
09269,7612,30
09336,7612,67
09233,7612,6
02705,3214,7
09235,7622,79
09316,7612,9
09245,7612,70
09311,7612,2
09236,7612,15
09276,7612,18
09266,7612,2
09267,7622,19
09334,7612,43
09250,7612,7
09234,7612,4
09241,7612,27
09319,7612,11
09261,7622,663
09282,7612,356
09228,7612,29
09335,7622,6
10002,4425,12
09274,7612,15
09207,7612,115
09279,7622,2
09298,7612,8
09313,7622,19
09215,7612,9
09188,7612,83
09303,7612,29
09195,7612,3
09184,7612,1
09189,7612,15
09265,7612,245
09246,7622,59
02785,3220,57
09219,7622,13
09310,7612,1
09186,7612,14
09238,7612,67
09226,7612,2
09194,7612,386
09260,7612,2
09277,7612,57
09185,7612,346
09294,7612,9
09272,7612,73
09301,7622,35
09176,7612,26
09332,7612,233
03011,8424,19
09182,7622,145
02701,3209,34
09221,7612,26
02719,3220,87
09177,7612,16
02539,3220,30
02805,3221,208
02776,3220,26
03012,8424,29
09212,7622,9
09293,7612,75
09270,7612,19
02703,3220,31
02812,3221,9
02830,3220,43
09325,7612,2
02791,3214,16
02831,3217,5
02715,3221,3
03024,8432,12
02794,3209,16
02801,3214,14
02784,3220,9
02829,3221,2
02721,3220,21
02802,3214,5
02803,3214,5
02728,3217,2
02707,3214,9
02797,3221,10
02770,3221,48
02716,3220,12
02777,3209,14
02787,3214,6
02699,3209,16
02720,3214,89
02806,3209,6
02729,3221,6
02769,3220,31
02767,3221,14
03016,8432,10
02718,3221,12
02735,3221,1
03015,8424,10
02822,3221,20
02773,3221,1
03019,8424,74
03017,8432,10
02717,3220,31
02790,3214,3
02796,3209,3
02741,3220,12
02780,3221,45
02783,3220,2
03028,8432,29
02747,3220,4
02824,3214,17
03020,8423,20
03023,8432,604
02758,3221,109
03014,8432,9
02765,3214,12
02789,3217,147
02739,3221,20
02788,3214,21
02706,3221,40
02709,3220,19
02821,3214,28
02818,3209,32
02816,3209,25
02731,3220,6
02755,3214,43
02810,3221,490
02763,3221,10
02754,3220,5
02704,3221,15
02774,3220,6
02815,3220,14
02726,3220,13
03021,8432,12
02807,3220,28
03005,8423,16
03006,8432,35
02799,3221,19
02734,3221,17
02827,3214,11
03027,8423,44
02819,3214,4
02768,3221,24
02702,3220,15
02746,3220,22
02730,3221,12
03007,8423,18
02736,3221,11
02782,3220,6
03008,8432,26
02732,3220,1
02834,3214,6
02775,3220,28
02744,3209,6
02800,3209,9
03003,8424,77
02753,3220,12
02724,3209,1
02762,3221,7
02798,3209,73
03001,8432,229
02722,3221,1682
02813,3220,15
02779,3220,7
02742,3214,7
02740,3217,9
02723,3214,16
02757,3220,16
02751,3214,8
02817,3221,4
02745,3214,3
02792,3209,12
02793,3221,12
02749,3221,10
02743,3214,12
02795,3221,81
02772,3220,4
02832,3220,7
02711,3221,11
02781,3209,13
02826,3217,18
02738,3220,388
02764,3214,6
02778,3214,6
02761,3214,8
02725,3217,5
02786,3221,5
02823,3214,4
03010,8423,16
02828,3221,7
03022,8432,98
02712,3209,8
03004,8432,12
02752,3220,7
02809,3209,9
03018,8432,32
02760,3220,4
03002,8424,21
02759,3217,17
03013,8424,269
02750,3221,29
02748,3209,49
02804,3221,7
02833,3217,23
02713,3209,19
02820,3220,100
02727,3214,7
02708,3220,16
02808,3220,7
02737,3214,20
03025,8424,45
02710,3220,31
03009,8424,4
03026,8424,49
09256,7612,2
09190,7622,11
17005,7509,9
09331,7612,74
32309,7604,8
32341,7604,24
32445,7624,13
02814,3220,5
32357,7604,5
32348,7604,53
32425,7625,76
32313,7609,19
09306,7612,262
32458,7604,17
32335,7604,35
32323,7604,8
32385,7604,16
32436,7604,32
32301,7604,86
32423,7604,5
32420,7604,5
32365,7622,37
32433,7604,87
32359,7604,15
32387,7604,6
32416,7604,32
32312,7604,40
32377,7604,21
32344,7624,154
09295,7612,4
32424,7624,22
32396,7604,11
17029,7509,12
32370,7604,96
32452,7604,26
32397,7604,34
46305,7607,17
32417,7604,34
47006,7532,57
46283,7619,25
46237,7611,26
10154,4415,11
46224,7607,208
46240,7619,126
46281,7619,18
46312,7619,12
46256,7607,51
47042,7518,7
46263,7607,57
47038,7518,49
25100,2715,45
46245,7607,1
46282,7619,7
46231,7607,182
46293,7619,52
47040,7501,147
46241,7607,21
46243,7619,13
47023,7532,28
46308,7619,5
47008,7518,7
47005,7518,56
47011,7532,15
46277,7607,21
47034,7518,57
47049,7532,132
17092,7509,13
47020,7518,23
46309,7619,341
17073,7528,75
47009,7501,24
09341,7612,8
46317,7619,26
46225,7607,303
47016,7501,75
46299,7607,18
46338,7619,0
46276,7607,24
46235,7619,8
47010,7518,13
17077,7516,97
47041,7501,49
46265,7619,31
17107,7512,103
17108,7528,19
46311,7619,104
46328,7611,36
46336,7607,27
46259,7607,9
46230,7611,6
46227,7611,8
47015,7501,154
17100,7509,73
46333,7611,10
17028,7512,1139
47012,7518,15
17135,7509,13
02766,3221,4
25131,2715,13
46306,7611,6
47029,7532,44
61060,2812,3
61085,2809,6
17145,7509,34
46323,7607,10
17129,7509,27
17044,7528,58
17050,7528,25
17057,7512,55
17111,7528,50
17071,7509,25
17009,7512,90
17157,7528,13
17047,7528,11
17008,7512,159
17134,7528,35
17137,7528,10
17048,7509,21
17069,7509,15
17142,7512,562
17115,7528,19
17049,7528,5
17072,7509,90
10054,4415,5
03085,8424,43
17120,7528,132
17038,7509,38
17109,7512,91
03068,8432,9
17010,7512,470
17034,7526,25
17167,7509,38
17172,7528,262
17013,7528,26
17083,7525,49
17119,7526,100
17162,7509,32
17140,7526,425
17128,7528,48
17036,7525,38
17149,7520,1
17159,7528,27
17164,7528,147
17130,7509,38
17139,7520,20
17133,7528,59
03101,8423,483
10094,4427,53
17089,7528,60
17093,7526,490
17042,7528,27
09339,7612,50
17132,7512,38
17076,7509,17
17066,7509,15
17043,7512,86
17024,7520,117
17007,7512,28
17148,7528,29
17074,7509,66
17011,7528,19
17091,7512,141
03132,8432,40
03140,8423,30
03078,8432,19
03057,8424,7
03032,8423,6
03066,8432,35
03065,8424,32
03190,8424,1434
03136,8423,10
03166,8432,9
03087,8424,35
03135,8432,20
03093,8432,94
03178,8432,11
03156,8424,73
03177,8424,16
03117,8424,25
03130,8424,23
03037,8424,9
03077,8432,10
03161,8423,74
03172,8423,6
03170,8424,12
03127,8423,44
03080,8432,41
03116,8432,8
03154,8424,14
03105,8432,13
03041,8424,16
03035,8432,4
03097,8423,17
03062,8432,46
03058,8423,12
03159,8423,58
03157,8432,41
03120,8424,19
03069,8424,15
03095,8432,852
03180,8424,24
03133,8432,31
03134,8432,5
03104,8423,50
03162,8424,18
03054,8424,15
03106,8423,57
03189,8423,40
03187,8432,20
03060,8432,90
03184,8424,7
03113,8432,36
03164,8432,11
03143,8423,7
03038,8432,23
03141,8432,11
03090,8424,23
03079,8432,12
03137,8432,8
03059,8432,22
03098,8423,236
03043,8432,81
03055,8423,55
03048,8424,94
03039,8424,17
03112,8432,42
03045,8432,45
03102,8424,198
03031,8423,19
03076,8424,12
03082,8423,308
03188,8432,6
03051,8423,15
03053,8432,81
03155,8424,104
03139,8432,17
03148,8432,10
03145,8423,30
03125,8432,9
03171,8424,14
03072,8423,18
03063,8424,47
03183,8424,31
03182,8432,14
03099,8424,19
03169,8424,13
03118,8432,454
03075,8432,11
03074,8424,48
03030,8432,49
03056,8432,17
03061,8432,26
03083,8432,22
03070,8423,3
03089,8432,10
03084,8423,105
03181,8424,12
03046,8424,41
03163,8432,40
03111,8423,78
03129,8423,12
03050,8432,12
03174,8432,49
03160,8432,33
03138,8432,225
03152,8432,22
03036,8424,209
03064,8424,5
03108,8432,23
03100,8424,58
03094,8432,267
03185,8423,2105
03067,8424,6
03122,8424,24
03081,8423,12
03144,8424,11
03142,8432,12
03150,8424,14
03073,8424,23
03088,8423,15
03109,8432,37
03040,8424,46
03176,8432,36
03158,8423,41
03119,8424,28
03128,8423,137
03149,8432,16
03071,8432,14
03126,8432,62
03034,8432,20
03047,8423,17
03179,8432,15
03175,8432,11
03033,8432,10
03173,8424,62
03131,8432,47
03167,8423,12
03086,8424,11
03124,8424,11
03049,8432,28
03052,8423,43
03151,8423,12
03115,8432,14
03091,8432,22
03096,8432,5
03029,8432,44
03121,8424,22
03168,8423,72
03103,8424,71
03146,8424,13
03114,8432,14
03092,8424,40
03110,8432,56
03044,8432,104
03186,8423,120
03147,8432,14
03107,8432,131
03165,8432,138
10115,4425,174
17035,7509,3
17039,7528,12
17155,7526,205
10066,4425,30
17104,7509,104
17017,7528,46
17099,7509,48
10122,4425,12
10070,4425,54
10111,4425,17
03042,8432,49
10021,4425,10
10142,4425,122
10147,4425,7
10138,4425,6
10047,4425,2
10160,4425,1
10114,4415,23
10144,4415,7
10004,4425,15
10110,4425,44
10087,4425,9
10097,4425,7
10157,4415,6
10135,4425,6
10092,4425,9
10141,4425,57
10011,4425,14
10042,4425,13
10045,4425,10
10109,4425,22
10026,4427,3
10075,4415,17
10052,4415,17
10044,4425,0
10046,4425,3
10118,4425,7
10120,4425,16
10128,4425,4
10098,4425,21
03206,8423,8
10013,4425,5
10077,4425,12
10164,4415,19
10082,4425,19
10019,4425,22
10085,4415,2
10079,4425,11
10068,4425,15
10062,4425,12
10050,4425,7
10125,4425,21
10158,4425,38
10091,4425,5
10162,4425,21
10090,4425,15
10140,4425,68
10073,4425,6
10063,4425,18
10023,4415,8
10020,4415,23
03200,8424,81
03193,8423,11
10055,4425,9
10051,4425,52
10040,4425,8
10105,4425,3
10039,4425,8
10124,4425,14
10031,4415,25
03230,8432,18
10024,4425,7
10149,4425,16
10076,4425,14
10006,4425,197
10065,4425,6
10146,4415,3
10102,4425,19
10025,4425,13
10143,4425,12
10151,4425,69
10034,4425,246
10127,4425,1
10126,4425,12
10056,4425,18
10166,4425,34
10131,4425,19
10010,4427,1
10064,4425,173
10032,4425,23
10119,4425,4
10095,4425,18
10067,4425,151
03239,8424,6
10048,4425,11
10081,4425,662
10071,4425,0
10113,4425,15
10086,4415,13
10150,4425,12
10108,4425,1
10037,4425,27
10012,4425,9
03246,8423,19
10145,4425,10
10084,4425,96
10053,4425,35
10089,4415,26
10159,4425,7
10003,4425,222
10134,4425,10
10121,4425,21
10106,4415,11
10038,4415,13
03221,8424,46
10074,4425,28
10029,4425,29
10137,4425,2
10117,4425,3
10069,4425,20
10107,4425,5
10116,4425,22
10104,4425,23
10100,4425,94
10083,4425,15
10130,4425,12
10139,4425,10
10058,4425,16
10017,4425,8
10009,4425,5
10015,4425,28
10030,4425,166
10165,4425,33
10161,4425,10
10101,4425,16
10014,4425,13
10156,4425,42
10163,4425,1
10078,4425,6
10059,4425,7
10080,4425,84
10033,4425,290
03251,8424,23
10035,4425,14
10112,4425,9
10027,4427,6
10133,4425,19
10123,4425,65
10061,4425,36
10096,4425,29
10136,4425,7
10103,4425,10
10028,4425,4
10022,4425,12
03213,8423,8
10129,4425,29
10093,4425,4
10007,4425,5
10099,4425,29
10008,4425,4
10060,4425,201
10057,4415,5
03321,8424,616
10049,4425,32
03257,8432,47
03209,8432,11
03299,8432,9
03307,8432,11
04019,9307,473
03278,8432,14
03272,8432,13
03266,8432,15
03296,8424,26
03284,8424,18
03279,8423,21
10005,4425,9
10132,4415,15
03273,8432,32
10148,4415,16
03258,8432,128
03263,8424,7
03202,8424,40
03233,8423,16
03250,8432,19
03207,8424,25
