annee,trimestre,code_zone_d_emploi,effectifs_salaries_brut,effectifs_salaries_cvs,masse_salariale_cvs
2012,4,4421,15907,15998,97277471
2012,1,4427,26037,26273,154200070
2012,2,4416,30949,30714,196832131
2012,4,4416,29976,30237,195372701
2012,1,4417,20035,20192,118868232
2012,2,4417,20254,20151,118160656
2012,3,4417,20207,20106,117224761
2012,2,4419,17767,17537,104954331
2012,3,4419,17624,17455,105381521
2012,4,4419,17290,17373,104978047
2012,4,4420,22646,22836,142496613
2012,2,4421,1914,1913,11313588
2012,3,4421,1913,1899,11332251
2012,1,4424,57331,57637,353329450
2012,4,4424,56123,56210,347436049
2012,3,4426,13787,13744,77518101
2012,2,4427,848,858,5087486
2012,3,4427,894,877,5253336
2012,1,4405,57566,58577,380653148
2012,3,4405,58835,58320,381978049
2012,4,4405,58558,58285,383361662
2012,2,4409,66001,65622,430753748
2012,4,4409,65829,65880,432897517
2012,1,4418,18649,18881,124189367
2012,3,4418,19097,18928,124889054
2012,4,4418,18919,19028,126568713
2012,2,5201,26123,25930,156468694
2012,2,5202,107485,106790,636367068
2012,3,5202,105863,106097,636811556
2012,4,5203,31035,32543,179011513
2012,1,5204,10200,10263,58037014
2012,3,5205,10791,10834,59990316
2012,1,5206,59041,59531,357761196
2012,2,5206,59717,59408,357170142
2012,3,5206,59535,59533,360786447
2012,4,5206,59877,59871,364816176
2012,1,5208,17795,18029,108876385
2012,1,5210,47940,48264,287561287
2012,4,5210,48240,48449,290412583
2012,2,5211,45833,45619,283073211
2012,3,5212,100054,99937,627281128
2012,4,5212,99239,99432,627545178
2012,2,5213,51485,51040,303796328
2012,4,5214,16755,17537,99981560
2012,2,5215,19940,19757,116761882
2012,4,5215,19445,19586,117298327
2012,3,5216,298696,299358,2028110529
2012,1,5218,15786,16064,95479253
2012,3,5218,16054,16159,95875290
2012,2,7520,59406,58790,395522374
2012,4,7520,58602,58951,400007360
2012,2,7523,633,629,3615704
2012,2,7524,77021,76609,447033496
2012,3,7524,76253,76493,447803214
2012,4,7524,76566,76279,447978343
2012,2,7526,23595,22313,114686496
2012,3,7526,24251,22322,114311621
2012,1,7502,4,4,11516
2012,4,7502,1,1,6167
2012,1,7503,83971,86556,526612403
2012,4,7503,83726,86196,531863170
2012,1,7504,20392,20789,115185091
2012,3,7504,20916,20679,115935126
2012,2,7505,338266,335099,2292396854
2012,1,7507,4137,4200,25291980
2012,3,7510,37778,35566,209999296
2012,1,7513,24832,26196,146452759
2012,1,7514,17654,17897,95470921
2012,3,7522,83914,83925,543607301
2012,4,7522,84124,84009,549791106
2012,1,7527,11,11,56139
2012,2,7527,10,10,52381
2012,2,7532,16196,16048,86535098
2012,1,7507,30518,30958,185139352
2012,2,7507,30887,30715,184067586
2012,3,7507,31190,31022,184773797
2012,1,7517,73450,74035,449604696
2012,3,7527,10376,10395,61915256
2012,2,7608,3,3,7957
2012,3,7608,5,5,18517
2012,1,7609,12103,12449,73215978
2012,2,7610,34260,34005,206443423
2012,1,7611,19656,19916,112837819
2012,2,7611,20046,19874,112973499
2012,2,7612,24814,24699,137412375
2012,4,7612,24438,24540,139076656
2012,2,7614,13811,13586,76083761
2012,3,7615,35807,35658,202984208
2012,2,7619,12475,12161,72337085
2012,4,7619,11691,12033,73681467
2012,2,7621,35971,35657,203292872
2012,2,7622,21037,20949,113277524
2012,4,7622,20873,20891,114221314
2012,2,7624,55488,54659,307082212
2012,3,7625,399095,400312,2938329864
2012,1,7601,13318,15022,78246771
2012,4,2812,8190,8202,47711377
2012,3,2814,19075,18920,109872395
2012,1,2816,25794,26201,144430059
2012,3,2818,10390,10329,59081935
2012,4,2818,10374,10361,59329252
2012,1,0051,22847,23008,126831895
2012,4,0051,22621,22689,126694354
2012,1,3201,16872,17257,91092828
2012,4,3201,16532,16969,91761801
2012,3,3202,90946,90977,563184815
2012,3,3210,52682,52588,348360808
2012,4,3210,52328,52324,347112120
2012,2,3211,64510,63761,416561680
2012,3,3211,63797,63647,417192889
2012,4,3214,18384,18392,104977658
2012,2,3217,7953,7917,45767949
2012,4,3205,49069,49099,305615055
2012,2,3206,38620,38436,219532788
2012,3,3206,38491,38262,218310077
2012,1,4401,15349,15487,90867859
2012,2,4401,15436,15417,90510051
2012,3,4404,3768,3767,19774109
2012,3,4407,45716,45230,274754784
2012,4,4407,44794,45014,276248157
2012,1,4408,19836,20123,109701243
2012,2,4408,20234,20068,109188877
2012,3,4408,20041,19892,109342835
2012,2,4410,128764,128135,798912282
2012,4,4410,126581,126935,795017540
2012,2,4419,9126,9158,58232221
2012,4,4419,9072,9057,58268671
2012,2,4420,7181,7155,44979757
2012,3,4420,7143,7070,45391131
2012,1,4422,24780,25117,160735907
2012,2,4422,25289,25049,160001147
2012,4,4422,24783,24943,161468977
2012,1,4423,234335,235979,1601587856
2012,3,4423,235686,235084,1610812446
2012,2,5305,19579,19311,111548949
2012,1,5306,11620,11727,65221140
2012,4,5306,11670,11750,65543576
2012,1,5307,13063,13423,74901715
2012,2,5307,13747,13400,75690125
2012,3,5307,13550,13455,75861674
2012,4,5308,20320,20724,126391477
2012,1,5309,53131,53578,314501460
2012,1,5310,29537,30395,180405833
2012,2,5310,30838,30231,180674482
2012,3,5310,30623,30140,179874128
2012,2,5311,16148,15854,87221775
2012,1,5312,29921,30217,175167357
2012,2,5312,30434,30154,175198765
2012,1,5313,68020,69515,399718477
2012,2,5314,11276,11049,66585650
2012,3,5314,11185,11146,66705507
2012,4,5315,205304,204849,1360206017
2012,3,5317,34706,34116,200372275
2012,4,5317,33638,34111,201392923
2012,3,5318,50641,50158,284096703
2012,4,5318,49422,50004,284286946
2012,1,5319,27197,27589,166892914
