zone_id,target_year,a10,jobs
BE_nivelles,2010,GI,28381.0
BE_nivelles,2010,JZ,3136.0
BE_nivelles,2010,KZ,3887.0
BE_nivelles,2010,LZ,553.0
BE_nivelles,2010,MN,13950.0
BE_nivelles,2010,OPQ,41043.0
BE_nivelles,2010,RSU,3725.0
BE_nivelles,2011,A,369.0
BE_nivelles,2011,BE,19649.0
BE_nivelles,2011,FZ,5842.0
BE_nivelles,2011,GI,28237.0
BE_nivelles,2011,JZ,3271.0
BE_nivelles,2011,KZ,3898.0
BE_nivelles,2011,LZ,567.0
BE_nivelles,2011,MN,15430.0
BE_nivelles,2011,OPQ,40028.0
BE_nivelles,2011,RSU,3936.0
BE_nivelles,2012,A,400.0
BE_nivelles,2012,BE,19808.0
BE_nivelles,2012,FZ,5931.0
BE_nivelles,2012,GI,27785.0
BE_nivelles,2012,JZ,3328.0
BE_nivelles,2012,KZ,3823.0
BE_nivelles,2012,LZ,675.0
BE_nivelles,2012,MN,15440.0
BE_nivelles,2012,OPQ,39913.0
BE_nivelles,2012,RSU,3958.0
BE_nivelles,2013,A,380.0
BE_nivelles,2013,BE,20331.0
BE_nivelles,2013,FZ,5721.0
BE_nivelles,2013,GI,27347.0
BE_nivelles,2013,JZ,3343.0
BE_nivelles,2013,KZ,3827.0
BE_nivelles,2013,LZ,668.0
BE_nivelles,2013,MN,16539.0
BE_nivelles,2013,OPQ,39743.0
BE_nivelles,2013,RSU,4086.0
BE_nivelles,2014,A,329.0
BE_nivelles,2014,BE,20670.0
BE_nivelles,2014,FZ,5621.0
BE_nivelles,2014,GI,28098.0
BE_nivelles,2014,JZ,3494.0
BE_nivelles,2014,KZ,3799.0
BE_nivelles,2014,LZ,707.0
BE_nivelles,2014,MN,16752.0
BE_nivelles,2014,OPQ,39858.0
BE_nivelles,2014,RSU,4335.0
BE_nivelles,2015,A,333.0
BE_nivelles,2015,BE,21077.0
BE_nivelles,2015,FZ,5431.0
BE_nivelles,2015,GI,28215.0
BE_nivelles,2015,JZ,3479.0
BE_nivelles,2015,KZ,3908.0
BE_nivelles,2015,LZ,733.0
BE_nivelles,2015,MN,18656.0
BE_nivelles,2015,OPQ,40303.0
BE_nivelles,2015,RSU,3811.0
BE_nivelles,2016,A,371.0
BE_nivelles,2016,BE,21444.0
BE_nivelles,2016,FZ,5314.0
BE_nivelles,2016,GI,28393.0
BE_nivelles,2016,JZ,3674.0
BE_nivelles,2016,KZ,3856.0
BE_nivelles,2016,LZ,743.0
BE_nivelles,2016,MN,19033.0
BE_nivelles,2016,OPQ,40548.0
BE_nivelles,2016,RSU,3999.0
BE_nivelles,2017,A,380.0
BE_nivelles,2017,BE,21857.0
BE_nivelles,2017,FZ,5226.0
BE_nivelles,2017,GI,28584.0
BE_nivelles,2017,JZ,4183.0
BE_nivelles,2017,KZ,3878.0
BE_nivelles,2017,LZ,768.0
BE_nivelles,2017,MN,19756.0
BE_nivelles,2017,OPQ,41028.0
BE_nivelles,2017,RSU,4123.0
BE_nivelles,2018,A,433.0
BE_nivelles,2018,BE,22490.0
BE_nivelles,2018,FZ,5260.0
BE_nivelles,2018,GI,29264.0
BE_nivelles,2018,JZ,4375.0
BE_nivelles,2018,KZ,3911.0
BE_nivelles,2018,LZ,798.0
BE_nivelles,2018,MN,19593.0
BE_nivelles,2018,OPQ,41645.0
BE_nivelles,2018,RSU,4121.0
BE_nivelles,2019,A,454.0
BE_nivelles,2019,BE,22645.0
BE_nivelles,2019,FZ,4998.0
BE_nivelles,2019,GI,29113.0
BE_nivelles,2019,JZ,4862.0
BE_nivelles,2019,KZ,3694.0
BE_nivelles,2019,LZ,830.0
BE_nivelles,2019,MN,19658.0
BE_nivelles,2019,OPQ,42202.0
BE_nivelles,2019,RSU,4051.0
BE_nivelles,2020,A,483.0
BE_nivelles,2020,BE,22718.0
BE_nivelles,2020,FZ,4961.0
BE_nivelles,2020,GI,27854.0
BE_nivelles,2020,JZ,5001.0
BE_nivelles,2020,KZ,3641.0
BE_nivelles,2020,LZ,821.0
BE_nivelles,2020,MN,19565.0
BE_nivelles,2020,OPQ,42797.0
BE_nivelles,2020,RSU,4009.0
BE_ostende,2008,A,124.0
BE_ostende,2008,BE,4859.0
BE_ostende,2008,FZ,2225.0
BE_ostende,2008,GI,11571.0
BE_ostende,2008,JZ,212.0
BE_ostende,2008,KZ,610.0
BE_ostende,2008,LZ,346.0
BE_ostende,2008,MN,4030.0
BE_ostende,2008,OPQ,14818.0
BE_ostende,2008,RSU,1478.0
BE_ostende,2009,A,129.0
BE_ostende,2009,BE,4518.0
BE_ostende,2009,FZ,2185.0
BE_ostende,2009,GI,11243.0
BE_ostende,2009,JZ,244.0
BE_ostende,2009,KZ,573.0
BE_ostende,2009,LZ,387.0
BE_ostende,2009,MN,3863.0
BE_ostende,2009,OPQ,14944.0
BE_ostende,2009,RSU,1531.0
BE_ostende,2010,A,134.0
BE_ostende,2010,BE,4450.0
BE_ostende,2010,FZ,2284.0
BE_ostende,2010,GI,11201.0
BE_ostende,2010,JZ,202.0
BE_ostende,2010,KZ,567.0
BE_ostende,2010,LZ,581.0
BE_ostende,2010,MN,3743.0
BE_ostende,2010,OPQ,14813.0
BE_ostende,2010,RSU,1502.0
BE_ostende,2011,A,157.0
BE_ostende,2011,BE,4363.0
BE_ostende,2011,FZ,2428.0
BE_ostende,2011,GI,11158.0
BE_ostende,2011,JZ,182.0
BE_ostende,2011,KZ,565.0
BE_ostende,2011,LZ,568.0
BE_ostende,2011,MN,4013.0
BE_ostende,2011,OPQ,14891.0
BE_ostende,2011,RSU,1495.0
BE_ostende,2012,A,149.0
BE_ostende,2012,BE,4427.0
BE_ostende,2012,FZ,2417.0
BE_ostende,2012,GI,11227.0
BE_ostende,2012,JZ,146.0
BE_ostende,2012,KZ,546.0
BE_ostende,2012,LZ,553.0
BE_ostende,2012,MN,3998.0
BE_ostende,2012,OPQ,15165.0
BE_ostende,2012,RSU,1521.0
BE_ostende,2013,A,178.0
BE_ostende,2013,BE,4453.0
BE_ostende,2013,FZ,2453.0
BE_ostende,2013,GI,11138.0
BE_ostende,2013,JZ,173.0
BE_ostende,2013,KZ,548.0
BE_ostende,2013,LZ,562.0
BE_ostende,2013,MN,3750.0
BE_ostende,2013,OPQ,15316.0
BE_ostende,2013,RSU,1445.0
BE_ostende,2014,A,178.0
BE_ostende,2014,BE,4580.0
BE_ostende,2014,FZ,2329.0
BE_ostende,2014,GI,11081.0
BE_ostende,2014,JZ,191.0
BE_ostende,2014,KZ,530.0
BE_ostende,2014,LZ,569.0
BE_ostende,2014,MN,3804.0
BE_ostende,2014,OPQ,15066.0
BE_ostende,2014,RSU,1527.0
BE_ostende,2015,A,154.0
BE_ostende,2015,BE,4279.0
BE_ostende,2015,FZ,2135.0
BE_ostende,2015,GI,11075.0
BE_ostende,2015,JZ,198.0
BE_ostende,2015,KZ,540.0
BE_ostende,2015,LZ,555.0
BE_ostende,2015,MN,4029.0
BE_ostende,2015,OPQ,15357.0
BE_ostende,2015,RSU,1458.0
BE_ostende,2016,A,160.0
BE_ostende,2016,BE,4462.0
BE_ostende,2016,FZ,2156.0
BE_ostende,2016,GI,11226.0
BE_ostende,2016,JZ,204.0
BE_ostende,2016,KZ,522.0
BE_ostende,2016,LZ,560.0
BE_ostende,2016,MN,4254.0
BE_ostende,2016,OPQ,15652.0
BE_ostende,2016,RSU,1458.0
BE_ostende,2017,A,149.0
BE_ostende,2017,BE,4461.0
BE_ostende,2017,FZ,2185.0
BE_ostende,2017,GI,11087.0
BE_ostende,2017,JZ,186.0
BE_ostende,2017,KZ,505.0
BE_ostende,2017,LZ,531.0
BE_ostende,2017,MN,4432.0
BE_ostende,2017,OPQ,15624.0
BE_ostende,2017,RSU,1485.0
BE_ostende,2018,A,151.0
BE_ostende,2018,BE,4681.0
BE_ostende,2018,FZ,2381.0
BE_ostende,2018,GI,11442.0
BE_ostende,2018,JZ,179.0
