country,eval_year,exclude_covid,community_id,region_id,community_size,n_graph_edges,modularity
FR,2018,False,0,55,29,901,0.3887526847047281
FR,2018,False,0,61,29,901,0.3887526847047281
FR,2018,False,0,63,29,901,0.3887526847047281
FR,2018,False,0,7514,29,901,0.3887526847047281
FR,2018,False,0,7530,29,901,0.3887526847047281
FR,2018,False,0,7532,29,901,0.3887526847047281
FR,2018,False,0,8408,29,901,0.3887526847047281
FR,2018,False,0,9307,29,901,0.3887526847047281
FR,2018,False,0,9314,29,901,0.3887526847047281
FR,2018,False,0,9316,29,901,0.3887526847047281
FR,2018,False,1,2407,17,901,0.3887526847047281
FR,2018,False,1,2409,17,901,0.3887526847047281
FR,2018,False,1,2415,17,901,0.3887526847047281
FR,2018,False,1,2718,17,901,0.3887526847047281
FR,2018,False,1,3203,17,901,0.3887526847047281
FR,2018,False,1,3218,17,901,0.3887526847047281
FR,2018,False,1,51,17,901,0.3887526847047281
FR,2018,False,1,5304,17,901,0.3887526847047281
FR,2018,False,1,59,17,901,0.3887526847047281
FR,2018,False,1,7515,17,901,0.3887526847047281
FR,2018,False,1,7518,17,901,0.3887526847047281
FR,2018,False,1,7519,17,901,0.3887526847047281
FR,2018,False,1,7609,17,901,0.3887526847047281
FR,2018,False,1,8409,17,901,0.3887526847047281
FR,2018,False,1,8410,17,901,0.3887526847047281
FR,2018,False,1,8418,17,901,0.3887526847047281
FR,2018,False,1,9309,17,901,0.3887526847047281
FR,2018,False,2,1101,26,901,0.3887526847047281
FR,2018,False,2,1103,26,901,0.3887526847047281
FR,2018,False,2,1110,26,901,0.3887526847047281
FR,2018,False,2,2404,26,901,0.3887526847047281
FR,2018,False,2,2406,26,901,0.3887526847047281
FR,2018,False,2,2714,26,901,0.3887526847047281
FR,2018,False,2,4412,26,901,0.3887526847047281
FR,2018,False,2,4416,26,901,0.3887526847047281
FR,2018,False,2,4421,26,901,0.3887526847047281
FR,2018,False,2,5201,26,901,0.3887526847047281
FR,2018,False,2,5220,26,901,0.3887526847047281
FR,2018,False,2,5303,26,901,0.3887526847047281
FR,2018,False,2,5310,26,901,0.3887526847047281
FR,2018,False,2,60,26,901,0.3887526847047281
FR,2018,False,2,7506,26,901,0.3887526847047281
FR,2018,False,2,7511,26,901,0.3887526847047281
FR,2018,False,2,7512,26,901,0.3887526847047281
FR,2018,False,2,7603,26,901,0.3887526847047281
FR,2018,False,2,7607,26,901,0.3887526847047281
FR,2018,False,2,7621,26,901,0.3887526847047281
FR,2018,False,2,8404,26,901,0.3887526847047281
FR,2018,False,2,8426,26,901,0.3887526847047281
FR,2018,False,2,8431,26,901,0.3887526847047281
FR,2018,False,2,8432,26,901,0.3887526847047281
FR,2018,False,2,8434,26,901,0.3887526847047281
FR,2018,False,2,9311,26,901,0.3887526847047281
FR,2018,False,3,1106,22,901,0.3887526847047281
FR,2018,False,3,1114,22,901,0.3887526847047281
FR,2018,False,3,2705,22,901,0.3887526847047281
FR,2018,False,3,2803,22,901,0.3887526847047281
FR,2018,False,3,2808,22,901,0.3887526847047281
FR,2018,False,3,2809,22,901,0.3887526847047281
FR,2018,False,3,3213,22,901,0.3887526847047281
FR,2018,False,3,4408,22,901,0.3887526847047281
FR,2018,False,3,4410,22,901,0.3887526847047281
FR,2018,False,3,4424,22,901,0.3887526847047281
FR,2018,False,3,5205,22,901,0.3887526847047281
FR,2018,False,3,5211,22,901,0.3887526847047281
FR,2018,False,3,58,22,901,0.3887526847047281
FR,2018,False,3,7505,22,901,0.3887526847047281
FR,2018,False,3,7522,22,901,0.3887526847047281
FR,2018,False,3,7602,22,901,0.3887526847047281
FR,2018,False,3,7613,22,901,0.3887526847047281
FR,2018,False,3,7614,22,901,0.3887526847047281
FR,2018,False,3,7625,22,901,0.3887526847047281
FR,2018,False,3,8417,22,901,0.3887526847047281
FR,2018,False,3,8423,22,901,0.3887526847047281
FR,2018,False,3,8428,22,901,0.3887526847047281
FR,2018,False,4,1109,25,901,0.3887526847047281
FR,2018,False,4,1113,25,901,0.3887526847047281
FR,2018,False,4,1115,25,901,0.3887526847047281
FR,2018,False,4,2413,25,901,0.3887526847047281
FR,2018,False,4,2804,25,901,0.3887526847047281
FR,2018,False,4,2811,25,901,0.3887526847047281
FR,2018,False,4,3206,25,901,0.3887526847047281
FR,2018,False,4,3214,25,901,0.3887526847047281
FR,2018,False,4,4417,25,901,0.3887526847047281
FR,2018,False,4,4418,25,901,0.3887526847047281
FR,2018,False,4,4425,25,901,0.3887526847047281
FR,2018,False,4,5210,25,901,0.3887526847047281
FR,2018,False,4,5221,25,901,0.3887526847047281
FR,2018,False,4,5301,25,901,0.3887526847047281
FR,2018,False,4,5315,25,901,0.3887526847047281
FR,2018,False,4,57,25,901,0.3887526847047281
FR,2018,False,4,62,25,901,0.3887526847047281
FR,2018,False,4,7523,25,901,0.3887526847047281
FR,2018,False,4,7528,25,901,0.3887526847047281
FR,2018,False,4,7604,25,901,0.3887526847047281
FR,2018,False,4,7608,25,901,0.3887526847047281
FR,2018,False,4,7616,25,901,0.3887526847047281
FR,2018,False,4,8412,25,901,0.3887526847047281
FR,2018,False,4,8421,25,901,0.3887526847047281
FR,2018,False,4,9318,25,901,0.3887526847047281
FR,2018,False,5,2707,12,901,0.3887526847047281
FR,2018,False,5,2818,12,901,0.3887526847047281
FR,2018,False,5,3207,12,901,0.3887526847047281
FR,2018,False,5,4401,12,901,0.3887526847047281
FR,2018,False,5,4411,12,901,0.3887526847047281
FR,2018,False,5,4427,12,901,0.3887526847047281
FR,2018,False,5,64,12,901,0.3887526847047281
FR,2018,False,5,7525,12,901,0.3887526847047281
FR,2018,False,5,7624,12,901,0.3887526847047281
FR,2018,False,5,8406,12,901,0.3887526847047281
FR,2018,False,5,9306,12,901,0.3887526847047281
FR,2018,False,5,9313,12,901,0.3887526847047281
FR,2018,False,6,1108,28,901,0.3887526847047281
FR,2018,False,6,2410,28,901,0.3887526847047281
FR,2018,False,6,2708,28,901,0.3887526847047281
FR,2018,False,6,2806,28,901,0.3887526847047281
FR,2018,False,6,2810,28,901,0.3887526847047281
FR,2018,False,6,3201,28,901,0.3887526847047281
