country,exclude_covid,eval_year_from,eval_year_to,n_appeared,n_disappeared,n_stable_edges,community_ami,modularity_from,modularity_to,modularity_delta
NL,True,2022,2023,92,86,40,0.2943638363118888,0.32572724817806575,0.2837467538187647,-0.04198049435930107
NL,True,2023,2024,103,94,38,0.015106014434367989,0.2837467538187647,0.2806432821910569,-0.003103471627707799
NL,True,2024,2025,115,91,50,-0.0229437055182647,0.2806432821910569,0.25427979965183956,-0.02636348253921733
NL,True,2025,2026,50,60,105,0.3847281021057667,0.25427979965183956,0.2634200585204615,0.009140258868621964
PT,False,2013,2014,46,43,43,0.23674727623161396,0.2602842499961036,0.2366600777117853,-0.023624172284318318
PT,False,2014,2015,46,45,44,0.41197060436178345,0.2366600777117853,0.2508100400866507,0.014149962374865405
PT,False,2015,2016,38,42,48,0.21516576907861812,0.2508100400866507,0.2577002366337651,0.006890196547114424
PT,False,2016,2017,40,41,45,0.06533962015804706,0.2577002366337651,0.234539149522622,-0.02316108711114312
PT,False,2017,2018,47,51,34,0.20602914846554052,0.234539149522622,0.2591084299082209,0.024569280385598913
PT,False,2018,2019,50,54,27,-0.0037762923029243623,0.2591084299082209,0.31099919823164823,0.051890768323427316
PT,False,2019,2020,41,42,35,0.6115077721877998,0.31099919823164823,0.32606535298198747,0.015066154750339233
PT,False,2020,2021,44,35,41,0.3725832211785295,0.32606535298198747,0.37051549125371486,0.04445013827172739
PT,False,2021,2022,32,33,52,0.586811366260894,0.37051549125371486,0.32446030758635114,-0.04605518366736372
PT,False,2022,2023,32,29,55,0.39753166373601756,0.32446030758635114,0.3254639714694596,0.0010036638831084632
PT,False,2023,2024,31,28,59,0.4258177829282048,0.3254639714694596,0.2639239358794409,-0.061540035590018694
PT,False,2024,2025,43,38,52,-0.0024945356731587527,0.2639239358794409,0.19807345586465364,-0.06585048001478727
PT,True,2013,2014,46,43,43,0.23674727623161396,0.2602842499961036,0.2366600777117853,-0.023624172284318318
PT,True,2014,2015,46,45,44,0.41197060436178345,0.2366600777117853,0.2508100400866507,0.014149962374865405
PT,True,2015,2016,38,42,48,0.21516576907861812,0.2508100400866507,0.2577002366337651,0.006890196547114424
PT,True,2016,2017,40,41,45,0.06533962015804706,0.2577002366337651,0.234539149522622,-0.02316108711114312
PT,True,2017,2018,47,51,34,0.20602914846554052,0.234539149522622,0.2591084299082209,0.024569280385598913
PT,True,2018,2019,50,54,27,-0.0037762923029243623,0.2591084299082209,0.31099919823164823,0.051890768323427316
PT,True,2019,2020,41,42,35,0.6115077721877998,0.31099919823164823,0.32606535298198747,0.015066154750339233
PT,True,2020,2021,31,28,48,0.3200809049107129,0.32606535298198747,0.32412927775219746,-0.001936075229790002
PT,True,2021,2022,45,44,35,0.2832789366291501,0.32412927775219746,0.2827725496493454,-0.04135672810285207
PT,True,2022,2023,44,41,39,0.2755058163419321,0.2827725496493454,0.3413507566119908,0.05857820696264543
PT,True,2023,2024,43,48,35,0.18375305055373617,0.3413507566119908,0.2575941879840884,-0.08375656862790243
PT,True,2024,2025,45,43,35,0.13739380048248567,0.2575941879840884,0.2826836134799546,0.02508942549586618
