ZE2020,target_year,BE,FZ,GI,JZ,KZ,LZ,MN,OQ,RU,total
13,2022,36.1,20.3,92.4,8.7,10.7,2.5,57.0,120.30000000000001,11.5,359.5
14,2022,31.0,7.7,51.2,1.9,3.2,1.0,21.6,56.5,4.1,178.20000000000002
15,2022,33.0,11.3,86.5,7.8,8.1,2.8,69.3,137.7,12.7,369.2
16,2022,13.3,6.7,37.1,2.5,2.5,0.8,21.4,29.799999999999997,2.5,116.6
17,2022,44.9,32.4,191.2,56.3,42.3,6.5,141.0,253.8,34.6,803.0000000000001
18,2022,15.3,8.0,43.2,1.3,3.5,1.4,16.8,59.5,3.7,152.7
19,2022,9.1,4.4,30.4,2.8,3.9,1.0,14.3,37.0,3.5,106.39999999999999
20,2022,15.1,3.5,21.8,0.7,1.5,0.8,8.4,21.5,2.5,75.80000000000001
21,2022,5.4,1.5,23.0,3.5,2.2,0.7,13.6,32.9,4.6,87.4
22,2022,8.0,4.0,21.1,0.9,1.0,0.6,8.4,18.5,1.8,64.3
23,2022,45.6,21.7,283.6,85.1,71.3,11.5,259.4,228.79999999999998,38.1,1045.1
24,2022,6.3,2.1,29.3,14.5,4.0,1.8,15.3,32.300000000000004,4.8,110.39999999999999
25,2022,17.2,5.9,49.4,4.3,5.1,1.4,29.6,69.9,5.7,188.5
26,2022,11.7,9.7,83.2,16.9,15.9,3.9,87.7,184.0,24.0,437.0
27,2022,11.3,5.7,35.4,6.2,2.2,1.1,33.7,45.599999999999994,3.3,144.5
28,2022,10.8,9.2,41.6,4.7,3.4,1.1,19.0,42.2,3.5,135.5
29,2022,53.5,29.8,208.5,23.4,22.0,6.2,146.1,221.4,20.3,731.1999999999999
30,2022,22.4,15.2,52.3,3.5,3.6,1.4,37.1,49.5,3.6,188.6
31,2022,9.8,2.4,13.4,0.3,0.7,0.3,4.3,12.1,0.8,44.1
32,2022,14.8,6.1,35.5,1.3,2.9,1.0,14.9,43.0,2.9,122.4
33,2022,38.0,13.0,93.2,7.5,6.7,2.2,58.0,94.7,7.2,320.49999999999994
34,2022,26.9,9.9,72.0,3.5,7.3,1.6,56.9,70.39999999999999,9.6,258.1
35,2022,49.1,21.3,94.2,11.3,8.6,2.3,54.4,96.8,8.8,346.80000000000007
36,2022,85.6,16.2,101.8,14.6,12.8,3.0,88.4,116.4,9.8,448.59999999999997
37,2022,21.4,3.8,47.7,1.6,2.4,0.8,30.1,44.099999999999994,3.7,155.6
38,2022,16.1,4.8,30.9,1.2,2.0,0.7,13.3,33.0,2.6,104.6
39,2022,30.8,7.9,68.2,5.4,7.1,2.2,47.8,94.1,8.2,271.7
40,2022,16.2,6.4,53.2,4.1,2.8,0.9,31.7,50.9,5.0,171.20000000000002
1,2023,7.5,2.5,11.5,0.3,0.6,0.4,5.3,18.5,1.1,47.7
2,2023,2.8,0.7,4.6,0.1,0.1,0.1,2.2,4.9,0.3,15.799999999999999
3,2023,16.2,6.9,44.5,7.9,3.7,1.9,36.6,95.0,5.2,217.9
4,2023,14.4,6.1,33.4,2.0,4.3,1.0,18.6,53.6,3.6,137.0
5,2023,8.4,2.3,15.6,0.5,0.8,0.3,6.1,17.5,1.9,53.4
6,2023,12.6,4.3,24.0,1.4,1.9,0.8,13.6,31.2,2.8,92.6
7,2023,6.6,3.2,19.3,1.3,2.5,0.6,10.5,36.699999999999996,2.9,83.60000000000001
8,2023,9.9,3.1,17.1,0.6,1.1,0.4,10.0,21.1,1.9,65.2
9,2023,7.8,2.7,15.6,1.1,2.2,0.3,14.1,24.400000000000002,1.3,69.5
10,2023,25.6,11.7,55.4,3.8,4.2,1.3,28.0,73.5,6.1,209.6
11,2023,8.8,3.3,18.5,3.3,1.4,0.6,12.8,23.200000000000003,2.7,74.60000000000001
12,2023,43.5,18.2,84.5,8.9,6.7,2.2,46.5,101.5,7.6,319.6
13,2023,37.0,21.2,94.1,8.7,10.9,2.5,54.7,123.6,11.7,364.40000000000003
14,2023,31.1,7.8,50.0,1.9,3.2,1.0,21.4,57.2,4.3,177.90000000000003
