ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,growth_1y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1
2,2018,1,240.0,240.0,225.0,0.0666666666666666,0,0,0,1,0,0,3545.0
3,2018,2,3735.0,3735.0,3530.0,0.0580736543909348,0,0,0,1,0,0,36525.0
4,2018,3,2510.0,2510.0,2310.0,0.0865800865800865,0,0,0,1,0,0,30415.0
5,2018,4,1180.0,1180.0,1105.0,0.0678733031674208,0,0,0,1,0,0,15370.0
6,2018,5,1380.0,1380.0,1405.0,-0.0177935943060498,0,0,0,1,0,0,18360.0
7,2018,6,1485.0,1485.0,1350.0,0.1,0,0,0,1,0,0,17550.0
8,2018,7,1160.0,1160.0,1095.0,0.0593607305936073,0,0,0,1,0,0,14695.0
9,2018,8,1070.0,1070.0,945.0,0.1322751322751322,0,0,0,1,0,0,12980.0
10,2018,9,3160.0,3160.0,3005.0,0.0515806988352745,0,0,0,1,0,0,35420.0
11,2018,10,1295.0,1295.0,1260.0,0.0277777777777777,0,0,0,1,0,0,14075.0
12,2018,11,4890.0,4890.0,4720.0,0.0360169491525423,0,0,0,1,0,0,56765.0
13,2018,12,6290.0,6290.0,5690.0,0.1054481546572935,0,0,0,1,0,0,68690.0
14,2018,13,2990.0,2990.0,2790.0,0.07168458781362,0,0,0,1,0,0,40360.0
15,2018,14,7605.0,7605.0,7025.0,0.0825622775800711,0,0,0,1,0,0,70515.0
16,2018,15,2340.0,2340.0,2100.0,0.1142857142857142,0,0,0,1,0,0,27930.0
17,2018,16,16090.0,16090.0,14780.0,0.0886332882273342,0,0,0,1,0,0,147490.0
18,2018,17,3330.0,3330.0,3225.0,0.0325581395348837,0,0,0,1,0,0,37515.0
19,2018,18,2640.0,2640.0,2350.0,0.1234042553191489,0,0,0,1,0,0,24955.0
20,2018,19,1910.0,1910.0,1725.0,0.1072463768115942,0,0,0,1,0,0,18005.0
21,2018,20,3325.0,3325.0,2960.0,0.1233108108108108,0,0,0,1,0,0,28785.0
22,2018,21,1885.0,1885.0,1635.0,0.1529051987767584,0,0,0,1,0,0,15560.0
23,2018,22,25410.0,25410.0,23720.0,0.0712478920741989,0,0,0,1,0,0,190210.0
24,2018,23,3415.0,3415.0,3300.0,0.0348484848484848,0,0,0,1,0,0,34725.0
25,2018,24,4290.0,4290.0,4010.0,0.0698254364089775,0,0,0,1,0,0,40820.0
26,2018,25,13240.0,13240.0,11315.0,0.170128148475475,0,0,0,1,0,0,87000.0
27,2018,26,2565.0,2565.0,2280.0,0.125,0,0,0,1,0,0,24030.0
28,2018,27,3235.0,3235.0,2935.0,0.1022146507666098,0,0,0,1,0,0,33080.0
29,2018,28,17210.0,17210.0,14900.0,0.1550335570469798,0,0,0,1,0,0,133705.0
30,2018,29,3655.0,3655.0,3290.0,0.1109422492401215,0,0,0,1,0,0,36680.0
31,2018,30,750.0,750.0,675.0,0.1111111111111111,0,0,0,1,0,0,9655.0
32,2018,31,2410.0,2410.0,2180.0,0.1055045871559633,0,0,0,1,0,0,27335.0
33,2018,32,6210.0,6210.0,5695.0,0.0904302019315188,0,0,0,1,0,0,63355.0
34,2018,33,4685.0,4685.0,4260.0,0.0997652582159624,0,0,0,1,0,0,47000.0
35,2018,34,6505.0,6505.0,6035.0,0.0778790389395194,0,0,0,1,0,0,71535.0
36,2018,35,7825.0,7825.0,7195.0,0.0875608061153578,0,0,0,1,0,0,78725.0
37,2018,36,2190.0,2190.0,2005.0,0.0922693266832917,0,0,0,1,0,0,24860.0
38,2018,37,1815.0,1815.0,1830.0,-0.0081967213114754,0,0,0,1,0,0,22590.0
39,2018,38,4430.0,4430.0,4285.0,0.0338389731621937,0,0,0,1,0,0,49400.0
40,2018,39,4745.0,4745.0,4310.0,0.1009280742459396,0,0,0,1,0,0,39845.0
1,2019,0,895.0,895.0,870.0,0.028735632183908,0,0,0,1,0,0,10975.0
2,2019,1,250.0,250.0,240.0,0.0416666666666666,0,0,0,1,0,0,3550.0
3,2019,2,4260.0,4260.0,3735.0,0.1405622489959839,0,0,0,1,0,0,38950.0
4,2019,3,2805.0,2805.0,2510.0,0.1175298804780876,0,0,0,1,0,0,30845.0
5,2019,4,1230.0,1230.0,1180.0,0.0423728813559322,0,0,0,1,0,0,16555.0
6,2019,5,1600.0,1600.0,1380.0,0.1594202898550724,0,0,0,1,0,0,18960.0
7,2019,6,1575.0,1575.0,1485.0,0.0606060606060606,0,0,0,1,0,0,18225.0
8,2019,7,1280.0,1280.0,1160.0,0.1034482758620689,0,0,0,1,0,0,15120.0
9,2019,8,1075.0,1075.0,1070.0,0.0046728971962616,0,0,0,1,0,0,13470.0
10,2019,9,3375.0,3375.0,3160.0,0.0680379746835443,0,0,0,1,0,0,36920.0
11,2019,10,1465.0,1465.0,1295.0,0.1312741312741312,0,0,0,1,0,0,14685.0
12,2019,11,5465.0,5465.0,4890.0,0.1175869120654396,0,0,0,1,0,0,58730.0
13,2019,12,6955.0,6955.0,6290.0,0.1057233704292527,0,0,0,1,0,0,71550.0
14,2019,13,3235.0,3235.0,2990.0,0.0819397993311036,0,0,0,1,0,0,41520.0
15,2019,14,8510.0,8510.0,7605.0,0.1190006574621959,0,0,0,1,0,0,74095.0
16,2019,15,2590.0,2590.0,2340.0,0.1068376068376068,0,0,0,1,0,0,28875.0
17,2019,16,18425.0,18425.0,16090.0,0.1451211932877563,0,0,0,1,0,0,154610.0
18,2019,17,3880.0,3880.0,3330.0,0.1651651651651651,0,0,0,1,0,0,39035.0
19,2019,18,2860.0,2860.0,2640.0,0.0833333333333333,0,0,0,1,0,0,26200.0
20,2019,19,2165.0,2165.0,1910.0,0.1335078534031413,0,0,0,1,0,0,18870.0
21,2019,20,3680.0,3680.0,3325.0,0.106766917293233,0,0,0,1,0,0,30325.0
