country,sector,eval_year,n_edges_topk5,density,w_mean,w_std,w_median
FR,KZ,2025,895,0.02291346646185356,0.9434592035250876,0.05829946236747936,0.9623781260524684
FR,KZ,2026,897,0.022964669738863287,0.9525910721635877,0.04487637655209407,0.9672900350291418
FR,LZ,2017,855,0.021889400921658985,0.9759373707394031,0.02822138210570745,0.9852631192558058
FR,LZ,2018,872,0.02232462877624168,0.9415910259422999,0.046663508312741686,0.9529334537589191
FR,LZ,2019,887,0.022708653353814643,0.9361781116824357,0.047457110560376034,0.9465708136446324
FR,LZ,2020,899,0.023015873015873017,0.9354756751820487,0.042733847299768334,0.9430736452653568
FR,LZ,2021,886,0.02268305171530978,0.9336338297363941,0.04604153133897279,0.9444011087497256
FR,LZ,2022,882,0.02258064516129032,0.9335034849637812,0.044350389183624786,0.9425443192748417
FR,LZ,2023,874,0.02237583205325141,0.9382157742256156,0.052347864713281206,0.9503797307683148
FR,LZ,2024,894,0.022887864823348696,0.9418921872276008,0.058711725477197906,0.9599911730543524
FR,LZ,2025,903,0.023118279569892472,0.9435213276642841,0.054441780415348896,0.9611204212410543
FR,LZ,2026,891,0.0228110599078341,0.9448748203106435,0.05703332842572431,0.9642508530257498
FR,MN,2017,850,0.021761392729134663,0.9769782111993024,0.024569333578021386,0.9859769627774546
FR,MN,2018,879,0.02250384024577573,0.944310027881358,0.048488986777398865,0.9592267146024444
FR,MN,2019,867,0.02219662058371736,0.9455220667158241,0.041877556857111,0.9545280092443064
FR,MN,2020,899,0.023015873015873017,0.9514876074790792,0.0512842105375693,0.966024086973551
FR,MN,2021,894,0.022887864823348696,0.9396564893727304,0.05262127733512155,0.9536921060598571
FR,MN,2022,907,0.02322068612391193,0.9370585085547286,0.06165104109133435,0.9591692240268213
FR,MN,2023,896,0.022939068100358423,0.9378776895454587,0.05995885287302824,0.9571248213819312
FR,MN,2024,917,0.023476702508960574,0.9431487851411843,0.07092007800215304,0.968250935416027
FR,MN,2025,889,0.022759856630824374,0.9493933781952641,0.060917041879520815,0.9706788221957092
FR,MN,2026,900,0.02304147465437788,0.9500659036720746,0.05465554536000145,0.9654192575445444
FR,OQ,2017,847,0.021684587813620072,0.9763483205172967,0.018902128574800118,0.9804079941020116
FR,OQ,2018,871,0.022299027137736814,0.9349920915835157,0.041055402650702774,0.9410674376324476
FR,OQ,2019,871,0.022299027137736814,0.9302719052966852,0.04292433190104606,0.9389121497832286
FR,OQ,2020,873,0.022350230414746545,0.9356545834948502,0.04336110875365467,0.9437076824707694
FR,OQ,2021,872,0.02232462877624168,0.9375538592726969,0.04733859171359745,0.9508818998864814
FR,OQ,2022,885,0.022657450076804916,0.944159822049848,0.06224940930839626,0.968371120149736
FR,OQ,2023,900,0.02304147465437788,0.944389443029744,0.06583622915200407,0.9709653122578354
FR,OQ,2024,918,0.023502304147465437,0.946458064694402,0.06427012096188103,0.9709289578271999
FR,OQ,2025,915,0.023425499231950846,0.9438404314042484,0.067887362811552,0.9691175182279648
FR,OQ,2026,906,0.023195084485407066,0.9444248134573241,0.06912445212614707,0.9647210808055255
FR,RU,2017,860,0.022017409114183307,0.9757643949977425,0.027640819045033592,0.986081477052658
FR,RU,2018,874,0.02237583205325141,0.9419077954639808,0.05549495443533909,0.9579674293837981
FR,RU,2019,892,0.022836661546338965,0.9447697079454277,0.05171514813283843,0.9612830034216076
FR,RU,2020,900,0.02304147465437788,0.9598819920581146,0.03643456778622538,0.9701476817168562
FR,RU,2021,905,0.023169482846902203,0.9577819134369773,0.04685385753203804,0.9732305810228856
FR,RU,2022,914,0.02339989759344598,0.9565498111403008,0.05851129017272519,0.9791769254997277
FR,RU,2023,927,0.023732718894009217,0.9532732975703867,0.06548487169118639,0.9767919988988448
FR,RU,2024,930,0.023809523809523808,0.957302590364278,0.07937974929280316,0.9839889495579212
FR,RU,2025,928,0.02375832053251408,0.9613089034019243,0.06308754196965122,0.9844191648003133
FR,RU,2026,934,0.023911930363543266,0.9633983461153458,0.05365843270040178,0.98316289392687
NL,BE,2012,135,0.17307692307692307,0.8876480090601473,0.12730939555411502,0.9292507637944802
NL,BE,2013,137,0.17564102564102563,0.8384395058026319,0.13078443477588825,0.8650496182486965
NL,BE,2014,134,0.1717948717948718,0.8134203800020096,0.14448710718571917,0.8562732532842521
NL,BE,2015,125,0.16025641025641027,0.7867666466133503,0.18759052075977542,0.8437652225150944
NL,BE,2016,126,0.16153846153846155,0.7913769439048409,0.12578045487510764,0.815815050362747
NL,BE,2017,119,0.15256410256410258,0.763910628012061,0.12423145742661552,0.7748911413132594
NL,BE,2018,125,0.16025641025641027,0.7412019841692485,0.1412999118969798,0.7771548642288397
NL,BE,2019,120,0.15384615384615385,0.773892009023934,0.11637600951920253,0.7752629166893121
NL,BE,2020,117,0.15,0.7762522410803371,0.11094139958837856,0.7740965161672969
NL,BE,2021,127,0.16282051282051282,0.7666695796482695,0.15339490333394404,0.8136017468289827
NL,BE,2022,136,0.17435897435897435,0.7866407234150566,0.20735266644180206,0.8551451861853789
NL,BE,2023,133,0.17051282051282052,0.8171669881363999,0.18473479544983337,0.8900785186418158
NL,BE,2024,139,0.1782051282051282,0.8152476955670124,0.21016909135084882,0.8910380121881143
NL,BE,2025,140,0.1794871794871795,0.8634769725239059,0.13321386273099717,0.9141090780119594
NL,BE,2026,139,0.1782051282051282,0.868611440325335,0.1303580045098111,0.9131685340185294
NL,FZ,2012,135,0.17307692307692307,0.9315147084072379,0.12247169646953712,0.9784113329159312
NL,FZ,2013,139,0.1782051282051282,0.8906461425623944,0.12719943206386206,0.9356529388598618
NL,FZ,2014,144,0.18461538461538463,0.8887662804892089,0.127515787493313,0.9405615228950631
NL,FZ,2015,137,0.17564102564102563,0.8625792577737357,0.16565358282396714,0.9299974970598626
NL,FZ,2016,136,0.17435897435897435,0.841620811143504,0.12204180282568998,0.8837058604849848
NL,FZ,2017,125,0.16025641025641027,0.836716626684429,0.10293568128061381,0.8593259799036252
NL,FZ,2018,123,0.1576923076923077,0.8113237461663859,0.1245260229957816,0.841090341826494
NL,FZ,2019,133,0.17051282051282052,0.8788921638085382,0.12080494600034516,0.9149509728270216
NL,FZ,2020,137,0.17564102564102563,0.8872926902196715,0.11521651116894915,0.9313334274815922
NL,FZ,2021,138,0.17692307692307693,0.8679591313231922,0.14337779902040526,0.926522543880371
NL,FZ,2022,133,0.17051282051282052,0.8525767020370171,0.13971857629597345,0.895351205181607
NL,FZ,2023,145,0.1858974358974359,0.8291345749894213,0.17337712607763467,0.8947918089236007
NL,FZ,2024,141,0.18076923076923077,0.80126542373808,0.20112636244822485,0.8925573317328361
NL,FZ,2025,136,0.17435897435897435,0.9106403084829097,0.0941257880931514,0.9459231441636943
NL,FZ,2026,133,0.17051282051282052,0.9518989924101527,0.04105463153134686,0.967686337642826
NL,GI,2012,139,0.1782051282051282,0.929522387464875,0.11738889544192764,0.9761509283692952
NL,GI,2013,141,0.18076923076923077,0.896583236608755,0.12656063901326242,0.9487427585642308
NL,GI,2014,144,0.18461538461538463,0.824064730846787,0.2077637890615674,0.9162895414560743
NL,GI,2015,142,0.18205128205128204,0.8522965065622585,0.1472207803013089,0.8988771391640523
NL,GI,2016,147,0.18846153846153846,0.8154692620347512,0.18260269834706158,0.8693684677169289
