country,sector,eval_year,jaccard_k3_k5,jaccard_k5_k10
NL,JZ,2022,0.5984848484848485,0.55
NL,JZ,2023,0.6518518518518519,0.5487804878048781
NL,JZ,2024,0.6439393939393939,0.5196850393700787
NL,JZ,2025,0.6370370370370371,0.5335968379446641
NL,JZ,2026,0.5944055944055944,0.5143884892086331
NL,KZ,2012,0.5755395683453237,0.5110294117647058
NL,KZ,2013,0.6115107913669064,0.5036231884057971
NL,KZ,2014,0.5886524822695035,0.5202952029520295
NL,KZ,2015,0.6086956521739131,0.5054945054945055
NL,KZ,2016,0.6328125,0.5161290322580645
NL,KZ,2017,0.6260162601626016,0.5061728395061729
NL,KZ,2018,0.6212121212121212,0.5301204819277109
NL,KZ,2019,0.616,0.5165289256198347
NL,KZ,2020,0.6220472440944882,0.5269709543568465
NL,KZ,2021,0.6440677966101694,0.49166666666666664
NL,KZ,2022,0.6209677419354839,0.543859649122807
NL,KZ,2023,0.6209677419354839,0.496
NL,KZ,2024,0.6197183098591549,0.5089605734767025
NL,KZ,2025,0.6068965517241379,0.5052264808362369
NL,KZ,2026,0.624113475177305,0.5261194029850746
NL,LZ,2012,0.6166666666666667,0.5357142857142857
NL,LZ,2013,0.6129032258064516,0.5081967213114754
NL,LZ,2014,0.5891472868217055,0.5352697095435685
NL,LZ,2015,0.624,0.5230125523012552
NL,LZ,2016,0.6349206349206349,0.525
NL,LZ,2017,0.6538461538461539,0.5555555555555556
NL,LZ,2018,0.648,0.5186721991701245
NL,LZ,2019,0.6293103448275862,0.5201793721973094
NL,LZ,2020,0.6153846153846154,0.5043103448275862
NL,LZ,2021,0.5983606557377049,0.5350877192982456
NL,LZ,2022,0.5847457627118644,0.4896265560165975
NL,LZ,2023,0.5954198473282443,0.515748031496063
NL,LZ,2024,0.6328125,0.5333333333333333
NL,LZ,2025,0.6111111111111112,0.5142857142857142
NL,LZ,2026,0.6171875,0.5161290322580645
NL,MN,2012,0.6044776119402985,0.5234375
NL,MN,2013,0.60431654676259,0.516728624535316
NL,MN,2014,0.5909090909090909,0.5096525096525096
NL,MN,2015,0.5777777777777777,0.4838709677419355
NL,MN,2016,0.6041666666666666,0.508833922261484
NL,MN,2017,0.6268656716417911,0.5193798449612403
NL,MN,2018,0.639344262295082,0.5041322314049587
NL,MN,2019,0.6044776119402985,0.5134099616858238
NL,MN,2020,0.5968992248062015,0.5098814229249012
NL,MN,2021,0.5970149253731343,0.5095057034220533
NL,MN,2022,0.6197183098591549,0.5201465201465202
NL,MN,2023,0.6,0.5378486055776892
NL,MN,2024,0.6058394160583942,0.5055350553505535
NL,MN,2025,0.6099290780141844,0.5090252707581228
NL,MN,2026,0.5972222222222222,0.5
NL,OQ,2020,0.6124031007751938,0.5058823529411764
NL,OQ,2021,0.6296296296296297,0.5133079847908745
NL,OQ,2022,0.6131386861313869,0.5189393939393939
NL,OQ,2023,0.6197183098591549,0.5259259259259259
NL,OQ,2024,0.624113475177305,0.5340909090909091
NL,OQ,2025,0.6,0.5
NL,OQ,2026,0.6137931034482759,0.506993006993007
NL,RU,2012,0.6230769230769231,0.48148148148148145
NL,RU,2013,0.5971223021582733,0.5110294117647058
NL,RU,2014,0.5797101449275363,0.5130111524163569
NL,RU,2015,0.5925925925925926,0.4838709677419355
NL,RU,2016,0.608,0.5040322580645161
NL,RU,2017,0.6136363636363636,0.5057471264367817
NL,RU,2018,0.6349206349206349,0.5206611570247934
NL,RU,2019,0.5968992248062015,0.524390243902439
NL,RU,2020,0.6015625,0.5311203319502075
NL,RU,2021,0.6776859504132231,0.5170940170940171
NL,RU,2022,0.6106870229007634,0.5770925110132159
NL,RU,2023,0.631578947368421,0.51953125
NL,RU,2024,0.6171875,0.4830188679245283
NL,RU,2025,0.5815602836879432,0.5320754716981132
NL,RU,2026,0.6187050359712231,0.4982078853046595
PT,BE,2013,0.5833333333333334,0.535031847133758
PT,BE,2014,0.575,0.5263157894736842
PT,BE,2015,0.6582278481012658,0.4968553459119497
PT,BE,2016,0.6867469879518072,0.515527950310559
PT,BE,2017,0.6190476190476191,0.5490196078431373
PT,BE,2018,0.6309523809523809,0.5217391304347826
PT,BE,2019,0.5977011494252874,0.5304878048780488
PT,BE,2020,0.5795454545454546,0.5333333333333333
PT,BE,2021,0.5795454545454546,0.5333333333333333
PT,BE,2022,0.6493506493506493,0.5202702702702703
PT,BE,2023,0.6623376623376623,0.5032679738562091
PT,BE,2024,0.6585365853658537,0.5466666666666666
PT,BE,2025,0.6582278481012658,0.5231788079470199
PT,FZ,2013,0.6455696202531646,0.5
PT,FZ,2014,0.6071428571428571,0.5153374233128835
PT,FZ,2015,0.5697674418604651,0.5308641975308642
PT,FZ,2016,0.5730337078651685,0.5460122699386503
PT,FZ,2017,0.5853658536585366,0.5061728395061729
PT,FZ,2018,0.6304347826086957,0.5575757575757576
PT,FZ,2019,0.6265060240963856,0.5724137931034483
PT,FZ,2020,0.6623376623376623,0.5460992907801419
PT,FZ,2021,0.6190476190476191,0.5714285714285714
PT,FZ,2022,0.573170731707317,0.5359477124183006
PT,FZ,2023,0.6172839506172839,0.5094339622641509
