country,sector,year_from,year_to,n_common_pairs,mean_abs_change,frac_strengthening,frac_weakening,wave_signal
FR,KZ,2019,2020,39060,0.26559199551315227,0.2988991295442908,0.27048131080389143,True
FR,KZ,2020,2021,39060,0.20867582495734754,0.24206349206349206,0.23274449564772146,False
FR,KZ,2021,2022,39060,0.28906537414478783,0.37014848950332824,0.22767537122375833,True
FR,KZ,2022,2023,39060,0.2165345655428568,0.22736815156169995,0.2636200716845878,True
FR,KZ,2023,2024,39060,0.23109608735941833,0.3433691756272401,0.19682539682539682,True
FR,KZ,2024,2025,39060,0.21782591356659375,0.3095494111623144,0.17693292370711725,True
FR,KZ,2025,2026,39060,0.22519697612444806,0.36057347670250894,0.14183307731694828,True
FR,LZ,2017,2018,39060,0.21843988439273834,0.23922171018945212,0.2108294930875576,False
FR,LZ,2018,2019,39060,0.2567249786248104,0.18305171530977982,0.3624167946748592,True
FR,LZ,2019,2020,39060,0.22612273533540597,0.2353558627752176,0.27964669738863285,True
FR,LZ,2020,2021,39060,0.2336991608418038,0.260752688172043,0.2767537122375832,True
FR,LZ,2021,2022,39060,0.25767930121426746,0.2779057859703021,0.2870967741935484,True
FR,LZ,2022,2023,39060,0.24400824988150482,0.3624679979518689,0.17852022529441886,True
FR,LZ,2023,2024,39060,0.3302428488080059,0.4482846902201741,0.20519713261648745,True
FR,LZ,2024,2025,39060,0.21312574845054646,0.25153609831029183,0.2315668202764977,True
FR,LZ,2025,2026,39060,0.18409721802305143,0.2423195084485407,0.18415258576548899,False
FR,MN,2017,2018,39060,0.22331243659647998,0.28691756272401436,0.16618023553507424,True
FR,MN,2018,2019,39060,0.25145411362584996,0.24623655913978496,0.298489503328213,True
FR,MN,2019,2020,39060,0.25997328889149807,0.41792114695340504,0.14641577060931898,True
FR,MN,2020,2021,39060,0.292780318127417,0.1593189964157706,0.4474910394265233,True
FR,MN,2021,2022,39060,0.26882479566829925,0.3289810547875064,0.24905273937532002,True
FR,MN,2022,2023,39060,0.20223701513565787,0.22183819764464927,0.2342293906810036,False
FR,MN,2023,2024,39060,0.2401315264547506,0.41187916026625704,0.13858166922683052,True
FR,MN,2024,2025,39060,0.19087945342015633,0.21830517153097798,0.21024065540194573,False
FR,MN,2025,2026,39060,0.17783086966621617,0.19831029185867896,0.2215821812596006,False
FR,OQ,2017,2018,39060,0.16743049049056022,0.18489503328213006,0.17606246799795186,False
FR,OQ,2018,2019,39060,0.2398382367191064,0.26658986175115207,0.2699180747567844,True
FR,OQ,2019,2020,39060,0.2767492513975871,0.2990783410138249,0.2771889400921659,True
FR,OQ,2020,2021,39060,0.2755518391383183,0.39639016897081414,0.20729646697388632,True
FR,OQ,2021,2022,39060,0.3379427540537885,0.5295954941116231,0.14365079365079364,True
FR,OQ,2022,2023,39060,0.17090176016422712,0.20409626216077828,0.18934971838197645,False
FR,OQ,2023,2024,39060,0.1917558451854155,0.26559139784946234,0.19101382488479263,True
FR,OQ,2024,2025,39060,0.16268570762255657,0.20448028673835125,0.18289810547875063,False
FR,OQ,2025,2026,39060,0.1825131037715987,0.158115719406042,0.28253968253968254,True
FR,RU,2017,2018,39060,0.2365843508169444,0.2965437788018433,0.18425499231950845,True
FR,RU,2018,2019,39060,0.315057219807974,0.3776497695852535,0.25197132616487455,True
FR,RU,2019,2020,39060,0.2462483925328845,0.40657962109575013,0.12555043522785458,True
FR,RU,2020,2021,39060,0.1878172569762616,0.19554531490015362,0.23891449052739375,False
FR,RU,2021,2022,39060,0.20770837238531098,0.32019969278033794,0.16602662570404506,True
FR,RU,2022,2023,39060,0.13140814964971476,0.14173067076292883,0.1573220686123912,False
FR,RU,2023,2024,39060,0.17900738751384426,0.3352278545826933,0.06753712237583205,True
FR,RU,2024,2025,39060,0.12871709312993915,0.15829493087557603,0.134715821812596,False
FR,RU,2025,2026,39060,0.12268961488510134,0.12529441884280593,0.1565284178187404,False
NL,BE,2012,2013,780,0.08095798749573382,0.019230769230769232,0.15,False
NL,BE,2013,2014,780,0.2271726954616782,0.16282051282051282,0.31025641025641026,True
NL,BE,2014,2015,780,0.24924324623246039,0.16794871794871793,0.41025641025641024,True
NL,BE,2015,2016,780,0.2532345958539003,0.2512820512820513,0.31666666666666665,True
NL,BE,2016,2017,780,0.27538772987653076,0.1717948717948718,0.4256410256410256,True
NL,BE,2017,2018,780,0.23620746241026916,0.1987179487179487,0.34487179487179487,True
NL,BE,2018,2019,780,0.21154254377105255,0.25256410256410255,0.25769230769230766,True
NL,BE,2019,2020,780,0.2334774289626098,0.30512820512820515,0.2282051282051282,True
NL,BE,2020,2021,780,0.28471299491979835,0.3769230769230769,0.23076923076923078,True
NL,BE,2021,2022,780,0.31736222579628764,0.43205128205128207,0.16923076923076924,True
NL,BE,2022,2023,780,0.19036686518124005,0.2858974358974359,0.17051282051282052,True
NL,BE,2023,2024,780,0.1696030738518096,0.21794871794871795,0.18846153846153846,False
NL,BE,2024,2025,780,0.2192981159813894,0.4025641025641026,0.07179487179487179,True
NL,BE,2025,2026,780,0.12005310757391845,0.1576923076923077,0.11666666666666667,False
NL,FZ,2012,2013,780,0.09073362529981717,0.002564102564102564,0.2141025641025641,False
NL,FZ,2013,2014,780,0.0886988521532387,0.10128205128205128,0.07948717948717948,False
NL,FZ,2014,2015,780,0.19213358264920974,0.08205128205128205,0.35,True
NL,FZ,2015,2016,780,0.2556208935147834,0.11666666666666667,0.4205128205128205,True
NL,FZ,2016,2017,780,0.20564650711711277,0.1794871794871795,0.3423076923076923,True
NL,FZ,2017,2018,780,0.3102114866707331,0.18846153846153846,0.4153846153846154,True
NL,FZ,2018,2019,780,0.4099949952208026,0.6153846153846154,0.08461538461538462,True
NL,FZ,2019,2020,780,0.1505968653113955,0.22564102564102564,0.13333333333333333,False
NL,FZ,2020,2021,780,0.1843272027005271,0.18461538461538463,0.24358974358974358,False
NL,FZ,2021,2022,780,0.212646449184946,0.0858974358974359,0.4064102564102564,True
NL,FZ,2022,2023,780,0.1303735375570366,0.17051282051282052,0.1346153846153846,False
NL,FZ,2023,2024,780,0.2625746282273992,0.1423076923076923,0.4076923076923077,True
NL,FZ,2024,2025,780,0.35632885125140745,0.6423076923076924,0.005128205128205128,True
NL,FZ,2025,2026,780,0.15279358593440787,0.34102564102564104,0.002564102564102564,True
NL,GI,2012,2013,780,0.09104433608464925,0.00641025641025641,0.21153846153846154,False
NL,GI,2013,2014,780,0.2664855234230045,0.07564102564102564,0.46794871794871795,True
NL,GI,2014,2015,780,0.20944249948074878,0.25,0.24358974358974358,True
NL,GI,2015,2016,780,0.13929829689744214,0.11282051282051282,0.2230769230769231,False
NL,GI,2016,2017,780,0.2991720979273458,0.12179487179487179,0.48205128205128206,True
NL,GI,2017,2018,780,0.18751769907584273,0.191025641025641,0.28717948717948716,True
NL,GI,2018,2019,780,0.19098900981928627,0.20256410256410257,0.23846153846153847,False
NL,GI,2019,2020,780,0.5252284400722946,0.7833333333333333,0.0,True
NL,GI,2020,2021,780,0.12724697797881604,0.1858974358974359,0.12307692307692308,False
NL,GI,2021,2022,780,0.07992818491876705,0.05897435897435897,0.09871794871794871,False
NL,GI,2022,2023,780,0.12697453874189857,0.24871794871794872,0.04871794871794872,False
NL,GI,2023,2024,780,0.06433739134983087,0.05897435897435897,0.057692307692307696,False
NL,GI,2024,2025,780,0.13228445499272964,0.1371794871794872,0.16794871794871793,False
NL,GI,2025,2026,780,0.07818135415057587,0.06025641025641026,0.08205128205128205,False
NL,JZ,2012,2013,780,0.1792839467634779,0.13974358974358975,0.22435897435897437,False
NL,JZ,2013,2014,780,0.20025071011021714,0.14871794871794872,0.3217948717948718,True
NL,JZ,2014,2015,780,0.23698536654008662,0.2602564102564103,0.27307692307692305,True
NL,JZ,2015,2016,780,0.22012201689822417,0.27564102564102566,0.22179487179487178,True
NL,JZ,2016,2017,780,0.32057223432734633,0.22692307692307692,0.4076923076923077,True
NL,JZ,2017,2018,780,0.21891598203714668,0.2358974358974359,0.2512820512820513,True
NL,JZ,2018,2019,780,0.21302741169183048,0.25769230769230766,0.2153846153846154,True
NL,JZ,2019,2020,780,0.25079881812005494,0.3,0.2512820512820513,True
NL,JZ,2020,2021,780,0.2948651367609039,0.2205128205128205,0.4064102564102564,True
NL,JZ,2021,2022,780,0.28064614991545633,0.367948717948718,0.24487179487179486,True
NL,JZ,2022,2023,780,0.2520596833415064,0.35384615384615387,0.17051282051282052,True
NL,JZ,2023,2024,780,0.17625425532419467,0.21025641025641026,0.17435897435897435,False
NL,JZ,2024,2025,780,0.24821914920323795,0.41025641025641024,0.12307692307692308,True
NL,JZ,2025,2026,780,0.1940662738791916,0.27564102564102566,0.18717948717948718,True
NL,KZ,2012,2013,780,0.055191070657506794,0.014102564102564103,0.0858974358974359,False
NL,KZ,2013,2014,780,0.13139508008206965,0.07179487179487179,0.22179487179487178,False
NL,KZ,2014,2015,780,0.16308821204433632,0.15512820512820513,0.2230769230769231,False
NL,KZ,2015,2016,741,0.22976776373495203,0.07827260458839407,0.4642375168690958,True
NL,KZ,2016,2017,741,0.2928286421328815,0.2483130904183536,0.3697705802968961,True
NL,KZ,2017,2018,780,0.18116263668135488,0.14615384615384616,0.27307692307692305,True
NL,KZ,2018,2019,780,0.2205989764012421,0.2564102564102564,0.2692307692307692,True
NL,KZ,2019,2020,780,0.18324152830159662,0.18717948717948718,0.2551282051282051,True
