package,model,split,group_type,group,rows,zones,mae,wmape,median_ape
controlled_hybrid,persistence,test,volatility_group,low_vol,69,69,208.69565217391303,9.965259996401434,10.109465550547329
controlled_hybrid,persistence,test,volatility_group,mid_high_vol,68,68,270.3970588235294,9.126647308465492,9.652495584330513
controlled_hybrid,persistence,test,volatility_group,mid_low_vol,70,70,262.7857142857143,9.676638768628647,9.411001885741463
controlled_hybrid,persistence,test,volatility_group,nan,3,3,357.0,10.222391906079984,10.744115413819285
controlled_hybrid,persistence,train,size_group,large,207,69,739.7004830917874,6.695035237717957,5.534792667734472
controlled_hybrid,persistence,train,size_group,mid_high,204,68,194.7156862745098,8.842851386579222,6.535620552127603
controlled_hybrid,persistence,train,size_group,mid_low,210,70,112.73333333333333,9.0184948858117,7.439603407345343
controlled_hybrid,persistence,train,size_group,nan,9,3,224.44444444444446,7.426743630280525,4.2164883574575205
controlled_hybrid,persistence,train,size_group,small,210,70,72.45714285714286,10.256133728767862,8.276651387324605
controlled_hybrid,persistence,train,volatility_group,high_vol,210,70,539.495238095238,6.450705572611576,7.600815969785513
controlled_hybrid,persistence,train,volatility_group,low_vol,207,69,140.15942028985506,7.802003947658564,5.492424242424242
controlled_hybrid,persistence,train,volatility_group,mid_high_vol,204,68,231.0,8.961269380047655,7.775905818061364
controlled_hybrid,persistence,train,volatility_group,mid_low_vol,210,70,201.42380952380952,8.578718191571564,6.8191692911129955
controlled_hybrid,persistence,train,volatility_group,nan,9,3,224.44444444444446,7.426743630280525,4.2164883574575205
controlled_hybrid,persistence,validation,size_group,large,69,69,383.2463768115942,3.347290927226422,2.4636376329435103
controlled_hybrid,persistence,validation,size_group,mid_high,68,68,90.26470588235294,3.8798007635710854,2.5587592739215856
controlled_hybrid,persistence,validation,size_group,mid_low,70,70,43.42857142857143,3.2669904999355204,2.819388303259271
controlled_hybrid,persistence,validation,size_group,nan,3,3,236.0,7.527110355092494,4.800540906017579
controlled_hybrid,persistence,validation,size_group,small,70,70,43.32857142857143,5.697593597956155,3.681329235497503
controlled_hybrid,persistence,validation,volatility_group,high_vol,70,70,292.8,3.363004651697008,2.5511033185720207
controlled_hybrid,persistence,validation,volatility_group,low_vol,69,69,73.85507246376811,3.914639954523806,3.2448377581120944
controlled_hybrid,persistence,validation,volatility_group,mid_high_vol,68,68,91.11764705882354,3.383204106148302,2.7659356903222703
controlled_hybrid,persistence,validation,volatility_group,mid_low_vol,70,70,98.1,3.9987654896114786,3.0839171339660645
controlled_hybrid,persistence,validation,volatility_group,nan,3,3,236.0,7.527110355092494,4.800540906017579
long_history,persistence,test,size_group,large,138,69,780.572463768116,6.484022442678891,6.268910648159962
long_history,persistence,test,size_group,mid_high,136,68,171.55882352941177,6.995262936979072,6.756139181099643
long_history,persistence,test,size_group,mid_low,140,70,88.0,6.307985335982141,5.51092318534179
long_history,persistence,test,size_group,nan,6,3,296.5,8.947341950409898,9.582584022699116
long_history,persistence,test,size_group,small,140,70,68.99285714285715,8.550360285395605,6.7801876939823185
long_history,persistence,test,volatility_group,high_vol,140,70,597.7785714285715,6.527987844022205,6.30150365256883
long_history,persistence,test,volatility_group,low_vol,138,69,141.2753623188406,7.09771370321829,5.737804864530519
long_history,persistence,test,volatility_group,mid_high_vol,136,68,180.75735294117646,6.391752577319587,6.709446324429404
long_history,persistence,test,volatility_group,mid_low_vol,140,70,180.44285714285715,6.981828231880052,6.2098552358141665
long_history,persistence,test,volatility_group,nan,6,3,296.5,8.947341950409898,9.582584022699116
long_history,persistence,train,size_group,large,345,69,975.6434782608695,10.383575665197961,11.10458284371328
long_history,persistence,train,size_group,mid_high,340,68,191.85588235294117,10.494993113922748,9.303521224532297
long_history,persistence,train,size_group,mid_low,350,70,109.89428571428572,10.588604510955294,9.482901000680073
long_history,persistence,train,size_group,nan,15,3,258.2,10.2365534557949,11.038107752956636
long_history,persistence,train,size_group,small,350,70,62.19714285714286,10.634431346878161,8.934629722761054
long_history,persistence,train,volatility_group,high_vol,350,70,743.5028571428571,10.457592510507785,10.941668861432056
long_history,persistence,train,volatility_group,low_vol,345,69,144.85797101449276,9.469473756013635,8.812260536398467
long_history,persistence,train,volatility_group,mid_high_vol,340,68,234.83823529411765,10.939724304424255,9.345142663486229
long_history,persistence,train,volatility_group,mid_low_vol,350,70,205.75142857142856,10.5111587920188,9.830798496391157
long_history,persistence,train,volatility_group,nan,15,3,258.2,10.2365534557949,11.038107752956636
long_history,persistence,validation,size_group,large,69,69,338.15942028985506,2.9129692236243514,2.1362489486963834
long_history,persistence,validation,size_group,mid_high,68,68,86.82352941176471,3.6738808477803633,3.267024519080549
long_history,persistence,validation,size_group,mid_low,70,70,58.857142857142854,4.394385425999403,3.7624684459476017
long_history,persistence,validation,size_group,nan,3,3,130.66666666666666,3.987792472024415,3.455986989225452
long_history,persistence,validation,size_group,small,70,70,56.47142857142857,7.337218798722994,6.5495697815613205
long_history,persistence,validation,volatility_group,high_vol,70,70,261.0857142857143,2.967658754966801,2.138706997808616
long_history,persistence,validation,volatility_group,low_vol,69,69,73.20289855072464,3.821477749027797,3.283458021612635
long_history,persistence,validation,volatility_group,mid_high_vol,68,68,113.04411764705883,4.147333664242399,4.210166313251634
long_history,persistence,validation,volatility_group,mid_low_vol,70,70,89.94285714285714,3.5777402728765693,3.5080296026616486
long_history,persistence,validation,volatility_group,nan,3,3,130.66666666666666,3.987792472024415,3.455986989225452
long_history,ridge_autoregressive,test,size_group,large,138,69,750.7854607568087,6.236589174160678,6.256412280952546
long_history,ridge_autoregressive,test,size_group,mid_high,136,68,164.8525974705547,6.72181844936003,5.66851568378658
long_history,ridge_autoregressive,test,size_group,mid_low,140,70,92.87453591620584,6.657400120972421,5.702504808474716
long_history,ridge_autoregressive,test,size_group,nan,6,3,212.83351986084426,6.422577675225397,3.160362206638694
long_history,ridge_autoregressive,test,size_group,small,140,70,60.75869813928198,7.52989194934713,5.9647272838285685
long_history,ridge_autoregressive,test,volatility_group,high_vol,140,70,548.3581805706551,5.988296851090966,7.091309834031414
long_history,ridge_autoregressive,test,volatility_group,low_vol,138,69,135.5623794036773,6.810691844221446,5.479871065070418
long_history,ridge_autoregressive,test,volatility_group,mid_high_vol,136,68,189.63406389947295,6.705641551807262,5.025522089740333
long_history,ridge_autoregressive,test,volatility_group,mid_low_vol,140,70,187.63580914482742,7.26014324059306,5.8114097295542315
long_history,ridge_autoregressive,test,volatility_group,nan,6,3,212.83351986084426,6.422577675225397,3.160362206638694
long_history,ridge_autoregressive,train,size_group,large,345,69,618.296266252612,6.580401762729515,6.312889045133942
long_history,ridge_autoregressive,train,size_group,mid_high,340,68,123.46502055475219,6.753843169367856,5.674229672870851
long_history,ridge_autoregressive,train,size_group,mid_low,350,70,75.03543243687744,7.229861982526341,6.189702971575983
long_history,ridge_autoregressive,train,size_group,nan,15,3,179.59011898209062,7.1199994310330625,6.24143265539466
long_history,ridge_autoregressive,train,size_group,small,350,70,46.74158704506094,7.991849394376891,6.50056589408026
long_history,ridge_autoregressive,train,volatility_group,high_vol,350,70,482.8889262887651,6.791978767062429,6.626688484635639
long_history,ridge_autoregressive,train,volatility_group,low_vol,345,69,95.30813270436191,6.230363818145187,5.457206771348058
long_history,ridge_autoregressive,train,volatility_group,mid_high_vol,340,68,141.29952275883483,6.58230897278035,5.933589166681916
long_history,ridge_autoregressive,train,volatility_group,mid_low_vol,350,70,137.08002269248243,7.002964187118689,6.416016704659409
long_history,ridge_autoregressive,train,volatility_group,nan,15,3,179.59011898209062,7.1199994310330625,6.24143265539466
long_history,ridge_autoregressive,validation,size_group,large,69,69,561.60289391857,4.837753579305637,4.770720467060013
long_history,ridge_autoregressive,validation,size_group,mid_high,68,68,98.78443635074714,4.179998800171004,3.46641794486001
long_history,ridge_autoregressive,validation,size_group,mid_low,70,70,65.35172049884923,4.879282856477928,4.196865969785211
