index,node_idx,ze2020,libze2020,profile_target_mean_train_scope,profile_target_std_train_scope,profile_target_cv_train_scope,first_year,last_year,first_value,last_value,profile_growth_train_scope,size_group_train_scope,volatility_group_train_scope,size_volatility_group_train_scope
90,90,3210,Compiègne,1607.5,309.18108681554963,0.19233660144046633,2012,2021,1430.0,2290.0,0.6013986013986014,mid_high,mid_low_vol,mid_high__mid_low_vol
91,91,3211,Creil,2772.4,565.5764414392727,0.20400246769559682,2012,2021,2311.0,3990.0,0.7265253137170056,large,mid_high_vol,large__mid_high_vol
92,92,3212,Douai,1576.0,359.2451963646989,0.2279474596222709,2012,2021,1319.0,2327.0,0.7642153146322972,mid_high,mid_high_vol,mid_high__mid_high_vol
93,93,3213,Dunkerque,1727.7,543.6919164379768,0.31469115959829647,2012,2021,1420.0,2894.0,1.0380281690140845,mid_high,high_vol,mid_high__high_vol
94,94,3214,Laon,684.1,97.81212149376532,0.1429792742198002,2012,2021,665.0,912.0,0.37142857142857144,small,low_vol,small__low_vol
95,95,3215,Lens,2508.8,621.6561750678585,0.24779024835294103,2012,2021,2322.0,3863.0,0.6636520241171404,large,high_vol,large__high_vol
96,96,3216,Lille,11677.7,3172.655461561778,0.27168496035707185,2012,2021,8640.0,17908.0,1.072685185185185,large,high_vol,large__high_vol
97,97,3217,Maubeuge,1451.0,271.97099518555694,0.18743693672333353,2012,2021,1310.0,1953.0,0.4908396946564885,mid_high,mid_low_vol,mid_high__mid_low_vol
98,98,3218,Roubaix-Tourcoing,4212.3,1216.4271042688913,0.288779788777839,2012,2021,3450.0,6734.0,0.9518840579710145,large,high_vol,large__high_vol
99,99,3219,Saint-Omer,1104.3,261.5789874333691,0.23687312092127963,2012,2021,975.0,1624.0,0.6656410256410257,mid_low,high_vol,mid_low__high_vol
100,100,3220,Saint-Quentin,1641.8,307.61404389266755,0.1873638956588303,2012,2021,1417.0,2325.0,0.6407904022582922,mid_high,mid_low_vol,mid_high__mid_low_vol
101,101,3221,Soissons,1244.2,238.66331468782082,0.1918206997973162,2012,2021,1148.0,1821.0,0.5862369337979094,mid_high,mid_low_vol,mid_high__mid_low_vol
102,102,3222,Valenciennes,2784.8,713.6614198779573,0.256270259938939,2012,2021,2292.0,4131.0,0.8023560209424084,large,high_vol,large__high_vol
103,103,4401,Bar-le-Duc,435.1,68.26492510799378,0.15689479454836536,2012,2021,445.0,590.0,0.3258426966292135,small,low_vol,small__low_vol
104,104,4402,Châlons-en-Champagne,826.5,173.42065108349192,0.2098253491633296,2012,2021,691.0,1194.0,0.7279305354558611,mid_low,mid_high_vol,mid_low__mid_high_vol
105,105,4403,Charleville-Mézières,1168.6,165.9432299178112,0.1420017370510108,2012,2021,1048.0,1491.0,0.42270992366412213,mid_low,low_vol,mid_low__low_vol
106,106,4404,Chaumont,863.4,162.451497034927,0.1881532279765196,2012,2021,813.0,1221.0,0.5018450184501845,mid_low,mid_low_vol,mid_low__mid_low_vol
107,107,4405,Colmar,1836.8,334.1010492517363,0.1818929928417554,2012,2021,1662.0,2600.0,0.5643802647412756,mid_high,low_vol,mid_high__low_vol
108,108,4406,Épernay,674.4,121.27031330415909,0.17981956302514693,2012,2021,611.0,969.0,0.5859247135842881,small,low_vol,small__low_vol
109,109,4407,Épinal,1471.8,252.34755574185556,0.1714550589358986,2012,2021,1332.0,2037.0,0.5292792792792793,mid_high,low_vol,mid_high__low_vol
110,110,4408,Forbach,767.9,123.26344866901042,0.16052018318662642,2012,2021,793.0,1033.0,0.3026481715006305,mid_low,low_vol,mid_low__low_vol
111,111,4409,Haguenau,1921.5,338.1972632782366,0.17600690256478616,2012,2021,1793.0,2722.0,0.5181260457334077,mid_high,low_vol,mid_high__low_vol
112,112,4410,Metz,4091.6,873.53333587728,0.21349431417471895,2012,2021,3687.0,6195.0,0.6802278275020341,large,mid_high_vol,large__mid_high_vol
113,113,4411,Mulhouse,3974.3,864.9682139310735,0.21764039300784377,2012,2021,3511.0,5877.0,0.6738820848761037,large,mid_high_vol,large__mid_high_vol
114,114,4412,Nancy,5125.2,1137.5635562220004,0.2219549590693047,2012,2021,4277.0,7407.0,0.7318213701192424,large,mid_high_vol,large__mid_high_vol
115,115,4413,Reims,3453.6,1091.9643054809276,0.3161814644084224,2012,2021,2649.0,5914.0,1.2325405813514534,large,high_vol,large__high_vol
