fold_validation_year,test_target_year,group_type,group,zones,target_sum,aggregate_growth_vs_lag_0,persistence_wmape,ridge_wmape,segmented_size_volatility_wmape,ridge_delta_vs_persistence,segmented_delta_vs_persistence
2022,2023,size_group,mid_high,70,163058.0,-0.01638968481375358,4.034760637319236,10.499055533714893,5.6603550054319145,6.464294896395657,1.6255943681126785
2022,2023,size_group,mid_low,70,93219.0,-0.007336968096434808,3.317993112991987,9.370688326960753,4.4378819232697,6.052695213968766,1.119888810277713
2022,2023,size_group,small,70,53267.0,-0.012550051905679965,5.630127471042109,9.845442523628464,8.68648533438983,4.215315052586354,3.0563578633477215
2022,2023,volatility_group,high_vol,70,664699.0,-0.011685237555720101,3.378521706817672,10.351215856247443,3.378521706817672,6.9726941494297705,0.0
2022,2023,volatility_group,low_vol,70,115526.0,-0.017301803334467507,4.238007028720808,9.74189434301722,9.74189434301722,5.503887314296413,5.503887314296413
2022,2023,volatility_group,mid_high_vol,70,188698.0,-0.019200382552289078,3.6788943179048004,11.176729412240885,3.6788943179048004,7.497835094336084,0.0
2022,2023,volatility_group,mid_low_vol,70,134984.0,-0.012249557288998814,3.754519054110117,10.16473133181992,4.4979463268421265,6.410212277709803,0.7434272727320095
2022,2023,size_volatility_group,large__high_vol,43,616715.0,-0.01186787198656673,3.3031465101383946,10.291520711811227,3.3031465101383946,6.9883742016728325,0.0
2022,2023,size_volatility_group,large__low_vol,3,25175.0,-0.027316281585657985,4.111221449851043,12.211669396859044,12.211669396859044,8.100447947008,8.100447947008
2022,2023,size_volatility_group,large__mid_high_vol,15,106373.0,-0.022513623039247217,3.9201677117313602,11.937962699717335,3.9201677117313602,8.017794987985976,0.0
2022,2023,size_volatility_group,large__mid_low_vol,9,46100.0,-0.013143811277133193,2.420824295010846,9.822738322070773,2.420824295010846,7.401914027059927,0.0
2022,2023,size_volatility_group,mid_high__high_vol,11,28721.0,-0.02126426989265633,4.282580690087393,12.35721195364377,4.282580690087393,8.074631263556377,0.0
2022,2023,size_volatility_group,mid_high__low_vol,18,40505.0,-0.03322433587130343,5.145043821750401,11.689079532791439,11.689079532791439,6.544035711041038,6.544035711041038
2022,2023,size_volatility_group,mid_high__mid_high_vol,20,45579.0,-0.0062140240711669285,2.534061738958731,8.93415362434474,2.534061738958731,6.400091885386009,0.0
2022,2023,size_volatility_group,mid_high__mid_low_vol,21,48253.0,-0.008547535392138733,4.372785111806519,9.872288939053607,4.372785111806519,5.499503827247088,0.0
2022,2023,size_volatility_group,mid_low__high_vol,11,14753.0,-0.0077347323110034975,3.802616416999932,10.70851485603274,3.802616416999932,6.905898439032809,0.0
2022,2023,size_volatility_group,mid_low__low_vol,24,30669.0,0.005046698345076192,3.2606214744530306,6.664544491352122,6.664544491352122,3.4039230168990913,3.4039230168990913
2022,2023,size_volatility_group,mid_low__mid_high_vol,17,24118.0,-0.020389926888708367,2.570694087403599,10.847460327818185,2.570694087403599,8.276766240414586,0.0
2022,2023,size_volatility_group,mid_low__mid_low_vol,18,23679.0,-0.00945408910269818,3.8515139997466106,10.538008880793367,3.8515139997466106,6.686494881046756,0.0
2022,2023,size_volatility_group,small__high_vol,5,4510.0,0.06796116504854369,6.541019955654102,4.570604979047393,6.541019955654102,-1.9704149766067092,0.0
2022,2023,size_volatility_group,small__low_vol,25,19177.0,-0.0046195370082009754,4.051728633258591,7.308349967382047,7.308349967382047,3.256621334123456,3.256621334123456
2022,2023,size_volatility_group,small__mid_high_vol,18,12628.0,-0.03492548719908292,7.895153626860944,13.487547049704657,7.895153626860944,5.592393422843713,0.0
2022,2023,size_volatility_group,small__mid_low_vol,22,16952.0,-0.02406447898675878,5.486078338839075,11.405780260881171,11.405780260881171,5.919701922042096,5.919701922042096
2023,2024,size_group,large,70,876555.0,0.10298170159327757,9.336664556131675,2.6330061874190296,9.336664556131675,-6.703658368712645,0.0
2023,2024,size_group,mid_high,70,180209.0,0.1075675908227673,9.746461053554484,3.739904409976903,9.746461053554484,-6.00655664357758,0.0
2023,2024,size_group,mid_low,70,102592.0,0.10014691216368374,9.177128820960698,4.371667970126805,9.177128820960698,-4.805460850833893,0.0
2023,2024,size_group,small,70,59733.0,0.12210470948471813,11.092695829775835,6.104131067871635,11.225509070921156,-4.9885647619041995,0.13281324114532111
2023,2024,volatility_group,high_vol,70,726330.0,0.1003582871902861,9.134277807608113,2.5086713373615543,9.145200299221198,-6.6256064702465585,0.010922491613085228
2023,2024,volatility_group,low_vol,70,136346.0,0.11533207358871793,10.340604051457323,4.333696382272619,10.340604051457323,-6.006907669184704,0.0
2023,2024,volatility_group,mid_high_vol,70,199363.0,0.10536149922377468,9.562958021297833,3.7093485491766556,9.562958021297833,-5.853609472121177,0.0
2023,2024,volatility_group,mid_low_vol,70,157050.0,0.11213398010126403,10.147723654886978,4.091328364765204,10.147723654886978,-6.056395290121774,0.0
2023,2024,size_volatility_group,large__high_vol,44,679501.0,0.10090745748267632,9.165843758875997,2.36558706959338,9.165843758875997,-6.800256689282618,0.0
2023,2024,size_volatility_group,large__low_vol,3,28368.0,0.12683217477656406,11.255640157924422,4.49335039955983,11.255640157924422,-6.762289758364592,0.0
2023,2024,size_volatility_group,large__mid_high_vol,13,100700.0,0.09557743567426427,8.723932472691162,3.110315622950683,8.723932472691162,-5.613616849740479,0.0
2023,2024,size_volatility_group,large__mid_low_vol,10,67986.0,0.1255028557238639,11.150825169887918,3.822548934655212,11.150825169887918,-7.328276235232706,0.0
2023,2024,size_volatility_group,mid_high__high_vol,10,27269.0,0.09312114166599855,8.518830906890608,3.3909557861607493,8.518830906890608,-5.127875120729859,0.0
2023,2024,size_volatility_group,mid_high__low_vol,23,58074.0,0.11278454817199356,10.13534456038847,3.9355844235441,10.13534456038847,-6.19976013684437,0.0
2023,2024,size_volatility_group,mid_high__mid_high_vol,21,54029.0,0.1090379128435659,9.946510207481166,4.01424593225939,9.946510207481166,-5.932264275221776,0.0
2023,2024,size_volatility_group,mid_high__mid_low_vol,16,40837.0,0.10801497720859561,9.7485123784803,3.3316756176449753,9.7485123784803,-6.416836760835324,0.0
2023,2024,size_volatility_group,mid_low__high_vol,9,13284.0,0.08343528260337656,7.700993676603432,3.6686623240284892,7.700993676603432,-4.032331352574943,0.0
2023,2024,size_volatility_group,mid_low__low_vol,22,30247.0,0.10045113876155133,9.128178001124079,4.023265593422161,9.128178001124079,-5.104912407701918,0.0
2023,2024,size_volatility_group,mid_low__mid_high_vol,18,29336.0,0.1140394182204838,10.236569402781566,4.22613652022816,10.236569402781566,-6.010432882553405,0.0
2023,2024,size_volatility_group,mid_low__mid_low_vol,21,29725.0,0.09391675560298826,8.841042893187552,5.183986365591297,8.841042893187552,-3.6570565275962554,0.0
2023,2024,size_volatility_group,small__high_vol,7,6276.0,0.10902986393355717,11.424474187380497,11.7115980632305,12.688548969619715,0.28712387585000343,1.2640747822392182
2023,2024,size_volatility_group,small__low_vol,22,19657.0,0.12984251063340613,11.492089332044564,5.757132756040552,11.492089332044564,-5.734956576004012,0.0
2023,2024,size_volatility_group,small__mid_high_vol,18,15298.0,0.14206793579693916,12.439534579683619,5.584680163872138,12.439534579683619,-6.854854415811481,0.0
2023,2024,size_volatility_group,small__mid_low_vol,23,18502.0,0.10255646266611049,9.442222462436494,5.000198675815412,9.442222462436494,-4.442023786621082,0.0
