source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
13,0.11078681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111868344,0.110972166,0.110542335,0.11057583,0.0,0.11117593,0.0,0.0,0.11101526,0.11161541,0.11144792,0.0
14,0.0,0.0,0.0,0.0,0.110034235,0.0,0.11000062,0.0,0.0,0.0,0.0,0.0,0.0,0.11093892,0.11183483,0.0,0.11175606,0.0,0.111575045,0.11127797,0.0,0.1117483,0.110834025,0.0,0.0
15,0.0,0.11149253,0.11090897,0.0,0.0,0.0,0.0,0.0,0.0,0.11077515,0.11099963,0.110782996,0.110576466,0.0,0.0,0.11173514,0.0,0.0,0.0,0.0,0.11162691,0.0,0.0,0.11110225,0.0
16,0.0,0.0,0.0,0.0,0.11057449,0.0,0.11046672,0.0,0.0,0.0,0.0,0.0,0.0,0.110549025,0.11176245,0.0,0.111841224,0.0,0.11132973,0.1115215,0.0,0.11159676,0.11035812,0.0,0.0
17,0.0,0.1086786,0.0,0.11388432,0.0,0.0,0.0,0.0,0.0,0.11105426,0.11113722,0.109172545,0.11172334,0.0,0.0,0.0,0.0,0.11479267,0.0,0.0,0.10815152,0.0,0.0,0.0,0.111405544
18,0.11053844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11118975,0.111622356,0.0,0.11137057,0.0,0.11188225,0.11057743,0.0,0.11160855,0.111076616,0.11013403,0.0
19,0.0,0.0,0.0,0.0,0.111494265,0.0,0.11166628,0.0,0.0,0.0,0.0,0.0,0.0,0.109456085,0.11159784,0.0,0.11183568,0.0,0.110848285,0.11215631,0.0,0.11144319,0.10950202,0.0,0.0
20,0.0,0.11133072,0.11086717,0.0,0.0,0.0,0.0,0.0,0.0,0.11085805,0.111042306,0.11076295,0.0,0.0,0.0,0.111617595,0.0,0.0,0.0,0.0,0.11172582,0.0,0.0,0.11086046,0.11093496
21,0.0,0.0,0.0,0.0,0.0,0.0,0.10971131,0.0,0.0,0.0,0.0,0.0,0.0,0.1110451,0.11181184,0.0,0.111653835,0.0,0.11162468,0.111186944,0.0,0.111898415,0.11117475,0.109893136,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110658914,0.0,0.111688815,0.11094015,0.11047584,0.11045747,0.0,0.11113585,0.0,0.0,0.11121796,0.11194191,0.11148316,0.0
23,0.11026315,0.11055898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1103665,0.11145289,0.0,0.111527115,0.0,0.11131374,0.0,0.0,0.0,0.0,0.11108075,0.0,0.11148906,0.11194784,0.0
24,0.0,0.11066063,0.0,0.11112235,0.0,0.0,0.0,0.0,0.0,0.111275725,0.1113586,0.11063404,0.11111645,0.0,0.0,0.1106739,0.0,0.0,0.0,0.0,0.111182846,0.0,0.0,0.0,0.111975476
