source_idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
14,0.04096178,0.03974339,0.04002699,0.03706483,0.041080154,0.040575787,0.041067604,0.03913827,0.037477903,0.038705945,0.03916678,0.040101297,0.03852382,0.04141791,0.041752387,0.04037956,0.04172298,0.034749076,0.041655403,0.04154449,0.040239472,0.041720085,0.04137875,0.04089426,0.03891109
15,0.040815316,0.041225724,0.041009948,0.040078063,0.03762503,0.040327977,0.03744289,0.03386114,0.04003887,0.040960465,0.041043468,0.040963367,0.040887002,0.04082571,0.039956972,0.041315436,0.03967171,0.038720053,0.040390313,0.0387992,0.04127541,0.040074926,0.040774338,0.041081414,0.040835194
16,0.041053455,0.039624263,0.039971005,0.03669553,0.04147511,0.040738005,0.041434687,0.03969918,0.037286825,0.038492136,0.03896484,0.039952673,0.03828953,0.041465558,0.0419207,0.040281266,0.041950244,0.034247205,0.04175839,0.04183032,0.04011568,0.041858554,0.04139395,0.04083772,0.038663168
17,0.039690044,0.042839315,0.041367143,0.044891328,0.032651573,0.03842865,0.03292376,0.026994787,0.04220903,0.04377576,0.043808464,0.04303402,0.044039503,0.040224466,0.0376595,0.042406872,0.03694054,0.04524938,0.038555782,0.03532966,0.042631548,0.03812321,0.040552884,0.041758552,0.043914232
18,0.041008834,0.040009417,0.040301666,0.037560295,0.04046265,0.040603437,0.040346086,0.03808594,0.038260687,0.03916889,0.03943623,0.04013565,0.038922377,0.041250464,0.041410957,0.04057795,0.041317545,0.03536732,0.041507374,0.041023295,0.040476423,0.041405834,0.04120849,0.0408588,0.03929345
19,0.040972732,0.039163314,0.03966889,0.03598347,0.042357698,0.040665496,0.042423047,0.041087948,0.03662505,0.037884552,0.038458865,0.03976445,0.03762407,0.041583374,0.04239705,0.04001418,0.042487405,0.03326828,0.042112283,0.04260921,0.039869446,0.042338293,0.041600823,0.040776443,0.038263585
20,0.040664207,0.04123093,0.041059256,0.04033654,0.03740972,0.040174052,0.03727499,0.033559967,0.040233344,0.041055877,0.041124113,0.041020654,0.040954284,0.040726077,0.03987793,0.04133717,0.039567742,0.038983434,0.040349532,0.0387167,0.04137725,0.04004815,0.040776893,0.041056767,0.041084357
21,0.040795792,0.039779603,0.04006947,0.037376344,0.0408004,0.040425286,0.040856846,0.03877915,0.037537932,0.038819365,0.039318327,0.04023453,0.0386568,0.04135355,0.041639086,0.040420134,0.041580245,0.035108656,0.04156939,0.041406374,0.040332783,0.04167133,0.041401833,0.040924557,0.03914225
22,0.040567778,0.04030911,0.040169932,0.038741667,0.039339926,0.039949782,0.039488446,0.036739994,0.038194913,0.03968807,0.04014519,0.040833898,0.03963301,0.041213933,0.040937673,0.04076634,0.040759563,0.037019987,0.041009888,0.04032975,0.04070799,0.041040186,0.04130733,0.041138045,0.039967597
23,0.040655416,0.040764496,0.04040634,0.03951233,0.038401164,0.039952304,0.038455304,0.035259612,0.0388355,0.040346287,0.040693525,0.04109409,0.040358476,0.04112146,0.040428232,0.041042786,0.040181927,0.038092244,0.040631615,0.039501138,0.04095688,0.040536884,0.041107427,0.041276585,0.040388007
24,0.040221196,0.041609466,0.041148867,0.04178308,0.035984937,0.039507333,0.036025777,0.031603016,0.04096447,0.04184075,0.04187191,0.041599467,0.04178086,0.0404776,0.039238643,0.041614458,0.038804747,0.04086153,0.03985812,0.037809774,0.041805826,0.03954853,0.040738296,0.041197475,0.042103864
