zone_id,target_year,stock
PT_150,2024,98598.0
PT_16B,2008,45835.0
PT_16B,2009,44137.0
PT_16B,2010,42179.0
PT_16B,2011,40906.0
PT_16B,2012,38721.0
PT_16B,2013,40125.0
PT_16B,2014,40722.0
PT_16B,2015,41933.0
PT_16B,2016,43106.0
PT_16B,2017,44939.0
PT_16B,2018,46010.0
PT_16B,2019,47131.0
PT_16B,2020,46412.0
PT_16B,2021,47944.0
PT_16B,2022,51083.0
PT_16B,2023,53476.0
PT_16B,2024,55776.0
PT_16D,2008,42807.0
PT_16D,2009,41679.0
PT_16D,2010,40006.0
PT_16D,2011,38776.0
PT_16D,2012,37259.0
PT_16D,2013,38606.0
PT_16D,2014,39383.0
PT_16D,2015,40441.0
PT_16D,2016,41400.0
PT_16D,2017,42386.0
PT_16D,2018,42815.0
PT_16D,2019,43813.0
PT_16D,2020,43527.0
PT_16D,2021,44968.0
PT_16D,2022,47443.0
PT_16D,2023,49336.0
PT_16D,2024,50965.0
PT_16E,2008,55017.0
PT_16E,2009,53220.0
PT_16E,2010,50930.0
PT_16E,2011,49624.0
PT_16E,2012,47278.0
PT_16E,2013,48993.0
PT_16E,2014,50515.0
PT_16E,2015,51539.0
PT_16E,2016,52269.0
PT_16E,2017,53666.0
PT_16E,2018,53708.0
PT_16E,2019,54406.0
PT_16E,2020,53851.0
PT_16E,2021,54871.0
PT_16E,2022,57341.0
PT_16E,2023,59706.0
PT_16E,2024,61649.0
PT_16F,2008,38391.0
PT_16F,2009,37089.0
PT_16F,2010,35914.0
PT_16F,2011,34739.0
PT_16F,2012,33277.0
PT_16F,2013,33186.0
PT_16F,2014,33625.0
PT_16F,2015,34310.0
PT_16F,2016,35022.0
PT_16F,2017,36101.0
PT_16F,2018,36047.0
PT_16F,2019,36788.0
PT_16F,2020,36442.0
PT_16F,2021,37373.0
PT_16F,2022,39733.0
PT_16F,2023,41292.0
PT_16F,2024,43049.0
PT_16G,2008,26323.0
PT_16G,2009,25424.0
PT_16G,2010,24869.0
PT_16G,2011,24378.0
PT_16G,2012,23396.0
PT_16G,2013,25793.0
PT_16G,2014,26360.0
PT_16G,2015,26908.0
PT_16G,2016,27276.0
PT_16G,2017,27670.0
PT_16G,2018,28146.0
PT_16G,2019,28605.0
PT_16G,2020,28310.0
PT_16G,2021,29221.0
PT_16G,2022,30522.0
PT_16G,2023,31406.0
PT_16G,2024,32317.0
PT_16H,2008,8883.0
PT_16H,2009,8654.0
PT_16H,2010,8446.0
PT_16H,2011,8192.0
PT_16H,2012,7850.0
PT_16H,2013,7941.0
PT_16H,2014,8234.0
PT_16H,2015,8524.0
PT_16H,2016,8705.0
PT_16H,2017,8919.0
PT_16H,2018,8831.0
PT_16H,2019,8935.0
PT_16H,2020,8924.0
PT_16H,2021,9027.0
PT_16H,2022,9410.0
PT_16H,2023,11878.0
PT_16H,2024,12103.0
PT_16I,2008,25556.0
PT_16I,2009,24839.0
PT_16I,2010,23924.0
PT_16I,2011,23318.0
PT_16I,2012,22353.0
PT_16I,2013,21811.0
PT_16I,2014,22152.0
