zone_id,target_year,cae_section,births_cae,a10
1111602,2023,N,97.0,MN
1111602,2023,P,18.0,OPQ
1111602,2023,Q,21.0,OPQ
1111602,2023,R,11.0,RSU
1111602,2023,S,17.0,RSU
1111602,2024,A,8.0,A
1111602,2024,B,0.0,BE
1111602,2024,C,9.0,BE
1111602,2024,D,2.0,BE
1111602,2024,E,0.0,BE
1111602,2024,F,54.0,F
1111602,2024,G,40.0,G
1111602,2024,H,8.0,G
1111602,2024,I,41.0,G
1111602,2024,J,8.0,J
1111602,2024,L,12.0,L
1111602,2024,M,28.0,MN
1111602,2024,N,88.0,MN
1111602,2024,P,19.0,OPQ
1111602,2024,Q,20.0,OPQ
1111602,2024,R,7.0,RSU
1111602,2024,S,14.0,RSU
1111603,2008,A,1.0,A
1111603,2008,B,0.0,BE
1111603,2008,C,7.0,BE
1111603,2008,D,0.0,BE
1111603,2008,E,0.0,BE
1111603,2008,F,10.0,F
1111603,2008,G,8.0,G
1111603,2008,H,3.0,G
1111603,2008,I,5.0,G
1111603,2008,J,0.0,J
1111603,2008,L,0.0,L
1111603,2008,M,5.0,MN
1111603,2008,N,20.0,MN
1111603,2008,P,8.0,OPQ
1111603,2008,Q,6.0,OPQ
1111603,2008,R,2.0,RSU
1111603,2008,S,3.0,RSU
1111603,2009,A,2.0,A
1111603,2009,B,0.0,BE
1111603,2009,C,2.0,BE
1111603,2009,D,0.0,BE
1111603,2009,E,0.0,BE
1111603,2009,F,8.0,F
1111603,2009,G,10.0,G
1111603,2009,H,3.0,G
1111603,2009,I,8.0,G
1111603,2009,J,0.0,J
1111603,2009,L,0.0,L
1111603,2009,M,3.0,MN
1111603,2009,N,6.0,MN
1111603,2009,P,8.0,OPQ
1111603,2009,Q,1.0,OPQ
1111603,2009,R,3.0,RSU
1111603,2009,S,4.0,RSU
1111603,2010,A,2.0,A
1111603,2010,B,0.0,BE
1111603,2010,C,3.0,BE
1111603,2010,D,0.0,BE
1111603,2010,E,0.0,BE
1111603,2010,F,6.0,F
1111603,2010,G,9.0,G
1111603,2010,H,2.0,G
1111603,2010,I,13.0,G
1111603,2010,J,1.0,J
1111603,2010,L,1.0,L
1111603,2010,M,6.0,MN
1111603,2010,N,9.0,MN
1111603,2010,P,11.0,OPQ
