zone_id,target_year,a10,births
PT_11E,2023,GI,379.0
PT_11E,2023,JZ,31.0
PT_11E,2023,KZ,0.0
PT_11E,2023,LZ,18.0
PT_11E,2023,MN,386.0
PT_11E,2023,OPQ,244.0
PT_11E,2023,RSU,98.0
PT_11E,2024,A,1024.0
PT_11E,2024,BE,67.0
PT_11E,2024,FZ,152.0
PT_11E,2024,GI,344.0
PT_11E,2024,JZ,27.0
PT_11E,2024,KZ,0.0
PT_11E,2024,LZ,33.0
PT_11E,2024,MN,493.0
PT_11E,2024,OPQ,253.0
PT_11E,2024,RSU,134.0
PT_150,2008,A,328.0
PT_150,2008,BE,210.0
PT_150,2008,FZ,1941.0
PT_150,2008,GI,2919.0
PT_150,2008,JZ,102.0
PT_150,2008,KZ,0.0
PT_150,2008,LZ,367.0
PT_150,2008,MN,3465.0
PT_150,2008,OPQ,900.0
PT_150,2008,RSU,894.0
PT_150,2009,A,257.0
PT_150,2009,BE,177.0
PT_150,2009,FZ,1223.0
PT_150,2009,GI,2322.0
PT_150,2009,JZ,80.0
PT_150,2009,KZ,0.0
PT_150,2009,LZ,202.0
PT_150,2009,MN,2850.0
PT_150,2009,OPQ,880.0
PT_150,2009,RSU,721.0
PT_150,2010,A,279.0
PT_150,2010,BE,145.0
PT_150,2010,FZ,745.0
PT_150,2010,GI,2083.0
PT_150,2010,JZ,71.0
PT_150,2010,KZ,0.0
PT_150,2010,LZ,191.0
PT_150,2010,MN,2538.0
PT_150,2010,OPQ,838.0
PT_150,2010,RSU,625.0
PT_150,2011,A,380.0
PT_150,2011,BE,170.0
PT_150,2011,FZ,537.0
PT_150,2011,GI,2226.0
PT_150,2011,JZ,80.0
PT_150,2011,KZ,0.0
PT_150,2011,LZ,178.0
PT_150,2011,MN,2305.0
PT_150,2011,OPQ,796.0
PT_150,2011,RSU,575.0
PT_150,2012,A,399.0
PT_150,2012,BE,165.0
PT_150,2012,FZ,519.0
PT_150,2012,GI,2178.0
PT_150,2012,JZ,101.0
PT_150,2012,KZ,0.0
PT_150,2012,LZ,189.0
PT_150,2012,MN,2201.0
PT_150,2012,OPQ,701.0
PT_150,2012,RSU,519.0
PT_150,2013,A,1106.0
PT_150,2013,BE,204.0
PT_150,2013,FZ,563.0
PT_150,2013,GI,2601.0
PT_150,2013,JZ,73.0
PT_150,2013,KZ,0.0
PT_150,2013,LZ,240.0
PT_150,2013,MN,2438.0
PT_150,2013,OPQ,703.0
PT_150,2013,RSU,643.0
PT_150,2014,A,1995.0
PT_150,2014,BE,194.0
PT_150,2014,FZ,722.0
PT_150,2014,GI,3101.0
PT_150,2014,JZ,90.0
PT_150,2014,KZ,0.0
PT_150,2014,LZ,297.0
PT_150,2014,MN,2747.0
PT_150,2014,OPQ,790.0
PT_150,2014,RSU,719.0
PT_150,2015,A,1518.0
PT_150,2015,BE,228.0
PT_150,2015,FZ,804.0
PT_150,2015,GI,5134.0
PT_150,2015,JZ,101.0
PT_150,2015,KZ,0.0
PT_150,2015,LZ,384.0
PT_150,2015,MN,3012.0
PT_150,2015,OPQ,883.0
PT_150,2015,RSU,806.0
PT_150,2016,A,741.0
PT_150,2016,BE,332.0
PT_150,2016,FZ,782.0
PT_150,2016,GI,3775.0
PT_150,2016,JZ,101.0
PT_150,2016,KZ,0.0
PT_150,2016,LZ,436.0
PT_150,2016,MN,3270.0
PT_150,2016,OPQ,891.0
PT_150,2016,RSU,823.0
PT_150,2017,A,780.0
PT_150,2017,BE,229.0
PT_150,2017,FZ,978.0
PT_150,2017,GI,3657.0
PT_150,2017,JZ,108.0
PT_150,2017,KZ,0.0
PT_150,2017,LZ,523.0
PT_150,2017,MN,3553.0
PT_150,2017,OPQ,841.0
PT_150,2017,RSU,979.0
PT_150,2018,A,834.0
PT_150,2018,BE,289.0
PT_150,2018,FZ,1039.0
PT_150,2018,GI,4019.0
PT_150,2018,JZ,132.0
PT_150,2018,KZ,0.0
PT_150,2018,LZ,577.0
PT_150,2018,MN,3681.0
PT_150,2018,OPQ,901.0
PT_150,2018,RSU,918.0
PT_150,2019,A,482.0
PT_150,2019,BE,220.0
PT_150,2019,FZ,1166.0
PT_150,2019,GI,3818.0
PT_150,2019,JZ,132.0
PT_150,2019,KZ,0.0
PT_150,2019,LZ,560.0
PT_150,2019,MN,3585.0
PT_150,2019,OPQ,971.0
PT_150,2019,RSU,980.0
PT_150,2020,A,574.0
PT_150,2020,BE,153.0
PT_150,2020,FZ,864.0
PT_150,2020,GI,2348.0
PT_150,2020,JZ,139.0
PT_150,2020,KZ,0.0
PT_150,2020,LZ,433.0
PT_150,2020,MN,2562.0
PT_150,2020,OPQ,842.0
PT_150,2020,RSU,701.0
PT_150,2021,A,721.0
PT_150,2021,BE,217.0
PT_150,2021,FZ,1091.0
PT_150,2021,GI,2682.0
PT_150,2021,JZ,204.0
PT_150,2021,KZ,0.0
PT_150,2021,LZ,582.0
PT_150,2021,MN,3247.0
PT_150,2021,OPQ,1048.0
