zone_id,target_year,a10,jobs,source
PT_111,2023,JZ,840.0,Eurostat nama_10r_3empers
PT_111,2023,KZ,870.0,Eurostat nama_10r_3empers
PT_111,2023,LZ,880.0,Eurostat nama_10r_3empers
PT_111,2023,MN,8370.0,Eurostat nama_10r_3empers
PT_111,2023,OPQ,22230.0,Eurostat nama_10r_3empers
PT_111,2023,RSU,6150.0,Eurostat nama_10r_3empers
PT_111,2024,A,6800.0,ARDECO SNETZ 2024
PT_111,2024,BE,24300.0,ARDECO SNETZ 2024
PT_111,2024,FZ,10900.0,ARDECO SNETZ 2024
PT_111,2024,GI,23400.0,ARDECO SNETZ 2024
PT_111,2024,JZ,800.0,ARDECO SNETZ 2024
PT_111,2024,KZ,900.0,ARDECO SNETZ 2024
PT_111,2024,LZ,900.0,ARDECO SNETZ 2024
PT_111,2024,MN,8500.0,ARDECO SNETZ 2024
PT_111,2024,OPQ,22400.0,ARDECO SNETZ 2024
PT_111,2024,RSU,6300.0,ARDECO SNETZ 2024
PT_112,2000,A,27950.0,Eurostat nama_10r_3empers
PT_112,2000,BE,65239.99999999999,Eurostat nama_10r_3empers
PT_112,2000,FZ,28210.0,Eurostat nama_10r_3empers
PT_112,2000,GI,29040.0,Eurostat nama_10r_3empers
PT_112,2000,JZ,930.0,Eurostat nama_10r_3empers
PT_112,2000,KZ,1690.0,Eurostat nama_10r_3empers
PT_112,2000,LZ,980.0,Eurostat nama_10r_3empers
PT_112,2000,MN,6170.0,Eurostat nama_10r_3empers
PT_112,2000,OPQ,27850.0,Eurostat nama_10r_3empers
PT_112,2000,RSU,9610.0,Eurostat nama_10r_3empers
PT_112,2001,A,28760.0,Eurostat nama_10r_3empers
PT_112,2001,BE,69280.0,Eurostat nama_10r_3empers
PT_112,2001,FZ,28890.0,Eurostat nama_10r_3empers
PT_112,2001,GI,31900.0,Eurostat nama_10r_3empers
PT_112,2001,JZ,930.0,Eurostat nama_10r_3empers
PT_112,2001,KZ,1630.0,Eurostat nama_10r_3empers
PT_112,2001,LZ,960.0,Eurostat nama_10r_3empers
PT_112,2001,MN,6490.0,Eurostat nama_10r_3empers
PT_112,2001,OPQ,29240.0,Eurostat nama_10r_3empers
PT_112,2001,RSU,9540.0,Eurostat nama_10r_3empers
PT_112,2002,A,26530.0,Eurostat nama_10r_3empers
PT_112,2002,BE,70310.0,Eurostat nama_10r_3empers
PT_112,2002,FZ,29780.0,Eurostat nama_10r_3empers
PT_112,2002,GI,32180.0,Eurostat nama_10r_3empers
PT_112,2002,JZ,970.0,Eurostat nama_10r_3empers
PT_112,2002,KZ,1650.0,Eurostat nama_10r_3empers
PT_112,2002,LZ,950.0,Eurostat nama_10r_3empers
PT_112,2002,MN,6350.0,Eurostat nama_10r_3empers
PT_112,2002,OPQ,31460.0,Eurostat nama_10r_3empers
PT_112,2002,RSU,9740.0,Eurostat nama_10r_3empers
PT_112,2003,A,26640.0,Eurostat nama_10r_3empers
PT_112,2003,BE,65150.00000000001,Eurostat nama_10r_3empers
PT_112,2003,FZ,27980.0,Eurostat nama_10r_3empers
PT_112,2003,GI,33740.0,Eurostat nama_10r_3empers
PT_112,2003,JZ,1020.0,Eurostat nama_10r_3empers
PT_112,2003,KZ,1630.0,Eurostat nama_10r_3empers
PT_112,2003,LZ,950.0,Eurostat nama_10r_3empers
PT_112,2003,MN,6730.0,Eurostat nama_10r_3empers
PT_112,2003,OPQ,30460.0,Eurostat nama_10r_3empers
PT_112,2003,RSU,9680.0,Eurostat nama_10r_3empers
PT_112,2004,A,25860.0,Eurostat nama_10r_3empers
PT_112,2004,BE,66020.0,Eurostat nama_10r_3empers
PT_112,2004,FZ,27800.0,Eurostat nama_10r_3empers
PT_112,2004,GI,35220.0,Eurostat nama_10r_3empers
PT_112,2004,JZ,1030.0,Eurostat nama_10r_3empers
PT_112,2004,KZ,1560.0,Eurostat nama_10r_3empers
PT_112,2004,LZ,910.0,Eurostat nama_10r_3empers
PT_112,2004,MN,7160.0,Eurostat nama_10r_3empers
PT_112,2004,OPQ,30170.0,Eurostat nama_10r_3empers
PT_112,2004,RSU,10060.0,Eurostat nama_10r_3empers
PT_112,2005,A,25720.0,Eurostat nama_10r_3empers
PT_112,2005,BE,62400.0,Eurostat nama_10r_3empers
PT_112,2005,FZ,27750.0,Eurostat nama_10r_3empers
PT_112,2005,GI,36240.0,Eurostat nama_10r_3empers
PT_112,2005,JZ,1090.0,Eurostat nama_10r_3empers
PT_112,2005,KZ,1610.0,Eurostat nama_10r_3empers
PT_112,2005,LZ,920.0,Eurostat nama_10r_3empers
PT_112,2005,MN,7170.0,Eurostat nama_10r_3empers
PT_112,2005,OPQ,30250.0,Eurostat nama_10r_3empers
PT_112,2005,RSU,10540.0,Eurostat nama_10r_3empers
PT_112,2006,A,24520.0,Eurostat nama_10r_3empers
PT_112,2006,BE,59510.0,Eurostat nama_10r_3empers
PT_112,2006,FZ,28580.0,Eurostat nama_10r_3empers
PT_112,2006,GI,37040.0,Eurostat nama_10r_3empers
PT_112,2006,JZ,1150.0,Eurostat nama_10r_3empers
PT_112,2006,KZ,1650.0,Eurostat nama_10r_3empers
PT_112,2006,LZ,930.0,Eurostat nama_10r_3empers
PT_112,2006,MN,7560.0,Eurostat nama_10r_3empers
PT_112,2006,OPQ,29910.0,Eurostat nama_10r_3empers
PT_112,2006,RSU,10290.0,Eurostat nama_10r_3empers
PT_112,2007,A,26360.0,Eurostat nama_10r_3empers
PT_112,2007,BE,57450.0,Eurostat nama_10r_3empers
PT_112,2007,FZ,30620.0,Eurostat nama_10r_3empers
PT_112,2007,GI,37380.0,Eurostat nama_10r_3empers
PT_112,2007,JZ,1210.0,Eurostat nama_10r_3empers
PT_112,2007,KZ,1810.0,Eurostat nama_10r_3empers
PT_112,2007,LZ,980.0,Eurostat nama_10r_3empers
PT_112,2007,MN,8310.0,Eurostat nama_10r_3empers
PT_112,2007,OPQ,29830.0,Eurostat nama_10r_3empers
PT_112,2007,RSU,10590.0,Eurostat nama_10r_3empers
PT_112,2008,A,25710.0,Eurostat nama_10r_3empers
PT_112,2008,BE,55410.0,Eurostat nama_10r_3empers
PT_112,2008,FZ,31020.0,Eurostat nama_10r_3empers
PT_112,2008,GI,38250.0,Eurostat nama_10r_3empers
PT_112,2008,JZ,1390.0,Eurostat nama_10r_3empers
PT_112,2008,KZ,1870.0,Eurostat nama_10r_3empers
PT_112,2008,LZ,1000.0,Eurostat nama_10r_3empers
PT_112,2008,MN,9040.0,Eurostat nama_10r_3empers
PT_112,2008,OPQ,29920.0,Eurostat nama_10r_3empers
PT_112,2008,RSU,10780.0,Eurostat nama_10r_3empers
PT_112,2009,A,25520.0,Eurostat nama_10r_3empers
PT_112,2009,BE,50740.0,Eurostat nama_10r_3empers
PT_112,2009,FZ,27750.0,Eurostat nama_10r_3empers
PT_112,2009,GI,37950.0,Eurostat nama_10r_3empers
PT_112,2009,JZ,1440.0,Eurostat nama_10r_3empers
PT_112,2009,KZ,1910.0,Eurostat nama_10r_3empers
PT_112,2009,LZ,990.0,Eurostat nama_10r_3empers
PT_112,2009,MN,9460.0,Eurostat nama_10r_3empers
PT_112,2009,OPQ,30480.0,Eurostat nama_10r_3empers
PT_112,2009,RSU,10650.0,Eurostat nama_10r_3empers
PT_112,2010,A,26500.0,Eurostat nama_10r_3empers
PT_112,2010,BE,48830.0,Eurostat nama_10r_3empers
PT_112,2010,FZ,28120.0,Eurostat nama_10r_3empers
PT_112,2010,GI,37350.0,Eurostat nama_10r_3empers
PT_112,2010,JZ,1430.0,Eurostat nama_10r_3empers
PT_112,2010,KZ,2070.0,Eurostat nama_10r_3empers
PT_112,2010,LZ,1000.0,Eurostat nama_10r_3empers
PT_112,2010,MN,9760.0,Eurostat nama_10r_3empers
PT_112,2010,OPQ,30070.0,Eurostat nama_10r_3empers
PT_112,2010,RSU,10010.0,Eurostat nama_10r_3empers
PT_112,2011,A,24700.0,Eurostat nama_10r_3empers
PT_112,2011,BE,48100.0,Eurostat nama_10r_3empers
PT_112,2011,FZ,25270.0,Eurostat nama_10r_3empers
PT_112,2011,GI,37700.0,Eurostat nama_10r_3empers
PT_112,2011,JZ,1350.0,Eurostat nama_10r_3empers
PT_112,2011,KZ,2160.0,Eurostat nama_10r_3empers
PT_112,2011,LZ,970.0,Eurostat nama_10r_3empers
PT_112,2011,MN,10280.0,Eurostat nama_10r_3empers
PT_112,2011,OPQ,30070.0,Eurostat nama_10r_3empers
PT_112,2011,RSU,10190.0,Eurostat nama_10r_3empers
PT_112,2012,A,22640.0,Eurostat nama_10r_3empers
PT_112,2012,BE,46230.0,Eurostat nama_10r_3empers
PT_112,2012,FZ,21200.0,Eurostat nama_10r_3empers
PT_112,2012,GI,36720.0,Eurostat nama_10r_3empers
PT_112,2012,JZ,1480.0,Eurostat nama_10r_3empers
PT_112,2012,KZ,2100.0,Eurostat nama_10r_3empers
PT_112,2012,LZ,980.0,Eurostat nama_10r_3empers
PT_112,2012,MN,10540.0,Eurostat nama_10r_3empers
PT_112,2012,OPQ,29770.0,Eurostat nama_10r_3empers
PT_112,2012,RSU,9930.0,Eurostat nama_10r_3empers
PT_112,2013,A,19200.0,Eurostat nama_10r_3empers
PT_112,2013,BE,45710.0,Eurostat nama_10r_3empers
PT_112,2013,FZ,19540.0,Eurostat nama_10r_3empers
PT_112,2013,GI,36580.0,Eurostat nama_10r_3empers
PT_112,2013,JZ,1610.0,Eurostat nama_10r_3empers
PT_112,2013,KZ,2040.0,Eurostat nama_10r_3empers
PT_112,2013,LZ,960.0,Eurostat nama_10r_3empers
PT_112,2013,MN,10590.0,Eurostat nama_10r_3empers
PT_112,2013,OPQ,30140.0,Eurostat nama_10r_3empers
PT_112,2013,RSU,9970.0,Eurostat nama_10r_3empers
PT_112,2014,A,17140.0,Eurostat nama_10r_3empers
PT_112,2014,BE,47780.0,Eurostat nama_10r_3empers
PT_112,2014,FZ,18690.0,Eurostat nama_10r_3empers
PT_112,2014,GI,38100.0,Eurostat nama_10r_3empers
PT_112,2014,JZ,1950.0,Eurostat nama_10r_3empers
PT_112,2014,KZ,1930.0,Eurostat nama_10r_3empers
PT_112,2014,LZ,1030.0,Eurostat nama_10r_3empers
PT_112,2014,MN,13300.0,Eurostat nama_10r_3empers
PT_112,2014,OPQ,30150.0,Eurostat nama_10r_3empers
PT_112,2014,RSU,10110.0,Eurostat nama_10r_3empers
PT_112,2015,A,15260.0,Eurostat nama_10r_3empers
PT_112,2015,BE,49570.0,Eurostat nama_10r_3empers
PT_112,2015,FZ,19400.0,Eurostat nama_10r_3empers
PT_112,2015,GI,39930.0,Eurostat nama_10r_3empers
PT_112,2015,JZ,2200.0,Eurostat nama_10r_3empers
PT_112,2015,KZ,1930.0,Eurostat nama_10r_3empers
PT_112,2015,LZ,1110.0,Eurostat nama_10r_3empers
PT_112,2015,MN,15060.0,Eurostat nama_10r_3empers
PT_112,2015,OPQ,30420.0,Eurostat nama_10r_3empers
PT_112,2015,RSU,10240.0,Eurostat nama_10r_3empers
PT_112,2016,A,14160.0,Eurostat nama_10r_3empers
PT_112,2016,BE,50490.0,Eurostat nama_10r_3empers
PT_112,2016,FZ,20530.0,Eurostat nama_10r_3empers
PT_112,2016,GI,42150.0,Eurostat nama_10r_3empers
PT_112,2016,JZ,2450.0,Eurostat nama_10r_3empers
PT_112,2016,KZ,1830.0,Eurostat nama_10r_3empers
PT_112,2016,LZ,1350.0,Eurostat nama_10r_3empers
PT_112,2016,MN,15590.0,Eurostat nama_10r_3empers
PT_112,2016,OPQ,31230.0,Eurostat nama_10r_3empers
PT_112,2016,RSU,10150.0,Eurostat nama_10r_3empers
PT_112,2017,A,12860.0,Eurostat nama_10r_3empers
PT_112,2017,BE,52390.0,Eurostat nama_10r_3empers
PT_112,2017,FZ,21300.0,Eurostat nama_10r_3empers
PT_112,2017,GI,42810.0,Eurostat nama_10r_3empers
PT_112,2017,JZ,2770.0,Eurostat nama_10r_3empers
PT_112,2017,KZ,1750.0,Eurostat nama_10r_3empers
PT_112,2017,LZ,1550.0,Eurostat nama_10r_3empers
PT_112,2017,MN,16780.0,Eurostat nama_10r_3empers
PT_112,2017,OPQ,32380.000000000004,Eurostat nama_10r_3empers
PT_112,2017,RSU,10560.0,Eurostat nama_10r_3empers
PT_112,2018,A,12420.0,Eurostat nama_10r_3empers
PT_112,2018,BE,54510.0,Eurostat nama_10r_3empers
PT_112,2018,FZ,22190.0,Eurostat nama_10r_3empers
PT_112,2018,GI,44410.0,Eurostat nama_10r_3empers
PT_112,2018,JZ,3250.0,Eurostat nama_10r_3empers
PT_112,2018,KZ,1830.0,Eurostat nama_10r_3empers
PT_112,2018,LZ,1720.0,Eurostat nama_10r_3empers
PT_112,2018,MN,17620.0,Eurostat nama_10r_3empers
PT_112,2018,OPQ,33060.0,Eurostat nama_10r_3empers
PT_112,2018,RSU,10730.0,Eurostat nama_10r_3empers
PT_112,2019,A,10720.0,Eurostat nama_10r_3empers
PT_112,2019,BE,54000.0,Eurostat nama_10r_3empers
PT_112,2019,FZ,23280.0,Eurostat nama_10r_3empers
