country,region_system,source_sector,target_sector,sign,beta,q_fdr,bss,window,label_class,evidence_type,allowed_for_training_label,reason
NL,GEMEENTE_PROXY,BE,KZ,+,0.1876252141180405,0.018,1.0,2012-2017,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,JZ,FZ,-,-0.1087603101883147,0.036,1.0,2012-2017,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,KZ,LZ,+,0.11335145585226,0.018,1.0,2012-2017,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,GI,+,0.1411350012135254,0.018,1.0,2012-2017,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,KZ,+,0.1020967570026987,0.018,1.0,2012-2017,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,KZ,+,0.1410385910387073,0.0065454545454545,0.994,2013-2018,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,BE,+,0.1469029569839783,0.0065454545454545,1.0,2013-2018,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,JZ,FZ,-,-0.1134801686599973,0.02,1.0,2013-2018,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,LZ,MN,-,-0.1106917997068805,0.0065454545454545,1.0,2013-2018,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,MN,RU,+,0.1016323357603672,0.0065454545454545,1.0,2013-2018,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,GI,+,0.17475118541131,0.0065454545454545,1.0,2013-2018,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,JZ,+,0.1073118564240114,0.0065454545454545,1.0,2013-2018,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,KZ,+,0.125757359118244,0.0065454545454545,0.998,2013-2018,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,KZ,+,0.1422433434611308,0.0051428571428571,1.0,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,MN,+,0.1210181565331347,0.0051428571428571,1.0,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,BE,+,0.1508832011580636,0.0051428571428571,1.0,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,RU,+,0.126291168368515,0.0051428571428571,0.998,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,BE,+,0.1022812351405036,0.0051428571428571,1.0,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,KZ,JZ,+,0.1119992360985775,0.0051428571428571,0.992,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,MN,FZ,+,0.1216686278064493,0.0051428571428571,0.998,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,MN,RU,+,0.1477186402760718,0.0051428571428571,1.0,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,GI,+,0.165030360364473,0.0051428571428571,1.0,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,JZ,+,0.1286247384411362,0.0051428571428571,1.0,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,KZ,+,0.1040671328167504,0.0051428571428571,1.0,2014-2019,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,KZ,+,0.1307882671844646,0.006,1.0,2015-2020,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,MN,+,0.1026458773910341,0.006,1.0,2015-2020,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,BE,+,0.147900252350112,0.006,1.0,2015-2020,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,RU,+,0.1113057456655297,0.006,1.0,2015-2020,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,BE,+,0.1315881969631579,0.006,1.0,2015-2020,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,JZ,+,0.1080122962687212,0.006,1.0,2015-2020,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,MN,+,0.1053847154281049,0.0032727272727272,1.0,2016-2021,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,BE,+,0.1496153595500912,0.0032727272727272,1.0,2016-2021,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,LZ,+,0.114036297835588,0.0032727272727272,1.0,2016-2021,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,OQ,-,-0.1104293666757571,0.0032727272727272,1.0,2016-2021,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,BE,+,0.1682169927668132,0.0032727272727272,1.0,2016-2021,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,LZ,JZ,-,-0.1073266274984341,0.0032727272727272,1.0,2016-2021,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,GI,+,0.1102186423045049,0.0032727272727272,1.0,2016-2021,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,JZ,+,0.1048237692918455,0.0032727272727272,1.0,2016-2021,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,OQ,-,-0.1180238752401169,0.0032727272727272,1.0,2016-2021,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,BE,OQ,-,-0.1015490623992983,0.006,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,FZ,BE,+,0.1531971607333203,0.0034285714285714,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,BE,+,0.1522725239528509,0.0034285714285714,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,GI,LZ,+,0.115457701816957,0.0034285714285714,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,BE,+,0.1599300409986588,0.0034285714285714,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,FZ,+,0.1669598337696316,0.0034285714285714,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,GI,+,0.1317740125223265,0.0034285714285714,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,OQ,MN,+,0.1275150525466832,0.0034285714285714,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,FZ,+,0.10440851606588,0.0034285714285714,0.986,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
NL,GEMEENTE_PROXY,RU,GI,+,0.1074530741218406,0.0034285714285714,1.0,2017-2022,BLOCKED_PROXY_ARTIFACT,proxy_disaggregated_by_stock_share,False,stock_share_induced_artifact
