country,nuts3_id,year,nace_r2,enterprise_births,active_enterprises,enterprise_deaths,employment
FR,FR103,2023,F,1133.0,9604.0,917.0,111975.0
FR,FR103,2023,G,1542.0,12610.0,1387.0,59399.0
FR,FR103,2023,H,1420.0,6071.0,1273.0,10446.0
FR,FR103,2023,I,441.0,3751.0,321.0,31814.0
FR,FR103,2023,J,1630.0,8358.0,1194.0,14081.0
FR,FR103,2023,K_L,1148.0,9194.0,980.0,11407.0
FR,FR103,2023,M_N,4848.0,27047.0,3739.0,86940.0
FR,FR103,2023,P_Q,2105.0,16818.0,2071.0,27986.0
FR,FR103,2023,R_S_X_S94,1731.0,10405.0,1115.0,14414.0
FR,FR104,2020,B-E,,,257.0,
FR,FR104,2020,B-S_X_O_S94,,,8211.0,
FR,FR104,2020,F,,,887.0,
FR,FR104,2020,G,,,1216.0,
FR,FR104,2020,H,,,1236.0,
FR,FR104,2020,I,,,300.0,
FR,FR104,2020,J,,,535.0,
FR,FR104,2020,K_L,,,391.0,
FR,FR104,2020,M_N,,,1826.0,
FR,FR104,2020,P_Q,,,835.0,
FR,FR104,2020,R_S_X_S94,,,728.0,
FR,FR104,2021,B-E,524.0,3242.0,337.0,31814.0
FR,FR104,2021,B-S_X_O_S94,15120.0,78688.0,11130.0,258446.0
FR,FR104,2021,F,1524.0,10075.0,1153.0,41354.0
FR,FR104,2021,G,1990.0,11747.0,1595.0,61325.0
FR,FR104,2021,H,2491.0,7724.0,2188.0,16663.0
FR,FR104,2021,I,381.0,2871.0,300.0,11219.0
FR,FR104,2021,J,964.0,4491.0,681.0,9697.0
FR,FR104,2021,K_L,827.0,5294.0,457.0,9435.0
FR,FR104,2021,M_N,3414.0,14976.0,2465.0,50559.0
FR,FR104,2021,P_Q,1564.0,11035.0,1010.0,17677.0
FR,FR104,2021,R_S_X_S94,1441.0,7233.0,944.0,8702.0
FR,FR104,2022,B-E,416.0,3364.0,351.0,30707.0
FR,FR104,2022,B-S_X_O_S94,14035.0,83399.0,10781.0,326403.0
FR,FR104,2022,F,1534.0,10651.0,1152.0,39307.0
FR,FR104,2022,G,1623.0,12028.0,1596.0,129093.0
FR,FR104,2022,H,1559.0,7304.0,1630.0,17598.0
FR,FR104,2022,I,507.0,3159.0,331.0,11711.0
FR,FR104,2022,J,993.0,4927.0,694.0,10420.0
FR,FR104,2022,K_L,830.0,5952.0,499.0,8717.0
FR,FR104,2022,M_N,3435.0,16142.0,2451.0,50688.0
