country,region_system,window_start,window_end,source_sector,target_sector,score_presence,score_sign,score_lag1,score_lag2,inferred_lag,inferred_sign,confidence,stability,covid_period,validation_status,provenance,claim_scope,score_direction,checkpoint_hash
FR,ZE2020,2014,2020,JZ,OQ,0.6941575407981873,0.8855756521224976,0.9990615248680115,0.0009384790319018066,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5030194520950317,39b30a52da2ad330
FR,ZE2020,2014,2020,JZ,RU,0.6346051692962646,0.8608033657073975,0.9989548921585083,0.0010450496338307858,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028303861618042,39b30a52da2ad330
FR,ZE2020,2014,2020,KZ,BE,0.6053734421730042,0.858795702457428,0.9990645051002502,0.00093552574981004,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028252005577087,39b30a52da2ad330
FR,ZE2020,2014,2020,KZ,FZ,0.6211673617362976,0.8529120087623596,0.9984655380249023,0.0015345396241173148,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028203129768372,39b30a52da2ad330
FR,ZE2020,2014,2020,KZ,GI,0.5831791162490845,0.8740515112876892,0.9991810917854309,0.0008188487263396382,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5027536749839783,39b30a52da2ad330
FR,ZE2020,2014,2020,KZ,JZ,0.5497791171073914,0.8624801635742188,0.999233603477478,0.0007663694559596479,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5026866793632507,39b30a52da2ad330
FR,ZE2020,2014,2020,KZ,LZ,0.5225508809089661,0.8717217445373535,0.999408483505249,0.0005914833745919168,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5026246905326843,39b30a52da2ad330
FR,ZE2020,2014,2020,KZ,MN,0.5992413759231567,0.8733701109886169,0.9992758631706238,0.0007241826388053596,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028159618377686,39b30a52da2ad330
FR,ZE2020,2014,2020,KZ,OQ,0.6338930130004883,0.8838858604431152,0.9991414546966553,0.0008584726019762456,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028959512710571,39b30a52da2ad330
FR,ZE2020,2014,2020,KZ,RU,0.5594748258590698,0.8550648093223572,0.9990895986557007,0.0009104173514060676,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5026997923851013,39b30a52da2ad330
FR,ZE2020,2014,2020,LZ,BE,0.6061859726905823,0.8623708486557007,0.9993125200271606,0.000687477586325258,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028310418128967,39b30a52da2ad330
FR,ZE2020,2014,2020,LZ,FZ,0.6495918035507202,0.8631356358528137,0.9988535642623901,0.001146411639638245,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028681755065918,39b30a52da2ad330
FR,ZE2020,2014,2020,LZ,GI,0.5830240845680237,0.8787996172904968,0.9994164705276489,0.0005835273186676204,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.502733051776886,39b30a52da2ad330
FR,ZE2020,2014,2020,LZ,JZ,0.5670714378356934,0.8680590987205505,0.9994121789932251,0.0005877891671843827,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5026963353157043,39b30a52da2ad330
FR,ZE2020,2014,2020,LZ,KZ,0.6047895550727844,0.8875182867050171,0.9994388222694397,0.000561141932848841,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5027909278869629,39b30a52da2ad330
FR,ZE2020,2014,2020,LZ,MN,0.6052180528640747,0.8819549679756165,0.9994794726371765,0.0005205142660997808,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028035044670105,39b30a52da2ad330
FR,ZE2020,2014,2020,LZ,OQ,0.6482318043708801,0.8904429078102112,0.9993669390678406,0.0006330633186735213,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5029201507568359,39b30a52da2ad330
FR,ZE2020,2014,2020,LZ,RU,0.5904560685157776,0.8652103543281555,0.9992828965187073,0.0007171055185608566,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5027350187301636,39b30a52da2ad330
FR,ZE2020,2014,2020,MN,BE,0.6214598417282104,0.867932915687561,0.9993151426315308,0.0006849082419648767,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028689503669739,39b30a52da2ad330
FR,ZE2020,2014,2020,MN,FZ,0.6631426215171814,0.8769615292549133,0.9989491105079651,0.0010508692357689142,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028983354568481,39b30a52da2ad330
FR,ZE2020,2014,2020,MN,GI,0.6111828684806824,0.8897209167480469,0.9994300007820129,0.0005700073088519275,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028051733970642,39b30a52da2ad330
FR,ZE2020,2014,2020,MN,JZ,0.5905954837799072,0.879804253578186,0.9994331002235413,0.0005668586818501353,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.502756655216217,39b30a52da2ad330
FR,ZE2020,2014,2020,MN,KZ,0.6153415441513062,0.8908142447471619,0.9994385838508606,0.0005613815737888217,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5028370022773743,39b30a52da2ad330
FR,ZE2020,2014,2020,MN,LZ,0.5358155965805054,0.8861020803451538,0.999583899974823,0.00041609129402786493,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5026354193687439,39b30a52da2ad330
FR,ZE2020,2014,2020,MN,OQ,0.66445392370224,0.8975319266319275,0.9993807077407837,0.0006192892324179411,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5029566884040833,39b30a52da2ad330
FR,ZE2020,2014,2020,MN,RU,0.6016577482223511,0.8759098649024963,0.9993300437927246,0.0006699334480799735,1,positive,0.5,0.8197633288314362,pre_covid,ASSOCIATION_CANDIDATE,trained_shared_encoder_p0,analytic_association_only,0.5027692317962646,39b30a52da2ad330
