decision_year,family,src_ZE2020,src_sector,dst_ZE2020,dst_sector,weight
2019,analogy,4417,BE,9312,BE,0.022635689223826708
2019,analogy,4417,BE,3214,BE,0.022526565737415363
2019,analogy,4417,BE,7605,BE,0.022496950645631154
2019,analogy,4417,BE,2702,BE,0.02247950541812174
2019,analogy,4417,BE,8410,BE,0.022457101750624712
2019,analogy,4417,BE,4410,BE,0.022311842224441488
2019,analogy,4417,BE,2705,BE,0.022255012368458695
2019,analogy,4417,BE,5315,BE,0.02221000809857037
2019,analogy,4417,BE,2710,BE,0.022170067559338792
2019,analogy,4417,BE,7524,BE,0.02212332731991896
2019,analogy,4424,BE,3210,BE,0.02256459015139315
2019,analogy,4424,BE,8434,BE,0.022464796356286277
2019,analogy,4424,BE,1102,BE,0.022419666309881674
2019,analogy,4424,BE,5317,BE,0.022176622103171815
2019,analogy,4424,BE,9313,BE,0.02216759439422618
2019,analogy,4424,BE,3206,BE,0.022148610811200127
2019,analogy,4424,BE,5319,BE,0.022082804263998352
2019,analogy,4424,BE,2816,BE,0.022055229064198056
2019,analogy,4424,BE,2819,BE,0.021986070478668854
2019,analogy,4424,BE,5312,BE,0.02181877360245918
2019,analogy,5204,BE,4403,BE,0.02478555231081818
2019,analogy,5204,BE,8415,BE,0.02470926139116306
2019,analogy,5204,BE,5217,BE,0.024593383912302435
2019,analogy,5204,BE,2801,BE,0.02451283000211592
2019,analogy,5204,BE,5210,BE,0.02425371188153949
2019,analogy,5204,BE,5209,BE,0.024198789150725142
2019,analogy,5204,BE,8405,BE,0.023737731937803055
2019,analogy,5204,BE,61,BE,0.023737460066591675
2019,analogy,5204,BE,8427,BE,0.02341959424884014
2019,analogy,5204,BE,7613,BE,0.023195331993660633
2019,analogy,5211,BE,8422,BE,0.025744142629990245
2019,analogy,5211,BE,5318,BE,0.025601584201153153
2019,analogy,5211,BE,5221,BE,0.025594680877353376
2019,analogy,5211,BE,5218,BE,0.025576742930769128
2019,analogy,5211,BE,2802,BE,0.025559667566866374
2019,analogy,5211,BE,4426,BE,0.02552224993412134
2019,analogy,5211,BE,2405,BE,0.02527930887096394
2019,analogy,5211,BE,3201,BE,0.024906617826215102
2019,analogy,5211,BE,2703,BE,0.024829503604098718
2019,analogy,5211,BE,7615,BE,0.024451529847172464
2019,analogy,5218,BE,8422,BE,0.025953664911765286
2019,analogy,5218,BE,5211,BE,0.025730540224734113
2019,analogy,5218,BE,5318,BE,0.025592416471097397
2019,analogy,5218,BE,2802,BE,0.025379729856494625
