ZE2020,target_year,node_idx,side_establishment_creations_official,side_enterprise_creations_official,side_lag_1,side_lag_2,side_lag_3,growth_1y,growth_2y,has_flores_source,has_side_stock_source,has_urssaf_source,feature_forecast_safe,is_covid_year,is_post_covid_rebound,side_stock_total_t_minus_1,mask_target,mask_sector_a10,mask_employment,mask_tensor,mask_eu_signals,flag_target_concept,flag_has_national_employment,flag_has_eurostat_bd,eu_employment_rate_lag1,eu_unemployment_rate_lag1,eu_sts_turnover_lag1,eu_esi_lag1,eu_eei_lag1,eu_credit_standards_lag1,eu_gdp_growth_lag1
16,2016,15,2110.0,2110.0,2120.0,,,,,0,0,0,1,0,0,26420.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
17,2016,16,14525.0,14525.0,14625.0,,,,,0,0,0,1,0,0,136440.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
18,2016,17,2985.0,2985.0,3030.0,,,,,0,0,0,1,0,0,35420.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
19,2016,18,2305.0,2305.0,2275.0,,,,,0,0,0,1,0,0,23220.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
20,2016,19,1705.0,1705.0,1630.0,,,,,0,0,0,1,0,0,16775.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
21,2016,20,3010.0,3010.0,2945.0,,,,,0,0,0,1,0,0,26195.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
22,2016,21,1705.0,1705.0,1455.0,,,,,0,0,0,1,0,0,14380.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
23,2016,22,23355.0,23355.0,21365.0,,,,,0,0,0,1,0,0,171745.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
24,2016,23,3165.0,3165.0,3120.0,,,,,0,0,0,1,0,0,32400.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
25,2016,24,3955.0,3955.0,3850.0,,,,,0,0,0,1,0,0,37690.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
26,2016,25,10720.0,10720.0,9880.0,,,,,0,0,0,1,0,0,79460.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
27,2016,26,2280.0,2280.0,2140.0,,,,,0,0,0,1,0,0,22600.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
28,2016,27,2950.0,2950.0,2885.0,,,,,0,0,0,1,0,0,30755.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
29,2016,28,14510.0,14510.0,13805.0,,,,,0,0,0,1,0,0,123870.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
30,2016,29,3340.0,3340.0,3400.0,,,,,0,0,0,1,0,0,34565.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
31,2016,30,725.0,725.0,800.0,,,,,0,0,0,1,0,0,9095.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
32,2016,31,2140.0,2140.0,2135.0,,,,,0,0,0,1,0,0,25805.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
33,2016,32,5650.0,5650.0,5635.0,,,,,0,0,0,1,0,0,60050.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
34,2016,33,4305.0,4305.0,4140.0,,,,,0,0,0,1,0,0,44565.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
35,2016,34,5960.0,5960.0,6110.0,,,,,0,0,0,1,0,0,66555.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
36,2016,35,7170.0,7170.0,6930.0,,,,,0,0,0,1,0,0,73650.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
37,2016,36,1965.0,1965.0,1975.0,,,,,0,0,0,1,0,0,23625.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
38,2016,37,1835.0,1835.0,1790.0,,,,,0,0,0,1,0,0,21230.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
39,2016,38,4430.0,4430.0,4355.0,,,,,0,0,0,1,0,0,46280.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
40,2016,39,4320.0,4320.0,4140.0,,,,,0,0,0,1,0,0,37165.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.2,7.9,,104.375,,-2.0833332538604736,2.1
1,2017,0,845.0,845.0,915.0,885.0,,0.0338983050847457,,0,0,0,1,0,0,11325.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
2,2017,1,225.0,225.0,270.0,300.0,,-0.1,,0,0,0,1,0,0,3510.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
3,2017,2,3530.0,3530.0,3540.0,3470.0,,0.0201729106628242,,0,0,0,1,0,0,35535.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
4,2017,3,2310.0,2310.0,2445.0,2565.0,,-0.0467836257309941,,0,0,0,1,0,0,29720.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
5,2017,4,1105.0,1105.0,1075.0,1090.0,,-0.0137614678899082,,0,0,0,1,0,0,15055.0,1.0,1.0,1.0,1.0,0.7142857142857143,enterprise_birth,1,1,77.9,7.0,,105.15000000000002,,-8.333333015441895,2.4
