ze2020,libze2020,reg,population_2022_total,side_stocks_et_2023_total,side_stocks_ul_2023_total,bpe_facilities_2024_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_per_1000_pop_2024
4403,Charleville-Mézières,44,154183.0,9437.0,8467.0,6002.0,61.206488,38.927768
4404,Chaumont,44,122367.0,8123.0,7192.0,5459.0,66.382276,44.611701
4405,Colmar,44,208780.0,17829.0,15974.0,8170.0,85.396111,39.132101
4406,Épernay,44,82685.0,6411.0,5788.0,3324.0,77.535224,40.200762
4407,Épinal,44,183701.0,12972.0,11446.0,7568.0,70.614749,41.197381
4408,Forbach,44,106534.0,5249.0,4676.0,3542.0,49.270655,33.247602
4409,Haguenau,44,255675.0,18908.0,17180.0,9748.0,73.953261,38.126528
4410,Metz,44,447873.0,32650.0,28581.0,17054.0,72.90013,38.077759
4411,Mulhouse,44,437188.0,32702.0,29374.0,15721.0,74.800772,35.959358
4412,Nancy,44,556837.0,41603.0,36515.0,20511.0,74.713067,36.834837
4413,Reims,44,330859.0,27596.0,24178.0,12826.0,83.407131,38.765758
4414,Remiremont,44,84459.0,7839.0,7131.0,4120.0,92.814265,48.781065
4415,Romilly-sur-Seine,44,83573.0,5060.0,4571.0,2886.0,60.54587,34.532684
4416,Saint-Avold,44,122928.0,7469.0,6706.0,4818.0,60.759144,39.193674
4417,Saint-Dié-des-Vosges,44,86575.0,6581.0,5991.0,3644.0,76.015016,42.090673
4418,Saint-Louis,44,111904.0,6083.0,5500.0,3113.0,54.359094,27.818487
4419,Sarrebourg,44,110733.0,7745.0,7056.0,4968.0,69.943016,44.864674
4420,Sarreguemines,44,123855.0,7907.0,7201.0,5130.0,63.840782,41.419402
4421,Sedan,44,94245.0,5280.0,4813.0,3653.0,56.024192,38.760677
4422,Sélestat,44,105483.0,8071.0,7399.0,4098.0,76.514699,38.849862
4423,Strasbourg,44,754828.0,71672.0,63657.0,28981.0,94.951433,38.394177
4424,Thionville,44,369014.0,16210.0,14377.0,10224.0,43.927873,27.706266
4425,Troyes,44,261872.0,19059.0,16822.0,9654.0,72.779831,36.865339
4426,Verdun,44,76241.0,4694.0,4219.0,3181.0,61.567923,41.722957
4427,Vitry-le-François Saint-Dizier,44,113587.0,6691.0,5872.0,4321.0,58.906389,38.041325
5201,Ancenis,52,117801.0,8386.0,7648.0,4103.0,71.187851,34.829925
5202,Angers,52,412945.0,33857.0,29922.0,14399.0,81.989127,34.86905
5203,Challans,52,159078.0,15247.0,13647.0,7303.0,95.846063,45.908297
5204,Château-Gontier-sur-Mayenne,52,42658.0,3019.0,2658.0,1561.0,70.772188,36.593371
5205,Châteaubriant,52,57028.0,3859.0,3442.0,2118.0,67.668514,37.139651
5206,Cholet,52,190354.0,14060.0,12458.0,6340.0,73.862383,33.306366
5207,Fontenay-le-Comte,52,125313.0,8954.0,8008.0,4738.0,71.453081,37.809325
5208,La Ferté-Bernard,52,68589.0,3880.0,3500.0,2507.0,56.568838,36.55105
5209,La Flèche,52,59360.0,3748.0,3340.0,2232.0,63.140162,37.601078
5210,La Roche-sur-Yon,52,179602.0,14168.0,12437.0,6165.0,78.885536,34.325898
5211,Laval,52,161795.0,12531.0,11141.0,5755.0,77.449859,35.569702
5212,Le Mans,52,376709.0,24606.0,21448.0,12126.0,65.318323,32.189303
5213,Les Herbiers-Montaigu,52,147347.0,10565.0,9417.0,4744.0,71.701494,32.196109
5214,Les Sables-d'Olonne,52,91383.0,9615.0,8595.0,4152.0,105.216506,45.435147
5215,Mayenne,52,81865.0,4776.0,4271.0,3031.0,58.33995,37.024369
5216,Nantes,52,989828.0,94893.0,83208.0,33197.0,95.868171,33.53815
5217,Pornic,52,83963.0,7299.0,6657.0,3261.0,86.931148,38.838536
5218,Sablé-sur-Sarthe,52,56376.0,3106.0,2727.0,1928.0,55.094366,34.19895
5219,Saint-Nazaire,52,261617.0,22595.0,19863.0,9801.0,86.366712,37.463162
5220,Saumur,52,98152.0,7317.0,6578.0,3713.0,74.54764,37.829081
5221,Segré-en-Anjou Bleu,52,56240.0,3469.0,3134.0,2014.0,61.682077,35.810811
5301,Auray,53,96628.0,11074.0,9991.0,5208.0,114.604462,53.897421
5302,Brest,53,411295.0,29022.0,25484.0,13935.0,70.562492,33.880791
5303,Carhaix-Plouguer,53,79555.0,5807.0,5314.0,3328.0,72.993526,41.832694
5304,Dinan,53,102478.0,8503.0,7696.0,3913.0,82.973907,38.183805
5305,Fougères,53,84053.0,5482.0,4863.0,2771.0,65.220754,32.967294
5306,Guingamp,53,59275.0,3902.0,3517.0,2287.0,65.828764,38.582876
5307,Lamballe-Armor,53,72406.0,5585.0,5131.0,2773.0,77.134492,38.297931
5308,Lannion,53,118755.0,9845.0,8949.0,4992.0,82.901773,42.036125
5309,Lorient,53,231454.0,19395.0,17121.0,9085.0,83.796348,39.25186
5310,Morlaix,53,128911.0,9948.0,8969.0,4991.0,77.16952,38.716634
5311,Ploërmel,53,77964.0,5720.0,5201.0,3030.0,73.367195,38.864091
5312,Pontivy-Loudéac,53,120892.0,8167.0,7235.0,4494.0,67.556166,37.173676
5313,Quimper,53,295673.0,26074.0,23205.0,12568.0,88.185259,42.506418
5314,Quimperlé,53,60163.0,4534.0,4159.0,2267.0,75.361933,37.680967
5315,Rennes,53,737298.0,65983.0,57485.0,23991.0,89.492987,32.539082
5316,Saint-Brieuc,53,190238.0,15317.0,13668.0,7012.0,80.514934,36.859092
5317,Saint-Malo,53,155127.0,16123.0,14364.0,6670.0,103.934196,42.997028
5318,Vannes,53,234819.0,23372.0,20782.0,10448.0,99.53198,44.493844
5319,Vitré,53,96851.0,6963.0,6258.0,3069.0,71.89394,31.68785
7501,Agen,75,139425.0,12648.0,11233.0,6162.0,90.715438,44.195804
7502,Angoulême,75,242804.0,19204.0,17184.0,9083.0,79.092601,37.408774
7503,Bayonne,75,367422.0,50621.0,45189.0,21900.0,137.773459,59.604487
7504,Bergerac,75,118904.0,11114.0,10182.0,5634.0,93.470363,47.382763
7505,Bordeaux,75,1198378.0,142567.0,125875.0,53463.0,118.966637,44.612802
7506,Bressuire,75,118161.0,7635.0,6884.0,4123.0,64.615228,34.89307
7507,Brive-la-Gaillarde,75,137372.0,12276.0,10803.0,6249.0,89.363189,45.489619
7508,Châtellerault,75,87361.0,5507.0,4912.0,2980.0,63.037282,34.111331
7509,Cognac,75,134392.0,11165.0,10106.0,5530.0,83.077862,41.148283
7510,Dax,75,170846.0,17631.0,15734.0,8597.0,103.198202,50.320171
7511,Guéret,75,118338.0,8461.0,7657.0,5396.0,71.498589,45.598202
7512,La Rochelle,75,264790.0,30091.0,26901.0,12642.0,113.640999,47.743495
7513,La Teste-de-Buch,75,172883.0,20618.0,18431.0,8939.0,119.259846,51.705489
7514,Langon,75,126555.0,11624.0,10650.0,6131.0,91.849394,48.44534
7515,Lesparre-Médoc,75,73021.0,7086.0,6430.0,3858.0,97.040577,52.834116
7516,Libourne,75,158470.0,14760.0,13472.0,7073.0,93.140658,44.633054
7517,Limoges,75,315194.0,23976.0,21247.0,11645.0,76.067438,36.9455
7518,Marmande,75,101681.0,8441.0,7637.0,4592.0,83.014526,45.160846
7519,Mont-de-Marsan,75,139784.0,10653.0,9507.0,5639.0,76.210439,40.340812
7520,Niort,75,220114.0,15245.0,13492.0,8126.0,69.259565,36.917234
7521,Oloron-Sainte-Marie,75,71015.0,6461.0,5872.0,4181.0,90.980779,58.874886
7522,Pau,75,323533.0,29814.0,26271.0,14827.0,92.151342,45.828401
7523,Périgueux,75,218683.0,19558.0,17667.0,9942.0,89.435393,45.463068
7524,Poitiers,75,322991.0,24679.0,21807.0,11624.0,76.407702,35.988619
7525,Rochefort,75,77427.0,6522.0,5825.0,3332.0,84.234182,43.034084
7526,Royan,75,129238.0,15102.0,13591.0,7394.0,116.854176,57.212275
7527,Saint-Junien,75,86034.0,6884.0,6339.0,3762.0,80.014878,43.726899
7528,Saintes,75,130600.0,11019.0,9968.0,5832.0,84.372129,44.655436
7529,Sarlat-la-Canéda,75,63075.0,8142.0,7470.0,4012.0,129.084423,63.606817
7530,Thouars,75,66259.0,4159.0,3764.0,2277.0,62.768831,34.365143
7531,Tulle,75,82984.0,6530.0,5926.0,4128.0,78.689868,49.744529
7532,Villeneuve-sur-Lot,75,92991.0,8014.0,7343.0,4373.0,86.180383,47.026056
7601,Agde-Pézenas,76,84748.0,10667.0,9598.0,5464.0,125.867277,64.473498
