year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count
2012,5221,Segré-en-Anjou Bleu,282.0,297.0,30
2012,5301,Auray,840.0,896.0,28
2012,5302,Brest,2288.0,2659.0,92
2012,5303,Carhaix-Plouguer,530.0,585.0,81
2012,5304,Dinan,627.0,715.0,66
2012,5305,Fougères,363.0,368.0,45
2012,5306,Guingamp,323.0,358.0,49
2012,5307,Lamballe-Armor,442.0,466.0,40
2012,5308,Lannion,768.0,817.0,65
2012,5309,Lorient,1525.0,1695.0,35
2012,5310,Morlaix,683.0,780.0,59
2012,5311,Ploërmel,473.0,521.0,53
2012,5312,Pontivy-Loudéac,598.0,659.0,64
2012,5313,Quimper,1866.0,2057.0,83
2012,5314,Quimperlé,352.0,391.0,18
2012,5315,Rennes,4777.0,5660.0,160
2012,5316,Saint-Brieuc,1210.0,1337.0,58
2012,5317,Saint-Malo,1059.0,1162.0,54
2012,5318,Vannes,1765.0,1933.0,60
2012,5319,Vitré,488.0,545.0,56
2012,7501,Agen,1009.0,1214.0,99
2012,7502,Angoulême,1670.0,1904.0,229
2012,7503,Bayonne,3773.0,4226.0,111
2012,7504,Bergerac,977.0,1110.0,153
2012,7505,Bordeaux,11591.0,13006.0,164
2012,7506,Bressuire,592.0,688.0,80
2012,7507,Brive-la-Gaillarde,955.0,1122.0,98
2012,7508,Châtellerault,543.0,617.0,50
2012,7509,Cognac,904.0,1081.0,191
2012,7510,Dax,1430.0,1663.0,119
2012,7511,Guéret,799.0,998.0,255
2012,7512,La Rochelle,2568.0,2921.0,83
2012,7513,La Teste-de-Buch,1729.0,1833.0,33
2012,7514,Langon,1072.0,1148.0,175
2012,7515,Lesparre-Médoc,730.0,787.0,40
2012,7516,Libourne,1388.0,1476.0,140
2012,7517,Limoges,1953.0,2254.0,130
2012,7518,Marmande,752.0,874.0,131
2012,7519,Mont-de-Marsan,862.0,1078.0,166
2012,7520,Niort,1225.0,1458.0,158
2012,7521,Oloron-Sainte-Marie,496.0,539.0,163
2012,7522,Pau,2399.0,2741.0,286
2012,7523,Périgueux,1701.0,1916.0,231
2012,7524,Poitiers,1953.0,2360.0,163
2012,7525,Rochefort,640.0,714.0,41
2012,7526,Royan,1278.0,1375.0,51
2012,7527,Saint-Junien,602.0,693.0,104
2012,7528,Saintes,958.0,1049.0,147
2012,7529,Sarlat-la-Canéda,670.0,749.0,107
2012,7530,Thouars,324.0,354.0,76
2012,7531,Tulle,546.0,624.0,130
2012,7532,Villeneuve-sur-Lot,711.0,801.0,98
2012,7601,Agde-Pézenas,1082.0,1257.0,18
2012,7602,Albi,2043.0,2211.0,190
2012,7603,Alès-Le Vigan,1963.0,2143.0,172
2012,7604,Auch,1324.0,1536.0,392
2012,7605,Bagnols-sur-Cèze,624.0,723.0,52
2012,7606,Béziers,2489.0,2728.0,110
2012,7607,Cahors,731.0,864.0,134
2012,7608,Carcassonne-Limoux,1710.0,1890.0,309
2012,7609,Castelsarrasin-Moissac,603.0,656.0,104
2012,7610,Castres-Mazamet,1201.0,1323.0,134
2012,7611,Figeac-Villefranche,684.0,781.0,136
2012,7612,Foix-Pamiers,1288.0,1450.0,268
2012,7613,Mende,448.0,549.0,135
2012,7614,Millau,496.0,608.0,91
2012,7615,Montauban,1809.0,1991.0,101
2012,7616,Montpellier,9518.0,10724.0,172
2012,7617,Narbonne,1748.0,1966.0,102
2012,7618,Nîmes,3828.0,4260.0,118
2012,7619,Nord-du-Lot,396.0,459.0,110
2012,7620,Perpignan,5204.0,6049.0,235
2012,7621,Rodez,1005.0,1272.0,133
2012,7622,Saint-Gaudens,1209.0,1289.0,387
2012,7623,Sète,1216.0,1324.0,11
2012,7624,Tarbes-Lourdes,2026.0,2284.0,477
2012,7625,Toulouse,12091.0,13985.0,335
