ze2020,libze2020,nb_com,geometry_type,is_multipolygon
9306,Cavaillon,54,Polygon,0
9307,Digne-les-Bains,123,Polygon,0
9308,Draguignan,39,Polygon,0
9309,Fréjus,5,Polygon,0
9310,Gap,125,Polygon,0
9311,Manosque,67,Polygon,0
9312,Marseille,32,Polygon,0
9313,Martigues-Salon,26,MultiPolygon,1
9314,Menton,18,Polygon,0
9315,Nice,116,Polygon,0
9316,Orange,16,Polygon,0
9317,Sainte-Maxime,12,Polygon,0
9318,Toulon,33,MultiPolygon,1
9401,Ajaccio,81,Polygon,0
9402,Bastia,112,Polygon,0
9403,Calvi,36,Polygon,0
9404,Corte,58,Polygon,0
9405,Ghisonaccia,30,Polygon,0
9406,Porto-Vecchio,12,MultiPolygon,1
9407,Propriano,31,Polygon,0
