year,ze2020,libze2020,side_enterprise_creations_official,side_establishment_creations_official,communes_count,target_proxy_establishment_creations_year,proxy_minus_side_enterprise,proxy_minus_side_establishment,proxy_to_side_enterprise_ratio,proxy_to_side_establishment_ratio
2012,2819,Yvetot-Vallée du Commerce,501.0,586.0,99,1044.0,543.0,458.0,2.0838323353293413,1.7815699658703072
2012,3201,Abbeville,519.0,587.0,165,1139.0,620.0,552.0,2.1946050096339116,1.940374787052811
2012,3202,Amiens,2062.0,2431.0,455,4333.0,2271.0,1902.0,2.1013579049466538,1.7823940765117237
2012,3203,Arras,1096.0,1287.0,232,2220.0,1124.0,933.0,2.0255474452554743,1.724941724941725
2012,3204,Berck,756.0,879.0,201,1575.0,819.0,696.0,2.0833333333333335,1.7918088737201365
2012,3205,Béthune,1464.0,1602.0,109,2586.0,1122.0,984.0,1.7663934426229508,1.6142322097378277
2012,3206,Boulogne-sur-Mer,925.0,1015.0,92,1899.0,974.0,884.0,2.052972972972973,1.870935960591133
2012,3207,Calais,782.0,924.0,51,1505.0,723.0,581.0,1.9245524296675192,1.628787878787879
2012,3208,Cambrai,856.0,987.0,111,1749.0,893.0,762.0,2.0432242990654204,1.7720364741641337
2012,3209,Château-Thierry,491.0,547.0,119,942.0,451.0,395.0,1.9185336048879837,1.7221206581352833
2012,3210,Compiègne,1294.0,1430.0,181,2469.0,1175.0,1039.0,1.9080370942812983,1.7265734265734265
2012,3211,Creil,1990.0,2311.0,134,3675.0,1685.0,1364.0,1.8467336683417086,1.5902206836867157
2012,3212,Douai,1159.0,1319.0,71,2221.0,1062.0,902.0,1.9163071613459879,1.6838514025777105
2012,3213,Dunkerque,1305.0,1420.0,75,2726.0,1421.0,1306.0,2.088888888888889,1.919718309859155
2012,3214,Laon,601.0,665.0,225,1112.0,511.0,447.0,1.8502495840266222,1.6721804511278195
2012,3215,Lens,2096.0,2322.0,58,3544.0,1448.0,1222.0,1.6908396946564885,1.5262704565030147
2012,3216,Lille,7340.0,8640.0,133,15139.0,7799.0,6499.0,2.062534059945504,1.752199074074074
2012,3217,Maubeuge,1176.0,1310.0,199,2181.0,1005.0,871.0,1.8545918367346939,1.664885496183206
2012,3218,Roubaix-Tourcoing,2940.0,3450.0,22,5619.0,2679.0,2169.0,1.9112244897959183,1.628695652173913
2012,3219,Saint-Omer,869.0,975.0,126,1711.0,842.0,736.0,1.9689298043728423,1.754871794871795
2012,3220,Saint-Quentin,1239.0,1417.0,326,2449.0,1210.0,1032.0,1.976594027441485,1.7282992237120678
2012,3221,Soissons,1024.0,1148.0,232,1833.0,809.0,685.0,1.7900390625,1.5966898954703832
2012,3222,Valenciennes,2076.0,2292.0,125,3820.0,1744.0,1528.0,1.8400770712909442,1.6666666666666667
2012,4401,Bar-le-Duc,389.0,445.0,154,789.0,400.0,344.0,2.0282776349614395,1.7730337078651686
2012,4402,Châlons-en-Champagne,564.0,691.0,151,1220.0,656.0,529.0,2.1631205673758864,1.7655571635311142
2012,4403,Charleville-Mézières,935.0,1048.0,180,1739.0,804.0,691.0,1.8598930481283422,1.659351145038168
2012,4404,Chaumont,693.0,813.0,369,1412.0,719.0,599.0,2.0375180375180375,1.7367773677736777
2012,4405,Colmar,1490.0,1662.0,100,3005.0,1515.0,1343.0,2.0167785234899327,1.8080625752105897
2012,4406,Épernay,531.0,611.0,113,1483.0,952.0,872.0,2.792843691148776,2.427168576104746
2012,4407,Épinal,1193.0,1332.0,328,2358.0,1165.0,1026.0,1.9765297569153395,1.7702702702702702
2012,4408,Forbach,700.0,793.0,30,1154.0,454.0,361.0,1.6485714285714286,1.455233291298865
2012,4409,Haguenau,1576.0,1793.0,164,2989.0,1413.0,1196.0,1.8965736040609138,1.6670384829894032
2012,4410,Metz,3220.0,3687.0,246,6069.0,2849.0,2382.0,1.8847826086956523,1.6460537021969082
2012,4411,Mulhouse,3166.0,3511.0,170,5792.0,2626.0,2281.0,1.8294377763739735,1.6496724579891768
