ze2020,libze2020,reg,population_2021_total,population_2022_total,active_15_64_2022_total,employed_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_est_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021,has_population_2022,has_active_lr_2022,has_jobs_lt_2022,has_side_stocks_et_2023,has_side_stocks_ul_2023,has_bpe_2024,has_flores_2024,has_filosofi_2021,source_coverage_count,source_coverage_ratio,is_structural_anomaly,anomaly_reason,is_training_eligible_v0,filosofi_s_hh_tax_weighted_proxy_2020,filosofi_s_dir_tax_di_weighted_proxy_2020,active_15_64_2021_total,employed_15_64_2021_total,unemployed_15_64_2021_total,unemployment_rate_est_2021,jobs_lt_2021_total,jobs_lt_per_1000_pop_2021,bpe_facilities_2021_total,bpe_facilities_per_1000_pop_2021,side_stocks_et_2021_total,side_stocks_ul_2021_total,side_stocks_et_per_1000_pop_2021,bpe_facilities_2023_total,bpe_facilities_per_1000_pop_2023,bpe_evolution_commune_type_presence_2019_total,bpe_evolution_commune_type_presence_2024_total,bpe_evolution_commune_type_presence_delta_2019_2024,bpe_evolution_commune_type_presence_pct_change_2019_2024,side_stocks_et_2019_total,side_stocks_ul_2019_total,side_stocks_et_2020_total,side_stocks_ul_2020_total,flores_et_total_2019,flores_et_total_2020,flores_et_total_2021,side_creations_et_total_2019,side_creations_et_total_2020,side_creations_et_total_2021,side_creations_et_total_2022,side_creations_et_total_2023
1107,Meaux,11,211831.0,214153.0,108127.73346,97113.49992,11014.23354,0.101863,53798.75460999999,251.216442,15157.0,13968.0,70.776501,7478.0,34.91896,3817.0,1759.0,59.284566,-15.791901,1,1,1,1,1,1,1,1,8,1.0,0,,1,81.3631,-15.536645,106220.215296,95213.417003,11006.798293,0.103622,52895.499244,249.70613,6297.0,29.726527,14357.0,13050.0,67.775727,7205.0,33.64417,1969,2093,124,0.062976,12444.0,11276.0,13096.0,11900.0,5212.0,5158.0,5390.0,2828,2964,3593,3604,3640
1108,Melun,11,204875.0,208003.0,100624.91144,89924.08903,10700.82241,0.106344,66808.20543000003,321.188663,14278.0,13056.0,68.643241,7286.0,35.028341,3969.0,1664.0,56.586928,-15.811778,1,1,1,1,1,1,1,1,8,1.0,0,,1,77.934406,-15.644585,98926.122553,87865.560729,11060.561825,0.111806,66064.87662,322.464315,6122.0,29.881635,13503.0,12178.0,65.908481,7158.0,34.412965,1625,1706,81,0.049846,11570.0,10313.0,12243.0,10992.0,5168.0,5229.0,5412.0,2732,2983,3533,3537,3591
1109,Paris,11,6701666.0,6741720.0,3489218.45909,3099297.0491,389921.40999,0.11175,4004366.563970001,593.968092,965945.0,879354.0,143.278718,296832.0,44.02912,209823.0,127476.0,63.43049,-22.548592,1,1,1,1,1,1,1,1,8,1.0,0,,1,87.551081,-23.485219,3458174.410171,3050719.163604,407455.246567,0.117824,3950186.450314,589.433501,144802.0,21.606866,924050.0,830908.0,137.883625,166444.0,24.688655,12998,13202,204,0.015695,825279.0,741166.0,861112.0,776555.0,138424.0,139717.0,144857.0,181243,182052,195536,202584,207701
1110,Provins,11,57585.0,57467.0,26895.17233,23723.46784,3171.70449,0.117928,15621.51444,271.834521,3944.0,3613.0,68.630692,2111.0,36.734126,1099.0,554.0,45.449315,-15.558164,1,1,1,1,1,1,1,1,8,1.0,0,,1,67.250356,-15.664273,26713.434544,23341.559741,3371.874803,0.126224,15387.080247,267.206395,1801.0,31.275506,3668.0,3351.0,63.697143,2089.0,36.351297,854,963,109,0.127635,3297.0,3003.0,3358.0,3067.0,1561.0,1553.0,1634.0,570,625,720,802,759
1111,Rambouillet,11,79180.0,79818.0,39121.61891,36214.08932,2907.52959,0.07432,25175.52434000001,315.411616,7243.0,6640.0,90.743942,2840.0,35.580947,1548.0,910.0,71.740475,-20.07677,1,1,1,1,1,1,1,1,8,1.0,0,,1,80.722081,-20.149096,38242.84477,35277.767868,2965.076902,0.077533,24837.639729,313.685776,2491.0,31.459965,6853.0,6195.0,86.549634,2862.0,35.856574,846,880,34,0.040189,6042.0,5461.0,6334.0,5721.0,2338.0,2314.0,2430.0,1066,1012,1311,1278,1250
1112,Roissy,11,947994.0,956544.0,446936.63823,387086.62543,59850.0128,0.133912,344327.7737999999,359.970659,67801.0,61592.0,70.881214,38023.0,39.750393,19757.0,8510.0,52.683664,-15.104801,1,1,1,1,1,1,1,1,8,1.0,0,,1,79.321914,-15.287375,444048.653073,379783.01026,64265.642813,0.144727,339328.460219,357.943679,31822.0,33.567723,63983.0,57633.0,67.493043,37637.0,39.346857,3880,3985,105,0.027062,55363.0,49322.0,58528.0,52540.0,24776.0,25312.0,26663.0,15841,16907,18867,19380,19391
1113,Saclay,11,550254.0,555004.0,275798.95962,251029.3213,24769.63832,0.08981,230277.03137,414.91058,43413.0,39032.0,78.221058,18990.0,34.21597,10081.0,5620.0,68.023786,-19.246216,1,1,1,1,1,1,1,1,8,1.0,0,,1,84.927654,-19.469567,272070.514269,246436.580912,25633.933358,0.094218,226243.535654,411.162001,15863.0,28.828505,41039.0,36556.0,74.58192,18738.0,33.761919,3097,3180,83,0.0268,35515.0,31283.0,37604.0,33411.0,14542.0,14705.0,15215.0,8184,8756,9870,10171,10159
1114,Seine-Yvelinoise,11,809740.0,820478.0,398513.5476,356693.75045,41819.79715,0.104939,231448.30093,282.089588,66644.0,60996.0,81.225822,26917.0,32.806486,14606.0,7158.0,65.638686,-20.743952,1,1,1,1,1,1,1,1,8,1.0,0,,1,85.859946,-21.081838,390352.151602,347948.724098,42403.427505,0.108629,230102.763614,284.168701,23313.0,28.790723,62792.0,56905.0,77.545879,27111.0,33.042934,4479,4600,121,0.027015,54689.0,49221.0,57582.0,52114.0,19891.0,20221.0,21059.0,12740,13617,15318,15482,15709
1115,Versailles-Saint-Quentin,11,599855.0,605097.0,300367.03859,274965.61618,25401.42241,0.084568,292990.93629999994,484.204906,54226.0,48613.0,89.615384,20695.0,34.201128,12074.0,6679.0,71.420347,-21.767399,1,1,1,1,1,1,1,1,8,1.0,0,,1,86.177709,-22.114913,295564.703073,270199.94885,25364.754223,0.085818,289845.896717,483.193266,17927.0,29.885556,52420.0,46606.0,87.387785,20578.0,34.007771,3434,3536,102,0.029703,46236.0,40733.0,48645.0,43082.0,17720.0,17866.0,18453.0,9510,10049,11376,11157,10759
2401,Blois,24,172538.0,173252.0,77300.22111,69720.75794,7579.46317,0.098052,72300.47288999996,417.313929,13077.0,11499.0,75.479648,6785.0,39.162607,4027.0,1823.0,52.51632,-15.006301,1,1,1,1,1,1,1,1,8,1.0,0,,1,66.108503,-14.776401,77089.231287,68993.132104,8096.099183,0.105022,71609.141225,415.034029,5708.0,33.082567,12354.0,10819.0,71.601618,6571.0,37.927412,2071,2194,123,0.059392,11270.0,9822.0,11596.0,10140.0,5478.0,5501.0,5684.0,1790,1909,2082,2248,2224
