target_year,ze2020,target_proxy_establishment_creations_year
2001,7620,7040
2001,7621,1493
2001,7622,1417
2001,7623,1232
2001,7624,2703
2001,7625,12399
2001,8401,3443
2001,8402,1381
2001,8403,661
2001,8404,384
2001,8405,1901
2001,8406,1783
2001,8407,2362
2001,8408,4127
2001,8409,6784
2001,8410,800
2001,8411,1031
2001,8412,769
2001,8413,2545
2001,8414,881
2001,8415,1215
2001,8416,2471
2001,8417,787
2001,8418,1340
2001,8419,1376
2001,8420,723
2001,8421,10552
2001,8422,984
2001,8423,877
2001,8424,763
2001,8425,520
2001,8426,1245
2001,8427,883
2001,8428,4597
2001,8429,410
2001,8430,428
2001,8431,2930
2001,8432,1160
2001,8433,1982
2001,8434,1482
2001,8435,1607
2001,9301,5412
2001,9302,825
2001,9303,1391
2001,9304,8030
2001,9305,1113
2001,9306,1784
2001,9307,990
2001,9308,1403
2001,9309,2085
2001,9310,1398
2001,9311,1092
2001,9312,4018
2001,9313,2591
2001,9314,1194
2001,9315,9886
2001,9316,648
2001,9317,1776
2001,9318,7310
2002,0051,1100
2002,0052,1887
2002,0053,3477
2002,0054,1796
2002,0055,682
2002,0056,612
2002,0057,987
2002,0058,517
2002,0059,1418
2002,0060,1206
2002,0061,517
2002,0062,575
2002,0063,842
2002,0064,887
2002,1101,4038
2002,1102,499
2002,1103,727
2002,1104,3970
2002,1105,1558
2002,1106,3331
2002,1107,1328
2002,1108,1326
2002,1109,40698
2002,1110,385
2002,1111,686
2002,1112,6116
2002,1113,3532
2002,1114,5627
2002,1115,5025
2002,2401,1329
2002,2402,1598
2002,2403,1463
2002,2404,413
2002,2405,1601
2002,2406,363
2002,2407,609
2002,2408,498
2002,2409,893
2002,2410,3349
2002,2411,443
2002,2412,810
2002,2413,4098
2002,2414,488
2002,2415,406
2002,2701,333
2002,2702,1614
2002,2703,536
2002,2704,868
2002,2705,1328
2002,2706,2703
2002,2707,1284
2002,2708,638
2002,2709,541
2002,2710,632
2002,2711,3467
2002,2712,585
2002,2713,1493
2002,2714,1031
2002,2715,830
2002,2716,411
2002,2717,935
2002,2718,1011
2002,2801,284
2002,2802,719
2002,2803,503
2002,2804,4422
2002,2805,1272
2002,2806,506
2002,2807,1021
2002,2808,1295
2002,2809,717
2002,2810,518
2002,2811,1069
2002,2812,357
2002,2813,2061
2002,2814,703
2002,2815,4801
2002,2816,826
2002,2817,845
2002,2818,310
2002,2819,606
2002,3201,693
2002,3202,2344
2002,3203,1220
2002,3204,1024
2002,3205,1395
2002,3206,1266
2002,3207,908
2002,3208,947
2002,3209,540
2002,3210,1386
2002,3211,1899
2002,3212,1250
2002,3213,1518
2002,3214,554
2002,3215,1701
2002,3216,7829
2002,3217,1212
2002,3218,2794
2002,3219,1065
2002,3220,1686
2002,3221,1033
2002,3222,1945
2002,4401,579
2002,4402,773
2002,4403,1130
2002,4404,974
2002,4405,1642
2002,4406,1085
2002,4407,1477
2002,4408,645
2002,4409,1591
2002,4410,3562
2002,4411,3178
2002,4412,4547
2002,4413,2853
2002,4414,800
2002,4415,596
2002,4416,771
2002,4417,662
2002,4418,508
2002,4419,740
2002,4420,783
2002,4421,596
2002,4422,746
2002,4423,6767
2002,4424,1728
2002,4425,2203
2002,4426,540
2002,4427,783
2002,5201,625
2002,5202,2983
2002,5203,1711
2002,5204,294
2002,5205,382
2002,5206,1401
2002,5207,1002
2002,5208,451
2002,5209,446
2002,5210,1265
2002,5211,1259
2002,5212,2714
2002,5213,783
2002,5214,943
2002,5215,587
2002,5216,7928
2002,5217,617
2002,5218,362
2002,5219,2427
2002,5220,843
2002,5221,346
2002,5301,1164
2002,5302,2937
2002,5303,722
2002,5304,852
2002,5305,570
2002,5306,537
2002,5307,517
2002,5308,1308
2002,5309,2047
2002,5310,981
2002,5311,547
2002,5312,865
2002,5313,2732
2002,5314,450
2002,5315,5914
2002,5316,1682
2002,5317,1630
2002,5318,2397
2002,5319,640
2002,7501,1412
2002,7502,2091
2002,7503,4508
2002,7504,1254
2002,7505,11663
2002,7506,850
2002,7507,1326
2002,7508,561
2002,7509,1172
2002,7510,1692
2002,7511,1185
2002,7512,2872
2002,7513,2005
2002,7514,1218
2002,7515,761
2002,7516,1439
2002,7517,2578
2002,7518,1000
2002,7519,1160
2002,7520,1529
2002,7521,754
2002,7522,2888
2002,7523,2185
2002,7524,2622
2002,7525,706
2002,7526,1663
2002,7527,697
2002,7528,1132
2002,7529,965
2002,7530,460
2002,7531,893
2002,7532,1043
2002,7601,1615
2002,7602,2227
2002,7603,1965
2002,7604,1904
2002,7605,643
2002,7606,2645
2002,7607,937
2002,7608,2176
2002,7609,731
2002,7610,1409
2002,7611,1052
2002,7612,1455
2002,7613,783
2002,7614,763
2002,7615,1656
2002,7616,9597
2002,7617,2319
2002,7618,4367
2002,7619,650
2002,7620,6744
2002,7621,1469
2002,7622,1428
2002,7623,1417
2002,7624,2617
2002,7625,12236
2002,8401,3313
2002,8402,1429
2002,8403,691
2002,8404,369
2002,8405,1897
2002,8406,1762
2002,8407,2355
2002,8408,3948
2002,8409,6740
2002,8410,758
2002,8411,1131
2002,8412,746
2002,8413,3008
2002,8414,904
2002,8415,1304
2002,8416,2444
2002,8417,766
2002,8418,1427
2002,8419,1208
2002,8420,714
2002,8421,10506
2002,8422,1125
2002,8423,874
2002,8424,824
2002,8425,488
2002,8426,1241
2002,8427,875
2002,8428,4610
2002,8429,366
2002,8430,395
2002,8431,2824
2002,8432,1330
2002,8433,2035
2002,8434,1582
2002,8435,1640
2002,9301,5737
2002,9302,871
2002,9303,1439
2002,9304,8323
2002,9305,1219
2002,9306,1828
2002,9307,1131
2002,9308,1528
2002,9309,2181
2002,9310,1464
2002,9311,1207
2002,9312,4218
2002,9313,2747
2002,9314,1224
2002,9315,10287
2002,9316,689
2002,9317,1841
2002,9318,7331
2003,0051,1038
2003,0052,2020
2003,0053,3700
2003,0054,1829
2003,0055,770
2003,0056,650
2003,0057,1044
2003,0058,535
2003,0059,1493
2003,0060,1350
2003,0061,587
2003,0062,635
2003,0063,951
2003,0064,942
2003,1101,4250
2003,1102,547
2003,1103,790
2003,1104,4255
2003,1105,1680
2003,1106,3800
2003,1107,1558
2003,1108,1468
2003,1109,44436
2003,1110,397
2003,1111,717
2003,1112,6938
2003,1113,3904
2003,1114,6279
2003,1115,5227
2003,2401,1451
2003,2402,1753
2003,2403,1568
2003,2404,411
2003,2405,1624
2003,2406,423
2003,2407,677
2003,2408,575
2003,2409,1001
2003,2410,3366
2003,2411,447
2003,2412,839
2003,2413,4582
2003,2414,526
2003,2415,355
2003,2701,333
2003,2702,1617
2003,2703,550
2003,2704,910
2003,2705,1450
2003,2706,2969
2003,2707,1321
2003,2708,690
2003,2709,588
2003,2710,714
2003,2711,3700
2003,2712,656
2003,2713,1403
2003,2714,1128
2003,2715,908
2003,2716,492
2003,2717,932
2003,2718,1058
2003,2801,351
2003,2802,752
2003,2803,573
2003,2804,4799
2003,2805,1376
2003,2806,554
2003,2807,1060
2003,2808,1503
2003,2809,784
2003,2810,532
2003,2811,1153
2003,2812,378
2003,2813,2380
2003,2814,800
2003,2815,5251
2003,2816,850
2003,2817,879
2003,2818,319
2003,2819,640
2003,3201,733
2003,3202,2557
2003,3203,1212
2003,3204,1145
2003,3205,1497
2003,3206,1312
2003,3207,977
2003,3208,941
2003,3209,582
2003,3210,1395
2003,3211,2064
2003,3212,1274
2003,3213,1687
2003,3214,739
2003,3215,1903
2003,3216,8502
2003,3217,1268
2003,3218,3144
2003,3219,1079
2003,3220,1715
2003,3221,1066
2003,3222,2189
2003,4401,564
2003,4402,868
2003,4403,1252
2003,4404,969
2003,4405,1890
2003,4406,1027
2003,4407,1612
2003,4408,639
2003,4409,1801
2003,4410,3885
2003,4411,3531
2003,4412,4675
2003,4413,2971
2003,4414,867
2003,4415,632
2003,4416,853
2003,4417,792
2003,4418,635
2003,4419,773
2003,4420,881
2003,4421,690
2003,4422,769
2003,4423,7150
2003,4424,1996
2003,4425,2234
2003,4426,599
2003,4427,849
2003,5201,708
2003,5202,3400
2003,5203,1969
2003,5204,370
2003,5205,451
2003,5206,1412
2003,5207,1081
2003,5208,514
2003,5209,511
2003,5210,1311
2003,5211,1323
2003,5212,2892
2003,5213,900
2003,5214,1054
2003,5215,623
2003,5216,8525
2003,5217,732
2003,5218,452
2003,5219,2605
2003,5220,856
2003,5221,381
2003,5301,1124
2003,5302,3118
2003,5303,742
2003,5304,949
2003,5305,678
2003,5306,531
2003,5307,661
2003,5308,1387
2003,5309,2250
2003,5310,1073
2003,5311,561
2003,5312,914
2003,5313,3153
2003,5314,437
2003,5315,6519
2003,5316,1765
2003,5317,1713
2003,5318,2681
2003,5319,740
2003,7501,1497
2003,7502,2261
2003,7503,4893
2003,7504,1347
2003,7505,12683
2003,7506,893
2003,7507,1447
2003,7508,634
2003,7509,1331
2003,7510,1928
2003,7511,1269
2003,7512,3156
2003,7513,2108
2003,7514,1198
2003,7515,795
2003,7516,1577
2003,7517,2670
2003,7518,969
2003,7519,1164
2003,7520,1706
2003,7521,780
2003,7522,3087
2003,7523,2270
2003,7524,2742
2003,7525,756
2003,7526,1889
2003,7527,798
2003,7528,1246
2003,7529,977
2003,7530,466
2003,7531,818
2003,7532,1129
2003,7601,1654
2003,7602,2379
2003,7603,2328
2003,7604,1971
2003,7605,713
2003,7606,2976
2003,7607,1152
2003,7608,2380
2003,7609,765
2003,7610,1552
2003,7611,1124
2003,7612,1517
2003,7613,859
2003,7614,816
2003,7615,1786
2003,7616,10478
2003,7617,2512
2003,7618,5021
2003,7619,748
2003,7620,7570
2003,7621,1782
2003,7622,1579
2003,7623,1439
2003,7624,2889
2003,7625,13582
2003,8401,3601
2003,8402,1725
2003,8403,793
2003,8404,404
2003,8405,2107
2003,8406,1819
2003,8407,2566
2003,8408,4339
2003,8409,7386
2003,8410,844
2003,8411,1512
2003,8412,774
2003,8413,2923
2003,8414,926
2003,8415,1369
2003,8416,2788
2003,8417,811
2003,8418,1481
2003,8419,1180
2003,8420,801
2003,8421,11970
2003,8422,1220
2003,8423,1060
2003,8424,891
2003,8425,470
2003,8426,1252
2003,8427,1025
2003,8428,4811
2003,8429,399
2003,8430,464
2003,8431,3101
2003,8432,1335
2003,8433,2157
2003,8434,1673
2003,8435,1856
2003,9301,6195
2003,9302,941
2003,9303,1648
2003,9304,8769
2003,9305,1256
2003,9306,1916
2003,9307,1334
2003,9308,1693
2003,9309,2355
2003,9310,1656
2003,9311,1316
2003,9312,4540
2003,9313,2983
2003,9314,1294
2003,9315,10890
2003,9316,733
2003,9317,1909
2003,9318,7874
2004,0051,1225
2004,0052,2094
2004,0053,4252
2004,0054,2047
2004,0055,863
2004,0056,695
2004,0057,1163
2004,0058,588
2004,0059,1711
2004,0060,1530
2004,0061,683
2004,0062,708
2004,0063,903
2004,0064,984
2004,1101,5128
2004,1102,644
2004,1103,892
2004,1104,4984
2004,1105,1982
2004,1106,4144
2004,1107,1826
2004,1108,1592
2004,1109,49641
2004,1110,486
2004,1111,789
2004,1112,7710
2004,1113,4529
2004,1114,7183
2004,1115,5702
2004,2401,1642
2004,2402,1996
2004,2403,1773
2004,2404,434
2004,2405,1876
2004,2406,492
2004,2407,786
2004,2408,590
2004,2409,1119
2004,2410,3892
2004,2411,533
2004,2412,907
2004,2413,5267
2004,2414,634
2004,2415,441
2004,2701,403
2004,2702,1718
2004,2703,623
2004,2704,1022
2004,2705,1583
2004,2706,3241
2004,2707,1481
2004,2708,799
2004,2709,619
2004,2710,776
2004,2711,4183
2004,2712,734
2004,2713,1674
2004,2714,1157
2004,2715,1168
2004,2716,587
2004,2717,948
2004,2718,1198
2004,2801,423
2004,2802,880
2004,2803,642
2004,2804,5216
2004,2805,1642
2004,2806,687
2004,2807,1182
2004,2808,1732
2004,2809,881
2004,2810,584
2004,2811,1345
2004,2812,452
2004,2813,2573
2004,2814,776
2004,2815,6062
2004,2816,965
2004,2817,1088
2004,2818,314
2004,2819,798
2004,3201,789
2004,3202,2988
2004,3203,1370
2004,3204,1350
2004,3205,1615
2004,3206,1383
2004,3207,989
2004,3208,1050
2004,3209,613
2004,3210,1508
2004,3211,2327
2004,3212,1396
2004,3213,1750
2004,3214,802
2004,3215,2139
2004,3216,9711
2004,3217,1499
2004,3218,3668
2004,3219,1184
2004,3220,1819
2004,3221,1251
2004,3222,2490
2004,4401,638
2004,4402,949
2004,4403,1375
