node_idx,ze2020,libze2020,nb_com
113,4411,Mulhouse,170
114,4412,Nancy,445
115,4413,Reims,225
116,4414,Remiremont,49
117,4415,Romilly-sur-Seine,170
118,4416,Saint-Avold,131
119,4417,Saint-Dié-des-Vosges,110
120,4418,Saint-Louis,91
121,4419,Sarrebourg,215
122,4420,Sarreguemines,141
123,4421,Sedan,245
124,4422,Sélestat,72
125,4423,Strasbourg,213
126,4424,Thionville,190
127,4425,Troyes,358
128,4426,Verdun,231
129,4427,Vitry-le-François Saint-Dizier,224
130,5201,Ancenis,23
131,5202,Angers,67
132,5203,Challans,42
133,5204,Château-Gontier-sur-Mayenne,32
134,5205,Châteaubriant,32
135,5206,Cholet,35
136,5207,Fontenay-le-Comte,98
137,5208,La Ferté-Bernard,80
138,5209,La Flèche,28
139,5210,La Roche-sur-Yon,45
140,5211,Laval,85
141,5212,Le Mans,148
142,5213,Les Herbiers-Montaigu,49
143,5214,Les Sables-d'Olonne,18
144,5215,Mayenne,92
145,5216,Nantes,95
146,5217,Pornic,16
147,5218,Sablé-sur-Sarthe,52
148,5219,Saint-Nazaire,37
149,5220,Saumur,45
150,5221,Segré-en-Anjou Bleu,30
151,5301,Auray,28
152,5302,Brest,92
153,5303,Carhaix-Plouguer,81
154,5304,Dinan,66
155,5305,Fougères,45
156,5306,Guingamp,49
157,5307,Lamballe-Armor,40
158,5308,Lannion,65
159,5309,Lorient,35
160,5310,Morlaix,59
161,5311,Ploërmel,53
162,5312,Pontivy-Loudéac,64
163,5313,Quimper,83
164,5314,Quimperlé,18
165,5315,Rennes,160
166,5316,Saint-Brieuc,58
167,5317,Saint-Malo,54
168,5318,Vannes,60
169,5319,Vitré,56
170,7501,Agen,99
171,7502,Angoulême,229
172,7503,Bayonne,111
173,7504,Bergerac,153
174,7505,Bordeaux,164
175,7506,Bressuire,80
176,7507,Brive-la-Gaillarde,98
177,7508,Châtellerault,50
178,7509,Cognac,191
179,7510,0Dax,119
180,7511,Guéret,255
181,7512,La Rochelle,83
182,7513,La Teste-de-Buch,33
183,7514,Langon,175
184,7515,Lesparre-Médoc,40
185,7516,Libourne,140
186,7517,Limoges,130
187,7518,Marmande,131
188,7519,Mont-de-Marsan,166
189,7520,Niort,158
190,7521,Oloron-Sainte-Marie,163
191,7522,0Pau,286
192,7523,Périgueux,231
193,7524,Poitiers,163
194,7525,Rochefort,41
195,7526,Royan,51
196,7527,Saint-Junien,104
197,7528,Saintes,147
198,7529,Sarlat-la-Canéda,107
199,7530,Thouars,76
200,7531,Tulle,130
201,7532,Villeneuve-sur-Lot,98
202,7601,Agde-Pézenas,18
203,7602,Albi,190
204,7603,Alès-Le Vigan,172
205,7604,Auch,392
206,7605,Bagnols-sur-Cèze,52
207,7606,Béziers,110
208,7607,Cahors,134
209,7608,Carcassonne-Limoux,309
210,7609,Castelsarrasin-Moissac,104
