source_ze2020,target_ze2020,edge_type
4419,4423,geographic_adjacency
4420,4408,geographic_adjacency
4420,4409,geographic_adjacency
4420,4416,geographic_adjacency
4420,4419,geographic_adjacency
4421,4402,geographic_adjacency
4421,4403,geographic_adjacency
4421,4413,geographic_adjacency
4421,4424,geographic_adjacency
4421,4426,geographic_adjacency
4422,4405,geographic_adjacency
4422,4417,geographic_adjacency
4422,4423,geographic_adjacency
4423,4409,geographic_adjacency
4423,4417,geographic_adjacency
4423,4419,geographic_adjacency
4423,4422,geographic_adjacency
4424,4410,geographic_adjacency
4424,4416,geographic_adjacency
4424,4421,geographic_adjacency
4424,4426,geographic_adjacency
4425,2702,geographic_adjacency
4425,2709,geographic_adjacency
4425,2717,geographic_adjacency
4425,4402,geographic_adjacency
4425,4404,geographic_adjacency
4425,4415,geographic_adjacency
4425,4427,geographic_adjacency
4426,4401,geographic_adjacency
4426,4402,geographic_adjacency
4426,4410,geographic_adjacency
4426,4412,geographic_adjacency
4426,4421,geographic_adjacency
4426,4424,geographic_adjacency
4427,4401,geographic_adjacency
4427,4402,geographic_adjacency
4427,4404,geographic_adjacency
4427,4425,geographic_adjacency
5201,5202,geographic_adjacency
5201,5205,geographic_adjacency
5201,5206,geographic_adjacency
5201,5216,geographic_adjacency
5201,5221,geographic_adjacency
5202,5201,geographic_adjacency
5202,5204,geographic_adjacency
5202,5206,geographic_adjacency
5202,5209,geographic_adjacency
5202,5218,geographic_adjacency
5202,5220,geographic_adjacency
5202,5221,geographic_adjacency
5203,5210,geographic_adjacency
5203,5214,geographic_adjacency
5203,5216,geographic_adjacency
5203,5217,geographic_adjacency
5204,5202,geographic_adjacency
5204,5211,geographic_adjacency
5204,5218,geographic_adjacency
5204,5221,geographic_adjacency
5205,0062,geographic_adjacency
5205,5201,geographic_adjacency
5205,5221,geographic_adjacency
5205,5315,geographic_adjacency
5205,5319,geographic_adjacency
5206,5201,geographic_adjacency
5206,5202,geographic_adjacency
5206,5213,geographic_adjacency
5206,5216,geographic_adjacency
5206,5220,geographic_adjacency
5206,7506,geographic_adjacency
5206,7530,geographic_adjacency
5207,5210,geographic_adjacency
5207,5213,geographic_adjacency
5207,5214,geographic_adjacency
5207,7506,geographic_adjacency
5207,7512,geographic_adjacency
5207,7520,geographic_adjacency
5208,0051,geographic_adjacency
5208,0061,geographic_adjacency
5208,2404,geographic_adjacency
5208,2414,geographic_adjacency
5208,5212,geographic_adjacency
5209,2406,geographic_adjacency
5209,2413,geographic_adjacency
5209,5202,geographic_adjacency
5209,5212,geographic_adjacency
5209,5218,geographic_adjacency
5209,5220,geographic_adjacency
5210,5203,geographic_adjacency
5210,5207,geographic_adjacency
5210,5213,geographic_adjacency
5210,5214,geographic_adjacency
5210,5216,geographic_adjacency
5211,2802,geographic_adjacency
5211,5204,geographic_adjacency
5211,5215,geographic_adjacency
5211,5218,geographic_adjacency
5211,5221,geographic_adjacency
5211,5305,geographic_adjacency
5211,5319,geographic_adjacency
5212,0051,geographic_adjacency
5212,2413,geographic_adjacency
5212,2414,geographic_adjacency
5212,5208,geographic_adjacency
5212,5209,geographic_adjacency
5212,5215,geographic_adjacency
5212,5218,geographic_adjacency
5213,5206,geographic_adjacency
5213,5207,geographic_adjacency
5213,5210,geographic_adjacency
5213,5216,geographic_adjacency
5213,7506,geographic_adjacency
5214,5203,geographic_adjacency
5214,5207,geographic_adjacency
5214,5210,geographic_adjacency
5215,0051,geographic_adjacency
5215,2802,geographic_adjacency
5215,2809,geographic_adjacency
5215,5211,geographic_adjacency
5215,5212,geographic_adjacency
5215,5218,geographic_adjacency
5216,0062,geographic_adjacency
5216,5201,geographic_adjacency
5216,5203,geographic_adjacency
5216,5206,geographic_adjacency
5216,5210,geographic_adjacency
5216,5213,geographic_adjacency
5216,5217,geographic_adjacency
5217,5203,geographic_adjacency
5217,5216,geographic_adjacency
5217,5219,geographic_adjacency
5218,5202,geographic_adjacency
5218,5204,geographic_adjacency
5218,5209,geographic_adjacency
5218,5211,geographic_adjacency
5218,5212,geographic_adjacency
5218,5215,geographic_adjacency
5219,0062,geographic_adjacency
5219,5217,geographic_adjacency
5219,5318,geographic_adjacency
5220,2406,geographic_adjacency
5220,5202,geographic_adjacency
5220,5206,geographic_adjacency
5220,5209,geographic_adjacency
5220,7530,geographic_adjacency
5221,5201,geographic_adjacency
5221,5202,geographic_adjacency
5221,5204,geographic_adjacency
5221,5205,geographic_adjacency
5221,5211,geographic_adjacency
5221,5319,geographic_adjacency
5301,5309,geographic_adjacency
5301,5312,geographic_adjacency
5301,5318,geographic_adjacency
5302,5303,geographic_adjacency
5302,5310,geographic_adjacency
5302,5313,geographic_adjacency
5303,5302,geographic_adjacency
5303,5306,geographic_adjacency
5303,5309,geographic_adjacency
5303,5310,geographic_adjacency
5303,5312,geographic_adjacency
5303,5313,geographic_adjacency
5303,5314,geographic_adjacency
5303,5316,geographic_adjacency
5304,5307,geographic_adjacency
5304,5315,geographic_adjacency
5304,5317,geographic_adjacency
5305,2802,geographic_adjacency
5305,5211,geographic_adjacency
5305,5315,geographic_adjacency
5305,5317,geographic_adjacency
5305,5319,geographic_adjacency
5306,5303,geographic_adjacency
5306,5308,geographic_adjacency
5306,5310,geographic_adjacency
5306,5316,geographic_adjacency
5307,5304,geographic_adjacency
5307,5311,geographic_adjacency
5307,5312,geographic_adjacency
5307,5315,geographic_adjacency
5307,5316,geographic_adjacency
5308,5306,geographic_adjacency
5308,5310,geographic_adjacency
5308,5316,geographic_adjacency
5309,5301,geographic_adjacency
5309,5303,geographic_adjacency
5309,5312,geographic_adjacency
5309,5314,geographic_adjacency
5310,5302,geographic_adjacency
5310,5303,geographic_adjacency
5310,5306,geographic_adjacency
5310,5308,geographic_adjacency
5311,0062,geographic_adjacency
5311,5307,geographic_adjacency
5311,5312,geographic_adjacency
5311,5315,geographic_adjacency
5311,5318,geographic_adjacency
5312,5301,geographic_adjacency
5312,5303,geographic_adjacency
