ze2020,libze2020,reg,year,is_structural_anomaly,anomaly_reason,bpe_evolution_commune_type_presence_total,side_stocks_et_total,side_stocks_ul_total,flores_et_total,side_creations_et_total,filosofi_s_hh_tax_weighted_proxy,filosofi_s_dir_tax_di_weighted_proxy,population_total,active_lr_total,employed_lr_total,unemployed_lr_total,unemployment_rate_est,jobs_lt_total,jobs_lt_per_1000_pop,side_stocks_et_per_1000_pop,bpe_facilities_total,bpe_facilities_per_1000_pop,flores_presential_unit_loc_total,flores_productive_unit_loc_total,observed_feature_count,has_any_feature_value,is_source_year_row,is_training_eligible_panel_v0
0105,Sud Basse-Terre,1,2023,0,,,4429.0,4100.0,,994,,,,,,,,,,64.447128,3145.0,45.763427,,,6,1,1,1
0105,Sud Basse-Terre,1,2024,0,,542,,,,,,,,,,,,,,,3269.0,47.567772,1377.0,609.0,5,1,1,1
0201,Le Centre-Atlantique,2,2019,0,,280,2721.0,2458.0,1243.0,536,,,,,,,,,,,,,,,5,1,1,1
0201,Le Centre-Atlantique,2,2020,0,,,2893.0,2608.0,1262.0,547,66.44859,-11.784531,,,,,,,,,,,,,6,1,1,1
0201,Le Centre-Atlantique,2,2021,0,,,3241.0,2956.0,1324.0,676,31.302578,-12.110062,57578.0,25270.90998,18819.795435,6451.114545,0.255278,13133.630417,228.101539,56.28886,2102.0,36.506999,,,16,1,1,1
0201,Le Centre-Atlantique,2,2022,0,,,,,,785,,,57691.0,25622.50457,19658.9801,5963.52447,0.232746,13489.3878,233.821355,,,,,,8,1,1,1
0201,Le Centre-Atlantique,2,2023,0,,,3620.0,3343.0,,779,,,,,,,,,,62.748089,2340.0,40.560919,,,6,1,1,1
0201,Le Centre-Atlantique,2,2024,0,,285,,,,,,,,,,,,,,,2433.0,42.172956,962.0,453.0,5,1,1,1
0202,Le Centre agglomération,2,2019,0,,386,22668.0,21352.0,6415.0,3594,,,,,,,,,,,,,,,5,1,1,1
0202,Le Centre agglomération,2,2020,0,,,24212.0,22817.0,6490.0,3977,72.633427,-14.426063,,,,,,,,,,,,,6,1,1,1
0202,Le Centre agglomération,2,2021,0,,,27288.0,25883.0,6784.0,5571,39.829241,-14.435919,150038.0,68243.975119,55237.501046,13006.474073,0.190588,77818.991112,518.66188,181.873925,6661.0,44.39542,,,16,1,1,1
0202,Le Centre agglomération,2,2022,0,,,,,,6829,,,150323.0,68011.55888,56402.81273,11608.74615,0.170688,79236.34841,527.107285,,,,,,8,1,1,1
0202,Le Centre agglomération,2,2023,0,,,33211.0,31737.0,,6358,,,,,,,,,,220.930929,7620.0,50.690846,,,6,1,1,1
0202,Le Centre agglomération,2,2024,0,,386,,,,,,,,,,,,,,,7912.0,52.63333,4465.0,2558.0,5,1,1,1
0203,Le Nord-Atlantique,2,2019,0,,185,585.0,537.0,373.0,112,,,,,,,,,,,,,,,5,1,1,1
0203,Le Nord-Atlantique,2,2020,0,,,601.0,554.0,384.0,87,58.771653,-9.109378,,,,,,,,,,,,,6,1,1,1
0203,Le Nord-Atlantique,2,2021,0,,,639.0,597.0,395.0,168,20.848888,-9.440079,15713.0,6401.421742,4779.562001,1621.859741,0.253359,4283.125928,272.584861,40.666964,578.0,36.784828,,,16,1,1,1
0203,Le Nord-Atlantique,2,2022,0,,,,,,157,,,15610.0,5947.64221,4629.14574,1318.49647,0.221684,4177.03417,267.58707,,,,,,8,1,1,1
