ze2020,libze2020,reg,PMUN2023,PMUN2022,PMUN2021,PMUN2020,PMUN2019,PMUN2018,PMUN2017,PMUN2016,PMUN2015,PMUN2014,PMUN2013,PMUN2012,PMUN2011,PMUN2010,PMUN2009,PMUN2008,PMUN2007,PMUN2006,PSDC1999,PSDC1990,PSDC1982,PSDC1975,PSDC1968,PSDC1962,PTOT1954,PTOT1936,PTOT1931,PTOT1926,PTOT1921,PTOT1911,PTOT1906,PTOT1901,PTOT1896,PTOT1891,PTOT1886,PTOT1881,PTOT1876
1111,Rambouillet,11,80722.0,79818.0,79180.0,79058.0,79127.0,79020.0,78907.0,78443.0,77701.0,77921.0,77782.0,77604.0,77546.0,77872.0,77490.0,76685.0,76474.0,75405.0,72203.0,67692.0,57037.0,45609.0,34360.0,29382.0,26731.0,23600.0,24562.0,23904.0,23328.0,25724.0,25687.0,25897.0,26057.0,26167.0,25549.0,24654.0,23961.0
1112,Roissy,11,971104.0,956544.0,947994.0,943049.0,942531.0,936269.0,931614.0,925201.0,919406.0,910609.0,904379.0,898860.0,895267.0,891127.0,891422.0,888996.0,885607.0,882625.0,838056.0,806355.0,739947.0,702912.0,585139.0,454743.0,330992.0,273648.0,269600.0,194663.0,127467.0,94690.0,82108.0,73329.0,68531.0,64626.0,65406.0,61053.0,59393.0
1113,Saclay,11,563404.0,555004.0,550254.0,545965.0,544204.0,542781.0,542315.0,536730.0,532727.0,528465.0,522105.0,514156.0,508991.0,503806.0,499734.0,499172.0,498489.0,497116.0,472694.0,452362.0,417150.0,388414.0,274044.0,173099.0,119291.0,90141.0,84046.0,71211.0,57333.0,52754.0,50778.0,49728.0,48933.0,47717.0,47598.0,45069.0,43830.0
1114,Seine-Yvelinoise,11,831825.0,820478.0,809740.0,805611.0,803398.0,797231.0,792929.0,789117.0,787314.0,783409.0,780392.0,776548.0,777391.0,774455.0,773430.0,772144.0,770065.0,763397.0,739696.0,718934.0,669157.0,634667.0,527145.0,436172.0,313235.0,253107.0,246082.0,210461.0,173984.0,154238.0,140376.0,132522.0,125193.0,116323.0,116621.0,108983.0,106706.0
1115,Versailles-Saint-Quentin,11,609205.0,605097.0,599855.0,597332.0,597762.0,595966.0,596094.0,593462.0,591092.0,588868.0,588237.0,586440.0,587162.0,584766.0,585168.0,586014.0,586158.0,585587.0,569209.0,547054.0,495050.0,428435.0,318295.0,245317.0,196858.0,165999.0,152344.0,143985.0,131616.0,122964.0,115968.0,116019.0,115651.0,111094.0,108216.0,105220.0,106974.0
2401,Blois,24,173218.0,173252.0,172538.0,172521.0,172072.0,172119.0,172754.0,172493.0,172339.0,172682.0,171268.0,171075.0,170704.0,169731.0,168176.0,167806.0,167802.0,167055.0,160691.0,154944.0,146013.0,137105.0,125535.0,111519.0,103278.0,101104.0,100577.0,102221.0,103867.0,111543.0,114188.0,115001.0,116647.0,118848.0,118391.0,116371.0,115418.0
2402,Bourges,24,200409.0,200628.0,200420.0,201732.0,202342.0,202704.0,202745.0,204509.0,205385.0,206075.0,207049.0,206991.0,206689.0,205804.0,205116.0,206919.0,208397.0,208068.0,207261.0,210988.0,207583.0,202775.0,190199.0,179063.0,169836.0,169012.0,168910.0,170376.0,174370.0,193302.0,195995.0,197746.0,198590.0,206459.0,205012.0,203238.0,200605.0
2403,Chartres,24,210333.0,209665.0,209329.0,209447.0,209171.0,208839.0,208721.0,208732.0,208681.0,207298.0,206343.0,205974.0,205069.0,203507.0,201339.0,200121.0,199245.0,198685.0,193017.0,183105.0,163190.0,147016.0,127358.0,115489.0,107684.0,104732.0,104512.0,104148.0,101782.0,109429.0,109789.0,110692.0,112209.0,113499.0,111921.0,110630.0,111632.0
2404,Châteaudun,24,57546.0,57789.0,57717.0,57944.0,58387.0,58807.0,59387.0,59600.0,59568.0,60033.0,60010.0,59837.0,59894.0,60108.0,59945.0,59481.0,59022.0,58608.0,57831.0,58242.0,59488.0,59582.0,59785.0,58892.0,57507.0,56983.0,57962.0,58666.0,58416.0,64783.0,65298.0,65242.0,66604.0,67058.0,66708.0,65840.0,66207.0
2405,Châteauroux,24,196375.0,197109.0,197591.0,198997.0,199498.0,200562.0,201909.0,202945.0,203490.0,205325.0,207002.0,207510.0,208805.0,209734.0,210860.0,210537.0,211269.0,211523.0,209398.0,214646.0,218968.0,223753.0,221508.0,225196.0,220580.0,218524.0,220705.0,227447.0,232428.0,256840.0,259577.0,258166.0,258024.0,261140.0,264297.0,255958.0,248585.0
2406,Chinon,24,43924.0,43856.0,43634.0,43790.0,43944.0,44010.0,44186.0,44329.0,44365.0,44348.0,44411.0,44445.0,44527.0,44480.0,44546.0,44471.0,44392.0,44161.0,44057.0,43656.0,43371.0,40727.0,41134.0,41386.0,38121.0,36106.0,36119.0,37729.0,37702.0,42064.0,43618.0,44301.0,45891.0,46819.0,47874.0,48122.0,49463.0
2407,Gien,24,79331.0,79675.0,79848.0,80092.0,80659.0,81169.0,81932.0,82562.0,83302.0,83617.0,83736.0,83763.0,84130.0,84235.0,84828.0,84711.0,84411.0,84195.0,82156.0,81718.0,79815.0,73229.0,69297.0,65068.0,63224.0,67263.0,69034.0,70964.0,72974.0,81131.0,83415.0,84809.0,86734.0,88757.0,86447.0,84246.0,81214.0
2408,Loches,24,55004.0,54993.0,54839.0,54995.0,55338.0,55830.0,56428.0,56917.0,57222.0,57485.0,57664.0,57813.0,58015.0,57984.0,57722.0,57423.0,57234.0,56982.0,56582.0,57531.0,59130.0,61103.0,65332.0,66377.0,68435.0,69207.0,69016.0,69958.0,69421.0,75831.0,75831.0,75968.0,76974.0,77649.0,78368.0,77275.0,77654.0
2409,Montargis,24,127915.0,127729.0,127348.0,127086.0,127421.0,127418.0,127329.0,127211.0,127604.0,127211.0,127161.0,126592.0,126163.0,125063.0,124685.0,123950.0,123506.0,122412.0,115375.0,109577.0,103628.0,97065.0,91452.0,84338.0,81762.0,79600.0,78875.0,77602.0,75588.0,81401.0,82356.0,82136.0,82598.0,85236.0,85118.0,84697.0,83840.0
2410,Orléans,24,450106.0,445462.0,443021.0,440701.0,437956.0,436007.0,434681.0,430777.0,429051.0,426143.0,422432.0,420074.0,417986.0,416181.0,413968.0,412494.0,410310.0,409465.0,393145.0,364783.0,332816.0,303747.0,258487.0,230894.0,205415.0,188316.0,186808.0,184206.0,181481.0,194166.0,192144.0,192215.0,194491.0,196055.0,194454.0,189692.0,184314.0
2411,Pithiviers,24,66629.0,66968.0,67130.0,67334.0,67483.0,67456.0,67536.0,67402.0,67182.0,66731.0,66377.0,66060.0,65620.0,65012.0,64385.0,63775.0,63353.0,63019.0,60185.0,56782.0,52608.0,49930.0,47084.0,46176.0,47257.0,48899.0,49676.0,50536.0,50136.0,55860.0,56947.0,57625.0,57836.0,59071.0,60199.0,60328.0,61050.0
2412,Romorantin-Lanthenay,24,92921.0,93357.0,93369.0,93981.0,94126.0,94374.0,94701.0,95481.0,95865.0,95867.0,95547.0,95467.0,95615.0,95465.0,95191.0,95071.0,95048.0,94718.0,93291.0,92506.0,92456.0,89717.0,85622.0,83562.0,81846.0,84246.0,84242.0,87287.0,89016.0,94935.0,95598.0,94375.0,94080.0,93547.0,92523.0,91177.0,89878.0
2413,Tours,24,527878.0,524921.0,521113.0,520793.0,518290.0,515566.0,513720.0,512980.0,511440.0,510203.0,506355.0,502915.0,499531.0,496505.0,494635.0,492043.0,490064.0,487772.0,462351.0,437760.0,414122.0,388059.0,343470.0,299946.0,271301.0,251499.0,243404.0,240303.0,234211.0,238314.0,233361.0,230213.0,229236.0,227863.0,229617.0,218614.0,212733.0
2414,Vendôme,24,64106.0,64040.0,64255.0,64463.0,64829.0,65352.0,66148.0,66574.0,66819.0,67207.0,67625.0,67669.0,67648.0,67728.0,67528.0,66918.0,66736.0,66720.0,65064.0,63344.0,62987.0,61764.0,61519.0,60037.0,58736.0,59949.0,60750.0,62597.0,63041.0,69184.0,70561.0,70460.0,71681.0,72302.0,72770.0,72207.0,71301.0
2415,Vierzon,24,46989.0,47360.0,47591.0,47454.0,47971.0,48294.0,48573.0,49197.0,49889.0,50069.0,50129.0,50080.0,49686.0,49738.0,49688.0,50059.0,50093.0,50317.0,51184.0,54009.0,54783.0,54651.0,52621.0,50382.0,48791.0,46079.0,47720.0,48290.0,47260.0,50761.0,50289.0,49547.0,48966.0,47965.0,47473.0,46256.0,43755.0
2701,Autun,27,40966.0,40983.0,41152.0,41394.0,41217.0,41466.0,41719.0,42144.0,42347.0,42827.0,42871.0,43206.0,43624.0,43553.0,43864.0,44281.0,44454.0,44231.0,46048.0,48370.0,51085.0,52658.0,54229.0,52861.0,53516.0,61978.0,63696.0,66058.0,68797.0,79127.0,82451.0,84604.0,86797.0,89149.0,90370.0,89356.0,87213.0
