selected_strategy,ze2020,libze2020,actual_sum,persistence_abs_error,model_abs_error,abs_error_reduction_vs_persistence,persistence_wmape,model_wmape,wmape_delta_vs_persistence
fixed_huber_absolute_local_all_lambda_0_5,8402,Aubenas,8653.0,978.0,829.1299884443615,148.87001155563848,11.302438460649485,9.58199455037977,1.720443910269715
fixed_huber_absolute_local_all_lambda_0_5,8403,Aurillac,3828.0,638.0,608.1948928299586,29.805107170041424,16.666666666666664,15.888058851357329,0.7786078153093356
fixed_huber_absolute_local_all_lambda_0_5,8404,Belley,2990.0,228.0,246.63099127125759,-18.630991271257585,7.625418060200668,8.248528136162461,-0.6231100759617929
fixed_huber_absolute_local_all_lambda_0_5,8405,Bourg-en-Bresse,15036.0,1206.0,1324.447472650288,-118.44747265028809,8.02075019952115,8.808509395120298,-0.7877591955991488
fixed_huber_absolute_local_all_lambda_0_5,8406,Bourgoin-Jallieu,16502.0,1170.0,1172.2061985474666,-2.206198547466556,7.090049690946552,7.103418970715468,-0.013369279768915554
fixed_huber_absolute_local_all_lambda_0_5,8407,Chambéry,18879.0,1528.0,1625.058326592145,-97.05832659214502,8.093649028020552,8.607756377944515,-0.5141073499239628
fixed_huber_absolute_local_all_lambda_0_5,8408,Clermont-Ferrand,28292.0,2942.0,3166.699529133586,-224.6995291335861,10.398699278948111,11.19291506126674,-0.7942157823186289
fixed_huber_absolute_local_all_lambda_0_5,8409,Grenoble,41605.0,3111.0,3564.6601837490216,-453.6601837490216,7.477466650642952,8.567864881021563,-1.0903982303786117
fixed_huber_absolute_local_all_lambda_0_5,8410,Issoire,4273.0,534.0,446.4979557460367,87.50204425396328,12.497074654809268,10.449285180108513,2.047789474700755
fixed_huber_absolute_local_all_lambda_0_5,8411,La Maurienne,2509.0,242.0,613.4864548634426,-371.48645486344265,9.645277002789957,24.45143303560951,-14.806156032819555
fixed_huber_absolute_local_all_lambda_0_5,8412,La Plaine du Forez,4615.0,282.0,297.0800416782025,-15.08004167820252,6.1105092091007585,6.43727067558402,-0.3267614664832612
