ze2020,libze2020,reg,population_2022_total,active_15_64_2022_total,unemployed_15_64_2022_total,unemployment_rate_proxy_2022,jobs_lt_2022_total,jobs_lt_per_1000_pop_2022,side_stocks_et_2023_total,side_stocks_ul_2023_total,side_stocks_et_per_1000_pop_2023,bpe_facilities_2024_total,bpe_facilities_per_1000_pop_2024,flores_presential_unit_loc_2024_total,flores_productive_unit_loc_2024_total,filosofi_s_hh_tax_weighted_proxy_2021,filosofi_s_dir_tax_di_weighted_proxy_2021
1106,Marne-la-Vallée,11,486528.0,249697.61335,0.0,0.0,191051.52203999995,392.683509,41309.0,37268.0,84.905699,18506.0,38.036865,9991.0,5629.0,65.589355,-17.850056
1107,Meaux,11,214153.0,108127.73345999997,0.0,0.0,53798.75460999999,251.216442,15157.0,13968.0,70.776501,7478.0,34.91896,3817.0,1759.0,59.284566,-15.791901
1108,Melun,11,208003.0,100624.91143999995,0.0,0.0,66808.20543000003,321.188663,14278.0,13056.0,68.643241,7286.0,35.028341,3969.0,1664.0,56.586928,-15.811778
1109,Paris,11,6741720.0,3489218.4590900005,0.0,0.0,4004366.5639700005,593.968092,965945.0,879354.0,143.278718,296832.0,44.02912,209823.0,127476.0,63.43049,-22.548592
1110,Provins,11,57467.0,26895.172329999998,0.0,0.0,15621.51444,271.834521,3944.0,3613.0,68.630692,2111.0,36.734126,1099.0,554.0,45.449315,-15.558164
1111,Rambouillet,11,79818.0,39121.61891000001,0.0,0.0,25175.52434000001,315.411616,7243.0,6640.0,90.743942,2840.0,35.580947,1548.0,910.0,71.740475,-20.07677
1112,Roissy,11,956544.0,446936.63823000004,0.0,0.0,344327.7737999999,359.970659,67801.0,61592.0,70.881214,38023.0,39.750393,19757.0,8510.0,52.683664,-15.104801
1113,Saclay,11,555004.0,275798.9596199999,0.0,0.0,230277.03136999998,414.91058,43413.0,39032.0,78.221058,18990.0,34.21597,10081.0,5620.0,68.023786,-19.246216
1114,Seine-Yvelinoise,11,820478.0,398513.54760000017,0.0,0.0,231448.30092999994,282.089588,66644.0,60996.0,81.225822,26917.0,32.806486,14606.0,7158.0,65.638686,-20.743952
1115,Versailles-Saint-Quentin,11,605097.0,300367.03858999995,0.0,0.0,292990.93629999994,484.204906,54226.0,48613.0,89.615384,20695.0,34.201128,12074.0,6679.0,71.420347,-21.767399
2401,Blois,24,173252.0,77300.22111000006,0.0,0.0,72300.47288999996,417.313929,13077.0,11499.0,75.479648,6785.0,39.162607,4027.0,1823.0,52.51632,-15.006301
2402,Bourges,24,200628.0,88745.51433,0.0,0.0,81153.55131,404.497634,13805.0,12089.0,68.80894,7191.0,35.842455,4225.0,2031.0,51.974352,-15.018804
2403,Chartres,24,209665.0,101347.38414999997,0.0,0.0,77679.45205999992,370.493177,15168.0,13397.0,72.343977,7388.0,35.237164,4195.0,2237.0,56.642495,-15.918842
2404,Châteaudun,24,57789.0,24009.051030000002,0.0,0.0,18404.52642,318.478022,3504.0,3118.0,60.634377,2152.0,37.238921,1175.0,640.0,46.022698,-13.457767
2405,Châteauroux,24,197109.0,83372.77367000005,0.0,0.0,75795.60504000001,384.5365,13136.0,11620.0,66.643329,7824.0,39.693773,4503.0,2293.0,46.567681,-13.856585
2406,Chinon,24,43856.0,18552.4297,0.0,0.0,18022.488869999997,410.946937,3397.0,3052.0,77.458045,1888.0,43.049982,962.0,618.0,49.169912,-14.131494
2407,Gien,24,79675.0,34103.74758,0.0,0.0,29820.614770000004,374.27819,5053.0,4508.0,63.420144,2973.0,37.314088,1618.0,840.0,48.050562,-13.83033
2408,Loches,24,54993.0,23104.59241,0.0,0.0,18760.038060000003,341.135018,4145.0,3757.0,75.373229,2375.0,43.187315,1184.0,849.0,40.164495,-12.807632
2409,Montargis,24,127729.0,54996.34391000004,0.0,0.0,40357.71281999997,315.963586,8755.0,7862.0,68.543557,4679.0,36.632245,2533.0,1158.0,46.497036,-13.733616
2410,Orléans,24,445462.0,212939.15042,0.0,0.0,195157.3847899999,438.101083,33412.0,29214.0,75.005275,14677.0,32.947816,9199.0,4408.0,57.796004,-16.345062
2411,Pithiviers,24,66968.0,31535.87349000001,0.0,0.0,21646.049600000002,323.229746,4087.0,3682.0,61.029148,2263.0,33.792259,1150.0,614.0,48.749673,-13.726567
2412,Romorantin-Lanthenay,24,93357.0,38914.4333,0.0,0.0,31123.890729999985,333.385721,6537.0,5897.0,70.02153,3727.0,39.92202,1993.0,1011.0,46.770985,-13.148374
2413,Tours,24,524921.0,246279.73374999996,0.0,0.0,219633.10429999986,418.411731,43614.0,38166.0,83.086788,19246.0,36.664565,11355.0,5464.0,54.329096,-16.102647
2414,Vendôme,24,64040.0,27584.98801,0.0,0.0,23695.859700000005,370.016547,4639.0,4167.0,72.439101,2424.0,37.851343,1449.0,805.0,48.83724,-14.421333
2415,Vierzon,24,47360.0,19364.669159999998,0.0,0.0,14817.714339999999,312.874036,2907.0,2603.0,61.380912,1713.0,36.169764,951.0,428.0,41.390086,-12.190508
2701,Autun,27,40983.0,16910.19465,0.0,0.0,13653.228080000004,333.143696,3094.0,2806.0,75.494717,1767.0,43.115438,939.0,439.0,42.29711,-13.690728
2702,Auxerre,27,180562.0,79244.50815000001,0.0,0.0,69587.08536000001,385.39164,13237.0,11762.0,73.309999,7282.0,40.329637,4049.0,2222.0,46.163445,-14.154165
2703,Avallon,27,50355.0,19966.973549999988,0.0,0.0,17230.516930000005,342.180855,3973.0,3622.0,78.899811,2556.0,50.759607,1417.0,632.0,41.0,-14.3
2704,Beaune,27,78043.0,37168.54427000001,0.0,0.0,35465.59205999999,454.436555,8778.0,7961.0,112.476455,3957.0,50.702818,2121.0,1963.0,52.887647,-17.046666
2705,Belfort,27,191085.0,87484.12392000003,0.0,0.0,68097.88784999996,356.374848,12017.0,10721.0,62.888243,6965.0,36.449747,3679.0,1373.0,46.305817,-14.686753
2706,Besançon,27,321974.0,149655.04776999992,0.0,0.0,135993.85501000014,422.375269,25389.0,22543.0,78.854193,12803.0,39.76408,7298.0,3595.0,50.426385,-15.820906
2707,Chalon-sur-Saône,27,159954.0,73321.25449000004,0.0,0.0,65877.13429000003,411.850496,12561.0,11031.0,78.528827,6361.0,39.767683,3579.0,1837.0,49.327857,-14.469422
2708,Charolais,27,85605.0,35049.97738999998,0.0,0.0,30398.745039999976,355.104784,6436.0,5785.0,75.182524,3790.0,44.273115,1995.0,985.0,41.128486,-12.509946
2709,Châtillon-Montbard,27,59531.0,25603.40912999999,0.0,0.0,22671.092890000007,380.828356,4760.0,4311.0,79.958341,2993.0,50.276327,1617.0,781.0,42.639804,-13.310849
2710,Creusot-Montceau,27,96728.0,39904.22700000001,0.0,0.0,34383.61654000002,355.467047,5791.0,5113.0,59.868911,3270.0,33.806137,1773.0,770.0,44.058665,-12.7723
2711,Dijon,27,403427.0,192232.95179000002,0.0,0.0,179705.92880000005,445.448442,34463.0,30306.0,85.425616,15864.0,39.323099,9048.0,4279.0,55.036828,-16.458627
2712,Dole,27,82972.0,36654.52740000001,0.0,0.0,30080.209059999986,362.534458,5920.0,5286.0,71.349371,3479.0,41.929808,1853.0,798.0,48.485055,-14.927435
2713,Lons-le-Saunier,27,158299.0,69374.09699999995,0.0,0.0,61928.73221999998,391.213667,13452.0,12136.0,84.978427,7243.0,45.755185,4280.0,2272.0,45.888645,-14.168216
