year_month,ze2020,target_proxy_establishment_creations_count
2011-01,7515,154
2011-01,7516,359
2011-01,7517,577
2011-01,7518,230
2011-01,7519,328
2011-01,7520,347
2011-01,7521,195
2011-01,7522,711
2011-01,7523,455
2011-01,7524,536
2011-01,7525,166
2011-01,7526,320
2011-01,7527,199
2011-01,7528,247
2011-01,7529,196
2011-01,7530,104
2011-01,7531,189
2011-01,7532,223
2011-01,7601,293
2011-01,7602,525
2011-01,7603,468
2011-01,7604,435
2011-01,7605,146
2011-01,7606,627
2011-01,7607,234
2011-01,7608,471
2011-01,7609,207
2011-01,7610,348
2011-01,7611,218
2011-01,7612,385
2011-01,7613,152
2011-01,7614,156
2011-01,7615,453
2011-01,7616,2258
2011-01,7617,463
2011-01,7618,991
2011-01,7619,139
2011-01,7620,1428
2011-01,7621,340
2011-01,7622,367
2011-01,7623,332
2011-01,7624,608
2011-01,7625,3237
2011-01,8401,899
2011-01,8402,298
2011-01,8403,169
2011-01,8404,80
2011-01,8405,495
2011-01,8406,452
2011-01,8407,564
2011-01,8408,920
2011-01,8409,1469
2011-01,8410,149
2011-01,8411,165
2011-01,8412,187
2011-01,8413,532
2011-01,8414,210
2011-01,8415,317
2011-01,8416,578
2011-01,8417,175
2011-01,8418,308
2011-01,8419,232
2011-01,8420,151
2011-01,8421,2786
2011-01,8422,239
2011-01,8423,200
2011-01,8424,186
2011-01,8425,95
2011-01,8426,240
2011-01,8427,229
2011-01,8428,1105
2011-01,8429,103
2011-01,8430,143
2011-01,8431,704
2011-01,8432,288
2011-01,8433,447
2011-01,8434,410
2011-01,8435,431
2011-01,9301,1330
2011-01,9302,146
2011-01,9303,356
2011-01,9304,1881
2011-01,9305,260
2011-01,9306,374
2011-01,9307,231
2011-01,9308,320
2011-01,9309,444
2011-01,9310,341
2011-01,9311,264
2011-01,9312,902
2011-01,9313,543
2011-01,9314,247
2011-01,9315,2133
2011-01,9316,151
2011-01,9317,315
2011-01,9318,1667
2011-02,0051,74
2011-02,0052,234
2011-02,0053,440
2011-02,0054,247
2011-02,0055,70
2011-02,0056,65
2011-02,0057,139
2011-02,0058,59
2011-02,0059,156
2011-02,0060,137
2011-02,0061,61
2011-02,0062,82
2011-02,0063,88
2011-02,0064,94
2011-02,1101,578
2011-02,1102,80
2011-02,1103,106
2011-02,1104,626
2011-02,1105,253
2011-02,1106,497
2011-02,1107,223
2011-02,1108,189
2011-02,1109,5759
2011-02,1110,52
2011-02,1111,95
2011-02,1112,931
2011-02,1113,496
2011-02,1114,800
2011-02,1115,635
2011-02,2401,175
2011-02,2402,185
2011-02,2403,173
2011-02,2404,39
2011-02,2405,201
2011-02,2406,38
2011-02,2407,75
2011-02,2408,39
2011-02,2409,132
2011-02,2410,414
2011-02,2411,51
2011-02,2412,94
2011-02,2413,609
2011-02,2414,50
2011-02,2415,39
2011-02,2701,35
2011-02,2702,175
2011-02,2703,41
2011-02,2704,100
2011-02,2705,150
2011-02,2706,319
2011-02,2707,163
2011-02,2708,84
2011-02,2709,55
2011-02,2710,65
2011-02,2711,428
2011-02,2712,78
2011-02,2713,170
2011-02,2714,121
2011-02,2715,86
2011-02,2716,57
2011-02,2717,71
2011-02,2718,106
2011-02,2801,38
2011-02,2802,73
2011-02,2803,62
2011-02,2804,552
2011-02,2805,123
2011-02,2806,63
2011-02,2807,125
2011-02,2808,210
2011-02,2809,67
2011-02,2810,62
2011-02,2811,146
2011-02,2812,37
