ze2020,libze2020,reg,year,bpe_evolution_commune_type_presence_total,bpe_evolution_communes_observed,bpe_evolution_facility_types_observed,source_geography_year,comparability_status
2717,Sens,27,2019,1565,102,130,2025,official_harmonized_2019_2024_presence_absence
2717,Sens,27,2024,1660,102,130,2025,official_harmonized_2019_2024_presence_absence
2718,Vesoul,27,2019,2613,336,135,2025,official_harmonized_2019_2024_presence_absence
2718,Vesoul,27,2024,2740,336,134,2025,official_harmonized_2019_2024_presence_absence
2801,Argentan,28,2019,624,73,114,2025,official_harmonized_2019_2024_presence_absence
2801,Argentan,28,2024,668,73,116,2025,official_harmonized_2019_2024_presence_absence
2802,Avranches,28,2019,1454,101,130,2025,official_harmonized_2019_2024_presence_absence
2802,Avranches,28,2024,1492,101,131,2025,official_harmonized_2019_2024_presence_absence
2803,Bernay,28,2019,1123,106,119,2025,official_harmonized_2019_2024_presence_absence
2803,Bernay,28,2024,1171,106,120,2025,official_harmonized_2019_2024_presence_absence
2804,Caen,28,2019,5595,378,144,2025,official_harmonized_2019_2024_presence_absence
2804,Caen,28,2024,6087,378,144,2025,official_harmonized_2019_2024_presence_absence
2805,Cherbourg-en-Cotentin,28,2019,1669,135,137,2025,official_harmonized_2019_2024_presence_absence
2805,Cherbourg-en-Cotentin,28,2024,1726,135,138,2025,official_harmonized_2019_2024_presence_absence
2806,Coutances,28,2019,1069,67,127,2025,official_harmonized_2019_2024_presence_absence
2806,Coutances,28,2024,1080,67,128,2025,official_harmonized_2019_2024_presence_absence
2807,Dieppe-Caux maritime,28,2019,2184,196,136,2025,official_harmonized_2019_2024_presence_absence
2807,Dieppe-Caux maritime,28,2024,2295,196,137,2025,official_harmonized_2019_2024_presence_absence
2808,Évreux,28,2019,2217,167,135,2025,official_harmonized_2019_2024_presence_absence
2808,Évreux,28,2024,2305,167,136,2025,official_harmonized_2019_2024_presence_absence
2809,Flers,28,2019,1315,91,122,2025,official_harmonized_2019_2024_presence_absence
2809,Flers,28,2024,1363,91,120,2025,official_harmonized_2019_2024_presence_absence
2810,Granville,28,2019,793,45,122,2025,official_harmonized_2019_2024_presence_absence
2810,Granville,28,2024,833,45,120,2025,official_harmonized_2019_2024_presence_absence
2811,Honfleur Pont-Audemer,28,2019,1756,119,132,2025,official_harmonized_2019_2024_presence_absence
2811,Honfleur Pont-Audemer,28,2024,1912,119,131,2025,official_harmonized_2019_2024_presence_absence
2812,L'Aigle,28,2019,848,79,117,2025,official_harmonized_2019_2024_presence_absence
2812,L'Aigle,28,2024,877,79,119,2025,official_harmonized_2019_2024_presence_absence
2813,Le Havre,28,2019,2002,115,141,2025,official_harmonized_2019_2024_presence_absence
2813,Le Havre,28,2024,2100,115,144,2025,official_harmonized_2019_2024_presence_absence
2814,Lisieux,28,2019,1036,93,130,2025,official_harmonized_2019_2024_presence_absence
2814,Lisieux,28,2024,1110,93,130,2025,official_harmonized_2019_2024_presence_absence
2815,Rouen,28,2019,5918,299,144,2025,official_harmonized_2019_2024_presence_absence
2815,Rouen,28,2024,6254,299,146,2025,official_harmonized_2019_2024_presence_absence
2816,Saint-Lô,28,2019,1400,104,134,2025,official_harmonized_2019_2024_presence_absence
2816,Saint-Lô,28,2024,1472,104,135,2025,official_harmonized_2019_2024_presence_absence
2817,Vernon-Gisors,28,2019,1555,110,125,2025,official_harmonized_2019_2024_presence_absence
2817,Vernon-Gisors,28,2024,1665,110,126,2025,official_harmonized_2019_2024_presence_absence
2818,Vire Normandie,28,2019,374,21,118,2025,official_harmonized_2019_2024_presence_absence
2818,Vire Normandie,28,2024,377,21,121,2025,official_harmonized_2019_2024_presence_absence
2819,Yvetot-Vallée du Commerce,28,2019,1450,99,126,2025,official_harmonized_2019_2024_presence_absence
2819,Yvetot-Vallée du Commerce,28,2024,1543,99,125,2025,official_harmonized_2019_2024_presence_absence
3201,Abbeville,32,2019,1540,165,127,2025,official_harmonized_2019_2024_presence_absence
3201,Abbeville,32,2024,1645,165,130,2025,official_harmonized_2019_2024_presence_absence
3202,Amiens,32,2019,4347,455,144,2025,official_harmonized_2019_2024_presence_absence
3202,Amiens,32,2024,4717,455,146,2025,official_harmonized_2019_2024_presence_absence
3203,Arras,32,2019,2225,232,137,2025,official_harmonized_2019_2024_presence_absence
3203,Arras,32,2024,2372,232,137,2025,official_harmonized_2019_2024_presence_absence
3204,Berck,32,2019,1982,201,137,2025,official_harmonized_2019_2024_presence_absence
3204,Berck,32,2024,2111,201,134,2025,official_harmonized_2019_2024_presence_absence
3205,Béthune,32,2019,2404,109,132,2025,official_harmonized_2019_2024_presence_absence
3205,Béthune,32,2024,2554,109,133,2025,official_harmonized_2019_2024_presence_absence
3206,Boulogne-sur-Mer,32,2019,1647,92,135,2025,official_harmonized_2019_2024_presence_absence
3206,Boulogne-sur-Mer,32,2024,1724,92,134,2025,official_harmonized_2019_2024_presence_absence
3207,Calais,32,2019,1044,51,135,2025,official_harmonized_2019_2024_presence_absence
3207,Calais,32,2024,1082,51,134,2025,official_harmonized_2019_2024_presence_absence
3208,Cambrai,32,2019,1755,111,131,2025,official_harmonized_2019_2024_presence_absence
3208,Cambrai,32,2024,1864,111,131,2025,official_harmonized_2019_2024_presence_absence
3209,Château-Thierry,32,2019,1169,119,124,2025,official_harmonized_2019_2024_presence_absence
3209,Château-Thierry,32,2024,1224,119,122,2025,official_harmonized_2019_2024_presence_absence
3210,Compiègne,32,2019,2421,181,138,2025,official_harmonized_2019_2024_presence_absence
3210,Compiègne,32,2024,2615,181,139,2025,official_harmonized_2019_2024_presence_absence
3211,Creil,32,2019,2870,134,136,2025,official_harmonized_2019_2024_presence_absence
3211,Creil,32,2024,3064,134,136,2025,official_harmonized_2019_2024_presence_absence
3212,Douai,32,2019,1965,71,137,2025,official_harmonized_2019_2024_presence_absence
3212,Douai,32,2024,2073,71,138,2025,official_harmonized_2019_2024_presence_absence
3213,Dunkerque,32,2019,2011,75,139,2025,official_harmonized_2019_2024_presence_absence
3213,Dunkerque,32,2024,2057,75,138,2025,official_harmonized_2019_2024_presence_absence
3214,Laon,32,2019,1675,225,134,2025,official_harmonized_2019_2024_presence_absence
3214,Laon,32,2024,1819,225,131,2025,official_harmonized_2019_2024_presence_absence
3215,Lens,32,2019,2426,58,134,2025,official_harmonized_2019_2024_presence_absence
3215,Lens,32,2024,2469,58,136,2025,official_harmonized_2019_2024_presence_absence
3216,Lille,32,2019,5017,133,143,2025,official_harmonized_2019_2024_presence_absence
3216,Lille,32,2024,5222,133,143,2025,official_harmonized_2019_2024_presence_absence
3217,Maubeuge,32,2019,2870,199,134,2025,official_harmonized_2019_2024_presence_absence
3217,Maubeuge,32,2024,2972,199,135,2025,official_harmonized_2019_2024_presence_absence
3218,Roubaix-Tourcoing,32,2019,1320,22,137,2025,official_harmonized_2019_2024_presence_absence
3218,Roubaix-Tourcoing,32,2024,1341,22,136,2025,official_harmonized_2019_2024_presence_absence
3219,Saint-Omer,32,2019,1952,126,131,2025,official_harmonized_2019_2024_presence_absence
3219,Saint-Omer,32,2024,2079,126,132,2025,official_harmonized_2019_2024_presence_absence
3220,Saint-Quentin,32,2019,3159,326,137,2025,official_harmonized_2019_2024_presence_absence
3220,Saint-Quentin,32,2024,3373,326,139,2025,official_harmonized_2019_2024_presence_absence
3221,Soissons,32,2019,2201,232,133,2025,official_harmonized_2019_2024_presence_absence
3221,Soissons,32,2024,2348,232,134,2025,official_harmonized_2019_2024_presence_absence
3222,Valenciennes,32,2019,3164,125,140,2025,official_harmonized_2019_2024_presence_absence
3222,Valenciennes,32,2024,3351,125,141,2025,official_harmonized_2019_2024_presence_absence
4401,Bar-le-Duc,44,2019,1196,154,126,2025,official_harmonized_2019_2024_presence_absence
4401,Bar-le-Duc,44,2024,1279,154,126,2025,official_harmonized_2019_2024_presence_absence
4402,Châlons-en-Champagne,44,2019,1306,151,135,2025,official_harmonized_2019_2024_presence_absence
4402,Châlons-en-Champagne,44,2024,1341,151,132,2025,official_harmonized_2019_2024_presence_absence
4403,Charleville-Mézières,44,2019,2149,180,138,2025,official_harmonized_2019_2024_presence_absence
4403,Charleville-Mézières,44,2024,2185,180,138,2025,official_harmonized_2019_2024_presence_absence
4404,Chaumont,44,2019,2602,369,135,2025,official_harmonized_2019_2024_presence_absence
4404,Chaumont,44,2024,2668,369,136,2025,official_harmonized_2019_2024_presence_absence
4405,Colmar,44,2019,2210,100,142,2025,official_harmonized_2019_2024_presence_absence
4405,Colmar,44,2024,2249,100,143,2025,official_harmonized_2019_2024_presence_absence
4406,Épernay,44,2019,1306,113,129,2025,official_harmonized_2019_2024_presence_absence
4406,Épernay,44,2024,1351,113,130,2025,official_harmonized_2019_2024_presence_absence
4407,Épinal,44,2019,2944,328,137,2025,official_harmonized_2019_2024_presence_absence
4407,Épinal,44,2024,3090,328,139,2025,official_harmonized_2019_2024_presence_absence
4408,Forbach,44,2019,929,30,123,2025,official_harmonized_2019_2024_presence_absence
4408,Forbach,44,2024,946,30,123,2025,official_harmonized_2019_2024_presence_absence
4409,Haguenau,44,2019,3143,164,132,2025,official_harmonized_2019_2024_presence_absence
4409,Haguenau,44,2024,3298,164,134,2025,official_harmonized_2019_2024_presence_absence
4410,Metz,44,2019,4076,246,143,2025,official_harmonized_2019_2024_presence_absence
4410,Metz,44,2024,4255,246,144,2025,official_harmonized_2019_2024_presence_absence
4411,Mulhouse,44,2019,3743,170,140,2025,official_harmonized_2019_2024_presence_absence
4411,Mulhouse,44,2024,3917,170,140,2025,official_harmonized_2019_2024_presence_absence
4412,Nancy,44,2019,5574,445,145,2025,official_harmonized_2019_2024_presence_absence
4412,Nancy,44,2024,5815,445,147,2025,official_harmonized_2019_2024_presence_absence
4413,Reims,44,2019,2646,225,142,2025,official_harmonized_2019_2024_presence_absence
4413,Reims,44,2024,2899,225,142,2025,official_harmonized_2019_2024_presence_absence
4414,Remiremont,44,2019,1295,49,122,2025,official_harmonized_2019_2024_presence_absence
4414,Remiremont,44,2024,1336,49,123,2025,official_harmonized_2019_2024_presence_absence
4415,Romilly-sur-Seine,44,2019,1362,170,119,2025,official_harmonized_2019_2024_presence_absence
4415,Romilly-sur-Seine,44,2024,1414,170,120,2025,official_harmonized_2019_2024_presence_absence
4416,Saint-Avold,44,2019,1691,131,128,2025,official_harmonized_2019_2024_presence_absence
4416,Saint-Avold,44,2024,1762,131,126,2025,official_harmonized_2019_2024_presence_absence
4417,Saint-Dié-des-Vosges,44,2019,1314,110,123,2025,official_harmonized_2019_2024_presence_absence
4417,Saint-Dié-des-Vosges,44,2024,1397,110,124,2025,official_harmonized_2019_2024_presence_absence
4418,Saint-Louis,44,2019,1233,91,121,2025,official_harmonized_2019_2024_presence_absence
4418,Saint-Louis,44,2024,1321,91,116,2025,official_harmonized_2019_2024_presence_absence
4419,Sarrebourg,44,2019,2070,215,132,2025,official_harmonized_2019_2024_presence_absence
4419,Sarrebourg,44,2024,2180,215,132,2025,official_harmonized_2019_2024_presence_absence
4420,Sarreguemines,44,2019,2001,141,127,2025,official_harmonized_2019_2024_presence_absence
4420,Sarreguemines,44,2024,2099,141,125,2025,official_harmonized_2019_2024_presence_absence
4421,Sedan,44,2019,1722,245,123,2025,official_harmonized_2019_2024_presence_absence
4421,Sedan,44,2024,1778,245,118,2025,official_harmonized_2019_2024_presence_absence
4422,Sélestat,44,2019,1420,72,119,2025,official_harmonized_2019_2024_presence_absence
4422,Sélestat,44,2024,1479,72,119,2025,official_harmonized_2019_2024_presence_absence
4423,Strasbourg,44,2019,4928,213,145,2025,official_harmonized_2019_2024_presence_absence
