country,sector,scenario_included,top_k,m1_obs_mean_included,m1_obs_median_included,m1_obs_min_included,m1_n_pairs_included,m2_obs_mean_included,m2_n_pairs_included,m1_null_n1_mean_included,m1_null_n2_mean_included,m2_null_n1_mean_included,m2_null_n2_mean_included,p_m1_n1_included,p_m1_n2_included,p_m2_n1_included,p_m2_n2_included,q_m1_n1_included,q_m1_n2_included,q_m2_n1_included,q_m2_n2_included,sector_signal_pass_included,sector_stability_pass_included,scenario_excluded,m1_obs_mean_excluded,m1_obs_median_excluded,m1_obs_min_excluded,m1_n_pairs_excluded,m2_obs_mean_excluded,m2_n_pairs_excluded,m1_null_n1_mean_excluded,m1_null_n2_mean_excluded,m2_null_n1_mean_excluded,m2_null_n2_mean_excluded,p_m1_n1_excluded,p_m1_n2_excluded,p_m2_n1_excluded,p_m2_n2_excluded,q_m1_n1_excluded,q_m1_n2_excluded,q_m2_n1_excluded,q_m2_n2_excluded,sector_signal_pass_excluded,sector_stability_pass_excluded,m1_obs_mean_delta_excluded_minus_included,m1_obs_mean_relative_delta,m2_obs_mean_delta_excluded_minus_included,m2_obs_mean_relative_delta,decision_changed,covid_classification
NL,FZ,include_observation_2020,5,0.410614135930742,0.4027861822200005,0.3284313725490196,14,0.1759295542872646,105,0.3936175030835793,0.3757192222494343,0.1560276189335566,0.1601887495780878,0.075,0.005,0.005,0.01,0.1735714285714285,0.03,0.0225,0.03375,True,False,exclude_observation_2020,0.4132155413098801,0.3966458549150264,0.2727272727272727,14,0.1694556324727467,105,0.3871360691885765,0.3728018264848564,0.1528060199650052,0.1557034724154032,0.01,0.005,0.005,0.01,0.03,0.015,0.03,0.045,True,False,0.002601405379138111,0.006335401418271894,-0.006473921814517891,-0.03679837558132513,False,COVID_ROBUST
NL,GI,include_observation_2020,5,0.4074096163713233,0.417260097277833,0.2251082251082251,14,0.1718292717080506,105,0.3958778164572581,0.3782582414931952,0.1561732274542075,0.1606056871109582,0.135,0.01,0.02,0.015,0.1735714285714285,0.03,0.03,0.03375,True,False,exclude_observation_2020,0.3828038894514257,0.3883218174204355,0.182648401826484,14,0.167382704817891,105,0.3904796298301383,0.3657640313575367,0.1533928103640427,0.1555678957786813,0.76,0.09,0.02,0.02,0.855,0.1349999999999999,0.03,0.045,True,False,-0.024605726919897597,-0.06039554770222047,-0.004446566890159598,-0.02587781957031519,False,COVID_ROBUST
NL,JZ,include_observation_2020,5,0.4100817348294469,0.4149220817406645,0.3301435406698564,14,0.1705765985066066,105,0.3953360151781017,0.3938035253825037,0.1559357911024817,0.1609165650255917,0.115,0.105,0.015,0.06,0.1735714285714285,0.105,0.027,0.0771428571428571,False,False,exclude_observation_2020,0.3943360352843736,0.4087675916597979,0.2614678899082568,14,0.164612068601952,105,0.3886445411732658,0.3869144690542509,0.1530336890178232,0.1571707997898638,0.295,0.255,0.025,0.105,0.4049999999999999,0.286875,0.0321428571428571,0.118125,False,False,-0.015745699545073266,-0.038396490766948954,-0.005964529904654625,-0.03496687093583715,False,COVID_ROBUST
NL,KZ,include_observation_2020,5,0.4106369259141506,0.4104774535809018,0.2840909090909091,14,0.1703955119182278,105,0.4019790550446712,0.3885581358366765,0.1573423432926321,0.1607321314755472,0.215,0.035,0.01,0.07,0.241875,0.0525,0.0225,0.07875,False,False,exclude_observation_2020,0.4119237825910379,0.368678955453149,0.2718446601941747,14,0.16565256595522,105,0.3950511241991566,0.3842512417773506,0.1544338932754783,0.1572255044653278,0.085,0.02,0.02,0.09,0.153,0.045,0.03,0.118125,False,False,0.0012868566768873269,0.0031338065226904663,-0.004742945963007811,-0.027834923054099767,False,COVID_ROBUST
NL,LZ,include_observation_2020,5,0.4127039828123949,0.4023148827876474,0.3161290322580645,14,0.1514153143160024,105,0.3786826564404704,0.3825853253544325,0.1445649614683129,0.1564311879768344,0.01,0.02,0.125,0.795,0.09,0.045,0.125,0.795,False,False,exclude_observation_2020,0.4046148415984341,0.4068993252602886,0.2585034013605442,14,0.1548220881266251,105,0.3698728444705126,0.3439338098138446,0.1411706159437318,0.1364635856573172,0.005,0.005,0.015,0.015,0.03,0.015,0.03,0.045,True,False,-0.008089141213960815,-0.019600346860810258,0.0034067738106227097,0.022499532666245395,True,COVID_SENSITIVE
NL,MN,include_observation_2020,5,0.409973680595593,0.405049786628734,0.3152709359605911,14,0.1753933392770398,105,0.3944874694094555,0.387637383513471,0.1561261095957887,0.1608341873313244,0.115,0.035,0.005,0.01,0.1735714285714285,0.0525,0.0225,0.03375,True,False,exclude_observation_2020,0.3945224010715612,0.3837837837837838,0.3092783505154639,14,0.1693062868099992,105,0.3886599929553355,0.3838370975167693,0.1532364140951355,0.1570976055362133,0.315,0.18,0.01,0.02,0.4049999999999999,0.2314285714285714,0.03,0.045,True,False,-0.015451279524031802,-0.037688466980574986,-0.006087052467040582,-0.03470515181551948,False,COVID_ROBUST
NL,OQ,include_observation_2020,5,0.426871905494689,0.4214147661383842,0.3948717948717948,6,0.2529299574071358,21,0.4058606274263541,0.4026702518304714,0.2325157114817671,0.2336129382808969,0.115,0.095,0.055,0.06,0.1735714285714285,0.105,0.061875,0.0771428571428571,False,False,exclude_observation_2020,0.4932462253421767,0.3805555555555555,0.2835820895522388,6,0.2601058582523952,21,0.4584217063627662,0.4673763217344185,0.2374888102674777,0.2457139464870122,0.03,0.05,0.045,0.105,0.0675,0.09,0.0506249999999999,0.118125,False,False,0.0663743198474877,0.1554900170124068,0.007175900845259375,0.02837109893514308,False,COVID_ROBUST
NL,RU,include_observation_2020,5,0.4001572653495545,0.4094337865524306,0.319047619047619,14,0.1705434949089744,105,0.3963897391685265,0.3848691001415005,0.1559061849923555,0.1599644775609558,0.365,0.085,0.01,0.015,0.365,0.105,0.0225,0.03375,True,False,exclude_observation_2020,0.372910916889852,0.3583974069048695,0.2629107981220657,14,0.1610864157890853,105,0.3894631033923678,0.375167926280362,0.1530173038392663,0.1557156327356971,0.93,0.61,0.085,0.125,0.9300000000000002,0.61,0.085,0.125,False,False,-0.027246348459702474,-0.06808910100857878,-0.009457079119889106,-0.05545259363270766,True,COVID_SENSITIVE
PT,BE,include_observation_2020,5,0.5153290470212711,0.5714285714285714,0.2945736434108527,12,0.2609672659255708,78,0.4801408595959803,0.455612910395818,0.2365539132124305,0.2373014113279586,0.045,0.005,0.02,0.01,0.18,0.0133333333333333,0.032,0.0266666666666666,True,False,exclude_observation_2020,0.4722889555084912,0.4666093084234677,0.2945736434108527,12,0.2428081795534696,78,0.4675923788081018,0.443677586576419,0.2311821978824412,0.2313875296320148,0.36,0.03,0.15,0.115,0.5066666666666667,0.08,0.15,0.1533333333333333,False,False,-0.04304009151277993,-0.0835196303440729,-0.018159086372101202,-0.0695837706223288,True,COVID_SENSITIVE
PT,FZ,include_observation_2020,5,0.4918295683634639,0.5000756372437789,0.3688524590163934,12,0.2665283370887606,78,0.4803997927307235,0.4690260244670398,0.2369934501272078,0.2488364439666701,0.26,0.095,0.005,0.05,0.5133333333333333,0.19,0.0133333333333333,0.08,False,False,exclude_observation_2020,0.4728134380690028,0.4685839685839685,0.3565217391304348,12,0.2543098739715286,78,0.4665396376570442,0.4601966050865566,0.2318009442983253,0.2436177805366871,0.35,0.22,0.035,0.105,0.5066666666666667,0.2933333333333333,0.07,0.1533333333333333,False,False,-0.019016130294461142,-0.03866406478515775,-0.012218463117232015,-0.045843017109144985,False,COVID_ROBUST
PT,GI,include_observation_2020,5,0.4636854189421192,0.4488343724586608,0.3458646616541353,12,0.2671827015038576,78,0.478124712437176,0.4517424933874792,0.2360187324428753,0.2407195679949397,0.805,0.235,0.005,0.02,0.805,0.3133333333333333,0.0133333333333333,0.04,True,False,exclude_observation_2020,0.4467370356952913,0.4280223093156466,0.3008130081300813,12,0.2478777472620738,78,0.4657182174211181,0.4432884125234186,0.2309239034582335,0.2339013361131179,0.865,0.41,0.035,0.075,0.865,0.4685714285714285,0.07,0.1533333333333333,False,False,-0.016948383246827903,-0.0365514690660211,-0.0193049542417838,-0.07225375794587163,True,COVID_SENSITIVE
PT,JZ,include_observation_2020,5,0.526015554597577,0.5384615384615385,0.4230769230769231,12,0.2777306937284371,78,0.4812734100899553,0.4880821166837933,0.2359306379914464,0.2480491692500259,0.005,0.005,0.005,0.005,0.04,0.0133333333333333,0.0133333333333333,0.0266666666666666,True,False,exclude_observation_2020,0.5088942515821482,0.5126262626262627,0.3793103448275862,12,0.2611795396479744,78,0.4675691698257457,0.4683715485350344,0.2306128479917776,0.2392569205753388,0.01,0.015,0.005,0.035,0.08,0.08,0.04,0.1533333333333333,False,False,-0.0171213030154288,-0.032549043209429966,-0.016551154080462704,-0.05959425606968127,True,COVID_SENSITIVE
PT,LZ,include_observation_2020,5,0.4837821419410823,0.4862634912139862,0.3553719008264462,12,0.26228321805462,78,0.4790832921866529,0.4743553542145466,0.2364263231879236,0.242129859944664,0.385,0.305,0.02,0.01,0.5133333333333333,0.3485714285714286,0.032,0.0266666666666666,True,False,exclude_observation_2020,0.4698983942205867,0.4364389233954451,0.2764227642276423,12,0.2436112056653706,78,0.4659882480739107,0.4541625656700002,0.2310138774670085,0.2341122074034453,0.35,0.15,0.145,0.115,0.5066666666666667,0.2933333333333333,0.15,0.1533333333333333,False,False,-0.01388374772049561,-0.028698346873222223,-0.018672012389249426,-0.07119026725286333,True,COVID_SENSITIVE
PT,MN,include_observation_2020,5,0.4880739807045407,0.4868410927279722,0.3739837398373983,12,0.25956200471712,78,0.4815492043099842,0.4726204182915721,0.2370026224906351,0.2480526820497168,0.335,0.165,0.03,0.095,0.5133333333333333,0.264,0.0342857142857142,0.1266666666666666,False,False,exclude_observation_2020,0.4743508082759569,0.4590909090909091,0.3467741935483871,12,0.2537747178422693,78,0.4672700790593338,0.4609928515225306,0.2312364103575117,0.2420654343464483,0.38,0.215,0.03,0.09,0.5066666666666667,0.2933333333333333,0.07,0.1533333333333333,False,False,-0.01372317242858384,-0.028116992446051467,-0.0057872868748506945,-0.022296356052411787,False,COVID_ROBUST
PT,OQ,include_observation_2020,5,0.4953760658982958,0.4889758179231863,0.3658536585365853,12,0.2488579074183882,78,0.4801568171906034,0.4554944157512297,0.236196464257774,0.2428971066028562,0.195,0.005,0.115,0.235,0.5133333333333333,0.0133333333333333,0.115,0.235,False,False,exclude_observation_2020,0.4769225781876177,0.4700416294974725,0.3583333333333333,12,0.2463024542148726,78,0.4678970522595421,0.4367275438867524,0.2316056978003965,0.2368841280909481,0.295,0.025,0.085,0.155,0.5066666666666667,0.08,0.12,0.1771428571428571,False,False,-0.018453487710678118,-0.037251472125960056,-0.0025554532035156063,-0.010268724148754065,False,COVID_ROBUST
PT,RU,include_observation_2020,5,0.4800284638685326,0.4652173913043478,0.4173228346456692,12,0.255344786982478,78,0.4796845050682525,0.4766137122659482,0.2367014666795102,0.2490524955525717,0.45,0.405,0.03,0.215,0.5142857142857143,0.405,0.0342857142857142,0.235,False,False,exclude_observation_2020,0.4637827138613568,0.4511941848390446,0.3622047244094488,12,0.2449923240640215,78,0.4667193173356683,0.462622133506423,0.2310541665759485,0.2420086409503618,0.61,0.485,0.09,0.34,0.6971428571428572,0.485,0.12,0.34,False,False,-0.01624575000717582,-0.03384330561619594,-0.010352462918456484,-0.040543075270093064,False,COVID_ROBUST
