task_id,country,scenario,window_start,window_end,source_sector,target_sector,n_samples,beta,delta_r2,p_perm,bootstrap_sign_stability,panel_checksum,commit_sha,hostname,runtime_seconds,q_fdr,promoted
53,NL,main,2012,2017,RU,GI,2015,0.14113500121352546,0.019301812184335576,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode06,3610.197,0.018000000000000002,True
53,NL,main,2012,2017,RU,KZ,2011,0.10209675700269875,0.010289956572309689,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode06,3610.197,0.018000000000000002,True
54,NL,main,2013,2018,BE,KZ,2023,0.1410385910387073,0.019838961759464424,0.001,0.994,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode06,3806.41,0.006545454545454546,True
55,NL,main,2013,2018,FZ,BE,2024,0.14690295698397837,0.021227735668146064,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode06,3797.594,0.006545454545454546,True
57,NL,main,2013,2018,JZ,FZ,2024,-0.11348016865999738,0.012805547369181935,0.005,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,4038.723,0.02,True
59,NL,main,2013,2018,LZ,MN,2016,-0.11069179970688055,0.012164635565398041,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,4057.516,0.006545454545454546,True
60,NL,main,2013,2018,MN,RU,2026,0.10163233576036729,0.009475093362131926,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,4139.472,0.006545454545454546,True
62,NL,main,2013,2018,RU,GI,2026,0.17475118541131002,0.03011161615472646,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,3953.704,0.006545454545454546,True
62,NL,main,2013,2018,RU,JZ,2023,0.10731185642401145,0.010752371458119359,0.001,1.0,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,3953.704,0.006545454545454546,True
62,NL,main,2013,2018,RU,KZ,2024,0.12575735911824404,0.01569603022442534,0.001,0.998,7170f1cef7488c264e7365a668b7de01147955fcae973e97c50d8ddaf9a70f7d,4f26404a516d45245da02d142166ddd4e7372911,hpcnode10,3953.704,0.006545454545454546,True
