ze2020,libze2020,n_total_estab,n_active_estab,n_inactive_estab,active_share,total_workforce,avg_workforce_per_estab,n_distinct_naf4,n_estab_with_workforce,naf4_shannon_diversity,naf4_hhi,avg_pci_naf_weighted,avg_resilience_naf_weighted,avg_green_naf_weighted,avg_maslow_naf_weighted,mean_naf_proximity,mean_semantic_proximity,n_naf_pairs_in_ze,nace_io_mean,nace_io_total,n_nace_pairs_in_ze,n_recommendations_postmodel,n_estab_with_recom_postmodel,recommendation_density_postmodel
2404,Châteaudun,2279,1625,654,0.7130,5229,2.29,142,530,2.5764,0.3061,-0.4529,0.5682,0.0029,0.0177,0.4619,0.7846,3236,0.7989,313.19,392,0,0,0.0000
4417,Saint-Dié-des-Vosges,2120,1595,525,0.7524,8713,4.11,184,691,4.1100,0.0373,-0.7018,0.3688,0.0035,0.0335,0.4174,0.7565,5878,0.8031,478.64,596,0,0,0.0000
2710,Creusot-Montceau,2108,1583,525,0.7509,11139,5.28,175,625,3.4574,0.1283,-0.4404,0.2913,0.0047,0.0369,0.4388,0.7479,5453,0.7994,442.87,554,0,0,0.0000
5205,Châteaubriant,2088,1569,519,0.7514,5630,2.70,138,599,3.2093,0.1195,-0.3835,0.2481,0.0017,0.0225,0.4270,0.7042,2996,0.7981,330.41,414,0,0,0.0000
2801,Argentan,2003,1550,453,0.7738,3335,1.67,128,451,3.0045,0.1000,-0.4972,0.3594,0.0012,0.0129,0.4095,0.7056,2341,0.8008,246.65,308,0,0,0.0000
5306,Guingamp,2158,1543,615,0.7150,4680,2.17,145,515,3.2027,0.1087,-0.4029,0.3510,0.0012,0.0233,0.4295,0.7291,3390,0.7992,407.59,510,0,0,0.0000
8430,Tarare,2029,1542,487,0.7600,6582,3.24,157,509,3.7519,0.0524,-0.6772,0.3700,0.0038,0.0156,0.4600,0.7718,4649,0.7998,358.29,448,1244,707,0.8067
0206,Le Sud-Caraibe,1942,1531,411,0.7884,2895,1.49,179,454,4.2641,0.0233,-0.6451,0.5709,0.0028,0.0411,0.3834,0.6962,5144,0.7988,412.17,516,0,0,0.0000
4401,Bar-le-Duc,1841,1487,354,0.8077,5960,3.24,157,538,3.6181,0.0688,-0.6080,0.4928,0.0023,0.0256,0.4114,0.7565,3816,0.7981,304.88,382,0,0,0.0000
0058,La Vallée de la Bresle-Vimeu,1900,1484,416,0.7811,14229,7.49,149,706,3.8528,0.0475,-0.3994,0.4778,0.0010,0.0260,0.4001,0.7292,3737,0.8065,337.13,418,0,0,0.0000
2712,Dole,1880,1482,398,0.7883,6606,3.51,165,587,3.9546,0.0406,-0.5342,0.5019,0.0011,0.0358,0.3876,0.6871,3904,0.7982,379.92,476,0,0,0.0000
2810,Granville,1986,1464,522,0.7372,3534,1.78,136,430,3.2668,0.0940,-0.5527,0.2912,0.0012,0.0226,0.3753,0.6866,2693,0.7983,287.40,360,0,0,0.0000
2818,Vire Normandie,1977,1463,514,0.7400,3247,1.64,114,322,2.4778,0.2086,-0.4738,0.1892,0.0015,0.0095,0.4146,0.7141,1889,0.7976,205.79,258,0,0,0.0000
8418,Le Mont Blanc,1874,1435,439,0.7657,4984,2.66,129,643,3.8284,0.0392,-0.3174,0.4065,0.0017,0.1359,0.3627,0.6653,2338,0.7961,187.89,236,514,292,0.3582
7508,Châtellerault,1953,1421,532,0.7276,10807,5.53,169,589,3.5549,0.1110,-0.4905,0.5575,0.0052,0.0389,0.4447,0.7527,3997,0.8008,384.38,480,0,0,0.0000
